EpThisIter,loss_kl,TimeElapsed,loss_pol_entpen,ev_tdlam_before,loss_pol_surr,EpisodesSoFar,loss_ent,EpLenMean,TimestepsSoFar,EpRewMean,loss_vf_loss
8,0.0246456,308.24955129623413,0.0,0.981609074399,-0.0521005,1882,4.74376,240.41,303024,769.139371425,51.1252
8,0.0260278,310.3119809627533,0.0,0.983452612534,-0.050589,1890,4.67977,240.67,304924,770.426022716,43.5809
8,0.0239416,312.38892817497253,0.0,0.992371600121,-0.0539525,1898,4.6301,241.94,306952,776.101063265,17.2075
9,0.0243953,314.4524042606354,0.0,0.984406745993,-0.0517145,1907,4.65459,242.39,309128,776.941207354,42.0442
8,0.02405,316.53243684768677,0.0,0.988290529698,-0.0519456,1915,4.59199,244.05,311208,783.809382204,35.1332
8,0.0189501,318.5865912437439,0.0,0.980661828071,-0.0485154,1923,4.59817,245.65,313328,788.559056016,61.8227
7,0.0246988,320.6670124530792,0.0,0.98169542104,-0.0585657,1930,4.57673,247.47,315176,795.738496632,29.8031
9,0.0228172,322.74127864837646,0.0,0.985859308392,-0.0598516,1939,4.50112,248.52,317434,799.247060083,42.8075
7,0.0230075,324.8039176464081,0.0,0.982208203524,-0.0482614,1946,4.44874,249.97,319244,804.699491633,42.6776
8,0.0308172,326.88214778900146,0.0,0.992604111321,-0.0518779,1954,4.44428,251.26,321278,811.512647386,21.5957
8,0.0292881,328.9447455406189,0.0,0.992746966425,-0.0618003,1962,4.36061,253.98,323477,821.563881179,14.479
8,0.0250904,331.0229935646057,0.0,0.994107689708,-0.0614933,1970,4.32924,256.28,325610,833.940160071,12.3012
7,0.0272334,333.0855927467346,0.0,0.991558251902,-0.0488109,1977,4.33427,258.13,327560,843.343084655,23.1861
7,0.0249061,335.16339683532715,0.0,0.99445302505,-0.0560639,1984,4.34202,259.67,329433,849.896326359,15.1779
8,0.0211151,337.2257604598999,0.0,0.981436481699,-0.0499288,1992,4.33787,260.66,331509,854.071035037,19.621
8,0.0214824,339.3041298389435,0.0,0.99282646738,-0.0554904,2000,4.32467,261.73,333652,857.152274143,18.1277
8,0.0242604,341.3826198577881,0.0,0.984945411794,-0.0509384,2008,4.31447,262.36,335656,861.748121327,40.8994
8,0.0287193,343.46055841445923,0.0,0.991401826032,-0.0546954,2016,4.25686,263.0,337780,864.415056227,30.1393
7,0.0301105,345.54074454307556,0.0,0.992699603084,-0.0428887,2023,4.23227,264.4,339768,871.300422848,17.7961
8,0.0252941,347.6093599796295,0.0,0.995077547617,-0.0536963,2031,4.1823,263.57,341790,871.514611827,13.2811
8,0.0341625,349.69450545310974,0.0,0.995701061096,-0.0475155,2039,4.16019,264.79,343913,878.75996664,10.0241
8,0.0226672,351.77240538597107,0.0,0.993264969904,-0.0600909,2047,4.1523,264.71,345968,881.755179869,12.6082
8,0.0278913,353.8513648509979,0.0,0.992304024287,-0.0572747,2055,4.08865,264.61,348006,881.846172593,14.6151
8,0.0203245,355.929221868515,0.0,0.982442967594,-0.0484353,2063,4.0708,262.44,350007,875.940209601,21.2387
8,0.0258506,357.9998519420624,0.0,0.995320913848,-0.0524684,2071,4.07295,263.04,352183,878.124250998,16.3935
8,0.0255055,360.06295228004456,0.0,0.991491864435,-0.054828,2079,4.04939,260.55,354085,870.228481113,21.4808
8,0.031476,362.1326744556427,0.0,0.991460385732,-0.0542854,2087,4.06547,258.66,356067,863.543588292,24.8796
8,0.0251818,364.2028007507324,0.0,0.995590866078,-0.0516326,2095,4.03587,260.26,358359,869.381966672,12.7018
7,0.0201387,366.2728018760681,0.0,0.995944157243,-0.0569925,2102,3.97392,261.89,360316,877.061989391,10.5121
7,0.0285417,368.35125041007996,0.0,0.996673046611,-0.0574881,2109,3.97005,263.12,362250,882.314197552,9.56195
8,0.0302747,370.4135534763336,0.0,0.995762631297,-0.0528587,2117,3.94148,264.43,364463,888.291592973,13.1518
7,0.0260057,372.4763433933258,0.0,0.995939419139,-0.0538624,2124,3.93089,264.0,366419,886.680972756,11.0819
8,0.021944,374.53811144828796,0.0,0.99127865769,-0.0475435,2132,3.93517,265.79,368638,891.998344716,24.9894
7,0.0231457,376.6009624004364,0.0,0.986023352481,-0.0460756,2139,3.93637,265.52,370465,889.314745097,20.1048
8,0.0260584,378.6956672668457,0.0,0.996729826322,-0.0553631,2147,3.91449,266.14,372582,892.655376548,9.94033
8,0.0247439,380.75729990005493,0.0,0.986271489412,-0.0513839,2155,3.88671,267.02,374708,895.128822259,27.365
8,0.0301279,382.83653712272644,0.0,0.987438498065,-0.0514379,2163,3.90102,267.93,376800,895.979980024,28.6829
