loss_pol_surr,EpThisIter,ev_tdlam_before,loss_kl,loss_pol_entpen,TimestepsSoFar,loss_ent,EpRewMean,EpLenMean,loss_vf_loss,EpisodesSoFar,TimeElapsed
-0.00428757,2,-0.00253236293793,0.00490975,0.0,95904,0.95579,809.81,809.81,70.1471,814,75.953293800354
-0.0068078,2,-0.00277042388916,0.007046,0.0,97904,0.963432,827.66,827.66,69.3457,816,77.56384587287903
-0.00784902,2,0.0260090231895,0.00788732,0.0,99904,0.953579,842.62,842.62,64.5967,818,79.19973468780518
-0.00516908,2,-0.00436294078827,0.00681986,0.0,101904,0.963131,859.14,859.14,67.9815,820,80.80910634994507
-0.00447126,2,-0.0109703540802,0.00508652,0.0,103904,0.984,869.44,869.44,68.7615,822,82.40666937828064
-0.00537675,2,-0.0166207551956,0.00536824,0.0,105904,0.965851,877.05,877.05,69.1795,824,84.01591539382935
-0.00520115,2,-0.0138512849808,0.00890378,0.0,107904,0.968315,886.52,886.52,68.6546,826,85.61880326271057
-0.00756052,6,0.520490705967,0.00306828,0.0,110528,0.966118,858.18,858.18,62.8219,832,87.22925424575806
-0.00892585,2,0.558008134365,0.00912781,0.0,111798,0.956766,857.4,857.4,41.4658,834,88.83158493041992
-0.00409667,2,-0.00123512744904,0.0105929,0.0,113798,0.969534,857.4,857.4,69.1566,836,90.43242144584656
-0.00347293,2,-0.00413370132446,0.00465326,0.0,115798,0.99013,858.13,858.13,69.1025,838,92.03570938110352
-0.00478031,2,0.00252401828766,0.00599083,0.0,117798,0.962881,863.86,863.86,67.4945,840,93.64444398880005
-0.00334248,3,-0.00361108779907,0.00570605,0.0,120798,0.977606,872.59,872.59,96.7078,843,95.2540910243988
-0.00502882,2,-4.64916229248e-06,0.0114845,0.0,122798,0.987843,877.01,877.01,65.1667,845,96.85494208335876
-0.00907087,3,0.653470277786,0.00536457,0.0,124115,0.996729,860.75,860.75,54.089,848,98.46878719329834
-0.00309869,2,-0.0137761831284,0.00391375,0.0,126115,1.00041,860.75,860.75,68.71,850,100.0625319480896
