EpLenMean,TimeElapsed,EpRewMean,loss_pol_entpen,loss_ent,loss_kl,loss_vf_loss,loss_pol_surr,EpisodesSoFar,EpThisIter,TimestepsSoFar,ev_tdlam_before
50.0,162.28963017463684,-13.2152353591,0.0,-2.23847,0.0244922,0.0901003,-0.0113061,3727,41,186350,0.978839349002
50.0,164.05590200424194,-13.4999231344,0.0,-2.23156,0.0288555,0.0580667,-0.0153741,3768,41,188400,0.987731827423
50.0,165.84422707557678,-12.9952913069,0.0,-2.27169,0.0292897,0.0641833,-0.0232291,3809,41,190450,0.985049160197
50.0,167.59512662887573,-12.7730464997,0.0,-2.30299,0.0256862,0.075501,-0.0201816,3850,41,192500,0.970931651071
50.0,169.4074091911316,-12.612722988,0.0,-2.31589,0.016911,0.0791748,-0.0230696,3891,41,194550,0.981252748519
50.0,171.17278265953064,-12.2555000184,0.0,-2.36673,0.0177979,0.0812278,-0.0234488,3932,41,196600,0.980165204033
50.0,172.9521040916443,-12.2987144971,0.0,-2.35651,0.0174276,0.0675522,-0.0282872,3973,41,198650,0.984301853925
50.0,174.7157278060913,-12.3623226617,0.0,-2.37178,0.023218,0.045272,-0.0223708,4014,41,200700,0.988623742945
50.0,176.5001060962677,-12.6782573062,0.0,-2.41226,0.0237927,0.0688194,-0.023962,4055,41,202750,0.987979830243
50.0,178.26708602905273,-11.8922594347,0.0,-2.44821,0.0451868,0.0626352,-0.0200113,4096,41,204800,0.983569249511
50.0,180.05564641952515,-11.3482038362,0.0,-2.4724,0.0249069,0.0736481,-0.00976381,4136,40,206800,0.973210588098
50.0,181.82935905456543,-11.3998477684,0.0,-2.4937,0.0358553,0.0498088,-0.0100049,4177,41,208850,0.985372603871
50.0,183.61079788208008,-10.9452074411,0.0,-2.51819,0.0233017,0.065165,-0.0151994,4218,41,210900,0.975443799049
50.0,185.3717246055603,-11.3292633181,0.0,-2.55586,0.0347912,0.111454,-0.0150253,4259,41,212950,0.963834311813
50.0,187.15782690048218,-10.9559765909,0.0,-2.57469,0.0206477,0.0511333,-0.0232999,4300,41,215000,0.975005537271
50.0,188.93056297302246,-11.1102391102,0.0,-2.60694,0.0177833,0.065006,-0.0249465,4341,41,217050,0.984485208057
50.0,190.71991229057312,-10.7831124175,0.0,-2.63388,0.03625,0.0762225,-0.0159782,4382,41,219100,0.979220796376
50.0,192.51698923110962,-10.0836882226,0.0,-2.64439,0.0321166,0.0997757,-0.0102569,4423,41,221150,0.956160280854
50.0,194.29939222335815,-10.4856250157,0.0,-2.65728,0.0240196,0.0573104,-0.0186451,4464,41,223200,0.979550074786
50.0,196.0657196044922,-10.9209872463,0.0,-2.68511,0.0335854,0.0608073,-0.0199939,4505,41,225250,0.983349183574
50.0,197.85251688957214,-10.7647923794,0.0,-2.71663,0.0183959,0.0791147,-0.0200887,4546,41,227300,0.971147006378
50.0,199.61127185821533,-10.6243481681,0.0,-2.73242,0.0343175,0.049428,-0.0181503,4587,41,229350,0.989658406936
50.0,201.3990352153778,-9.75754650064,0.0,-2.75889,0.0380096,0.050929,-0.0188865,4628,41,231400,0.983005469665
50.0,203.16474628448486,-9.46493870298,0.0,-2.77384,0.028049,0.0480184,-0.0192612,4669,41,233450,0.985709970817
50.0,204.94614171981812,-9.95239126113,0.0,-2.81149,0.0400481,0.0358179,-0.0192785,4710,41,235500,0.985322538763
50.0,206.71152472496033,-10.0276493839,0.0,-2.79109,0.0370089,0.0535549,-0.00739532,4751,41,237550,0.976084573194
50.0,208.49262499809265,-9.71390688582,0.0,-2.79571,0.0179376,0.0717414,-0.0194413,4792,41,239600,0.972001781687
50.0,210.25824236869812,-9.40956858583,0.0,-2.80113,0.0241757,0.0677175,-0.0219799,4833,41,241650,0.981465807185
50.0,212.04001903533936,-9.31130675499,0.0,-2.82521,0.0297919,0.0623691,-0.0177482,4874,41,243700,0.97879704833
50.0,213.81374096870422,-9.0714357622,0.0,-2.86137,0.0322344,0.0582827,-0.0183792,4915,41,245750,0.984956334345
50.0,215.71989345550537,-9.17243628448,0.0,-2.8745,0.0375784,0.0628432,-0.0180361,4956,41,247800,0.978862378746
50.0,217.48445391654968,-8.1830041304,0.0,-2.9046,0.0494271,0.0590116,-0.00314737,4997,41,249850,0.983781201765
50.0,219.26654934883118,-8.45243921867,0.0,-2.9274,0.0166319,0.0495901,-0.025325,5038,41,251900,0.984771154821
50.0,221.0324947834015,-7.99722236133,0.0,-2.94792,0.0357454,0.0452095,-0.010318,5079,41,253950,0.978335797787
50.0,222.82106041908264,-8.01125000796,0.0,-2.95684,0.0211488,0.0635368,-0.0222573,5120,41,256000,0.981301261112
50.0,224.58292818069458,-8.17148471751,0.0,-2.97123,0.0402907,0.0500631,-0.0104279,5160,40,258000,0.983964841813
50.0,226.36869287490845,-8.46614147273,0.0,-2.98992,0.0233587,0.071549,-0.0200093,5201,41,260050,0.944532606751
50.0,228.13333415985107,-8.25090165109,0.0,-3.02493,0.027052,0.0530776,-0.0156215,5242,41,262100,0.98081035912
50.0,229.89962553977966,-8.0145151053,0.0,-3.02885,0.0423377,0.0459327,-0.00419431,5283,41,264150,0.981963453814
50.0,231.66459846496582,-7.83886448673,0.0,-3.02342,0.0256019,0.0559197,-0.0238819,5324,41,266200,0.972680747509
50.0,233.45007920265198,-7.73896944842,0.0,-3.03304,0.0386975,0.0596621,-0.0244523,5365,41,268250,0.940513174981
50.0,235.2199456691742,-8.23652119407,0.0,-3.07195,0.0532744,0.0618672,-0.00359117,5406,41,270300,0.975889695808
