loss_pol_surr,TimeElapsed,TimestepsSoFar,ev_tdlam_before,EpThisIter,EpRewMean,EpLenMean,loss_kl,loss_pol_entpen,EpisodesSoFar,loss_ent,loss_vf_loss
-0.00419644,75.76473236083984,95643,-0.00116467475891,2,804.34,804.34,0.0058029,0.0,879,0.961575,68.119
-0.00407885,77.37586879730225,97643,-0.00031566619873,2,819.35,819.35,0.00455022,0.0,881,0.954428,68.217
-0.00429615,78.96838045120239,99643,-0.00070583820343,2,838.16,838.16,0.00869403,0.0,883,0.951717,68.1984
-0.00410271,80.57774448394775,101643,-0.000182271003723,2,854.86,854.86,0.00356343,0.0,885,0.960255,68.2822
-0.00388411,82.17092657089233,103643,-0.000762939453125,2,870.79,870.79,0.00282426,0.0,887,0.999583,68.3138
-0.0070922,83.7661144733429,105643,-1.35898590088e-05,2,880.0,880.0,0.00405226,0.0,889,1.01049,39.0811
-0.0048644,85.37454533576965,107643,-0.0440518856049,2,893.15,893.15,0.00515444,0.0,891,1.01166,69.5915
-0.00504121,86.96417355537415,109643,-0.000272870063782,2,894.47,894.47,0.00627194,0.0,893,1.01219,68.7943
-0.00675436,88.57783460617065,111643,-0.00106918811798,2,894.47,894.47,0.0058536,0.0,895,1.024,68.9051
-0.00345992,90.18701338768005,114643,-0.000498056411743,3,894.47,894.47,0.00482647,0.0,898,1.02072,79.4192
-0.00294928,91.7967004776001,116643,-0.000404834747314,2,898.02,898.02,0.00816413,0.0,900,1.02141,68.5994
-0.00423797,93.39014387130737,118643,-0.000750541687012,2,902.01,902.01,0.00257835,0.0,902,1.0007,68.5836
-0.00538828,94.99922823905945,120643,0.255709171295,2,902.01,902.01,0.00594313,0.0,904,1.02528,52.6738
-0.00718395,96.59293746948242,122643,-0.00631034374237,2,916.73,916.73,0.00919303,0.0,906,1.04351,69.2355
-0.00416038,98.20305275917053,124643,-0.000598669052124,2,935.1,935.1,0.00707876,0.0,908,1.0656,69.1548
-0.00485783,99.79713797569275,126643,-0.000823974609375,2,935.1,935.1,0.00604328,0.0,910,1.05977,69.0137
-0.00391483,101.42183899879456,128643,-0.00178980827332,2,941.94,941.94,0.0048601,0.0,912,1.06033,68.8663
-0.00606494,103.03056216239929,130751,0.445034682751,3,933.02,933.02,0.00628685,0.0,915,1.05503,37.2003
-0.00571726,104.62431931495667,132609,0.581513136625,2,931.6,931.6,0.00483455,0.0,917,1.05157,36.7774
-0.0128255,106.233473777771,134825,0.478162944317,3,934.07,934.07,0.0105017,0.0,920,1.03837,69.1364
-0.00507039,107.82788920402527,136825,-0.0146621465683,2,934.07,934.07,0.00717291,0.0,922,1.03404,70.3251
-0.00365859,109.43674516677856,138818,0.755447417498,2,934.0,934.0,0.00773129,0.0,924,1.00736,29.481
-0.00401695,111.03121423721313,140818,-0.00976550579071,2,934.0,934.0,0.00536921,0.0,926,1.03278,70.8845
-0.00382507,112.62496066093445,142818,-0.0372483730316,2,934.0,934.0,0.00469433,0.0,928,1.03114,70.261
-0.00287875,114.22996020317078,144818,0.137306988239,2,942.57,942.57,0.00176071,0.0,930,1.02991,71.6069
-0.0108645,115.82743978500366,146818,-0.0172201395035,2,942.57,942.57,0.00706527,0.0,932,1.04556,68.0192
-0.00278163,117.43730878829956,148818,-0.00161898136139,2,947.98,947.98,0.00370906,0.0,934,1.04487,69.0107
-0.00438681,119.03137731552124,150818,-0.00183176994324,2,947.98,947.98,0.00823532,0.0,936,1.0528,68.8927
-0.00852456,120.63277673721313,153287,0.115327596664,3,957.24,957.24,0.00575497,0.0,939,1.05634,73.9759
-0.00958826,122.23392915725708,155580,0.486782252789,4,940.17,940.17,0.00365527,0.0,943,1.0106,69.6883
-0.00644682,123.84308958053589,157141,0.555580943823,3,925.78,925.78,0.00278258,0.0,946,0.993202,67.613
-0.00537435,125.43711066246033,159141,0.042310655117,2,925.78,925.78,0.00429884,0.0,948,1.00419,65.2701
-0.00566807,127.04727911949158,160799,0.0380588769913,2,922.36,922.36,0.0042741,0.0,950,0.996393,62.6379
-0.00834684,128.64345121383667,163799,0.0708965063095,3,927.02,927.02,0.00776729,0.0,953,0.991193,67.1026
-0.00608908,130.25003218650818,165799,0.0990601181984,2,927.02,927.02,0.00892555,0.0,955,0.980831,54.9945
-0.00394299,131.84360146522522,167799,-0.0121496915817,2,936.68,936.68,0.00561111,0.0,957,0.981136,69.7742
-0.00219269,133.46784019470215,169799,-0.00321483612061,2,936.68,936.68,0.00740236,0.0,959,0.978002,69.6522
