#{"t_start": 1536418650.214912, "env_id": "InvertedPendulum-v2"}
r,l,t
5.0,5,1.149262
15.0,15,1.164889
4.0,4,1.164889
4.0,4,1.164889
20.0,20,1.180514
6.0,6,1.180514
6.0,6,1.180514
3.0,3,1.180514
14.0,14,1.196137
4.0,4,1.196137
5.0,5,1.196137
16.0,16,1.211763
11.0,11,1.211763
13.0,13,1.211763
5.0,5,1.227388
18.0,18,1.227388
5.0,5,1.227388
11.0,11,1.243013
11.0,11,1.243013
6.0,6,1.243013
5.0,5,1.243013
4.0,4,1.243013
7.0,7,1.258639
4.0,4,1.258639
6.0,6,1.258639
16.0,16,1.274263
14.0,14,1.274263
11.0,11,1.274263
6.0,6,1.289887
13.0,13,1.289887
24.0,24,1.305513
9.0,9,1.305513
5.0,5,1.305513
11.0,11,1.305513
5.0,5,1.321138
8.0,8,1.321138
8.0,8,1.321138
6.0,6,1.321138
7.0,7,1.336761
6.0,6,1.336761
8.0,8,1.336761
4.0,4,1.336761
4.0,4,1.336761
5.0,5,1.336761
5.0,5,1.352388
11.0,11,1.352388
3.0,3,1.352388
10.0,10,1.352388
7.0,7,1.368011
10.0,10,1.368011
12.0,12,1.368011
7.0,7,1.383638
4.0,4,1.383638
9.0,9,1.383638
7.0,7,1.383638
11.0,11,1.399261
6.0,6,1.399261
10.0,10,1.399261
8.0,8,1.399261
4.0,4,1.399261
11.0,11,1.414888
4.0,4,1.414888
12.0,12,1.414888
5.0,5,1.430513
6.0,6,1.430513
7.0,7,1.430513
10.0,10,1.430513
12.0,12,1.446137
4.0,4,1.446137
7.0,7,1.446137
7.0,7,1.446137
7.0,7,1.446137
13.0,13,1.461763
5.0,5,1.461763
5.0,5,1.461763
11.0,11,1.477387
6.0,6,1.477387
13.0,13,1.477387
5.0,5,1.477387
5.0,5,1.493012
13.0,13,1.493012
5.0,5,1.493012
5.0,5,1.493012
4.0,4,1.493012
11.0,11,1.508637
5.0,5,1.508637
3.0,3,1.508637
8.0,8,1.508637
9.0,9,1.524262
9.0,9,1.524262
11.0,11,1.524262
5.0,5,1.524262
9.0,9,1.539886
11.0,11,1.539886
6.0,6,1.539886
10.0,10,1.555512
7.0,7,1.555512
12.0,12,1.555512
6.0,6,1.555512
9.0,9,1.571137
8.0,8,1.571137
13.0,13,1.571137
10.0,10,1.586762
21.0,21,1.586762
8.0,8,1.586762
7.0,7,1.602387
4.0,4,1.602387
14.0,14,1.602387
5.0,5,1.602387
12.0,12,1.618012
4.0,4,1.618012
5.0,5,1.618012
10.0,10,1.618012
4.0,4,1.633636
6.0,6,1.633636
8.0,8,1.633636
8.0,8,1.633636
5.0,5,1.633636
3.0,3,1.649262
5.0,5,1.649262
7.0,7,1.649262
4.0,4,1.649262
5.0,5,1.649262
5.0,5,1.649262
12.0,12,1.664886
7.0,7,1.664886
4.0,4,1.664886
15.0,15,1.680512
9.0,9,1.680512
7.0,7,1.680512
9.0,9,1.680512
