ev_tdlam_before,loss_pol_surr,loss_pol_entpen,EpRewMean,loss_vf_loss,TimeElapsed,loss_kl,loss_ent,TimestepsSoFar,EpisodesSoFar,EpLenMean,EpThisIter
0.994170171674,-0.038746,0.0,254.482715471,4.48712,100.57003450393677,0.0109084,7.28334,96195,891,142.44,14
0.991207411513,-0.0414536,0.0,254.896835275,4.3525,102.72557997703552,0.0156086,7.28531,98181,906,141.76,15
0.994980379939,-0.04314,0.0,257.373940803,3.72385,104.86808633804321,0.0145542,7.27107,100227,920,142.39,14
0.996797084808,-0.0384443,0.0,260.360437331,2.19246,107.00060224533081,0.0109575,7.27196,102268,934,143.64,14
0.995744104031,-0.0428497,0.0,261.920600638,3.2409,109.13270282745361,0.013816,7.22728,104392,949,143.93,15
0.997449334478,-0.0387037,0.0,261.634561094,1.75211,111.3203010559082,0.0131759,7.19607,106400,963,143.24,14
0.996974110603,-0.0383472,0.0,263.671584667,1.89695,113.46893095970154,0.0140677,7.17828,108496,976,144.29,13
0.997969701886,-0.043711,0.0,265.891524091,1.7031,115.61073422431946,0.0163289,7.12568,110554,990,145.14,14
0.996213146253,-0.040282,0.0,270.43479254,2.92812,117.76838827133179,0.0160972,7.12024,112601,1003,148.18,13
0.995790079236,-0.0460742,0.0,269.923257722,2.63788,119.92851638793945,0.0151964,7.10285,114585,1017,148.03,14
0.995998425409,-0.0438958,0.0,269.377349572,2.53312,122.08469319343567,0.0123709,7.10092,116726,1032,147.6,15
0.996085550636,-0.042614,0.0,270.894395311,2.77937,124.24291467666626,0.0127427,7.11427,118659,1045,148.57,13
0.994503230322,-0.0409003,0.0,271.284560632,2.66397,126.3813066482544,0.0180798,7.09677,120691,1059,148.6,14
0.996653729584,-0.0432576,0.0,271.819938925,2.07583,128.54728770256042,0.0130707,7.09166,122790,1072,148.99,13
0.996041366365,-0.0476612,0.0,271.188751813,2.5587,130.71902441978455,0.0152434,7.02623,124768,1085,148.75,13
0.997563231038,-0.0438187,0.0,272.334027744,1.8992,132.89353942871094,0.0132436,7.02423,126951,1099,149.12,14
0.996091085486,-0.0436747,0.0,274.043130331,2.67627,135.03850150108337,0.0120231,6.9673,128949,1112,150.5,13
0.996347621549,-0.0478463,0.0,277.038074836,2.94345,137.16461062431335,0.0140766,6.93162,130949,1125,152.2,13
0.99559455039,-0.0472132,0.0,278.215360561,2.96927,139.31249737739563,0.0125989,6.88542,133068,1139,153.27,14
0.977311691269,-0.0267585,0.0,280.394356048,3.35121,141.46935391426086,0.0129072,6.9163,135118,1151,157.03,12
