TimestepsSoFar,EpRewMean,EpisodesSoFar,loss_pol_entpen,loss_vf_loss,loss_kl,TimeElapsed,loss_ent,ev_tdlam_before,loss_pol_surr,EpThisIter,EpLenMean
96071,622.846621569,953,0.0,57.7132,0.00926631,107.29602313041687,3.31681,0.97459978424,-0.0218973,9,199.17
98204,637.977505261,963,0.0,92.6475,0.0162802,109.43829274177551,3.30833,0.961289618164,-0.0288573,10,203.32
100311,660.903589515,972,0.0,42.0558,0.0131409,111.69495439529419,3.26288,0.985275315121,-0.028023,9,209.03
102305,676.282265136,981,0.0,46.8487,0.0129927,114.00763535499573,3.24229,0.977967621759,-0.0262111,9,212.98
104210,685.273681399,990,0.0,181.521,0.00995694,116.34617233276367,3.23828,0.883380845189,-0.0209943,9,215.36
106324,704.829358383,999,0.0,31.2377,0.0118996,118.63557076454163,3.19247,0.983812723309,-0.0259917,9,220.28
108496,716.244526515,1008,0.0,28.4732,0.014803,121.05616927146912,3.16222,0.986699169502,-0.0251807,9,222.54
110564,721.561702521,1017,0.0,34.7221,0.0156186,123.43837833404541,3.14691,0.984459649771,-0.0309956,9,223.79
112622,740.177672978,1025,0.0,25.679,0.00979634,125.88502669334412,3.11094,0.986628050916,-0.0264221,8,228.73
114491,740.009808339,1033,0.0,36.697,0.0117538,128.40807485580444,3.07236,0.986798111349,-0.0286608,8,229.04
116636,743.067860144,1042,0.0,22.2647,0.0133326,130.97615337371826,3.0391,0.990242108703,-0.0267656,9,229.83
118708,754.494343507,1050,0.0,22.865,0.01265,133.42254209518433,3.02058,0.989370175637,-0.02735,8,232.96
120806,768.157530658,1058,0.0,15.188,0.0119715,135.89930486679077,2.98966,0.99287692178,-0.0250525,8,236.68
122695,783.280235466,1065,0.0,31.8719,0.0129033,138.03937911987305,3.02427,0.986330170184,-0.0287766,7,240.68
124858,792.477704225,1073,0.0,95.099,0.00991381,140.18213295936584,3.02118,0.935863606632,-0.0225013,8,243.53
126761,805.505548178,1080,0.0,25.758,0.00970567,142.28199696540833,2.99743,0.98664505966,-0.0252902,7,246.94
128922,822.453574499,1088,0.0,25.3273,0.0125292,144.35120177268982,2.9604,0.989775481634,-0.0293489,8,251.6
130903,832.344092087,1095,0.0,23.4103,0.00965974,146.47275567054749,2.94784,0.991296257824,-0.0262699,7,254.58
132942,845.855079606,1102,0.0,22.6455,0.00967103,148.58643555641174,2.93218,0.990534231998,-0.0253209,7,259.18
134996,859.788027555,1109,0.0,21.9962,0.0116442,150.7303683757782,2.89991,0.991388921626,-0.029538,7,263.15
137024,871.003012526,1116,0.0,24.965,0.0125394,152.82856106758118,2.89415,0.989823669195,-0.0265913,7,266.33
138995,877.305064738,1123,0.0,32.9072,0.00862411,154.93756413459778,2.86261,0.986448457465,-0.0264604,7,268.45
141043,893.313576991,1130,0.0,31.1076,0.0136387,157.03921008110046,2.85504,0.981094622985,-0.0257761,7,272.41
143323,916.585581322,1137,0.0,23.3819,0.0146137,159.17135882377625,2.83105,0.987364768982,-0.0267995,7,278.73
145191,932.742516041,1143,0.0,16.3832,0.0105172,161.2961802482605,2.81703,0.990315128118,-0.0260038,6,283.49
147242,941.442240828,1150,0.0,18.9184,0.0119987,163.40693187713623,2.81749,0.994268611539,-0.0292991,7,285.34
149471,953.767656115,1157,0.0,16.3876,0.012269,165.55729293823242,2.8035,0.993395018391,-0.0301914,7,289.2
151359,964.036898874,1163,0.0,22.9101,0.0102611,167.84411764144897,2.80686,0.990824290551,-0.020535,6,291.89
153510,970.884927035,1170,0.0,26.4554,0.0134311,170.12656927108765,2.79771,0.990708788857,-0.0305965,7,293.82
155570,991.363631943,1176,0.0,26.7666,0.0108188,172.461110830307,2.75613,0.989761303179,-0.0300126,6,298.96
157516,1012.81893156,1181,0.0,22.1962,0.00941946,174.80504846572876,2.75048,0.986220975406,-0.025704,5,304.71
159472,1023.61056272,1187,0.0,28.1837,0.0120153,177.21148443222046,2.76135,0.987968447618,-0.0257226,6,307.52
161631,1045.07006035,1193,0.0,19.9757,0.0131886,179.64879298210144,2.72916,0.991835606284,-0.0294009,6,312.84
163802,1062.96466797,1199,0.0,14.8016,0.0087072,182.07025599479675,2.72989,0.994415776338,-0.027873,6,317.04
165835,1085.7949354,1204,0.0,18.6841,0.0125681,184.62656354904175,2.66715,0.993123828899,-0.0301024,5,322.72
167889,1108.09922825,1209,0.0,24.7549,0.0167367,187.07018494606018,2.66699,0.990895822644,-0.0256829,5,328.93
169665,1117.97859089,1214,0.0,19.3526,0.0111933,189.59386014938354,2.65062,0.991994327866,-0.0319438,5,331.6
171811,1148.02624699,1219,0.0,31.5852,0.0143426,191.92328882217407,2.67356,0.989989255555,-0.0309027,5,339.25
174001,1176.93673922,1224,0.0,18.0476,0.0119003,194.05554938316345,2.68414,0.992406313308,-0.0274793,5,346.7
175894,1191.6214684,1229,0.0,21.7494,0.0106525,196.19484686851501,2.69785,0.9861027468,-0.0236549,5,351.16
177807,1215.7288648,1233,0.0,10.9949,0.0110945,198.25773215293884,2.66945,0.993506879546,-0.0239758,4,357.94
180222,1225.26233935,1240,0.0,20.2366,0.0146519,200.35128569602966,2.65144,0.990571768954,-0.0270367,7,360.08
182260,1242.44003417,1245,0.0,15.3457,0.015853,202.44502472877502,2.62564,0.994423908647,-0.0319391,5,364.6
184062,1257.12780193,1250,0.0,11.6054,0.0144751,204.5704951286316,2.61881,0.994248462375,-0.0278841,5,368.2
186235,1283.11479218,1255,0.0,23.3928,0.0131184,206.6969964504242,2.61167,0.992017644458,-0.0252511,5,374.8
188253,1298.1638446,1260,0.0,10.6994,0.0120024,208.79283118247986,2.60606,0.995676045306,-0.0315286,5,378.29
190380,1321.07877292,1265,0.0,10.8086,0.0123941,210.87605571746826,2.61067,0.994257264305,-0.0307701,5,384.09
192305,1335.77150403,1270,0.0,40.7085,0.0155825,213.02306032180786,2.64274,0.977332768962,-0.0238795,5,387.95
194528,1351.40076138,1275,0.0,15.9031,0.0125022,215.14822673797607,2.60052,0.991564736702,-0.0281216,5,392.42
196594,1361.90352974,1280,0.0,11.0081,0.0140673,217.28870344161987,2.58042,0.995133888908,-0.0247616,5,394.53
198290,1386.09931038,1283,0.0,6.17786,0.010626,219.4293975830078,2.59494,0.996858421015,-0.0281901,3,400.91
200668,1400.86125298,1289,0.0,22.5415,0.0124228,221.66857886314392,2.60725,0.982313012704,-0.0255654,6,404.59
202540,1408.71260098,1294,0.0,13.9957,0.0136424,223.95361375808716,2.57361,0.993397068232,-0.0320424,5,406.98
204555,1401.75003941,1300,0.0,17.0064,0.0131833,226.27501106262207,2.53936,0.994425057899,-0.0321617,6,404.27
206526,1398.82250663,1305,0.0,18.1629,0.0169499,228.51652359962463,2.53919,0.990197128616,-0.0274143,5,403.16
208860,1384.35879923,1312,0.0,10.9936,0.0166012,230.89895844459534,2.51833,0.994777339511,-0.0334757,7,398.12
210793,1387.08439055,1317,0.0,74.915,0.0195042,233.30494666099548,2.48543,0.975377140567,-0.0268168,5,398.88
212758,1347.4448666,1324,0.0,11.4765,0.0134343,235.7661566734314,2.47837,0.993944402784,-0.0319822,7,387.57
214945,1362.8035024,1329,0.0,10.3388,0.01334,238.22669434547424,2.44817,0.995146744419,-0.0283265,5,390.51
216857,1335.61105593,1335,0.0,10.6199,0.0174809,240.72681975364685,2.42131,0.996020691004,-0.0336658,6,382.08
218999,1308.63049279,1343,0.0,256.951,0.0121376,243.17133235931396,2.41483,0.799127832055,-0.0224975,8,374.19
221104,1296.58558718,1350,0.0,88.7643,0.0135952,245.60996747016907,2.40385,0.962656822056,-0.0273354,7,370.42
222910,1284.69865693,1355,0.0,38.2614,0.0191604,248.0699656009674,2.41629,0.978956118226,-0.0224507,5,366.75
225223,1297.07283067,1360,0.0,10.8158,0.0158997,250.39224290847778,2.37674,0.995755456854,-0.0357083,5,369.7
227015,1287.65428623,1365,0.0,18.7548,0.0137662,252.758282661438,2.3678,0.993452704977,-0.0334874,5,366.35
229256,1289.37714353,1371,0.0,15.6261,0.0156788,255.08622002601624,2.35044,0.993506081402,-0.0329433,6,365.72
231404,1270.36927415,1377,0.0,17.5181,0.0153363,257.449013710022,2.3573,0.995235796086,-0.0315384,6,359.37
233096,1260.64234969,1382,0.0,25.8634,0.0144458,259.76588344573975,2.34397,0.990904021077,-0.0309059,5,356.44
