EpThisIter,TimestepsSoFar,loss_pol_surr,loss_ent,TimeElapsed,EpisodesSoFar,loss_kl,EpLenMean,ev_tdlam_before,loss_vf_loss,EpRewMean,loss_pol_entpen
10,96113,-0.0298989,3.30754,99.00702905654907,975,0.0107878,192.84,0.985260553658,23.9795,608.598895191,0.0
11,98168,-0.0257141,3.2953,101.078293800354,986,0.011318,192.75,0.986987138167,22.5507,609.963120173,0.0
11,100253,-0.0254232,3.30888,103.19189691543579,997,0.0130494,192.61,0.991113504395,23.462,609.093025964,0.0
11,102387,-0.0279024,3.29583,105.26480865478516,1008,0.0125328,193.76,0.977919684723,38.9058,612.875895931,0.0
10,104357,-0.0295461,3.24761,107.3588650226593,1018,0.0120684,193.99,0.991432661191,17.2349,615.610177529,0.0
10,106405,-0.0272825,3.23182,109.4371018409729,1028,0.00992235,194.65,0.989463585429,22.5941,618.542094415,0.0
10,108444,-0.0304095,3.22521,111.51803517341614,1038,0.0100918,195.08,0.993456096388,11.5894,620.664945812,0.0
10,110460,-0.0252939,3.19846,113.61756658554077,1048,0.0108038,195.82,0.992102416232,15.5641,623.487101064,0.0
11,112599,-0.0284447,3.19577,115.70314478874207,1059,0.0123238,195.69,0.994910359848,11.5903,623.532189662,0.0
10,114639,-0.0258378,3.16154,117.78472757339478,1069,0.0122018,197.15,0.992470221594,14.033,629.639532426,0.0
10,116599,-0.028985,3.13769,119.85200667381287,1079,0.0101719,197.34,0.995363905095,12.9648,630.958448004,0.0
11,118720,-0.0240304,3.1394,121.95263338088989,1090,0.0114831,197.9,0.992451379541,19.1509,636.413445599,0.0
10,120729,-0.0286947,3.12831,124.01535820960999,1100,0.0125774,198.9,0.995357694104,9.71849,640.304919331,0.0
9,122715,-0.0210539,3.10505,126.1092278957367,1109,0.0105589,201.46,0.988463054411,16.7745,649.968023508,0.0
10,124799,-0.0278795,3.10677,128.17992115020752,1119,0.0104828,202.65,0.993754553143,12.5538,655.007294559,0.0
10,126871,-0.0260945,3.06905,130.2496566772461,1129,0.00735633,202.38,0.994359172415,13.0337,656.374211586,0.0
10,128881,-0.0256844,3.07202,132.32761812210083,1139,0.0105515,202.24,0.994101752527,7.02347,658.130048985,0.0
10,131050,-0.0317064,3.06521,134.40539598464966,1149,0.0144037,204.31,0.986036298797,18.4154,665.984399502,0.0
9,132982,-0.0243411,3.08061,136.4999270439148,1158,0.00641674,205.76,0.995054110885,11.8892,672.323896542,0.0
9,134963,-0.0299112,3.05994,138.55391454696655,1167,0.0126808,207.03,0.993835877627,16.0457,676.360310131,0.0
10,137138,-0.0277925,3.07019,140.64396262168884,1177,0.011465,208.95,0.995175556745,12.2981,683.549222332,0.0
9,139095,-0.0326388,3.03865,142.72617173194885,1186,0.015032,211.89,0.993041757029,15.1424,694.043573461,0.0
10,141156,-0.026254,3.01357,144.8372242450714,1196,0.0100058,212.25,0.978780765086,38.8422,694.795141247,0.0
9,143170,-0.0253097,3.0,146.9209747314453,1205,0.0103967,213.01,0.993376330938,20.8757,698.458568716,0.0
9,145174,-0.0298077,2.97259,148.98359298706055,1214,0.0118766,214.79,0.994479382876,14.5776,706.316008846,0.0
10,147379,-0.0321467,2.96643,151.06274795532227,1224,0.0133332,215.85,0.993475289084,20.4934,710.119979349,0.0
9,149392,-0.0276093,2.95972,153.13886284828186,1233,0.0122146,217.42,0.993403574917,19.2425,715.348950024,0.0
8,151348,-0.0280949,2.95998,155.21878695487976,1241,0.0116656,219.9,0.993769671302,12.3174,723.627302363,0.0
9,153443,-0.0309782,2.93471,157.28689408302307,1250,0.0121284,221.59,0.994406744372,14.9761,729.83614109,0.0
9,155518,-0.0322712,2.91396,159.35917854309082,1259,0.0097389,222.67,0.994413527194,13.3457,732.824672885,0.0
9,157679,-0.027775,2.91202,161.45307660102844,1268,0.0122906,225.09,0.993861936033,14.496,743.313021177,0.0
8,159633,-0.0237958,2.91522,163.57219696044922,1276,0.011408,227.11,0.944485023618,105.395,748.94807819,0.0
8,161749,-0.0311833,2.88703,165.68717288970947,1284,0.0143577,230.94,0.993589516263,13.8345,761.603671024,0.0
