EpThisIter,EpLenMean,EpisodesSoFar,EpRewMean,ev_tdlam_before,loss_ent,TimestepsSoFar,loss_pol_entpen,loss_vf_loss,TimeElapsed,loss_kl,loss_pol_surr
13,154.65,1004,465.550523085,0.986994693987,3.65922,94162,0.0,33.9965,103.95274901390076,0.00926398,-0.0256233
12,158.24,1016,479.586871256,0.989352378063,3.63486,96183,0.0,25.9574,106.21583080291748,0.0113302,-0.0293694
10,163.6,1026,498.56589275,0.98731401749,3.59255,98168,0.0,23.689,108.53163743019104,0.00825098,-0.0257011
10,168.94,1036,516.916051544,0.990291285329,3.56443,100159,0.0,22.1507,110.92463874816895,0.0122696,-0.0265994
11,174.82,1047,538.138489085,0.988546947949,3.5689,102344,0.0,20.5165,113.32808136940002,0.0102198,-0.026348
10,178.51,1057,550.430626795,0.98190173693,3.55916,104273,0.0,44.6333,115.68999528884888,0.011832,-0.0262356
10,182.41,1067,564.477498581,0.989781300537,3.50618,106277,0.0,26.4185,118.13631820678711,0.00954058,-0.0280005
10,187.02,1077,580.927674071,0.990716339089,3.46205,108358,0.0,19.5585,120.56390070915222,0.00917485,-0.0268592
11,190.87,1088,594.39925604,0.990692724474,3.44884,110553,0.0,24.024,123.03509831428528,0.00931975,-0.0223086
9,195.42,1097,612.03467603,0.991093590856,3.44068,112536,0.0,17.6356,125.51522088050842,0.0130552,-0.0204176
9,199.25,1106,626.531002866,0.990339093842,3.39402,114462,0.0,21.341,127.9997136592865,0.0118437,-0.0242422
10,205.22,1116,650.171548922,0.99314516969,3.39319,116705,0.0,18.7996,130.5237591266632,0.0137441,-0.0233803
9,207.23,1125,659.003582337,0.990803795867,3.3873,118741,0.0,12.5218,133.02390480041504,0.00985495,-0.0252763
9,209.27,1134,666.68437648,0.98935658671,3.34261,120681,0.0,22.5222,135.42195081710815,0.012413,-0.0314216
10,211.57,1144,676.920135643,0.993724090979,3.34834,122857,0.0,13.35,137.6400957107544,0.0110169,-0.027228
9,213.24,1153,684.87601039,0.989689255133,3.30535,124793,0.0,25.5051,139.75824880599976,0.0128554,-0.0312185
10,214.61,1163,690.169742264,0.934258773923,3.31106,126938,0.0,207.911,141.8673415184021,0.0134466,-0.0185285
9,216.08,1172,697.660417728,0.974256109446,3.2958,128977,0.0,31.7964,144.00712752342224,0.00987335,-0.0212354
