loss_vf_loss,loss_pol_surr,EpisodesSoFar,EpThisIter,TimestepsSoFar,ev_tdlam_before,loss_ent,EpRewMean,loss_pol_entpen,TimeElapsed,EpLenMean,loss_kl
25.2798,-0.0419046,877,11,94091,0.967391852289,7.2984,332.013155497,0.0,94.50144672393799,178.57,0.0176573
16.8632,-0.0454535,889,12,96231,0.980142412707,7.27561,336.897473919,0.0,96.53394341468811,178.19,0.0167897
26.3277,-0.0439234,901,12,98269,0.971349162981,7.23026,337.629226849,0.0,98.60228300094604,176.99,0.0115091
20.8435,-0.0483428,913,12,100210,0.978427084163,7.21845,339.815272722,0.0,100.64097714424133,176.93,0.0126379
23.6979,-0.0437148,926,13,102373,0.980554830283,7.19193,341.660984701,0.0,102.69008040428162,174.94,0.0160911
23.426,-0.0372704,937,11,104341,0.961366582662,7.13801,348.617822863,0.0,104.75789403915405,176.83,0.0173871
26.1106,-0.0418229,949,12,106458,0.965801309794,7.11652,350.781990311,0.0,106.80474829673767,175.32,0.016836
23.3922,-0.0483209,960,11,108330,0.978818016127,7.12566,351.43369932,0.0,108.85186743736267,173.35,0.0146084
30.2758,-0.0425614,973,13,110533,0.969622123986,7.09216,351.353129977,0.0,110.89741849899292,171.59,0.0150101
28.2688,-0.0396709,984,11,112456,0.965157512575,7.03571,355.050109048,0.0,112.962242603302,172.08,0.0161904
22.6941,-0.0518722,996,12,114574,0.97849926725,7.00151,361.790020634,0.0,114.99980807304382,172.34,0.0133439
35.1165,-0.0451738,1008,12,116732,0.970390060917,6.95622,365.890109025,0.0,117.04686212539673,174.0,0.0140874
26.845,-0.0490551,1021,13,118778,0.977972531691,6.9119,367.195131799,0.0,119.08693599700928,172.53,0.0175987
34.5819,-0.0502773,1033,12,120793,0.969085494056,6.88808,371.683767112,0.0,121.12506008148193,172.7,0.0169348
35.7844,-0.0478293,1044,11,122732,0.971629215404,6.89789,378.616917103,0.0,123.17208909988403,171.53,0.0139698
43.8396,-0.0470435,1055,11,124816,0.965065512806,6.84363,389.381994195,0.0,125.21906566619873,174.27,0.0134376
31.9912,-0.0442798,1066,11,126722,0.966979935765,6.83217,391.009513421,0.0,127.26921963691711,173.03,0.0152966
51.7482,-0.0523351,1079,13,128955,0.965284120291,6.75578,397.886157753,0.0,129.32796168327332,174.43,0.0155813
34.9594,-0.0532803,1091,12,131010,0.971366476268,6.73702,403.461649298,0.0,131.3746259212494,173.04,0.0157962
46.9728,-0.0483411,1102,11,133089,0.963155180216,6.7068,407.436957962,0.0,133.40998792648315,174.42,0.0137481
66.5344,-0.0485194,1115,13,135108,0.947287090123,6.67682,408.977443404,0.0,135.46358442306519,172.29,0.0140408
42.6022,-0.0483928,1126,11,137114,0.963792569935,6.63605,417.22126908,0.0,137.5080599784851,175.22,0.0161949
60.0642,-0.0467709,1138,12,139131,0.962194073945,6.60693,418.863100685,0.0,139.56240153312683,174.83,0.019735
31.3802,-0.0489117,1151,13,141222,0.979840351269,6.56514,413.490186727,0.0,141.608957529068,171.78,0.0154834
52.9458,-0.048024,1164,13,143293,0.96812126413,6.56108,410.587077989,0.0,143.6409571170807,169.09,0.0191518
47.8748,-0.0469862,1177,13,145377,0.969208104536,6.54403,408.655618171,0.0,145.7062497138977,167.01,0.0169029
39.5355,-0.050855,1187,10,147355,0.969810245559,6.53498,417.559816434,0.0,147.74160718917847,170.57,0.0156851
40.2739,-0.0536455,1199,12,149409,0.973769422621,6.50162,416.287649418,0.0,149.80519342422485,168.74,0.0180963
44.5382,-0.0506429,1211,12,151518,0.97219681181,6.46067,421.587290786,0.0,151.8283989429474,169.68,0.017182
