#{"t_start": 1536351500.644577, "env_id": "Walker2d-v2"}
r,l,t
1.304546,12,1.164018
1.167676,19,1.179643
-2.050538,13,1.179643
0.629392,12,1.195268
1.885887,17,1.210894
-1.485147,22,1.226518
-2.133959,20,1.226518
3.377875,13,1.242143
-2.429186,12,1.257768
-1.224373,11,1.257768
-7.258377,13,1.273393
0.6379,11,1.273393
-0.166688,12,1.289018
2.023191,27,1.304643
-10.726519,14,1.304643
8.167828,32,1.335949
-3.425096,28,1.351518
-3.308033,16,1.367142
2.457164,16,1.367142
-3.596592,9,1.382767
0.821704,16,1.382767
9.893458,25,1.398392
1.935434,24,1.414017
4.865933,21,1.429642
0.226774,9,1.445268
-2.292776,22,1.460892
-1.865809,23,1.476518
-8.758351,20,1.492142
-3.693986,17,1.492142
-1.494497,10,1.507767
12.507407,24,1.526491
-9.109718,17,1.531537
2.736737,16,1.547164
12.853197,54,1.578414
-6.969092,14,1.594039
-2.434905,16,1.594039
-3.7653,12,1.609665
-5.589805,20,1.625301
-1.205993,11,1.625301
2.301085,28,1.640914
-3.609196,11,1.656539
-0.730158,10,1.656539
-4.229524,11,1.672164
-10.834662,16,1.672164
4.733655,23,1.687849
2.011568,13,1.703414
-5.976831,15,1.719039
4.357412,16,1.719039
8.796104,20,1.734664
-0.550766,12,1.750289
-1.776279,14,1.750289
-6.462592,13,1.765914
-4.236436,12,1.765914
7.675635,36,1.797163
2.177752,18,1.812789
-1.58619,12,1.812789
0.168949,30,1.828417
-0.016783,10,1.844038
-5.773078,16,1.844038
-3.03454,15,1.859663
-1.201695,13,1.87535
3.362726,19,1.890924
-0.114028,13,1.890924
-4.25459,10,1.906539
-8.023662,19,1.906539
-3.709412,23,1.922163
-9.517376,20,1.937788
-0.619754,10,1.953413
0.465579,11,1.953413
-12.768547,15,1.969038
7.739264,28,1.984663
-0.3641,22,2.000288
-0.873834,21,2.015913
-2.497144,23,2.031538
2.334057,19,2.047163
1.25341,26,2.062788
-4.976467,17,2.062788
2.203232,31,2.094038
-6.491171,12,2.094038
-1.797389,8,2.109663
4.018451,19,2.109663
-0.241973,13,2.125288
-1.900492,12,2.125288
-4.572665,17,2.140913
0.244811,11,2.156538
-2.995616,22,2.172162
3.43285,13,2.172162
-10.205086,20,2.187788
-5.125209,16,2.203412
-0.022405,15,2.203412
1.234779,11,2.219038
-2.08315,27,2.234663
-1.822311,11,2.234663
-7.066203,21,2.250287
-1.325332,14,2.265912
-0.696518,9,2.265912
-2.329885,15,2.281537
-0.931377,9,2.281537
