loss_ent,EpRewMean,TimestepsSoFar,EpLenMean,ev_tdlam_before,loss_pol_surr,loss_vf_loss,EpThisIter,loss_kl,EpisodesSoFar,loss_pol_entpen,TimeElapsed
2.82569,14.2469074906,2000,1000.0,-0.0867611169815,-0.0239446,8.24995,2,0.01268,2,0.0,2.015256643295288
2.79177,8.74860564114,4000,1000.0,0.211070716381,-0.0265706,9.39667,2,0.0139225,4,0.0,3.765961170196533
2.74678,11.3582410379,6000,1000.0,0.452014923096,-0.028066,5.17925,2,0.0137352,6,0.0,5.531224012374878
2.72737,14.5372544796,8000,1000.0,0.289856255054,-0.0245764,7.67219,2,0.0116263,8,0.0,7.303155899047852
2.69785,13.8553219331,10000,1000.0,0.47213280201,-0.0199699,3.23395,2,0.0112102,10,0.0,9.09412693977356
2.66464,15.4519485942,12000,1000.0,0.746839433908,-0.0143384,0.62991,2,0.0074315,12,0.0,10.858988285064697
2.65956,16.9497060597,14000,1000.0,0.664467513561,-0.0185186,1.50609,2,0.0134564,14,0.0,12.65638279914856
2.61317,17.2283383849,16000,1000.0,0.785644799471,-0.0172326,1.18862,2,0.0114716,16,0.0,14.422261238098145
2.58743,17.9223885223,18000,1000.0,0.851542651653,-0.0106075,0.353477,2,0.00809215,18,0.0,16.21875810623169
2.55516,18.3428666343,20000,1000.0,0.915247760713,-0.0110033,0.378837,2,0.00698446,20,0.0,18.000561475753784
2.55484,18.5214582059,22000,1000.0,0.965546414256,-0.0129512,0.0941284,2,0.00830529,22,0.0,19.797542095184326
2.48867,19.0477978885,24000,1000.0,0.925969339907,-0.0178408,0.286637,2,0.0115453,24,0.0,21.577842950820923
2.44576,19.1930957933,26000,1000.0,0.98187659122,-0.0141024,0.0813394,2,0.00711838,26,0.0,23.36888551712036
2.44743,19.7042338748,28000,1000.0,0.98127474077,-0.0192429,0.0708982,2,0.0105945,28,0.0,25.15635919570923
2.44776,20.1295915764,30000,1000.0,0.987727747299,-0.0105583,0.074983,2,0.0116868,30,0.0,26.937332153320312
2.39486,20.7674883345,32000,1000.0,0.98678111285,-0.0142362,0.0431979,2,0.00697776,32,0.0,28.75012707710266
2.34587,21.4979041329,34000,1000.0,0.992055301555,-0.0154069,0.038112,2,0.0101213,34,0.0,30.531343460083008
2.32105,22.020455254,36000,1000.0,0.990443920717,-0.0132438,0.0415998,2,0.00778923,36,0.0,32.34516930580139
2.31522,22.6204484516,38000,1000.0,0.994009457063,-0.0185639,0.0264598,2,0.00694447,38,0.0,34.109861850738525
2.33846,22.7579632919,40000,1000.0,0.921285092831,-0.0171586,0.555794,2,0.00821687,40,0.0,35.90650939941406
2.32286,23.4635671878,43000,1000.0,0.951814290136,-0.0158037,0.296341,3,0.00680597,43,0.0,37.687838077545166
2.31336,23.8319291742,45000,1000.0,0.964176494628,-0.0130107,0.172742,2,0.00809106,45,0.0,39.48412561416626
2.26682,24.3365045587,47000,1000.0,0.991259512492,-0.0160988,0.054636,2,0.00901708,47,0.0,41.281060218811035
2.25066,24.7222680042,49000,1000.0,0.99180343654,-0.0149042,0.0518069,2,0.00363339,49,0.0,43.094311475753784
2.22906,25.269815697,51000,1000.0,0.995379797649,-0.0167058,0.0294298,2,0.0061311,51,0.0,44.890247106552124
