TimeElapsed,ev_tdlam_before,EpThisIter,loss_pol_entpen,EpisodesSoFar,loss_kl,loss_ent,EpRewMean,TimestepsSoFar,EpLenMean,loss_pol_surr,loss_vf_loss
2.4587996006011963,0.0366970896721,103,0.0,103,0.0145847,4.20918,15.6123491287,2003,19.5,-0.0278267,40.4594
4.582363605499268,0.412178754807,75,0.0,178,0.021927,4.18874,25.7450004262,4080,25.96,-0.0428339,69.4029
6.702374219894409,0.247576832771,44,0.0,222,0.0140747,4.20248,46.1706615151,6124,35.81,-0.0343755,134.123
8.788829565048218,0.140023171902,35,0.0,257,0.0126424,4.19306,68.7052395204,8141,45.57,-0.0305871,202.571
10.842739343643188,0.0130046606064,25,0.0,282,0.0106898,4.18252,101.723642048,10188,59.67,-0.0299145,239.918
12.91358232498169,0.368637740612,22,0.0,304,0.00921664,4.16763,128.307217626,12248,69.91,-0.028146,222.196
14.97622275352478,0.610714107752,20,0.0,324,0.00741524,4.17243,157.164738914,14252,80.79,-0.0218362,220.893
17.077094793319702,0.683973938227,21,0.0,345,0.00778605,4.16712,179.083724696,16368,88.62,-0.0251624,189.396
19.140383005142212,0.779062390327,19,0.0,364,0.00847933,4.17393,200.061715385,18431,96.59,-0.0279445,167.745
21.20600700378418,0.782542511821,19,0.0,383,0.00880412,4.18654,214.115834788,20414,101.35,-0.0261335,160.606
23.27280902862549,0.789589941502,21,0.0,404,0.00785408,4.18667,221.653170916,22511,102.63,-0.0219376,151.525
25.367888689041138,0.85581804812,19,0.0,423,0.0101903,4.15215,226.041160486,24483,103.3,-0.0274323,121.729
27.405808448791504,0.856875300407,19,0.0,442,0.0150644,4.14083,233.774288043,26588,104.88,-0.0266631,148.065
29.48327922821045,0.851763501763,18,0.0,460,0.0120648,4.13783,240.717175702,28613,106.36,-0.0297658,119.925
31.546377420425415,0.847975626588,18,0.0,478,0.0093675,4.15708,251.425852569,30706,107.98,-0.025408,148.241
33.59324836730957,0.853251039982,17,0.0,495,0.00851281,4.14545,263.520248281,32727,111.11,-0.0261456,147.109
35.67119789123535,0.886671185493,16,0.0,511,0.00872833,4.11087,277.771910568,34729,114.51,-0.0242089,123.543
37.73374080657959,0.88979794085,16,0.0,527,0.00899624,4.12533,291.898417015,36807,118.85,-0.0267084,107.076
39.80291557312012,0.918595254421,15,0.0,542,0.00926303,4.10907,304.304442843,38788,122.0,-0.0270589,100.408
41.84421110153198,0.939078450203,15,0.0,557,0.00819442,4.10889,320.15824076,40842,125.82,-0.0225844,88.3732
43.90824007987976,0.942825872451,15,0.0,572,0.00935847,4.11312,334.443087243,42934,129.73,-0.0244063,85.0644
45.96757960319519,0.941058728844,15,0.0,587,0.00708789,4.12177,341.362573004,44991,131.94,-0.020575,72.9628
48.031646728515625,0.958285443485,15,0.0,602,0.011566,4.11225,350.468581462,47057,134.36,-0.0275518,59.8376
50.08119440078735,0.968547705561,15,0.0,617,0.00757464,4.08766,357.282723823,49109,135.83,-0.0208909,48.6305
52.130831241607666,0.94866264239,13,0.0,630,0.00951217,4.08916,369.709769581,51096,138.65,-0.0246673,69.5983
54.16291284561157,0.931330032647,14,0.0,644,0.0110196,4.07372,380.413720514,53181,141.16,-0.0289193,83.7857
56.226760149002075,0.945271048695,12,0.0,656,0.009415,4.03884,396.273063731,55192,144.9,-0.030867,93.5781
58.25540328025818,0.948726516217,12,0.0,668,0.0105313,4.03271,411.505813557,57248,148.89,-0.0282517,107.381
60.25734043121338,0.952725820243,12,0.0,680,0.00955032,4.01594,430.356514346,59338,153.18,-0.0255291,104.325
62.3041627407074,0.945893779397,12,0.0,692,0.00851463,3.98016,447.403909761,61423,156.87,-0.0224502,105.864
64.34318518638611,0.955035366118,10,0.0,702,0.0103579,3.99922,469.990855894,63302,162.45,-0.024919,92.3982
66.407954454422,0.956192199141,12,0.0,714,0.00994439,3.98272,493.202574208,65510,168.04,-0.0254029,99.3994
68.42915630340576,0.94660494104,10,0.0,724,0.00860912,3.98608,508.8385528,67403,171.92,-0.0230028,113.615
70.49911427497864,0.957902420312,11,0.0,735,0.010216,3.94227,529.044959703,69460,176.79,-0.0283247,92.0145
72.53047394752502,0.943447366357,11,0.0,746,0.00779321,3.93193,548.672463245,71655,181.61,-0.0235251,116.412
74.57748675346375,0.878137141466,10,0.0,756,0.0137932,3.91057,557.208418819,73592,184.0,-0.0267874,190.337
76.62448573112488,0.967170082033,11,0.0,767,0.00972578,3.91022,567.672571645,75671,186.12,-0.02747,80.3534
78.70266938209534,0.968879485503,11,0.0,778,0.00743703,3.8904,571.113336984,77655,186.41,-0.0244866,72.1913
80.74918365478516,0.969710279256,10,0.0,788,0.00854926,3.86624,585.656044385,79712,190.13,-0.0238212,57.9721
82.76529884338379,0.966594662517,11,0.0,799,0.0108472,3.83913,590.859175272,81912,191.97,-0.0241776,77.6811
84.78400135040283,0.972840860486,10,0.0,809,0.00957211,3.81799,598.74852529,83930,193.63,-0.0265995,54.2417
86.8340368270874,0.979626566172,10,0.0,819,0.0100533,3.82533,601.649466768,85973,194.5,-0.0264775,43.8199
88.8350899219513,0.978222189471,10,0.0,829,0.00928851,3.80505,609.849435061,87927,196.06,-0.0302606,48.5004
90.88206434249878,0.986360649578,11,0.0,840,0.0109351,3.78083,612.889142431,90102,196.38,-0.0282718,27.8749
92.90537095069885,0.986411418766,9,0.0,849,0.0120144,3.76133,629.781048278,92127,200.75,-0.0259082,31.9177
94.98335027694702,0.979042792693,9,0.0,858,0.011238,3.72597,631.264492194,94124,201.53,-0.029584,41.5646
