loss_pol_entpen,loss_pol_surr,loss_ent,EpLenMean,ev_tdlam_before,TimeElapsed,EpThisIter,loss_vf_loss,EpisodesSoFar,EpRewMean,loss_kl,TimestepsSoFar
0.0,-0.00933336,0.937753,797.47,-0.00383293628693,73.93022274971008,2,69.0545,890,797.47,0.0153266,95868
0.0,-0.00457422,0.952312,816.55,-0.00757360458374,75.4774100780487,2,68.7205,892,816.55,0.00975518,97868
0.0,-0.00718817,0.953035,832.28,-0.00305867195129,77.01525950431824,2,68.6342,894,832.28,0.00602887,99868
0.0,-0.00250802,0.953285,847.9,-0.000685453414917,78.57775640487671,2,68.6299,896,847.9,0.00771644,101868
0.0,-0.00676875,0.946554,862.03,0.000484108924866,80.12462592124939,2,68.5301,898,862.03,0.00402167,103868
0.0,-0.00470873,0.955178,880.25,-0.00460910797119,81.70274639129639,2,68.4891,900,880.25,0.00544629,105868
0.0,-0.00219366,0.965828,896.15,-0.0012766122818,83.26524186134338,2,68.4836,902,896.15,0.00862795,107868
0.0,-0.00568534,0.964477,907.97,-0.00128555297852,84.8277370929718,2,68.3961,904,907.97,0.00349487,109868
0.0,-0.00588145,0.970826,914.54,-0.00034499168396,86.37460613250732,2,68.5371,906,914.54,0.00788649,111868
0.0,-0.00806458,0.956797,870.13,0.355534136295,87.95179581642151,8,34.2269,914,870.13,0.00541349,114649
0.0,-0.0191738,0.961491,862.13,0.551265209913,89.51537466049194,3,45.298,917,862.13,0.0193056,116364
0.0,-0.00568009,0.940157,868.2,-0.0310761928558,91.07786989212036,2,70.1139,919,868.2,0.0046613,118364
0.0,-0.00378724,0.949109,868.2,-0.00430846214294,92.64693450927734,2,69.6453,921,868.2,0.00349841,120364
0.0,-0.00430503,0.948332,868.2,-0.00298738479614,94.17182278633118,2,69.3682,923,868.2,0.00452019,122364
0.0,-0.00585808,0.94804,872.71,-0.0408693552017,95.74993968009949,2,69.9561,925,872.71,0.00716558,124364
0.0,-0.00407036,0.934752,877.69,-0.00102639198303,97.29681038856506,2,68.876,927,877.69,0.00457099,126364
0.0,-0.00633955,0.935192,877.69,-0.0149874687195,98.85958981513977,2,68.7425,929,877.69,0.00972955,128364
0.0,-0.00309204,0.92867,885.65,-0.000931024551392,100.42317199707031,2,68.5929,931,885.65,0.00254598,130364
0.0,-0.00491451,0.921928,880.75,0.0133694410324,101.9927966594696,3,88.6942,934,880.75,0.00583797,132874
0.0,-0.01055,0.918634,872.76,0.413306236267,103.55617690086365,3,47.4919,937,872.76,0.00591626,134249
0.0,-0.00489485,0.918747,872.76,-0.000839710235596,105.14204597473145,2,68.7809,939,872.76,0.00684673,136249
0.0,-0.00413578,0.911958,878.47,-0.00939786434174,106.71849179267883,3,101.107,942,878.47,0.00514384,139249
0.0,-0.00562827,0.897683,870.49,0.00640380382538,108.24973702430725,2,49.5152,944,870.49,0.00305508,140451
0.0,-0.00566383,0.900828,870.49,-0.146909117699,109.84348249435425,2,70.4931,946,870.49,0.0144896,142451
0.0,-0.006883,0.89997,870.49,-0.0503153800964,111.37472724914551,2,68.4036,948,870.49,0.00549785,144451
0.0,-0.00646596,0.907722,877.02,-0.00319600105286,112.95284819602966,3,100.41,951,877.02,0.00713034,147451
0.0,-0.00826288,0.869213,880.23,0.098256111145,114.51534414291382,2,44.5041,953,880.23,0.00798889,148830
0.0,-0.00648658,0.872097,880.23,-0.00829672813416,116.09346461296082,2,68.1454,955,880.23,0.0102338,150830
0.0,-0.006716,0.860365,879.67,-0.00689423084259,117.65595865249634,2,45.4074,957,879.67,0.00473077,152774
0.0,-0.00873001,0.860033,880.14,0.322994410992,119.20283007621765,3,65.9659,960,880.14,0.0137611,155391
0.0,-0.00475342,0.856398,880.14,0.0050613284111,120.81978917121887,2,67.4942,962,880.14,0.00479506,157391
0.0,-0.00321614,0.850398,880.14,-0.0136275291443,122.368581533432,2,67.8473,964,880.14,0.00519193,159391
0.0,-0.00509392,0.866057,880.14,-0.00108456611633,123.93839502334595,2,67.8093,966,880.14,0.00997303,161391
0.0,-0.00716645,0.883773,880.14,-0.000417232513428,125.48464822769165,2,67.9331,968,880.14,0.0122297,163391
0.0,-0.00795759,0.874625,880.14,-0.00967586040497,127.05582880973816,2,67.9328,970,880.14,0.00753308,165391
0.0,-0.0045933,0.889889,880.14,-0.00219881534576,128.61724090576172,2,67.9619,972,880.14,0.00559133,167391
0.0,-0.00567946,0.884344,875.76,0.42774361372,130.1737244129181,3,73.0191,975,875.76,0.00456834,169953
0.0,-0.00424402,0.888799,875.76,0.0760009288788,131.75376391410828,2,66.1055,977,875.76,0.00823256,171953
0.0,-0.00462157,0.902612,875.76,-0.02112865448,133.25528383255005,2,67.9992,979,875.76,0.00413319,173953
0.0,-0.00876926,0.871237,875.76,-0.00392210483551,134.82841968536377,2,68.1673,981,875.76,0.0131005,175953
0.0,-0.0047338,0.859423,882.57,-0.000862956047058,136.37640619277954,2,68.2673,983,882.57,0.00381531,177953
0.0,-0.00347744,0.875099,890.85,0.00205034017563,137.96266293525696,2,67.5113,985,890.85,0.0030643,179953
0.0,-0.00400105,0.863041,890.85,0.000913918018341,139.52439141273499,2,67.9913,987,890.85,0.00625793,181953
0.0,-0.00463742,0.896029,890.85,0.00958514213562,141.07885837554932,2,64.9066,989,890.85,0.00432879,183953
0.0,-0.0043439,0.890877,890.85,-0.0382826328278,142.64149379730225,2,67.9836,991,890.85,0.00487055,185953
0.0,-0.0051606,0.878353,890.85,0.000556409358978,144.20326018333435,2,68.3857,993,890.85,0.00860235,187953
0.0,-0.00716224,0.893493,890.85,-0.00251591205597,145.77501153945923,2,68.4541,995,890.85,0.00898606,189953
0.0,-0.00557506,0.891148,890.85,-0.00482749938965,147.33875966072083,2,68.3507,997,890.85,0.00766305,191953
0.0,-0.00326431,0.894608,890.85,-0.00647366046906,148.91202688217163,2,68.2232,999,890.85,0.00344091,193953
0.0,-0.00839282,0.884079,890.85,-5.10215759277e-05,150.46088361740112,2,66.1601,1001,890.85,0.00908783,195953
0.0,-0.00940805,0.894054,874.51,0.168132722378,152.03169798851013,4,96.1987,1005,874.51,0.00800894,198319
0.0,-0.00871985,0.906587,870.13,0.362335979939,153.6097650527954,4,87.5519,1009,870.13,0.00433019,200480
0.0,-0.00657781,0.897051,885.16,-0.106823325157,155.1324818134308,2,68.6793,1011,885.16,0.005297,202480
0.0,-0.00937562,0.896656,900.41,0.012000977993,156.69854617118835,2,63.8612,1013,900.41,0.00796129,204480
0.0,-0.00706571,0.886122,913.19,-0.0309565067291,158.26100850105286,2,67.8093,1015,913.19,0.0124857,206480
0.0,-0.00750159,0.877188,921.16,-0.000465393066406,159.83769512176514,2,67.6283,1017,921.16,0.0100251,208480
0.0,-0.00360907,0.88228,921.16,-0.00276958942413,161.38474822044373,2,67.7781,1019,921.16,0.0172334,210480
0.0,-0.00887631,0.878244,914.51,0.0681126117706,162.96862697601318,3,76.1011,1022,914.51,0.00449513,212815
0.0,-0.00676406,0.896761,914.51,-0.00211274623871,164.5311200618744,2,67.7984,1024,914.51,0.00823716,214815
0.0,-0.00688865,0.911547,914.51,-0.0113633871078,166.09361577033997,2,67.8859,1026,914.51,0.00716721,216815
0.0,-0.00312296,0.914068,914.51,-0.0012401342392,167.67173600196838,2,68.0547,1028,914.51,0.00433846,218815
0.0,-0.0037577,0.899729,914.51,-0.000545501708984,169.20298171043396,2,68.0618,1030,914.51,0.00659528,220815
0.0,-0.00800009,0.887711,914.51,-0.0443412065506,170.774840593338,2,68.5127,1032,914.51,0.0105192,222815
0.0,-0.00291598,0.897967,919.41,-0.000275611877441,172.32157111167908,2,67.9307,1034,919.41,0.00365049,224815
0.0,-0.00519675,0.892506,928.24,-0.000514507293701,173.90713095664978,2,68.0849,1036,928.24,0.00515041,226815
0.0,-0.00730206,0.898639,935.66,0.000655472278595,175.46943426132202,2,63.1029,1038,935.66,0.0047769,228815
0.0,-0.00560143,0.901807,935.66,-0.0356438159943,177.02444219589233,2,68.3017,1040,935.66,0.00706215,230815
0.0,-0.00621174,0.9065,935.66,-0.00152444839478,178.58636331558228,2,68.2833,1042,935.66,0.00679073,232815
0.0,-0.00947382,0.914003,939.9,0.459739863873,180.1264684200287,3,65.6942,1045,939.9,0.00763476,235441
0.0,-0.00664274,0.918613,939.9,-0.00266587734222,181.70350646972656,2,67.8101,1047,939.9,0.00965334,237441
0.0,-0.0111137,0.923207,939.9,-0.0288954973221,183.22038412094116,2,67.6504,1049,939.9,0.0122005,239441
0.0,-0.00427277,0.953886,939.9,-0.0117111206055,184.80563282966614,2,67.7825,1051,939.9,0.00620901,241441
0.0,-0.0075982,0.940485,946.11,-0.00665760040283,186.3438286781311,2,67.7881,1053,946.11,0.00781193,243441
0.0,-0.00860969,0.93174,940.26,0.00220346450806,187.92195081710815,2,64.1343,1055,940.26,0.00928995,244856
0.0,-0.00951852,0.932787,940.82,0.0033575296402,189.468820810318,2,47.449,1057,940.82,0.00898742,246856
0.0,-0.0101181,0.907412,935.04,0.125394225121,191.0313160419464,3,69.3909,1060,935.04,0.00678415,248895
0.0,-0.00540904,0.893813,935.04,-0.0704679489136,192.6094353199005,3,104.81,1063,935.04,0.0031017,251895
0.0,-0.00689154,0.892896,935.04,-0.00452780723572,194.17335629463196,2,68.417,1065,935.04,0.00576797,253895
0.0,-0.00607689,0.870573,935.04,-0.00470769405365,195.7503707408905,2,68.2559,1067,935.04,0.00571725,255895
0.0,-0.00489922,0.859714,935.04,-0.00250685214996,197.28145170211792,2,68.5481,1069,935.04,0.00668904,257895
0.0,-0.0102748,0.835594,935.04,-0.000198483467102,198.8677020072937,2,68.3674,1071,935.04,0.0111318,259895
0.0,-0.00280565,0.832914,935.04,5.36441802979e-05,200.3841574192047,2,68.5078,1073,935.04,0.00895339,261895
0.0,-0.00609095,0.847309,939.42,-0.00116527080536,201.9622781276703,2,68.5054,1075,939.42,0.00547926,263895
0.0,-0.00799297,0.845216,939.42,0.0394964814186,203.5284640789032,2,39.9666,1077,939.42,0.00396839,265895
0.0,-0.00843276,0.825562,938.85,0.0675743222237,205.10072255134583,2,52.0178,1079,938.85,0.00308828,267838
0.0,-0.00561441,0.823318,938.85,-0.0314148664474,206.66424179077148,2,70.0861,1081,938.85,0.00895024,269838
0.0,-0.00758012,0.826801,938.85,-0.00732707977295,208.21948051452637,2,69.0283,1083,938.85,0.00574251,271838
0.0,-0.00938009,0.845329,932.43,0.66093018651,209.81471180915833,3,50.8112,1086,932.43,0.00655844,274196
0.0,-0.00792546,0.859976,932.43,-0.0156933069229,211.32912850379944,2,65.3546,1088,932.43,0.00778958,276196
0.0,-0.00911585,0.854741,932.43,0.00617873668671,212.91440081596375,2,64.3085,1090,932.43,0.0131352,278196
0.0,-0.00783778,0.875557,932.43,0.0477159023285,214.46212935447693,2,65.0591,1092,932.43,0.0156299,280196
0.0,-0.00959587,0.85075,932.43,0.000244677066803,215.99978637695312,2,66.8085,1094,932.43,0.00806939,282196
0.0,-0.00774962,0.846573,931.17,0.0169382095337,217.57790398597717,2,65.1736,1096,931.17,0.00684969,284070
0.0,-0.00401668,0.863033,931.17,0.0189584493637,219.09352374076843,2,66.4027,1098,931.17,0.00622465,286070
0.0,-0.0106385,0.861412,931.17,0.0307934880257,220.67164421081543,2,67.5178,1100,931.17,0.0124186,288070
0.0,-0.00717004,0.877975,931.6,-0.0112309455872,222.21851420402527,2,68.5533,1102,931.6,0.009346,290070
0.0,-0.0106214,0.889976,943.14,0.166386127472,223.79663491249084,3,81.2203,1105,943.14,0.0102697,292633
0.0,-0.00359342,0.919647,952.13,-0.015723824501,225.34350538253784,2,68.9058,1107,952.13,0.00463523,294633
0.0,-0.0111112,0.936846,961.53,0.0731002092361,226.92124342918396,2,35.5735,1109,961.53,0.0111829,296633
0.0,-0.0110072,0.931065,955.23,0.340112149715,228.4993622303009,3,84.8216,1112,955.23,0.00615503,299003
0.0,-0.00655022,0.922493,955.23,-0.00324845314026,230.0618588924408,2,68.9713,1114,955.23,0.00725242,301003
0.0,-0.00780355,0.922692,955.23,-0.00654482841492,231.63997960090637,2,69.2405,1116,955.23,0.00852966,303003
0.0,-0.00617035,0.92537,955.23,-0.0433706045151,233.1868495941162,2,68.6702,1118,955.23,0.00271296,305003
0.0,-0.0148362,0.921888,946.94,0.0842342972755,234.76496982574463,3,60.7313,1121,946.94,0.00782445,307174
0.0,-0.00814745,0.908253,952.14,0.165675699711,236.3274643421173,2,60.4028,1123,952.14,0.00647598,309029
0.0,-0.00455916,0.909353,952.14,0.00150239467621,237.90558552742004,2,68.7723,1125,952.14,0.00828432,311029
0.0,-0.00640147,0.879072,952.14,-0.0386760234833,239.48541450500488,2,65.3449,1127,952.14,0.00510615,313029
0.0,-0.00767282,0.886726,952.14,0.0111997723579,241.06400990486145,2,66.9245,1129,952.14,0.0105804,315029
0.0,-0.00494607,0.879677,952.14,0.00437361001968,242.63236713409424,2,63.7781,1131,952.14,0.00297803,317029
