loss_pol_entpen,loss_vf_loss,EpThisIter,EpLenMean,loss_kl,TimestepsSoFar,TimeElapsed,EpisodesSoFar,ev_tdlam_before,loss_ent,loss_pol_surr,EpRewMean
0.0,535.486,40,50.0,0.0100978,2000,1.9859685897827148,40,0.0161100625992,2.72599,-0.0231205,-109.743158445
0.0,173.753,41,50.0,0.0122052,4050,3.7234597206115723,81,0.246442735195,2.62732,-0.0255609,-107.154969976
0.0,185.592,41,50.0,0.0087608,6100,5.445536375045776,122,0.152304470539,2.53064,-0.0183542,-102.03776267
0.0,168.513,41,50.0,0.00951828,8150,7.172740459442139,163,0.126486599445,2.44384,-0.0189365,-92.0200439647
0.0,175.162,41,50.0,0.00909367,10200,8.890864610671997,204,0.134697914124,2.374,-0.0188648,-84.6120118862
0.0,132.832,41,50.0,0.00724196,12250,10.64085602760315,245,0.150486528873,2.32426,-0.0150744,-78.3935750168
0.0,113.515,41,50.0,0.00931782,14300,12.35977816581726,286,0.321019172668,2.24524,-0.0205921,-74.4941667723
0.0,68.0662,41,50.0,0.00937945,16350,14.09566354751587,327,0.509938120842,2.18117,-0.0191279,-70.3432856986
0.0,74.8083,41,50.0,0.0101312,18400,15.832284688949585,368,0.492030739784,2.09738,-0.0235774,-68.6473197427
0.0,56.6526,41,50.0,0.00834065,20450,17.57803249359131,409,0.590441703796,2.01356,-0.0188692,-63.9744203655
0.0,47.6395,41,50.0,0.0103669,22500,19.328187704086304,450,0.627428233624,1.91396,-0.0234008,-60.1345675322
0.0,40.5258,41,50.0,0.00800447,24550,21.086331605911255,491,0.650639504194,1.84159,-0.0200371,-55.8713378508
0.0,42.4237,41,50.0,0.00746381,26600,22.805356979370117,532,0.548024296761,1.76883,-0.0197294,-52.8537759955
0.0,27.5357,41,50.0,0.0106333,28650,24.53918743133545,573,0.672441899776,1.68783,-0.0254779,-50.3482070257
0.0,28.6589,41,50.0,0.0102541,30700,26.273770093917847,614,0.619304567575,1.62423,-0.0206335,-48.3774752046
0.0,23.753,41,50.0,0.00694394,32750,28.02007794380188,655,0.693920642138,1.565,-0.0228277,-46.0257592636
0.0,30.8809,41,50.0,0.00813093,34800,29.74332284927368,696,0.515816062689,1.51306,-0.0192716,-43.5969440409
0.0,23.5726,41,50.0,0.00948706,36850,31.484671592712402,737,0.579733937979,1.44805,-0.0222637,-40.6623497411
0.0,19.8881,41,50.0,0.00709821,38900,33.21916580200195,778,0.629990786314,1.38314,-0.0214076,-38.9718240792
0.0,16.6627,41,50.0,0.00863572,40950,34.9606568813324,819,0.613154262304,1.30366,-0.0206502,-38.0210680871
0.0,15.9356,41,50.0,0.00720896,43000,36.68796110153198,860,0.60732114315,1.22721,-0.0178884,-36.5620288231
0.0,14.0401,41,50.0,0.0116336,45050,38.453282594680786,901,0.610858261585,1.13942,-0.0240316,-34.3876310951
0.0,8.23095,41,50.0,0.00748863,47100,40.172080516815186,942,0.702837049961,1.10043,-0.0192653,-32.9832023168
0.0,8.3426,41,50.0,0.0121346,49150,41.913546085357666,983,0.740193903446,1.04176,-0.0228818,-32.9009699012
0.0,9.59862,41,50.0,0.0086331,51200,43.664905071258545,1024,0.710519880056,0.988489,-0.0224222,-32.0060017167
0.0,7.25357,40,50.0,0.00739491,53200,45.40692639350891,1064,0.730108469725,0.928442,-0.0175217,-30.5585974839
0.0,7.26038,41,50.0,0.00931039,55250,47.141597509384155,1105,0.734092205763,0.85487,-0.0204231,-29.0495306611
0.0,6.76235,41,50.0,0.00786172,57300,48.87511348724365,1146,0.705190062523,0.793003,-0.0199913,-27.856439309
0.0,5.15243,41,50.0,0.00803995,59350,50.62524342536926,1187,0.797306060791,0.731733,-0.022457,-26.9532360417
0.0,4.6065,41,50.0,0.0104006,61400,52.34430551528931,1228,0.808909162879,0.65911,-0.0244371,-25.977896929
0.0,6.44003,41,50.0,0.00885359,63450,54.086798429489136,1269,0.7237868011,0.610371,-0.023989,-25.2180188479
0.0,4.17863,41,50.0,0.0095074,65500,55.81265664100647,1310,0.786132901907,0.56127,-0.0224287,-23.8822906748
0.0,3.76808,41,50.0,0.013391,67550,57.54722619056702,1351,0.796101167798,0.496217,-0.0226462,-23.2226624532
0.0,3.36681,41,50.0,0.0122172,69600,59.28747868537903,1392,0.769670620561,0.438688,-0.0254649,-22.9511067576
0.0,3.07455,41,50.0,0.00907066,71650,61.015689849853516,1433,0.800109699368,0.380962,-0.0193117,-22.4746782802
0.0,3.03235,41,50.0,0.00959789,73700,62.734559535980225,1474,0.769687756896,0.33283,-0.0217643,-21.6549053963
0.0,3.42821,41,50.0,0.0134284,75750,64.47104787826538,1515,0.795799598098,0.276799,-0.0244742,-21.0878846262
0.0,2.17543,41,50.0,0.00995606,77800,66.18784689903259,1556,0.805190607905,0.209846,-0.0255335,-20.8947952501
0.0,2.35101,41,50.0,0.0108759,79850,67.93809080123901,1597,0.819070026278,0.139831,-0.0248541,-20.3460011357
0.0,2.48514,41,50.0,0.0137438,81900,69.6559579372406,1638,0.796152859926,0.0755936,-0.0294095,-20.1363840326
0.0,2.17519,41,50.0,0.0139944,83950,71.39474868774414,1679,0.802427455783,-0.0158345,-0.0281054,-19.3440838837
0.0,2.25808,41,50.0,0.0143448,86000,73.10948920249939,1720,0.794552966952,-0.0787658,-0.0293017,-18.579659574
0.0,2.06695,41,50.0,0.0140552,88050,74.87532663345337,1761,0.757733777165,-0.120729,-0.0243069,-17.482047098
0.0,2.00206,41,50.0,0.0104046,90100,76.59378600120544,1802,0.808987468481,-0.166688,-0.0196816,-16.9852165906
0.0,1.40476,41,50.0,0.0134587,92150,78.34396815299988,1843,0.832441836596,-0.20443,-0.0199029,-16.546297306
0.0,1.35155,41,50.0,0.0135041,94200,80.08645009994507,1884,0.818632528186,-0.248419,-0.0206986,-15.9596125609
0.0,1.13252,41,50.0,0.00981957,96250,81.8838620185852,1925,0.85140158236,-0.303181,-0.0243681,-15.6626972644
0.0,1.01459,41,50.0,0.0102958,98300,83.70318984985352,1966,0.831791803241,-0.339833,-0.0222759,-15.3269333083
0.0,1.16468,41,50.0,0.0171032,100350,85.53091311454773,2007,0.826238825917,-0.414339,-0.0273982,-15.5424900359
0.0,0.96521,41,50.0,0.011078,102400,87.34377360343933,2048,0.848546460271,-0.4268,-0.0183741,-15.7747313558
0.0,0.987771,40,50.0,0.00990758,104400,89.20194411277771,2088,0.803081780672,-0.474215,-0.0243819,-15.5416911691
0.0,1.04272,41,50.0,0.0127986,106450,90.96403980255127,2129,0.811086088419,-0.516188,-0.0252794,-15.3578105461
0.0,1.02266,41,50.0,0.0115711,108500,92.79332756996155,2170,0.824671775103,-0.551631,-0.0185051,-15.1579452102
0.0,1.10641,41,50.0,0.0110052,110550,94.64823341369629,2211,0.825454667211,-0.575222,-0.0246324,-15.0849361918
0.0,0.937229,41,50.0,0.0155294,112600,96.52247452735901,2252,0.797391146421,-0.613301,-0.0306648,-14.6917230189
0.0,1.04711,41,50.0,0.0176179,114650,98.35182595252991,2293,0.817657619715,-0.666659,-0.023788,-14.1090637753
0.0,0.899547,41,50.0,0.0125001,116700,100.20442652702332,2334,0.832219779491,-0.733967,-0.0200115,-13.6085471967
0.0,0.830465,41,50.0,0.010082,118750,102.04729676246643,2375,0.828321874142,-0.785307,-0.0264137,-13.3027819458
0.0,0.603268,41,50.0,0.0142928,120800,103.89463257789612,2416,0.871113374829,-0.846765,-0.0254785,-12.8001733344
0.0,0.642929,41,50.0,0.0170081,122850,105.72664952278137,2457,0.851348757744,-0.911972,-0.0183088,-12.5432864959
0.0,0.634263,41,50.0,0.0141082,124900,107.58600950241089,2498,0.829171985388,-0.930948,-0.0173435,-12.3440483285
0.0,0.488737,41,50.0,0.00990066,126950,109.39835548400879,2539,0.788527220488,-0.946008,-0.0198203,-12.1994805795
0.0,0.560586,41,50.0,0.0158967,129000,111.21850848197937,2580,0.863374054432,-0.972389,-0.0188915,-12.1736962942
0.0,0.57125,41,50.0,0.0114876,131050,113.06261110305786,2621,0.815697491169,-0.990412,-0.0227305,-11.6490082215
0.0,0.539317,41,50.0,0.0134935,133100,114.92165231704712,2662,0.852258309722,-1.02158,-0.0194907,-11.5770095045
0.0,0.3658,41,50.0,0.0246519,135150,116.74963307380676,2703,0.879710331559,-1.06343,-0.0213511,-11.4493844348
0.0,0.462239,41,50.0,0.0200913,137200,118.56298542022705,2744,0.783420294523,-1.10317,-0.0253379,-10.9106341227
0.0,0.310203,41,50.0,0.016344,139250,120.39326643943787,2785,0.909783512354,-1.1544,-0.020187,-10.9224768647
0.0,0.703801,41,50.0,0.0114894,141300,122.21857500076294,2826,0.839861109853,-1.19422,-0.0189858,-10.5926859782
0.0,0.463168,41,50.0,0.0148214,143350,124.01600766181946,2867,0.860649272799,-1.21902,-0.0265548,-10.44010386
0.0,0.422729,41,50.0,0.0141452,145400,125.82867240905762,2908,0.859006732702,-1.26859,-0.0155808,-9.94920995088
0.0,0.353463,41,50.0,0.0175642,147450,127.64349341392517,2949,0.865966364741,-1.30105,-0.0168613,-9.8408644318
0.0,0.247884,41,50.0,0.0148734,149500,129.46144771575928,2990,0.885624982417,-1.34694,-0.0207527,-9.59690075909
0.0,0.450202,41,50.0,0.0216772,151550,131.27345180511475,3031,0.84406170249,-1.37972,-0.0203916,-10.1012723655
0.0,0.279241,41,50.0,0.0157122,153600,133.07787704467773,3072,0.869421437383,-1.40137,-0.0181402,-10.2831759854
0.0,0.338811,40,50.0,0.0151534,155600,134.90591764450073,3112,0.878260545433,-1.41337,-0.0264034,-9.88981849606
0.0,0.318537,41,50.0,0.0126704,157650,136.76605129241943,3153,0.866907462478,-1.42083,-0.0185443,-9.79148994806
