loss_ent,loss_vf_loss,EpThisIter,TimestepsSoFar,EpisodesSoFar,EpRewMean,ev_tdlam_before,loss_pol_surr,TimeElapsed,loss_kl,loss_pol_entpen,EpLenMean
0.0190567,5644.18,24,94162,4198,678.489839131,0.640104323626,-0.00882699,81.79237651824951,0.00821213,0.0,73.17
0.0134199,6169.39,23,96239,4221,701.017111442,0.668885529041,-0.00955778,83.53001403808594,0.00781182,0.0,75.6
0.00425649,6377.3,16,98260,4237,792.016723794,0.635523736477,-0.0119008,85.29116106033325,0.00920018,0.0,85.39
-0.00532961,6978.68,13,100279,4250,904.126086738,0.627592325211,-0.0102485,87.04123568534851,0.00811308,0.0,97.45
-0.0130476,5866.68,19,102396,4269,974.550231432,0.650560170412,-0.016554,88.80706095695496,0.0142533,0.0,105.03
-0.0357432,6243.93,17,104277,4286,1020.41518164,0.640675514936,-0.0136352,90.54229688644409,0.00965202,0.0,109.96
-0.0469035,6942.46,14,106262,4300,1105.29744259,0.620462268591,-0.00475748,92.30691385269165,0.0155507,0.0,119.08
-0.061878,7007.19,15,108505,4315,1225.03759799,0.646093636751,-0.000570617,94.05615401268005,0.0166884,0.0,131.94
-0.0815754,6345.48,8,110105,4323,1280.77475256,0.683452010155,-0.0146363,95.82177352905273,0.00592302,0.0,137.92
-0.085557,7100.76,8,112003,4331,1349.15243014,0.608061730862,-0.0124101,97.58739304542542,0.0102964,0.0,145.27
-0.100749,7345.32,8,114461,4339,1484.9979216,0.53885409236,-0.0135188,99.33738875389099,0.00733536,0.0,159.86
-0.114002,7334.42,6,116659,4345,1630.71744666,0.536226540804,-0.0112964,101.08738231658936,0.018429,0.0,175.51
-0.12633,6696.12,7,118774,4352,1673.84447574,0.667872577906,-0.0173142,102.85300302505493,0.0070134,0.0,180.13
-0.118258,7048.48,2,120458,4354,1800.5874899,0.441524326801,-0.00879291,104.60299682617188,0.00768473,0.0,193.74
-0.117864,6946.85,3,121886,4357,1902.73641132,0.420903503895,-0.0113572,106.3529920578003,0.0124569,0.0,204.72
-0.138247,7566.32,5,124796,4362,2131.86098327,0.35037702322,-0.0114369,108.08736157417297,0.00843994,0.0,229.33
-0.143452,6247.02,5,126737,4367,2278.30323775,0.621957927942,-0.00883002,109.84896421432495,0.0120401,0.0,245.06
-0.148261,6583.96,4,128866,4371,2429.53687538,0.461543023586,-0.00961676,111.57642793655396,0.0157795,0.0,261.3
-0.175642,6592.43,4,130840,4375,2581.87242079,0.49319255352,-0.0122666,113.33854460716248,0.0138113,0.0,277.66
