EpRewMean,TimeElapsed,loss_pol_entpen,ev_tdlam_before,loss_pol_surr,TimestepsSoFar,EpisodesSoFar,EpLenMean,loss_ent,loss_kl,EpThisIter,loss_vf_loss
824.15,75.92878293991089,0.0,-0.00230765342712,-0.006504,96138,834,824.15,1.03068,0.00858099,2,67.9218
840.13,77.53937005996704,0.0,0.00607889890671,-0.00810027,98198,837,840.13,1.00696,0.00363877,3,76.9081
858.18,79.12410855293274,0.0,-0.0816965103149,-0.00451081,100198,839,858.18,0.98042,0.00330857,2,68.0828
874.82,80.7334794998169,0.0,-0.00161111354828,-0.0068732,102198,841,874.82,1.00495,0.00841968,2,67.8249
891.41,82.34284710884094,0.0,-0.00233554840088,-0.00641188,104198,843,891.41,1.01895,0.00782771,2,67.9155
906.89,83.94628095626831,0.0,-0.00482428073883,-0.00356458,106198,845,906.89,1.01937,0.00541292,2,68.0224
921.51,85.55419659614563,0.0,0.00817507505417,-0.00695789,108332,848,921.51,1.02575,0.00659626,3,95.3741
935.72,87.16471672058105,0.0,-0.0103178024292,-0.00655903,110332,850,935.72,1.00974,0.00938058,2,67.495
952.06,88.7650978565216,0.0,-0.0506403446198,-0.00744442,112332,852,952.06,1.02197,0.00780906,2,67.4271
946.94,90.3744683265686,0.0,-0.0229072570801,-0.00516704,114627,855,946.94,1.03339,0.00356298,3,97.2002
946.94,91.98383831977844,0.0,-0.00573265552521,-0.00535208,116627,857,946.94,1.0361,0.00888906,2,66.5296
951.97,93.60152292251587,0.0,-0.000852704048157,-0.00867671,118627,859,951.97,1.04912,0.0116354,2,66.9244
951.97,95.21101665496826,0.0,-0.000392913818359,-0.00409782,120627,861,951.97,1.05307,0.00611756,2,67.2551
955.34,96.8120346069336,0.0,-6.41345977783e-05,-0.00478295,122627,863,955.34,1.07366,0.0142606,2,67.4737
955.34,98.4225287437439,0.0,-0.00242340564728,-0.0036914,124627,865,955.34,1.07006,0.00651881,2,67.7051
955.34,100.0310263633728,0.0,0.00085574388504,-0.0107133,126627,867,955.34,1.06381,0.0118603,2,67.7142
937.46,101.63414597511292,0.0,0.0228564739227,-0.0064905,128839,871,937.46,1.04028,0.0033522,4,91.5152
943.95,103.26479315757751,0.0,-0.0657415390015,-0.00600775,130839,873,943.95,1.06128,0.0103093,2,67.4721
952.48,104.85853719711304,0.0,-0.00619161128998,-0.00930944,132839,875,952.48,1.08385,0.010611,2,67.6509
946.5,106.48353362083435,0.0,0.189434945583,-0.00639987,134241,877,946.5,1.08951,0.00701298,2,39.2143
946.5,108.07727861404419,0.0,-0.0100272893906,-0.00342734,136241,879,946.5,1.0945,0.00605464,2,69.0476
946.5,109.68664765357971,0.0,-0.0013519525528,-0.00412986,139241,882,946.5,1.0974,0.00520656,3,100.539
928.1,111.28039264678955,0.0,0.110131382942,-0.0100389,140401,885,928.1,1.07081,0.0108345,3,58.228
919.27,112.90538883209229,0.0,0.563359320164,-0.00700206,143246,889,919.27,1.05403,0.00563383,4,101.765
915.3,114.4991340637207,0.0,0.245722234249,-0.0116915,144849,891,915.3,1.03842,0.00752893,2,59.7176
915.3,116.11609244346619,0.0,-0.0110086202621,-0.00598085,146849,893,915.3,1.02518,0.0102429,2,67.349
915.3,117.72546195983887,0.0,0.0865764021873,-0.00787879,148849,895,915.3,1.04783,0.00849469,2,53.1766
915.3,119.32157182693481,0.0,0.00832444429398,-0.00562441,150849,897,915.3,1.05165,0.0101696,2,67.916
915.3,120.93774437904358,0.0,-0.0067480802536,-0.00417468,152849,899,915.3,1.06104,0.00546892,2,69.085
915.3,122.5307092666626,0.0,0.011953830719,-0.00753268,154849,901,915.3,1.0677,0.00854719,2,65.9134
915.3,124.14007902145386,0.0,-0.00129961967468,-0.00266148,156849,903,915.3,1.05298,0.00453799,2,65.4084
917.11,125.7494478225708,0.0,-0.0238788127899,-0.0015432,158849,905,917.11,1.05804,0.00139829,2,68.9312
917.11,127.35935640335083,0.0,-2.06232070923e-05,-0.00795318,160849,907,917.11,1.05936,0.00945941,2,68.1746
917.11,128.9686839580536,0.0,-0.0174022912979,-0.0046355,162849,909,917.11,1.0767,0.0093321,2,68.7681
917.11,130.58320236206055,0.0,-0.00377690792084,-0.00706717,165849,912,917.11,1.07133,0.00728858,3,91.3825
917.11,132.17987155914307,0.0,-0.00416910648346,-0.00367077,167849,914,917.11,1.09145,0.00478494,2,68.2191
917.11,133.7966320514679,0.0,-0.00835633277893,-0.00584434,169849,916,917.11,1.09423,0.00603083,2,68.2967
917.11,135.40584325790405,0.0,-0.00232291221619,-0.00259701,171849,918,917.11,1.09914,0.00690259,2,68.2407
915.77,136.99984312057495,0.0,0.0122774839401,-0.00530097,173715,920,915.77,1.09231,0.00997093,2,60.5517
915.77,138.6163353919983,0.0,-0.0774799585342,-0.004278,175715,922,915.77,1.0881,0.00801266,2,68.3737
915.77,140.2417712211609,0.0,-0.00118219852448,-0.00224793,177715,924,915.77,1.09013,0.00461434,2,68.3398
915.77,141.86070156097412,0.0,-0.000833511352539,-0.00447091,179715,926,915.77,1.09738,0.00793546,2,68.3667
913.96,143.45671439170837,0.0,0.00466692447662,-0.00629599,181534,928,913.96,1.09854,0.0044921,2,64.7038
913.96,145.0758934020996,0.0,-0.0294177532196,-0.00416841,183534,930,913.96,1.09431,0.0050215,2,68.4702
913.96,146.68305230140686,0.0,-0.000457167625427,-0.00487846,185534,932,913.96,1.07758,0.00939692,2,68.421
913.96,148.3003590106964,0.0,0.0058211684227,-0.0066887,187534,934,913.96,1.07935,0.00836518,2,55.1907
923.36,149.90120434761047,0.0,-0.0345557928085,-0.00419661,189534,936,923.36,1.05338,0.00834558,2,68.6244
923.36,151.4993772506714,0.0,0.00513815879822,-0.00265185,191534,938,923.36,1.05792,0.00314896,2,68.3791
923.36,153.10874795913696,0.0,-0.00933969020844,-0.00495203,194534,941,923.36,1.06159,0.00542073,3,99.6493
923.36,154.71811604499817,0.0,-0.0209982395172,-0.00503953,196534,943,923.36,1.07231,0.00560324,2,67.8148
913.2,156.32748794555664,0.0,0.0170193910599,-0.0102682,198518,946,913.2,1.06092,0.00510802,3,87.0194
921.86,157.93685817718506,0.0,-0.0557051897049,-0.00620473,200518,948,921.86,1.05508,0.011457,2,67.5482
921.86,159.5462281703949,0.0,-0.000221610069275,-0.00482977,202518,950,921.86,1.05932,0.00530791,2,67.5384
