loss_pol_surr,EpLenMean,TimestepsSoFar,loss_vf_loss,TimeElapsed,ev_tdlam_before,loss_ent,EpisodesSoFar,EpRewMean,loss_pol_entpen,EpThisIter,loss_kl
-0.0413811,167.59,94152,13.7816,98.3587396144867,0.98716763407,7.00345,830,327.586985525,0.0,12,0.0139304
-0.0387864,165.88,96193,11.3787,100.53581118583679,0.986278854311,6.98828,843,327.471135386,0.0,13,0.0113052
-0.0438773,162.31,98276,13.7248,102.66453409194946,0.987343986519,6.98358,856,325.204149575,0.0,13,0.0136089
-0.0439618,159.87,100308,11.7986,104.80499863624573,0.986504754052,6.94104,869,325.036107665,0.0,13,0.0129883
-0.0447806,161.9,102300,9.093,106.93586421012878,0.990496938117,6.93271,881,330.398895682,0.0,12,0.0106806
-0.0485849,159.93,104338,10.3337,109.10154986381531,0.989740285091,6.91259,895,329.137186216,0.0,14,0.0130451
-0.0427231,158.38,106471,11.3363,111.2267587184906,0.989980184473,6.89454,909,329.283254524,0.0,14,0.012011
-0.0421724,156.71,108439,15.7539,113.35290718078613,0.98688230291,6.85809,922,327.845557096,0.0,13,0.0169224
-0.0428874,155.9,110529,12.4041,115.47698187828064,0.989247742109,6.81766,935,330.943977248,0.0,13,0.0155793
-0.0479446,154.81,112489,14.4641,117.61789679527283,0.981438584626,6.81638,948,333.121737249,0.0,13,0.0163647
-0.0486091,153.46,114632,11.373,119.77633595466614,0.98938961979,6.79794,962,333.512597613,0.0,14,0.0149675
-0.0500818,154.11,116620,18.4217,121.90732669830322,0.980774398893,6.73572,975,335.904993837,0.0,13,0.0140893
-0.0437916,153.46,118693,25.7848,124.03978991508484,0.974518949166,6.73579,988,338.630072876,0.0,13,0.0163437
-0.0508792,154.97,120688,17.6007,126.14909410476685,0.985734131187,6.67618,1001,343.987534435,0.0,13,0.0161502
-0.048207,155.51,122872,16.4281,128.30509328842163,0.984697241336,6.69595,1015,348.696856527,0.0,14,0.0138198
-0.0464005,154.58,124840,27.9947,130.4460256099701,0.97648740001,6.65927,1028,349.838658406,0.0,13,0.0135394
-0.0456998,154.66,126886,24.905,132.58922743797302,0.976018469781,6.62576,1041,352.205957486,0.0,13,0.0153988
-0.0459764,156.23,129016,30.1494,134.73392248153687,0.97647292912,6.5948,1054,355.465319276,0.0,13,0.016084
-0.0477953,158.46,130920,24.8941,136.8756697177887,0.977862659842,6.54471,1065,359.470488191,0.0,11,0.0156836
-0.0459022,159.36,133011,32.5369,139.03171062469482,0.959481108934,6.50313,1078,363.992020514,0.0,13,0.0154563
-0.0454872,160.24,135052,20.8872,141.16456079483032,0.980841031298,6.45888,1090,366.372717124,0.0,12,0.0164434
-0.0455038,162.06,137201,27.5343,143.30530524253845,0.981679677963,6.43764,1103,371.637537754,0.0,13,0.0158489
-0.044639,161.6,139199,34.4326,145.43042874336243,0.974481517449,6.42203,1116,374.351910027,0.0,13,0.0148299
-0.0486708,163.15,141295,36.7805,147.5742642879486,0.970224458724,6.38699,1129,379.424681127,0.0,13,0.015066
-0.0488289,163.18,143359,32.4869,149.71967458724976,0.979551531374,6.3228,1142,380.496758191,0.0,13,0.0150599
-0.0425196,162.55,145271,39.3028,151.88946294784546,0.97443968989,6.29569,1154,382.294005484,0.0,12,0.0180946
-0.0469161,160.68,147340,56.2627,154.03045558929443,0.956508759409,6.27866,1167,382.178147469,0.0,13,0.0154756
-0.0486304,160.47,149385,56.0979,156.22924280166626,0.963287115097,6.24997,1180,383.480604279,0.0,13,0.0193134
-0.0509522,158.03,151531,40.5239,158.45419812202454,0.971325773746,6.24646,1194,380.523956163,0.0,14,0.0156599
-0.0523494,157.98,153450,27.698,160.66443824768066,0.979667002335,6.16751,1206,383.148347623,0.0,12,0.01878
-0.0525796,158.76,155596,25.0572,162.8838610649109,0.982782429084,6.16991,1219,386.507614479,0.0,13,0.0201863
-0.0494819,158.06,157591,33.2507,165.0565185546875,0.972361210734,6.18064,1232,386.07045508,0.0,13,0.0160375
-0.0516149,158.55,159694,34.3898,167.24210906028748,0.97636664845,6.14687,1245,387.923501874,0.0,13,0.0150139
-0.0476248,158.77,161771,42.8577,169.42635083198547,0.972999483347,6.09212,1258,391.620635989,0.0,13,0.0191475
-0.0476469,159.65,163757,37.4611,171.6068890094757,0.97476907447,6.06675,1270,393.926683187,0.0,12,0.0181933
-0.0521126,160.59,165734,30.163,173.7354121208191,0.981342114508,6.04402,1282,398.874936952,0.0,12,0.0169645
-0.0498694,161.29,167840,36.8738,175.8645281791687,0.975962700322,6.00271,1295,403.41744648,0.0,13,0.0156855
-0.0493724,161.96,169829,44.4963,178.0297486782074,0.973545936868,5.94482,1307,406.926670635,0.0,12,0.018505
-0.0506811,161.6,171915,26.5898,180.1735532283783,0.98232424818,5.87811,1320,406.174573448,0.0,13,0.01858
-0.0490288,162.9,174065,32.4114,182.3129107952118,0.981795882806,5.83659,1333,411.555413054,0.0,13,0.0182005
-0.050694,163.36,176030,22.8709,184.43826174736023,0.980665644631,5.82838,1345,415.674345557,0.0,12,0.0207809
-0.0451402,163.49,178120,39.9706,186.56440901756287,0.974098905921,5.80431,1358,416.494790777,0.0,13,0.0156327
-0.0523392,162.89,180046,40.5309,188.71173644065857,0.9730078578,5.79123,1370,416.827345395,0.0,12,0.0167984
-0.0529445,164.23,182157,33.1704,190.87123107910156,0.9738294743,5.7789,1382,420.26086424,0.0,12,0.0160785
-0.0525834,165.61,184222,31.4467,193.04629802703857,0.978069275618,5.73087,1394,425.412763887,0.0,12,0.0216321
-0.0524209,165.37,186366,41.9893,195.1490616798401,0.971487276256,5.66991,1407,426.205821393,0.0,13,0.0193489
-0.0526548,168.15,188373,38.7104,197.29727053642273,0.97203989327,5.65421,1418,436.222808582,0.0,11,0.0195808
-0.0557738,169.09,190294,43.8581,199.43796348571777,0.973800107837,5.66459,1429,441.661196002,0.0,11,0.0204591
