loss_vf_loss,loss_pol_entpen,loss_kl,EpLenMean,loss_ent,TimestepsSoFar,TimeElapsed,EpisodesSoFar,ev_tdlam_before,EpRewMean,loss_pol_surr,EpThisIter
85.7279,0.0,0.00984273,113.0,4.15099,36858,43.89828062057495,568,0.909338891506,272.377537686,-0.020768,18
51.0786,0.0,0.00785901,114.96,4.14468,38902,46.03860902786255,585,0.959600668401,281.625721554,-0.0248794,17
93.4755,0.0,0.00825805,116.35,4.12779,40926,48.15593409538269,602,0.914936587214,287.863859902,-0.0224771,17
45.6972,0.0,0.01139,118.35,4.13003,42904,50.27071928977966,618,0.962765686214,295.711952506,-0.0284824,16
85.8118,0.0,0.00974757,119.77,4.10187,44998,52.365113496780396,635,0.927451372147,301.444076772,-0.0229875,17
43.145,0.0,0.011721,122.01,4.04576,47060,54.44521641731262,651,0.961481072009,311.573377721,-0.029434,16
49.7124,0.0,0.0109841,123.5,4.05655,49077,56.54188585281372,667,0.960461840034,317.156784521,-0.0207792,16
19.4215,0.0,0.0109002,124.7,4.05296,51149,58.680920362472534,683,0.986987231299,323.757967075,-0.0271825,16
21.6066,0.0,0.00755008,126.38,4.00748,53238,60.80833601951599,699,0.98601690121,331.199079963,-0.0235979,16
19.8952,0.0,0.00766213,128.79,4.02032,55281,62.8847291469574,714,0.98086841777,340.237315753,-0.0238044,15
14.8702,0.0,0.00968046,129.92,4.00163,57229,64.96857357025146,729,0.989707265981,346.29002418,-0.0217683,15
16.6344,0.0,0.0104982,130.72,3.98245,59360,67.09367656707764,745,0.983512081206,350.066341655,-0.0251185,16
19.5306,0.0,0.00959268,131.87,3.94087,61402,69.21783900260925,760,0.986259971745,356.338825324,-0.0284515,15
12.2713,0.0,0.0120872,133.07,3.91963,63406,71.34247422218323,775,0.992230288219,361.66028999,-0.0255387,15
17.2036,0.0,0.0164257,134.17,3.87376,65480,73.42105031013489,790,0.986700899899,366.528476036,-0.0251038,15
33.7763,0.0,0.011759,137.02,3.84717,67470,75.51478576660156,803,0.967273414135,378.431982853,-0.0306219,13
43.3955,0.0,0.0127215,139.85,3.79557,69524,77.61122488975525,816,0.968160428107,391.521311211,-0.0300551,13
51.9484,0.0,0.0117774,142.86,3.74622,71515,79.72620105743408,829,0.967408291996,404.100488914,-0.0281536,13
50.4065,0.0,0.0108557,147.2,3.72004,73682,81.84469509124756,842,0.973812218755,423.411148296,-0.0255589,13
50.1327,0.0,0.00971559,150.11,3.70998,75716,83.91367673873901,855,0.969571670517,435.193786558,-0.0225361,13
45.0127,0.0,0.0105193,153.47,3.72401,77824,86.03863430023193,868,0.975728711113,450.550695145,-0.0295296,13
48.1873,0.0,0.00992614,157.5,3.71714,79827,88.16435146331787,880,0.971029354259,467.690886885,-0.025066,12
201.623,0.0,0.0100641,159.91,3.71159,81912,90.36645078659058,893,0.921742022038,479.725849958,-0.0228011,13
37.3826,0.0,0.00810534,161.53,3.7259,83913,92.5088107585907,905,0.977596733719,487.10232812,-0.022776,12
37.8127,0.0,0.0116795,162.04,3.67904,85895,94.72707295417786,917,0.982638424262,490.426693212,-0.0287342,12
47.5953,0.0,0.0119347,163.48,3.6643,88041,96.94544959068298,930,0.978587126359,497.500410419,-0.0268474,13
47.1319,0.0,0.0106468,163.78,3.6467,90060,99.26023173332214,942,0.978857142851,498.418428006,-0.0287709,12
41.4626,0.0,0.0110155,165.93,3.67626,92155,101.54711818695068,954,0.975040979683,506.328072747,-0.0286774,12
19.3957,0.0,0.00968735,167.15,3.64913,94060,103.8223991394043,965,0.984871559776,511.356227365,-0.0292572,11
11.6685,0.0,0.00933483,168.36,3.66378,96189,106.06230902671814,977,0.99383895332,517.203909761,-0.0244861,12
26.0108,0.0,0.00832212,169.95,3.64565,98263,108.32816219329834,989,0.979986160994,523.668387603,-0.0243927,12
17.2606,0.0,0.0110582,170.62,3.65499,100285,110.62432026863098,1001,0.989219887182,527.531598823,-0.0274389,12
9.65462,0.0,0.0129703,172.49,3.63912,102293,113.04699897766113,1012,0.99461599905,535.044073519,-0.0292743,11
29.0697,0.0,0.0116588,172.3,3.64523,104290,115.52520704269409,1024,0.982034232467,534.218423226,-0.0255719,12
34.9978,0.0,0.0089538,171.57,3.61438,106391,117.9098150730133,1037,0.980269988999,531.287167222,-0.023214,13
14.056,0.0,0.0116559,172.19,3.55731,108475,120.32069683074951,1049,0.991906348616,535.424123807,-0.0312535,12
10.2703,0.0,0.0123821,172.11,3.55045,110580,122.74219536781311,1061,0.995246436447,537.443735893,-0.0295979,12
15.8981,0.0,0.00866957,172.14,3.53508,112516,125.21372151374817,1072,0.992554433178,538.793606345,-0.0265908,11
