EpisodesSoFar,TimestepsSoFar,EpLenMean,EpRewMean,loss_kl,loss_ent,loss_pol_entpen,loss_vf_loss,loss_pol_surr,ev_tdlam_before,TimeElapsed,EpThisIter
4363,94104,86.8,805.275516378,0.0078711,0.0640309,0.0,6108.62,-0.0142389,0.671883434057,81.82864427566528,20
4386,96212,86.38,801.346727518,0.00830994,0.0514016,0.0,5414.37,-0.0116554,0.678071469069,83.57822489738464,23
4406,98298,90.2,836.92403983,0.0100699,0.0263748,0.0,5473.02,-0.0081603,0.705332964659,85.32822012901306,20
4427,100268,94.89,880.511686931,0.00574892,0.0270287,0.0,5371.91,-0.0143968,0.72055798769,87.07821464538574,21
4449,102394,95.29,884.26755955,0.00564674,-0.0027473,0.0,5455.39,-0.0154353,0.70824444294,88.84383487701416,22
4466,104258,97.85,908.038465771,0.00627115,-0.0222791,0.0,6226.51,-0.0164005,0.680306762457,90.59382915496826,17
4484,106432,104.12,966.366333597,0.0170771,-0.0340965,0.0,6130.73,-0.00293315,0.676012277603,92.3438241481781,18
4500,108470,106.4,987.501880333,0.0142786,-0.0448635,0.0,6420.46,-0.00949138,0.667111963034,94.0938184261322,16
4515,110530,112.83,1047.42729883,0.0174356,-0.0373851,0.0,6050.09,-0.00293942,0.695128917694,95.82818913459778,15
4531,112533,117.81,1093.73937341,0.00995045,-0.0587293,0.0,6190.49,-0.0142166,0.701226055622,97.57818269729614,16
4548,114561,122.23,1134.83173972,0.00927615,-0.0846838,0.0,5900.11,-0.0148089,0.678650617599,99.32818555831909,17
4557,116618,133.54,1240.12903018,0.0191712,-0.0903091,0.0,5834.9,-0.0160469,0.723227351904,101.07817769050598,9
4567,118772,142.65,1324.77224701,0.0192696,-0.0866899,0.0,6890.69,-0.0123319,0.677894175053,102.82817339897156,10
4574,120713,153.63,1426.80732264,0.0178066,-0.110627,0.0,6980.39,-0.00976286,0.590882062912,104.5625422000885,7
4578,122254,165.46,1536.83039213,0.0128734,-0.111395,0.0,6646.57,-0.0165401,0.594370573759,106.31253790855408,4
4585,124695,180.89,1680.40234881,0.0114106,-0.128401,0.0,6318.09,-0.00829168,0.680237799883,108.0475103855133,7
