EpRewMean,TimestepsSoFar,EpLenMean,EpisodesSoFar,ev_tdlam_before,EpThisIter,loss_pol_surr,loss_ent,loss_kl,loss_pol_entpen,loss_vf_loss,TimeElapsed
10.2739083402,2045,21.7553191489,94,-0.0570158958435,94,-0.100425,24.128,0.0248346,0.0,0.886626,3.5093839168548584
10.3852429515,4091,22.15,186,0.595680832863,92,-0.111358,24.1599,0.0274463,0.0,0.777924,6.845105409622192
12.0079129491,6137,25.69,263,0.664585322142,77,-0.120751,24.1195,0.0309424,0.0,0.941673,10.134675025939941
12.8892697614,8177,27.49,339,0.524706602097,76,-0.115318,24.1186,0.031999,0.0,1.6614,13.431734323501587
12.5778967802,10231,26.76,416,0.694586336613,77,-0.124965,24.0634,0.0338588,0.0,1.30293,16.712793827056885
14.2674744905,12253,30.29,478,0.708579212427,62,-0.132432,24.0637,0.033686,0.0,1.30839,20.02560806274414
15.8247004731,14336,33.7,538,0.764914184809,60,-0.129694,23.9975,0.0363175,0.0,1.35935,23.338369369506836
17.0319845489,16349,36.01,592,0.771445959806,54,-0.133572,23.9653,0.0364822,0.0,1.21254,26.665535926818848
18.4664240882,18407,38.85,643,0.801514193416,51,-0.136975,23.9283,0.0374118,0.0,0.884614,29.995497465133667
20.3977184759,20402,42.71,687,0.782232657075,44,-0.136793,23.8751,0.0363319,0.0,0.689858,33.35355854034424
22.0256378646,22495,45.95,732,0.809295102954,45,-0.134483,23.824,0.038555,0.0,0.830153,36.71261978149414
23.0570474394,24545,48.27,772,0.839097499847,40,-0.140945,23.7754,0.0368814,0.0,0.64127,40.07567524909973
23.597753105,26604,49.88,813,0.866928711534,41,-0.139192,23.7588,0.0420121,0.0,0.587452,43.416061878204346
24.2781167142,28662,51.37,852,0.850333198905,39,-0.141832,23.6961,0.0445921,0.0,0.46075,46.77478623390198
25.9794732834,30719,54.72,886,0.852459520102,34,-0.1377,23.6716,0.0416804,0.0,0.578132,50.1501190662384
26.0939739318,32760,54.55,927,0.861445739865,41,-0.142649,23.6277,0.0416873,0.0,0.527902,53.51110005378723
26.4624383883,34768,55.3,962,0.88436896354,35,-0.141231,23.6075,0.0466541,0.0,0.565149,56.88507866859436
26.598446399,36856,55.51,997,0.8432392627,35,-0.139686,23.5776,0.0449627,0.0,0.56276,60.35327386856079
28.2008812609,38857,59.01,1030,0.86498041451,33,-0.139568,23.5563,0.0409709,0.0,0.727905,63.75942325592041
29.2475729992,40934,61.03,1063,0.905535444617,33,-0.140167,23.5555,0.0402291,0.0,0.325521,67.15211939811707
30.3509895823,42979,63.51,1093,0.892511345446,30,-0.146016,23.5251,0.0480991,0.0,0.388959,70.61912727355957
30.7344223078,45008,64.3,1125,0.873145699501,32,-0.137994,23.5063,0.0442748,0.0,0.517488,74.04043698310852
31.0820577737,47078,65.61,1156,0.885480336845,31,-0.142567,23.4822,0.0439506,0.0,0.579739,77.41595077514648
31.5132037671,49103,66.76,1185,0.875625163317,29,-0.140286,23.4777,0.0472284,0.0,0.463519,80.8061912059784
31.8688699373,51199,67.25,1216,0.891980297863,31,-0.147609,23.444,0.0530848,0.0,0.543533,84.19758296012878
32.7207053275,53199,68.73,1245,0.913380101323,29,-0.139887,23.4278,0.0491532,0.0,0.442035,87.58748483657837
33.6230912538,55253,70.36,1272,0.899340771139,27,-0.141139,23.3914,0.0497543,0.0,0.481271,90.97841930389404
33.3909460033,57311,69.57,1303,0.926839858294,31,-0.143222,23.3563,0.0476751,0.0,0.452321,94.36886978149414
34.3410186679,59361,71.44,1331,0.895924575627,28,-0.143507,23.3207,0.053201,0.0,0.52904,97.77505111694336
34.4508345287,61417,71.71,1360,0.910486504436,29,-0.139295,23.2719,0.0503164,0.0,0.476228,101.18155479431152
34.3371042229,63434,71.64,1388,0.889059536159,28,-0.142073,23.253,0.0502036,0.0,0.485182,104.58752727508545
34.5908068795,65461,72.23,1416,0.92514847964,28,-0.141613,23.1986,0.0517898,0.0,0.44619,107.97867894172668
34.8061902199,67524,72.77,1444,0.932387977839,28,-0.143563,23.1231,0.0537692,0.0,0.376045,111.38454627990723
35.6056533022,69587,74.42,1470,0.940341267735,26,-0.141262,23.0786,0.0534706,0.0,0.32275,114.80610036849976
37.1237423778,71629,77.25,1495,0.901314549148,25,-0.144733,23.0352,0.0525811,0.0,0.274916,118.22797131538391
38.5986492656,73688,80.19,1519,0.926039882004,24,-0.141472,22.9774,0.055213,0.0,0.249986,121.63469243049622
40.3519832373,75743,83.62,1542,0.923499263823,23,-0.140058,22.9364,0.0513536,0.0,0.307635,125.04113698005676
40.9980137016,77795,85.03,1566,0.939371362329,24,-0.149556,22.8941,0.0557512,0.0,0.332114,128.44908738136292
41.4343875766,79804,85.88,1589,0.932534873486,23,-0.146932,22.8607,0.0576004,0.0,0.383857,131.88493585586548
42.1857844781,81888,87.27,1613,0.934079200029,24,-0.133952,22.848,0.0563267,0.0,0.417439,135.32223224639893
41.3642363266,83880,85.76,1636,0.932025372982,23,-0.144879,22.7882,0.0563014,0.0,0.365106,138.7600703239441
42.3642928405,85967,86.96,1661,0.953428711742,25,-0.136063,22.7135,0.0525745,0.0,0.456649,142.18140387535095
40.9337098966,88063,84.04,1687,0.943763207644,26,-0.140535,22.6192,0.0577517,0.0,0.312559,145.60301780700684
41.7036191466,90107,85.61,1709,0.931942611933,22,-0.138157,22.6033,0.0583538,0.0,0.374278,149.04041814804077
41.5875868432,92098,85.64,1732,0.947805490345,23,-0.146626,22.5726,0.0622205,0.0,0.342498,152.46315002441406
41.9337838351,94201,86.55,1756,0.953409422189,24,-0.141128,22.5285,0.0580085,0.0,0.236556,155.88468837738037
43.4930826272,96253,90.41,1777,0.943782161921,21,-0.140484,22.4868,0.0580091,0.0,0.218692,159.30675888061523
42.8468321583,98242,88.6,1801,0.941149543971,24,-0.141764,22.4289,0.0588474,0.0,0.300876,162.744446516037
43.3896719188,100215,89.32,1823,0.943042393774,22,-0.144865,22.3988,0.0619795,0.0,0.28169,166.16839694976807
44.1430117982,102348,91.03,1846,0.923863977194,23,-0.150419,22.3547,0.0672325,0.0,0.260285,169.58735513687134
42.7452189341,104430,86.73,1871,0.945664666593,25,-0.144362,22.2908,0.063149,0.0,0.389434,173.00995016098022
44.0394375262,106451,89.01,1893,0.95089700073,22,-0.142819,22.2433,0.0623186,0.0,0.234139,176.4312481880188
44.6398668943,108498,90.24,1914,0.934348471463,21,-0.142325,22.2042,0.0657531,0.0,0.297838,179.8685600757599
44.4273828883,110542,90.13,1936,0.941148579121,22,-0.139784,22.2069,0.0634961,0.0,0.277517,183.27512884140015
46.2985620725,112566,93.35,1957,0.946339491755,21,-0.142265,22.2058,0.0653168,0.0,0.277591,186.6970272064209
46.7666499424,114680,94.7,1980,0.952509175986,23,-0.138861,22.1414,0.0637344,0.0,0.314217,190.1346573829651
46.4665598643,116733,93.83,2002,0.938132509589,22,-0.13846,22.0768,0.0624297,0.0,0.342093,193.57017946243286
46.3978513531,118750,93.21,2023,0.931240774691,21,-0.138585,22.0572,0.0624691,0.0,0.242653,196.96717762947083
46.8890420161,120824,94.36,2046,0.956006128341,23,-0.143376,21.9702,0.0643298,0.0,0.405585,200.40014386177063
45.7213340151,122856,92.29,2068,0.957513228059,22,-0.143736,21.9053,0.0638996,0.0,0.382805,203.83796501159668
45.6970327618,124879,92.36,2090,0.951108008623,22,-0.139977,21.863,0.0671488,0.0,0.328261,207.27039504051208
45.5015393049,126944,92.02,2113,0.93802703917,23,-0.142956,21.7946,0.0714888,0.0,0.340456,210.6973056793213
44.1784000821,128988,89.56,2137,0.951257307082,24,-0.139032,21.7465,0.0677259,0.0,0.343806,214.13444781303406
44.879805113,131031,91.23,2158,0.938352078199,21,-0.149685,21.727,0.0772127,0.0,0.277864,217.5724310874939
45.2260253166,133030,92.23,2178,0.956632681191,20,-0.144874,21.6678,0.0722151,0.0,0.299812,221.0091655254364
44.6011301681,135165,90.82,2203,0.957846265286,25,-0.146016,21.6484,0.0713192,0.0,0.320365,224.44682145118713
45.1488438613,137151,92.33,2224,0.940883181989,21,-0.141025,21.5865,0.0711167,0.0,0.357783,227.88489174842834
