loss_ent,loss_pol_entpen,loss_pol_surr,EpThisIter,EpLenMean,ev_tdlam_before,TimestepsSoFar,EpRewMean,loss_vf_loss,loss_kl,EpisodesSoFar,TimeElapsed
0.967157,0.0,-0.0218601,41,50.0,0.778986304998,51200,-33.1013054095,8.82624,0.00918581,1024,45.005438804626465
0.888668,0.0,-0.0273051,40,50.0,0.827775150537,53200,-32.177152381,5.81541,0.0115486,1064,46.81089186668396
0.832019,0.0,-0.0250178,41,50.0,0.83173622191,55250,-31.0603320484,5.87822,0.0104825,1105,48.57774353027344
0.748807,0.0,-0.0300933,41,50.0,0.800878748298,57300,-30.2410157258,6.1885,0.0105521,1146,50.36486005783081
0.652048,0.0,-0.0291176,41,50.0,0.868484735489,59350,-29.2770634516,4.50709,0.0120882,1187,52.13797736167908
0.589453,0.0,-0.0282486,41,50.0,0.865785986185,61400,-28.1937325074,4.17059,0.0101803,1228,53.92737364768982
0.524402,0.0,-0.0257268,41,50.0,0.89445810765,63450,-28.0359136592,3.28716,0.0122638,1269,55.71551823616028
0.436683,0.0,-0.0291073,41,50.0,0.846031680703,65500,-27.3564047027,3.98121,0.0115473,1310,57.51227116584778
0.396706,0.0,-0.0238758,41,50.0,0.893813930452,67550,-26.5983029471,2.92979,0.0104154,1351,59.27868843078613
0.327603,0.0,-0.0266074,41,50.0,0.904955342412,69600,-26.2083696469,2.48266,0.0114212,1392,61.07487630844116
0.295575,0.0,-0.025049,41,50.0,0.90979962796,71650,-26.1088195044,2.21521,0.0108888,1433,62.84861421585083
0.223387,0.0,-0.0233019,41,50.0,0.90330401063,73700,-25.0802150813,2.4023,0.0123259,1474,64.65287137031555
0.123399,0.0,-0.0220815,41,50.0,0.91591758281,75750,-24.7169886796,1.99808,0.0174779,1515,66.43426609039307
0.0501367,0.0,-0.0248529,41,50.0,0.928585864604,77800,-24.2552673058,1.77308,0.0109329,1556,68.23146414756775
-0.0219122,0.0,-0.0248032,41,50.0,0.942517258227,79850,-24.0018099458,1.45787,0.0115679,1597,70.02487015724182
-0.0851982,0.0,-0.0270804,41,50.0,0.927812211215,81900,-23.604826326,1.56579,0.0125589,1638,71.82827091217041
-0.158794,0.0,-0.0230763,41,50.0,0.93869734183,83950,-23.175043352,1.50557,0.012091,1679,73.59915685653687
-0.214633,0.0,-0.024893,41,50.0,0.934991024435,86000,-22.7436711144,1.4407,0.0122667,1720,75.40275835990906
-0.252141,0.0,-0.0238762,41,50.0,0.953236155212,88050,-22.7008220123,1.0721,0.0116973,1761,77.16912984848022
-0.310504,0.0,-0.0176507,41,50.0,0.956098098308,90100,-22.4946970672,0.842125,0.0140452,1802,78.95854377746582
-0.375044,0.0,-0.020979,41,50.0,0.951108995825,92150,-21.7845335898,0.926382,0.0134308,1843,80.74687457084656
-0.430093,0.0,-0.0226178,41,50.0,0.953996174037,94200,-21.683091152,0.881742,0.0142141,1884,82.54387283325195
-0.47697,0.0,-0.0214924,41,50.0,0.957516662776,96250,-21.7827841892,0.89608,0.012282,1925,84.32523584365845
-0.508035,0.0,-0.023373,41,50.0,0.96124073863,98300,-21.0425809819,0.744205,0.0103176,1966,86.12159776687622
-0.533395,0.0,-0.0218428,41,50.0,0.963810928166,100350,-20.8377019701,0.584818,0.011342,2007,87.9000096321106
-0.615136,0.0,-0.0251926,41,50.0,0.973879534751,102400,-20.6728480037,0.469539,0.011985,2048,89.67611336708069
-0.659428,0.0,-0.0237898,40,50.0,0.966814871877,104400,-20.6400492242,0.602924,0.0123276,2088,91.47410202026367
-0.68589,0.0,-0.0241891,41,50.0,0.970865568146,106450,-20.5815091279,0.487643,0.0149232,2129,93.25458526611328
-0.753997,0.0,-0.0222248,41,50.0,0.963989440352,108500,-20.194320542,0.566912,0.0171603,2170,95.02788019180298
-0.787653,0.0,-0.0231863,41,50.0,0.971556659788,110550,-19.8008479675,0.423497,0.0111574,2211,96.82500386238098
-0.850742,0.0,-0.0280845,41,50.0,0.976056279615,112600,-19.0711230492,0.382416,0.0144004,2252,98.60657143592834
-0.917771,0.0,-0.0275209,41,50.0,0.976149523631,114650,-19.0692658871,0.371669,0.0139363,2293,100.38797307014465
-0.940441,0.0,-0.0216792,41,50.0,0.976201012731,116700,-19.3380850594,0.406717,0.0115908,2334,102.1724693775177
-0.97003,0.0,-0.0254795,41,50.0,0.977953394875,118750,-19.0812201299,0.300023,0.0115836,2375,103.95029473304749
-0.999717,0.0,-0.0215952,41,50.0,0.97480353713,120800,-18.6184232985,0.297513,0.0113882,2416,105.73230934143066
-1.05607,0.0,-0.0262489,41,50.0,0.983680928126,122850,-18.589872423,0.26594,0.0150621,2457,107.50444388389587
-1.10225,0.0,-0.0239279,41,50.0,0.979305479676,124900,-18.6533828955,0.322213,0.0161056,2498,109.29390668869019
-1.14328,0.0,-0.0243658,41,50.0,0.982588846236,126950,-18.3013307524,0.252112,0.0130284,2539,111.0750412940979
-1.16724,0.0,-0.0160128,41,50.0,0.982467692345,129000,-17.859815667,0.260612,0.0257951,2580,112.86439442634583
-1.19323,0.0,-0.0194441,41,50.0,0.983590647578,131050,-17.8005244051,0.235969,0.0187688,2621,114.660165309906
-1.26335,0.0,-0.02232,41,50.0,0.980606881902,133100,-18.233256877,0.26475,0.0210104,2662,116.46602296829224
-1.30374,0.0,-0.0271442,41,50.0,0.980547470972,135150,-18.1471694398,0.188832,0.017017,2703,118.2630066871643
-1.34579,0.0,-0.0223357,41,50.0,0.98472679127,137200,-18.6986540716,0.192235,0.0151595,2744,120.07270050048828
-1.38324,0.0,-0.0187125,41,50.0,0.981292949989,139250,-18.5062608635,0.254611,0.0160267,2785,121.83580446243286
-1.42484,0.0,-0.0219632,41,50.0,0.986713333055,141300,-17.9115855189,0.167424,0.0243385,2826,123.63809728622437
-1.47181,0.0,-0.017067,41,50.0,0.987373644486,143350,-17.730425998,0.17056,0.0160208,2867,125.41982984542847
-1.51112,0.0,-0.0244231,41,50.0,0.97927207686,145400,-17.7042300087,0.224529,0.0107847,2908,127.21558856964111
-1.55838,0.0,-0.0218333,41,50.0,0.982354888692,147450,-17.8181315665,0.193616,0.0221202,2949,128.98935174942017
-1.5841,0.0,-0.0183761,41,50.0,0.984489667229,149500,-17.5656717286,0.207523,0.0239466,2990,130.7851140499115
-1.5964,0.0,-0.0208695,41,50.0,0.979027718306,151550,-17.2371703841,0.147118,0.0172748,3031,132.5517382621765
-1.65167,0.0,-0.0244713,41,50.0,0.986919322982,153600,-17.4916189414,0.165742,0.0149295,3072,134.34817218780518
-1.70382,0.0,-0.022887,40,50.0,0.988853136078,155600,-16.6930837332,0.1197,0.0128946,3112,136.12231945991516
-1.76163,0.0,-0.0254871,41,50.0,0.989156352356,157650,-16.4342076192,0.109474,0.0145645,3153,137.9212930202484
-1.78949,0.0,-0.0154628,41,50.0,0.990640108474,159700,-16.0272338222,0.113723,0.0143353,3194,139.68873381614685
-1.83887,0.0,-0.0171505,41,50.0,0.990389863029,161750,-16.1876933547,0.115521,0.0269927,3235,141.48945498466492
-1.87347,0.0,-0.0183657,41,50.0,0.988276359625,163800,-16.3409190736,0.104765,0.0178598,3276,143.25521111488342
-1.91492,0.0,-0.0226373,41,50.0,0.989927879535,165850,-16.0547281966,0.0943333,0.011477,3317,145.05974745750427
-1.9507,0.0,-0.0210878,41,50.0,0.991131146438,167900,-15.8957049334,0.0892235,0.0172679,3358,146.84431910514832
-1.99469,0.0,-0.0186114,41,50.0,0.993343683425,169950,-15.7679685159,0.0619603,0.0209837,3399,148.63140845298767
-2.0239,0.0,-0.0187647,41,50.0,0.991863357835,172000,-15.6937386071,0.0872809,0.0193432,3440,150.40360522270203
-2.05258,0.0,-0.0115049,41,50.0,0.990485909395,174050,-15.4425734038,0.0783051,0.0260328,3481,152.20725655555725
-2.09019,0.0,-0.024532,41,50.0,0.992072338238,176100,-15.7526425758,0.0754473,0.0154567,3522,153.981210231781
-2.13146,0.0,-0.0298895,41,50.0,0.99312183354,178150,-15.9582263617,0.0641827,0.0241163,3563,155.778461933136
-2.14745,0.0,-0.014054,41,50.0,0.992790162563,180200,-15.8150653334,0.0650101,0.032786,3604,157.54427862167358
-2.14628,0.0,-0.0180285,41,50.0,0.990790966898,182250,-15.1640716726,0.074742,0.0175211,3645,159.3445279598236
-2.16219,0.0,-0.0209082,41,50.0,0.992230365984,184300,-14.9857685103,0.0501215,0.0242965,3686,161.12155723571777
-2.16148,0.0,-0.0245805,41,50.0,0.994049474131,186350,-14.8115345994,0.0559627,0.015577,3727,162.91048288345337
-2.2146,0.0,-0.0173215,41,50.0,0.993443227373,188400,-15.1033442155,0.0544167,0.0242707,3768,164.69202733039856
-2.27704,0.0,-0.0258294,41,50.0,0.993124182336,190450,-15.1372584321,0.0564457,0.0158785,3809,166.48949885368347
-2.31653,0.0,-0.0240057,41,50.0,0.993853786029,192500,-14.6536503981,0.0486117,0.026281,3850,168.271164894104
-2.34504,0.0,-0.0164253,41,50.0,0.995402963366,194550,-14.5477689484,0.0400648,0.0210159,3891,170.0746989250183
-2.38516,0.0,-0.0167907,41,50.0,0.995011992753,196600,-14.9015295363,0.051387,0.0254102,3932,171.8480134010315
-2.42461,0.0,-0.0168536,41,50.0,0.994752362836,198650,-14.5945404601,0.0428181,0.0225026,3973,173.6461365222931
-2.46105,0.0,-0.0130639,41,50.0,0.994736594148,200700,-14.5559814929,0.0504089,0.0239775,4014,175.41872334480286
-2.48719,0.0,-0.0196635,41,50.0,0.994199424982,202750,-14.6286007906,0.0455647,0.0261165,4055,177.215393781662
-2.51265,0.0,-0.0141484,41,50.0,0.994689931627,204800,-14.0942852263,0.0409794,0.0339,4096,179.00374484062195
-2.53584,0.0,-0.0144071,40,50.0,0.994368863758,206800,-14.4731731996,0.0456717,0.0242673,4136,180.80351519584656
-2.55606,0.0,-0.0167248,41,50.0,0.994470770936,208850,-14.8186239849,0.0361742,0.0217222,4177,182.56913995742798
-2.59589,0.0,-0.00968365,41,50.0,0.995104405098,210900,-14.8132899745,0.0402078,0.026044,4218,184.36281776428223
-2.61082,0.0,-0.0250011,41,50.0,0.995379084256,212950,-14.4433702796,0.0359067,0.0196221,4259,186.13737797737122
-2.64038,0.0,-0.0161551,41,50.0,0.994807329029,215000,-14.4243602832,0.0423575,0.0249279,4300,187.9267783164978
-2.66308,0.0,-0.0157873,41,50.0,0.994652201887,217050,-14.122548407,0.045442,0.0242081,4341,189.70825338363647
-2.68913,0.0,-0.0192073,41,50.0,0.995197103824,219100,-14.142893244,0.0316088,0.0251895,4382,191.48871159553528
-2.71968,0.0,-0.0182123,41,50.0,0.995668707415,221150,-14.2755327468,0.0361792,0.0250127,4423,193.25448894500732
-2.72217,0.0,-0.0205886,41,50.0,0.995298981201,223200,-14.3124304091,0.030267,0.0201908,4464,195.02776265144348
-2.75956,0.0,-0.0206894,41,50.0,0.99692954449,225250,-14.0470141357,0.0282601,0.0259142,4505,196.8092062473297
-2.77853,0.0,-0.0218526,41,50.0,0.99541250756,227300,-13.9337616236,0.0254886,0.0212576,4546,198.62293410301208
-2.81332,0.0,-0.0095732,41,50.0,0.995740743354,229350,-13.8425011193,0.0297508,0.0290826,4587,200.40339469909668
-2.83697,0.0,-0.0208939,41,50.0,0.996932980139,231400,-13.9804862103,0.0239011,0.0296155,4628,202.18515300750732
-2.83887,0.0,-0.0140401,41,50.0,0.995519547723,233450,-13.8649006222,0.0360854,0.0242719,4669,203.95792508125305
-2.83318,0.0,-0.0147268,41,50.0,0.995379328728,235500,-14.1962082118,0.0276535,0.0284286,4710,205.74726057052612
-2.84579,0.0,-0.0169455,41,50.0,0.9962148841,237550,-14.4405823036,0.0246288,0.0269445,4751,207.5164246559143
-2.88778,0.0,-0.0281678,41,50.0,0.996292243246,239600,-14.5992172494,0.0305293,0.024573,4792,209.30181288719177
-2.87184,0.0,-0.015051,41,50.0,0.99567982601,241650,-14.2695867266,0.0261618,0.0338288,4833,211.0747468471527
-2.89874,0.0,-0.0188342,41,50.0,0.995583185926,243700,-14.0680720522,0.0244048,0.0223857,4874,212.85309886932373
-2.92849,0.0,-0.0250588,41,50.0,0.996091694571,245750,-13.8808487007,0.0247076,0.0236513,4915,214.6451678276062
-2.98073,0.0,-0.0302281,41,50.0,0.996099650627,247800,-13.6882907846,0.0307373,0.0213152,4956,216.41859674453735
-3.01261,0.0,-0.0152867,41,50.0,0.996606993955,249850,-13.7668618699,0.0251828,0.0280686,4997,218.20000672340393
-3.01827,0.0,-0.0206586,41,50.0,0.996766644996,251900,-13.6093277464,0.0233722,0.0212017,5038,219.98836970329285
-3.0639,0.0,-0.0198265,41,50.0,0.996355917072,253950,-13.4169175208,0.0285043,0.0301961,5079,221.7709732055664
-3.07082,0.0,-0.0154423,41,50.0,0.996806083014,256000,-13.8103267433,0.0222005,0.0284083,5120,223.55241107940674
-3.10181,0.0,-0.0171658,40,50.0,0.997204784071,258000,-13.5352531042,0.0161425,0.0269472,5160,225.34115600585938
-3.11214,0.0,-0.00804077,41,50.0,0.997908071615,260050,-13.3278776588,0.0166622,0.0316719,5201,227.1217441558838
-3.13371,0.0,-0.0248729,41,50.0,0.997054075822,262100,-13.2426972376,0.0205405,0.0205901,5242,228.91882705688477
-3.14036,0.0,-0.0191818,41,50.0,0.995655640028,264150,-13.3200177486,0.0217748,0.0218931,5283,230.6848452091217
-3.15459,0.0,-0.0173827,41,50.0,0.996776943794,266200,-13.5615112779,0.0188099,0.0310655,5324,232.46849608421326
-3.18807,0.0,-0.0221424,41,50.0,0.997225260828,268250,-13.5059484146,0.0205824,0.0291733,5365,234.25555229187012
-3.19525,0.0,-0.00582331,41,50.0,0.996536912397,270300,-12.9976070012,0.0198187,0.0306153,5406,236.05242204666138
-3.20135,0.0,0.00293156,41,50.0,0.997366591124,272350,-12.850355087,0.0165038,0.0519544,5447,237.83417534828186
-3.20274,0.0,-0.0228167,41,50.0,0.995955511928,274400,-13.0348863939,0.0198926,0.0254318,5488,239.6301190853119
-3.25012,0.0,-0.0224972,41,50.0,0.996602897765,276450,-13.6542342441,0.0254312,0.0267702,5529,241.39592480659485
-3.26123,0.0,-0.0286834,41,50.0,0.996775651351,278500,-13.7293626171,0.0214962,0.0250866,5570,243.20801281929016
-3.28935,0.0,-0.0168207,41,50.0,0.994626929518,280550,-13.4347778943,0.0216373,0.0353248,5611,244.98126554489136
-3.28258,0.0,-0.0146484,41,50.0,0.995546995662,282600,-13.2511240941,0.0269424,0.0383536,5652,246.78229141235352
-3.31397,0.0,-0.00501519,41,50.0,0.997460254934,284650,-12.9987544186,0.0141275,0.0537999,5693,248.55170011520386
-3.34075,0.0,-0.0120579,41,50.0,0.997112588724,286700,-13.0673107378,0.0158962,0.0520864,5734,250.36306524276733
-3.36129,0.0,-0.00338146,41,50.0,0.995314899366,288750,-13.0943454044,0.0197264,0.0544422,5775,252.13807463645935
-3.37276,0.0,-0.019512,41,50.0,0.996451244224,290800,-13.0595297545,0.0224473,0.0282738,5816,253.9215235710144
-3.38955,0.0,-0.0200515,41,50.0,0.996806311421,292850,-13.1093392174,0.0194735,0.0261548,5857,255.70800399780273
-3.43193,0.0,-0.0190389,41,50.0,0.997551165521,294900,-13.3144341224,0.0163603,0.0266446,5898,257.50501894950867
-3.45628,0.0,-0.0184767,41,50.0,0.99714428396,296950,-12.5319665263,0.0144059,0.0222858,5939,259.28642439842224
-3.4434,0.0,-0.0165079,41,50.0,0.997331149643,299000,-12.3126433542,0.0150308,0.0301142,5980,261.0755307674408
-3.45677,0.0,-0.0211712,41,50.0,0.996988676954,301050,-12.7045647343,0.0172391,0.0435249,6021,262.8467946052551
-3.4469,0.0,-0.0202252,41,50.0,0.996929384302,303100,-12.9651874272,0.0163391,0.0431734,6062,264.66018772125244
-3.46406,0.0,-0.006111,41,50.0,0.996842565713,305150,-12.8760072006,0.0185059,0.0491354,6103,266.42758870124817
-3.49203,0.0,-0.0201046,41,50.0,0.996265518945,307200,-12.8201669909,0.0168456,0.0354437,6144,268.23182916641235
-3.50366,0.0,-0.00898472,40,50.0,0.996020901948,309200,-12.994664614,0.0175973,0.0394516,6184,270.0212094783783
-3.48858,0.0,-0.0182814,41,50.0,0.996078375727,311250,-12.9696506713,0.0201778,0.0277012,6225,271.80902099609375
-3.505,0.0,-0.0184607,41,50.0,0.99712062371,313300,-12.9236613335,0.0162687,0.0226887,6266,273.60671067237854
-3.47062,0.0,-0.000217532,41,50.0,0.997238284675,315350,-13.0396183568,0.0155843,0.0531095,6307,275.4110414981842
-3.50684,0.0,-0.00575812,41,50.0,0.996705770027,317400,-13.2538956966,0.0163755,0.0392706,6348,277.17700481414795
-3.51271,0.0,-0.0107276,41,50.0,0.997512976406,319450,-13.1321156342,0.0158363,0.0437512,6389,278.98160696029663
-3.51922,0.0,-0.0121188,41,50.0,0.997499369085,321500,-13.2186406245,0.0154788,0.0253004,6430,280.7482385635376
-3.51757,0.0,-0.0217887,41,50.0,0.997345694108,323550,-13.0974133442,0.0164591,0.0362254,6471,282.5452377796173
-3.53541,0.0,-0.0211429,41,50.0,0.996879447717,325600,-13.0806059382,0.0204169,0.032705,6512,284.3288617134094
-3.57034,0.0,-0.0177547,41,50.0,0.997989602154,327650,-12.4468580239,0.00919957,0.025983,6553,286.1224262714386
-3.60533,0.0,-0.017504,41,50.0,0.997527600033,329700,-12.1559157263,0.010692,0.029379,6594,287.8905248641968
-3.60232,0.0,-0.0161166,41,50.0,0.997272221372,331750,-12.6083507921,0.0147435,0.0234713,6635,289.6769280433655
-3.62591,0.0,-0.0238411,41,50.0,0.99741521012,333800,-12.6693522008,0.014541,0.0310201,6676,291.44986033439636
-3.63195,0.0,-0.0106709,41,50.0,0.997828013729,335850,-12.3702877265,0.0129823,0.0511673,6717,293.24654388427734
-3.65676,0.0,-0.0110809,41,50.0,0.996937358286,337900,-12.5310669516,0.0153292,0.0311947,6758,295.0192997455597
-3.65276,0.0,-0.0140823,41,50.0,0.998097418109,339950,-12.5685754189,0.0104564,0.0320849,6799,296.8166446685791
-3.6838,0.0,-0.0196611,41,50.0,0.997445294168,342000,-12.5437441138,0.0137796,0.0258224,6840,298.5821259021759
-3.68381,0.0,-0.01294,41,50.0,0.998182374518,344050,-12.3251976739,0.0117409,0.0454772,6881,300.3954381942749
-3.68295,0.0,-0.0163361,41,50.0,0.997013015673,346100,-12.3615000101,0.0125659,0.0354259,6922,302.15438771247864
-3.69836,0.0,-0.0161044,41,50.0,0.998221518239,348150,-12.5222091496,0.00810691,0.0359093,6963,303.9498198032379
-3.71033,0.0,-0.0192671,41,50.0,0.997564427555,350200,-13.000141419,0.0145305,0.0339596,7004,305.73121428489685
-3.71069,0.0,-0.01972,41,50.0,0.997154304758,352250,-13.0326452399,0.0136352,0.0276126,7045,307.5154011249542
-3.73981,0.0,-0.0235329,41,50.0,0.99723561923,354300,-12.7154756275,0.0163548,0.0297441,7086,309.317467212677
-3.74914,0.0,-0.0134583,41,50.0,0.997411895543,356350,-12.5401200567,0.0108111,0.0456501,7127,311.0906937122345
-3.76361,0.0,-0.0194459,41,50.0,0.997928000055,358400,-12.07375413,0.0111409,0.0320345,7168,312.85661005973816
-3.77986,0.0,0.00122535,40,50.0,0.998118627002,360400,-12.241655909,0.0105243,0.0451329,7208,314.653005361557
-3.78768,0.0,-0.0295275,41,50.0,0.997318714391,362450,-12.3778553583,0.0113548,0.0339404,7249,316.4265887737274
-3.82284,0.0,-0.0212726,41,50.0,0.998210385907,364500,-12.6325041189,0.0107439,0.0369394,7290,318.19309520721436
-3.8456,0.0,-0.0188583,41,50.0,0.995981516317,366550,-12.7797350743,0.0134746,0.0393383,7331,319.9689300060272
-3.84309,0.0,-0.02009,41,50.0,0.996399704134,368600,-12.5829061956,0.012652,0.0324477,7372,322.12227869033813
-3.82817,0.0,-0.0134011,41,50.0,0.997428932926,370650,-12.5254161261,0.0108889,0.0369684,7413,323.91166377067566
-3.83254,0.0,-0.0222616,41,50.0,0.997148365248,372700,-12.1931056856,0.0115348,0.0305302,7454,325.6996819972992
-3.8013,0.0,-0.0222237,41,50.0,0.997354622232,374750,-12.1692960402,0.00894004,0.0469521,7495,327.4826166629791
-3.83829,0.0,0.00286379,41,50.0,0.997025546618,376800,-12.2780405928,0.0101892,0.0594114,7536,329.27827286720276
-3.84377,0.0,-0.017847,41,50.0,0.997308423277,378850,-12.1619727524,0.00861593,0.0387031,7577,331.07088971138
-3.88228,0.0,-0.0105105,41,50.0,0.997865819372,380900,-12.2763794422,0.00912533,0.050871,7618,332.85894656181335
-3.89105,0.0,-0.0161887,41,50.0,0.997868732084,382950,-12.521735221,0.011889,0.0360493,7659,334.701119184494
-3.94076,0.0,0.0121073,41,50.0,0.997967743315,385000,-12.3291788626,0.0105633,0.0783419,7700,336.48734974861145
-3.92042,0.0,-0.0162495,41,50.0,0.997801435413,387050,-12.0404366058,0.00840871,0.0309335,7741,338.2800831794739
-3.90231,0.0,-0.0214187,41,50.0,0.998375673196,389100,-12.0512334567,0.00850727,0.0426034,7782,340.05283284187317
-3.92929,0.0,-0.0101134,41,50.0,0.998025969369,391150,-12.1548311065,0.0121272,0.0415055,7823,341.8557233810425
-3.93084,0.0,-0.0146176,41,50.0,0.997919655638,393200,-12.1311992193,0.0103326,0.0529927,7864,343.627564907074
-3.95525,0.0,-0.0230666,41,50.0,0.998293439043,395250,-11.9278223404,0.00923809,0.0424746,7905,345.4247498512268
-3.96856,0.0,-0.0213268,41,50.0,0.997818114236,397300,-12.0566742784,0.00718521,0.0247233,7946,347.2063076496124
-3.98133,0.0,-0.0275637,41,50.0,0.998118720367,399350,-12.321692617,0.00990587,0.0321825,7987,348.9953396320343
-4.01539,0.0,-0.0226127,41,50.0,0.997659020824,401400,-12.0571432265,0.0110559,0.051163,8028,350.7759053707123
-4.03981,0.0,-0.00489084,41,50.0,0.997619924834,403450,-11.6701503737,0.00802813,0.0586207,8069,352.57415413856506
-4.03551,0.0,-0.0200804,41,50.0,0.9978898298,405500,-11.901896586,0.0100053,0.0356106,8110,354.37066745758057
-4.07241,0.0,-0.0148114,41,50.0,0.998430641717,407550,-12.0914028955,0.00803121,0.0719317,8151,356.1678955554962
-4.0736,0.0,-0.00835192,41,50.0,0.998005237896,409600,-11.8368904425,0.00937871,0.0427897,8192,357.9406623840332
-4.0979,0.0,-0.0247516,40,50.0,0.997510481626,411600,-11.8852526819,0.00755892,0.0356549,8232,359.7368817329407
-4.13753,0.0,-0.0153743,41,50.0,0.99796317704,413650,-11.9139536443,0.00936402,0.0426471,8273,361.5175533294678
-4.13722,0.0,-0.017275,41,50.0,0.998312939424,415700,-12.1391449329,0.00642518,0.0494158,8314,363.3157534599304
-4.14306,0.0,-0.0129902,41,50.0,0.99674583436,417750,-12.1440839539,0.00986109,0.0441463,8355,365.08930706977844
-4.13931,0.0,-0.0281456,41,50.0,0.998337662779,419800,-12.2153235373,0.00708377,0.0272108,8396,366.87633872032166
-4.14872,0.0,-0.0191,41,50.0,0.997651510406,421850,-12.1067163248,0.00738532,0.0605454,8437,368.69906282424927
-4.18017,0.0,-0.0221546,41,50.0,0.99782620836,423900,-12.0748349438,0.00713506,0.047768,8478,370.50205636024475
-4.1826,0.0,-0.0219685,41,50.0,0.997788835084,425950,-11.859805089,0.0082936,0.0359626,8519,372.36179971694946
-4.21069,0.0,-0.0133665,41,50.0,0.997250522487,428000,-12.1441123678,0.00823296,0.0617188,8560,374.17437505722046
-4.24829,0.0,-0.0203773,41,50.0,0.9983287215,430050,-12.1360170972,0.00762527,0.0464929,8601,375.93478178977966
-4.24098,0.0,-0.0239971,41,50.0,0.998107759166,432100,-12.0503464648,0.00737852,0.0412018,8642,377.73399019241333
-4.26816,0.0,-0.0137081,41,50.0,0.998798782588,434150,-12.2740771825,0.00524123,0.0611228,8683,379.509437084198
-4.2815,0.0,-0.0130998,41,50.0,0.998390095425,436200,-12.0173281231,0.00711613,0.0479721,8724,381.3043828010559
-4.2967,0.0,0.00346973,41,50.0,0.998448333354,438250,-11.9511079048,0.00534554,0.0839515,8765,383.0742735862732
-4.28797,0.0,-0.00532064,41,50.0,0.996795362793,440300,-12.1951294784,0.0125665,0.0567248,8806,384.87863636016846
-4.31491,0.0,-0.0210854,41,50.0,0.998432614258,442350,-12.2209041736,0.00467615,0.0384527,8847,386.64468908309937
-4.30561,0.0,-0.0178015,41,50.0,0.997659857152,444400,-12.0478728679,0.0112538,0.0438751,8888,388.44097089767456
-4.30365,0.0,-0.028533,41,50.0,0.997532638488,446450,-11.8837513955,0.00751755,0.0565561,8929,390.213632106781
-4.30672,0.0,0.00332797,41,50.0,0.997710912023,448500,-11.1566006746,0.00531849,0.058516,8970,392.01867938041687
