loss_vf_loss,EpLenMean,ev_tdlam_before,EpisodesSoFar,loss_kl,loss_ent,loss_pol_surr,EpThisIter,TimeElapsed,loss_pol_entpen,EpRewMean,TimestepsSoFar
8.77622,1000.0,-0.0565645694733,2,0.0149576,2.82402,-0.0256152,2,2.0467288494110107,0.0,0.579643870759,2000
7.73883,1000.0,0.168754160404,4,0.0151424,2.77811,-0.0203891,2,3.811957836151123,0.0,-0.824998612162,4000
5.81568,1000.0,0.273502290249,6,0.0117536,2.74608,-0.024712,2,5.593690872192383,0.0,4.60618705682,6000
2.69318,1000.0,0.403111338615,8,0.0108659,2.69907,-0.0192612,2,7.3913352489471436,0.0,11.3734942762,8000
1.818,1000.0,0.450508832932,10,0.010075,2.65658,-0.0187484,2,9.189610481262207,0.0,14.2612527904,10000
0.95404,1000.0,0.673919975758,12,0.0092129,2.62129,-0.0154651,2,10.984458446502686,0.0,15.6576694207,12000
0.475897,1000.0,0.847713083029,14,0.0140005,2.59282,-0.0155783,2,12.782026767730713,0.0,17.4102698182,14000
0.397059,1000.0,0.591581612825,16,0.00518595,2.56718,-0.011362,2,14.578369140625,0.0,18.884766199,16000
0.304644,1000.0,0.876208715141,18,0.0100483,2.53917,-0.0116859,2,16.390729904174805,0.0,19.7435359653,18000
0.307025,1000.0,0.891429491341,20,0.0035204,2.53325,-0.0119612,2,18.188252449035645,0.0,20.6562097608,20000
0.21263,1000.0,0.923685364425,22,0.00485261,2.50198,-0.0142457,2,19.984190702438354,0.0,21.2523015191,22000
0.308532,1000.0,0.930820383132,24,0.00718765,2.46215,-0.0122106,2,21.782089948654175,0.0,21.6672061909,24000
0.182834,1000.0,0.93617040664,26,0.00869022,2.42098,-0.0140574,2,23.593442916870117,0.0,22.4716578576,26000
0.140376,1000.0,0.967669662088,28,0.00903185,2.38108,-0.0147908,2,25.39037013053894,0.0,23.000898012,28000
0.124918,1000.0,0.962596654892,30,0.00934031,2.34101,-0.0166249,2,27.205199480056763,0.0,23.4698562196,30000
0.0748384,1000.0,0.97717134282,32,0.00444312,2.30969,-0.014594,2,29.002187967300415,0.0,24.1931390135,32000
0.0664268,1000.0,0.982663640752,34,0.00259711,2.2855,-0.0103897,2,30.80500817298889,0.0,24.790136369,34000
0.0441637,1000.0,0.986835687421,36,0.00773344,2.25337,-0.0137078,2,32.610504388809204,0.0,25.4728666856,36000
0.0601567,1000.0,0.968536887318,38,0.0061886,2.25228,-0.015453,2,34.42135977745056,0.0,25.8570248105,38000
0.0403686,1000.0,0.993193333037,40,0.00793808,2.2044,-0.0140121,2,36.22000241279602,0.0,26.315338208,40000
0.0479935,1000.0,0.99087266624,43,0.00743362,2.15749,-0.0138827,3,38.03085899353027,0.0,26.9831152405,43000
0.0631493,1000.0,0.968968980014,45,0.00656745,2.13117,-0.0135379,2,39.82794427871704,0.0,27.264559272,45000
0.0206278,1000.0,0.993970032781,47,0.00684461,2.08686,-0.013509,2,41.655694007873535,0.0,27.505452159,47000
0.0392978,1000.0,0.98735347297,49,0.00633775,2.0507,-0.0131009,2,43.452537059783936,0.0,27.7932535463,49000
0.0629469,1000.0,0.96623378247,51,0.00890135,2.04784,-0.0114597,2,45.265034198760986,0.0,28.1605772779,51000
0.0791697,1000.0,0.978942377493,53,0.0161554,2.03549,-0.0100851,2,47.06228995323181,0.0,28.4021779696,53000
0.0738593,1000.0,0.984593002126,55,0.00542384,2.02318,-0.0107534,2,48.85949206352234,0.0,28.4596352347,55000
0.0262052,1000.0,0.99524917407,57,0.00343084,2.00457,-0.0119099,2,50.67327690124512,0.0,28.6112690289,57000
0.0194005,1000.0,0.997034650063,59,0.0120753,1.98309,-0.00931484,2,52.50044059753418,0.0,28.8771465108,59000
0.0157979,1000.0,0.996304548346,61,0.00993073,1.96005,-0.0140728,2,54.31225275993347,0.0,29.0697162892,61000
0.0963885,1000.0,0.951810505241,63,0.00817383,1.9567,-0.0145044,2,56.10887312889099,0.0,29.1423731104,63000
0.0731485,1000.0,0.980170080438,65,0.00321756,1.95176,-0.00894358,2,57.9061496257782,0.0,29.194344045,65000
0.0441956,1000.0,0.987717694603,67,0.00802312,1.95717,-0.0109091,2,59.71873879432678,0.0,29.2396596894,67000
0.0469509,1000.0,0.990481000394,69,0.00680444,1.95991,-0.0122388,2,61.515915632247925,0.0,29.3372714983,69000
0.023207,1000.0,0.994585460983,71,0.00640056,1.92645,-0.0113034,2,63.328447341918945,0.0,29.4979523923,71000
0.0163438,1000.0,0.996709645959,73,0.0037093,1.88578,-0.0111518,2,65.14092969894409,0.0,29.7184759332,73000
0.012004,1000.0,0.99788490124,75,0.00480803,1.84596,-0.0140513,2,66.95302534103394,0.0,29.9122268917,75000
0.0425672,1000.0,0.968393675983,77,0.0112191,1.85509,-0.00712298,2,68.7654550075531,0.0,29.9483186494,77000
0.0477842,1000.0,0.946039915085,79,0.0104186,1.81246,-0.0139711,2,70.57907438278198,0.0,30.1587389749,79000
0.0130634,1000.0,0.997416031081,81,0.00900485,1.81152,-0.0171763,2,72.39055466651917,0.0,30.3158913017,81000
0.0192421,1000.0,0.995625179727,83,0.0077987,1.80771,-0.0183652,2,74.2030999660492,0.0,30.395919154,83000
0.0261694,1000.0,0.996634316863,86,0.0105267,1.79291,-0.0141244,3,76.01520895957947,0.0,30.6045088189,86000
0.0183504,1000.0,0.9972122279,88,0.00449213,1.76424,-0.00959535,2,77.82936096191406,0.0,30.7241919199,88000
0.00928135,1000.0,0.998792032478,90,0.00812921,1.73684,-0.0157282,2,79.6408941745758,0.0,30.8886756597,90000
