loss_kl,EpLenMean,EpRewMean,ev_tdlam_before,loss_pol_surr,EpThisIter,TimeElapsed,EpisodesSoFar,loss_pol_entpen,TimestepsSoFar,loss_ent,loss_vf_loss
0.010837,1000.0,9.52839980568,-0.0650960206985,-0.0257126,2,2.015791654586792,2,0.0,2000,2.83828,7.88453
0.013576,1000.0,20.7272156842,0.173308491707,-0.0250637,2,3.752406597137451,4,0.0,4000,2.80479,12.6581
0.0126613,1000.0,17.3123692189,0.226084828377,-0.0232646,2,5.515868186950684,6,0.0,6000,2.78011,7.25361
0.013845,1000.0,18.0574586543,0.3865275383,-0.0269858,2,7.2654783725738525,8,0.0,8000,2.75763,3.45275
0.00844473,1000.0,18.6830007867,0.685252547264,-0.0166691,2,9.033473491668701,10,0.0,10000,2.73072,1.473
0.00721906,1000.0,20.031857766,0.676564544439,-0.0124733,2,10.803318500518799,12,0.0,12000,2.73565,0.946398
0.00839974,1000.0,20.6353614588,0.749805271626,-0.0155507,2,12.57814335823059,14,0.0,14000,2.71165,1.10528
0.00847033,1000.0,21.2007134769,0.895470000803,-0.0157471,2,14.343397378921509,16,0.0,16000,2.69499,0.452877
0.0113281,1000.0,21.6970589855,0.922115810215,-0.0164122,2,16.140366315841675,18,0.0,18000,2.67297,0.262112
0.00689694,1000.0,21.8951892929,0.937390930951,-0.0171563,2,17.9213285446167,20,0.0,20000,2.64735,0.284907
0.0104926,1000.0,22.5473466158,0.974608436227,-0.0182373,2,19.68761134147644,22,0.0,22000,2.63181,0.143033
0.0067535,1000.0,23.2023876753,0.978168377653,-0.0168304,2,21.468729734420776,24,0.0,24000,2.59352,0.0904961
0.0116308,1000.0,24.1519942778,0.950222656131,-0.0188799,2,23.21902823448181,26,0.0,26000,2.58265,0.244901
0.00968785,1000.0,24.5242015472,0.95533138141,-0.0117045,2,24.986857652664185,28,0.0,28000,2.55199,0.204437
0.00679907,1000.0,24.9562632557,0.990141684189,-0.018541,2,26.76558780670166,30,0.0,30000,2.49272,0.0765497
0.00693375,1000.0,25.5970947586,0.991541571915,-0.0159602,2,28.531604528427124,32,0.0,32000,2.42986,0.0488909
0.00824429,1000.0,26.2368791974,0.991402761079,-0.0143712,2,30.296553134918213,34,0.0,34000,2.40738,0.0586916
0.00674166,1000.0,26.6889121518,0.926048524678,-0.0155322,2,32.06443428993225,36,0.0,36000,2.42491,0.140131
0.00477221,1000.0,26.9976259958,0.980299638584,-0.0160734,2,33.861390829086304,38,0.0,38000,2.43085,0.149519
0.00721848,1000.0,27.4201125398,0.995401336346,-0.0191726,2,35.60936713218689,40,0.0,40000,2.39486,0.0305497
0.0122477,1000.0,27.76143128,0.993922264315,-0.0185573,3,37.398059368133545,43,0.0,43000,2.37546,0.0371182
0.00634761,1000.0,27.8695921094,0.995310781058,-0.0169365,2,39.18729829788208,45,0.0,45000,2.33876,0.0326665
0.00721275,1000.0,28.2493619021,0.992673550267,-0.0141325,2,40.95326352119446,47,0.0,47000,2.31331,0.0292752
0.00389861,1000.0,28.5226892522,0.997205153108,-0.0171293,2,42.734755516052246,49,0.0,49000,2.27437,0.0147987
0.00568955,1000.0,28.7745731905,0.996990823885,-0.0141131,2,44.50010418891907,51,0.0,51000,2.24344,0.0139321
0.00711034,1000.0,29.0366882656,0.994250711054,-0.0149261,2,46.29661965370178,53,0.0,53000,2.22106,0.0396358
0.0111406,1000.0,29.4059397081,0.994943035766,-0.0138695,2,48.062376737594604,55,0.0,55000,2.19019,0.0273314
0.00696141,1000.0,29.7543134214,0.995722273365,-0.0186886,2,49.84572124481201,57,0.0,57000,2.16239,0.0326523
0.00537533,1000.0,30.0187069099,0.996189734433,-0.0152357,2,51.60903239250183,59,0.0,59000,2.14373,0.0257614
0.0037819,1000.0,30.3600678652,0.996096204966,-0.0132011,2,53.406816720962524,61,0.0,61000,2.14734,0.0148312
0.00887904,1000.0,30.6447603711,0.992323506624,-0.0203291,2,55.172436475753784,63,0.0,63000,2.13182,0.0210465
