EpRewMean,ev_tdlam_before,loss_pol_surr,TimeElapsed,loss_pol_entpen,loss_ent,TimestepsSoFar,EpLenMean,EpisodesSoFar,loss_kl,loss_vf_loss,EpThisIter
829.4789016,0.610984236002,-0.00916763,83.05431604385376,0.0,0.0487241,94180,89.37,4205,0.0130676,6495.93,22
900.638882353,0.679989725351,-0.0129621,84.8209319114685,0.0,0.0412201,96154,97.02,4218,0.00961964,6583.64,13
947.643574992,0.609950304031,-0.0109831,86.60931134223938,0.0,0.0187185,98129,102.08,4232,0.0120683,7284.05,14
1019.68041737,0.647953927517,-0.00855105,88.37493181228638,0.0,-0.00604403,99787,109.82,4246,0.011,6975.46,14
1151.46848531,0.690287292004,-0.0133274,90.15617561340332,0.0,-0.0227518,102235,123.98,4257,0.00769895,6649.82,11
1290.98942907,0.640102267265,-0.0103472,91.92179417610168,0.0,-0.0416875,104418,138.97,4268,0.00780695,7121.25,11
1401.49801681,0.791710972786,-0.0104226,93.68878483772278,0.0,-0.0450693,106451,150.83,4277,0.00386156,6126.28,9
1522.83723406,0.631683647633,-0.0203687,95.46901774406433,0.0,-0.054567,108380,163.86,4283,0.0156043,6813.45,6
1585.77547279,0.62202078104,-0.0087734,97.23545479774475,0.0,-0.0658404,110313,170.61,4292,0.00926686,7185.37,9
1755.12792217,0.5415148139,-0.00853607,99.00161361694336,0.0,-0.0983372,112516,188.8,4297,0.00517559,7407.43,5
1884.79743368,0.722640395164,-0.00929029,100.78170490264893,0.0,-0.105869,114453,202.73,4305,0.00523055,6298.12,8
1949.8783079,0.673668444157,-0.0108809,102.54706716537476,0.0,-0.114479,116545,209.72,4313,0.0044583,6629.99,8
2067.68943176,0.711803406477,-0.0152341,104.38371443748474,0.0,-0.131051,118781,222.37,4320,0.00938652,6728.37,7
2183.80204799,0.699290394783,-0.0083858,106.1420202255249,0.0,-0.143098,120776,234.84,4324,0.00659823,6183.18,4
2307.7756808,0.490076839924,-0.0121893,107.93867754936218,0.0,-0.142112,122498,248.15,4326,0.0162056,6748.97,2
2483.09739372,0.666684657335,-0.0147287,109.70026898384094,0.0,-0.143302,124643,266.97,4330,0.00602465,6220.2,4
2621.95546235,0.702255547047,-0.0121535,111.4843213558197,0.0,-0.151388,126878,281.88,4336,0.00764515,5771.81,6
2765.63390707,0.702643722296,-0.000908018,113.25012040138245,0.0,-0.164006,128985,297.31,4343,0.0115957,5759.49,7
2747.55870391,0.776406109333,-0.00443882,115.04080271720886,0.0,-0.175717,130323,295.36,4347,0.0162377,5685.04,4
2932.91457972,0.143133103848,-0.00155242,116.81179666519165,0.0,-0.183544,132956,315.26,4350,0.0190223,7089.46,3
3100.97973348,0.521418273449,0.00132326,118.57741641998291,0.0,-0.177319,135065,333.31,4354,0.0243055,6438.16,4
3245.31014049,0.567076981068,-0.00483804,120.34303665161133,0.0,-0.161288,137115,348.8,4357,0.0283232,5948.09,3
3292.51848305,0.594271272421,-0.0130702,122.12581372261047,0.0,-0.18257,139072,353.86,4365,0.0139485,6449.08,8
3416.96129509,0.266046643257,-0.00171756,123.89127945899963,0.0,-0.179681,141218,367.21,4369,0.0174554,7050.22,4
3507.89814245,0.584556937218,-0.0101602,125.67223834991455,0.0,-0.20349,143295,376.97,4374,0.00800855,5909.55,5
3605.34895946,0.451914191246,-0.0106449,127.43797516822815,0.0,-0.198558,145193,387.42,4377,0.00822478,5889.9,3
3768.71272575,0.334309697151,-0.00847738,129.21926498413086,0.0,-0.211773,147408,404.95,4380,0.0209571,6225.65,3
3813.31415727,0.237018346786,-0.00858197,130.9849202632904,0.0,-0.220735,148911,409.72,4382,0.0093004,5853.65,2
3933.49711422,0.00117880105972,-0.00509181,132.76578497886658,0.0,-0.224491,150911,422.61,4384,0.011025,5834.78,2
4085.47417833,0.29656213522,-0.00559178,134.5314028263092,0.0,-0.234876,152747,438.92,4386,0.004015,5627.15,2
4211.81971268,-0.00396573543549,-0.00322365,136.31264805793762,0.0,-0.236937,154747,452.47,4388,0.02091,5817.55,2
4321.09604623,0.520905703306,-0.0165471,138.0781807899475,0.0,-0.241123,157490,464.18,4393,0.0117259,5541.36,5
4386.15573818,0.429078161716,-0.0101209,139.8594274520874,0.0,-0.248583,159567,471.15,4396,0.0102543,5431.25,3
