TimestepsSoFar,TimeElapsed,loss_kl,loss_pol_entpen,ev_tdlam_before,loss_vf_loss,EpThisIter,EpLenMean,loss_ent,loss_pol_surr,EpisodesSoFar,EpRewMean
104000,91.50613903999329,0.0185141,0.0,0.617714047432,23.2434,2,1000.0,4.42677,-0.0528672,104,-105.399585025
106000,93.2767448425293,0.0185435,0.0,0.616959869862,22.4045,2,1000.0,4.35165,-0.0578362,106,-85.1207759074
108000,95.06236004829407,0.0193029,0.0,0.633609294891,25.6553,2,1000.0,4.25224,-0.055709,108,-62.9514847302
110000,96.84412169456482,0.0177549,0.0,0.126047134399,19.7917,2,1000.0,4.22021,-0.0508416,110,-40.8415720496
112000,98.62123250961304,0.0234897,0.0,0.233721137047,22.1803,2,1000.0,4.12857,-0.0465601,112,-18.6004845553
114000,100.40446925163269,0.0191083,0.0,0.585465997458,26.1025,2,1000.0,4.08077,-0.0463506,114,1.12690396967
116000,102.19273376464844,0.019774,0.0,0.119929790497,26.0186,2,1000.0,3.99413,-0.0497855,116,22.3549314999
118000,103.96447587013245,0.0184101,0.0,0.167864382267,28.4351,2,1000.0,3.90667,-0.0481674,118,45.3881843118
120000,105.76622223854065,0.0234015,0.0,0.226596176624,28.4507,2,1000.0,3.86538,-0.0452765,120,67.8024955352
122000,107.56336450576782,0.0165123,0.0,0.0905646085739,29.7878,2,1000.0,3.77908,-0.0454176,122,90.6657333373
124000,109.32959151268005,0.0201407,0.0,0.442252397537,32.8359,2,1000.0,3.70064,-0.0515495,124,110.443237177
126000,111.12479162216187,0.0179656,0.0,0.265708506107,32.5159,2,1000.0,3.67512,-0.0407265,126,131.862036397
129000,112.89044666290283,0.0187558,0.0,0.198509573936,47.2836,3,1000.0,3.63867,-0.0435984,129,164.292255418
131000,114.6870801448822,0.0194,0.0,0.147430300713,33.4007,2,1000.0,3.56324,-0.0434861,131,184.093444131
133000,116.45351791381836,0.0223692,0.0,0.136043846607,33.1871,2,1000.0,3.52547,-0.0415628,133,203.859962857
135000,118.25031447410583,0.0197932,0.0,0.212692916393,33.9321,2,1000.0,3.45871,-0.0442865,135,224.809700745
137000,120.03094673156738,0.0232819,0.0,0.137329816818,35.0019,2,1000.0,3.4039,-0.0371924,137,246.054834983
139000,121.79832148551941,0.0265047,0.0,0.327343225479,38.4265,2,1000.0,3.35464,-0.0450885,139,265.451968237
141000,123.57833957672119,0.0232083,0.0,0.317241072655,41.14,2,1000.0,3.31445,-0.0442083,141,285.748878356
143000,125.39079141616821,0.0198215,0.0,0.211343765259,41.9042,2,1000.0,3.30446,-0.04108,143,305.649614229
145000,127.15669894218445,0.0198004,0.0,0.073014318943,42.3767,2,1000.0,3.24219,-0.038001,145,325.986104692
147000,128.93872928619385,0.023431,0.0,0.195145130157,46.5033,2,1000.0,3.22548,-0.04106,147,344.691555478
149000,130.7348871231079,0.0176544,0.0,0.112326920033,46.9606,2,1000.0,3.20204,-0.0440256,149,363.647295329
151000,132.5162272453308,0.0214346,0.0,0.359182953835,43.777,2,1000.0,3.1541,-0.0454644,151,382.117240355
153000,134.29684281349182,0.0227638,0.0,0.0717954039574,46.882,2,1000.0,3.11348,-0.0365935,153,402.404650466
155000,136.07844614982605,0.0239895,0.0,0.212772846222,46.7803,2,1000.0,3.10933,-0.0394355,155,421.433610398
157000,137.85132503509521,0.0231957,0.0,0.114311397076,48.0491,2,1000.0,3.08366,-0.0381054,157,440.265198895
159000,139.62542700767517,0.0211082,0.0,0.0303433537483,50.5679,2,1000.0,3.02713,-0.0435637,159,460.171855418
161000,141.40640544891357,0.0246525,0.0,0.088915348053,51.1257,2,1000.0,2.97936,-0.0408862,161,479.378824605
163000,143.2035620212555,0.0268954,0.0,0.124983668327,54.84,2,1000.0,2.97452,-0.0396612,163,498.170036281
165000,144.96916842460632,0.0214391,0.0,0.0740912556648,53.5015,2,1000.0,2.92784,-0.038733,165,517.803256479
167000,146.76623106002808,0.0200811,0.0,0.103510558605,55.8159,2,1000.0,2.8522,-0.040422,167,536.59080992
169000,148.5326452255249,0.0253204,0.0,0.454813718796,61.0309,2,1000.0,2.82516,-0.0457932,169,551.674939031
172000,150.32830286026,0.0233804,0.0,0.148698687553,79.8177,3,1000.0,2.75046,-0.0437767,172,576.478439117
174000,152.0943775177002,0.0231948,0.0,0.191795110703,55.7058,2,1000.0,2.68745,-0.0421707,174,592.517700721
176000,153.89052438735962,0.0216766,0.0,0.0977331399918,60.8511,2,1000.0,2.63379,-0.0390378,176,608.342823377
178000,155.64199590682983,0.0221321,0.0,0.0539921522141,58.7121,2,1000.0,2.60671,-0.0386375,178,623.577544876
180000,157.43768525123596,0.0227203,0.0,0.0576196908951,60.2807,2,1000.0,2.5926,-0.0377232,180,638.699007838
182000,159.2043583393097,0.0299267,0.0,0.0957575440407,62.2824,2,1000.0,2.55602,-0.0348661,182,653.601922803
184000,161.00145411491394,0.024165,0.0,0.0742747187614,62.9122,2,1000.0,2.5289,-0.0352743,184,667.053241598
186000,162.78170108795166,0.0220231,0.0,0.393777668476,65.2696,2,1000.0,2.52708,-0.0445847,186,679.35814488
188000,164.5623481273651,0.0260414,0.0,0.0653292536736,60.8306,2,1000.0,2.47372,-0.0326594,188,692.95616327
190000,166.32894706726074,0.0228773,0.0,0.0133269429207,61.6485,2,1000.0,2.45081,-0.0377135,190,705.953389374
192000,168.12570810317993,0.0275773,0.0,0.0864616632462,65.3059,2,1000.0,2.44545,-0.0354785,192,717.670496288
194000,169.8910412788391,0.0200865,0.0,0.0423719882965,61.8289,2,1000.0,2.40404,-0.0386931,194,728.415529783
196000,171.67200207710266,0.0271593,0.0,0.099128305912,63.8547,2,1000.0,2.38591,-0.0386583,196,740.621534627
198000,173.43762469291687,0.0212227,0.0,0.0708568692207,66.107,2,1000.0,2.3513,-0.0358697,198,751.561000921
200000,175.21854734420776,0.0291412,0.0,0.0518510341644,60.2094,2,1000.0,2.32309,-0.0305306,200,762.922443185
202000,177.00081491470337,0.025747,0.0,0.0381102561951,66.6415,2,1000.0,2.30863,-0.0353971,202,775.171555379
204000,178.79673957824707,0.0241964,0.0,0.0705450773239,68.6142,2,1000.0,2.29006,-0.0358342,204,786.333557318
206000,180.57839465141296,0.0277211,0.0,0.223793148994,67.3692,2,1000.0,2.28931,-0.0397808,206,797.016055427
208000,182.359769821167,0.0215849,0.0,0.122944653034,69.2393,2,1000.0,2.28906,-0.0342789,208,807.329290853
210000,184.14026141166687,0.0247098,0.0,0.0495591759682,69.7429,2,1000.0,2.2496,-0.0362955,210,815.577452939
212000,185.92158722877502,0.0433295,0.0,0.0545586943626,68.6765,2,1000.0,2.20747,-0.0294435,212,824.91012909
215000,187.70330142974854,0.0223314,0.0,0.074145257473,94.034,3,1000.0,2.19152,-0.0402662,215,839.430577944
217000,189.50100183486938,0.0285926,0.0,0.0657595992088,76.1932,2,1000.0,2.16666,-0.0355751,217,846.746793776
219000,191.2811369895935,0.0322285,0.0,0.0500769615173,77.218,2,1000.0,2.10795,-0.0365559,219,855.259747038
221000,193.047030210495,0.0213795,0.0,0.0489552617073,78.3975,2,1000.0,2.06513,-0.0380945,221,863.720001293
223000,194.81262588500977,0.0269615,0.0,0.0843747854233,74.5769,2,1000.0,2.03708,-0.0389943,223,871.772947251
225000,196.59328889846802,0.0301591,0.0,0.132875680923,79.2017,2,1000.0,2.00947,-0.0354675,225,879.329749569
227000,198.37525081634521,0.0244611,0.0,0.0840992927551,79.0138,2,1000.0,1.97117,-0.0378096,227,887.099232158
229000,200.15745186805725,0.0289183,0.0,0.147741854191,81.8316,2,1000.0,1.94552,-0.0380474,229,893.270099047
