TimestepsSoFar,TimeElapsed,loss_kl,loss_pol_entpen,ev_tdlam_before,loss_vf_loss,EpThisIter,EpLenMean,loss_ent,loss_pol_surr,EpisodesSoFar,EpRewMean
460000,401.3127233982086,0.0250874,0.0,0.0631048083305,140.199,2,1000.0,-0.271875,-0.0406895,460,1327.67042176
462000,403.0941469669342,0.0305624,0.0,0.0678562521935,134.587,2,1000.0,-0.292777,-0.038484,462,1329.30144858
464000,404.87521266937256,0.0265278,0.0,0.0531870722771,142.085,2,1000.0,-0.320209,-0.0371582,464,1331.60121749
466000,406.6406219005585,0.0424371,0.0,0.0619877576828,139.963,2,1000.0,-0.343527,-0.0287659,466,1332.65786435
468000,408.4215214252472,0.0507434,0.0,0.0551230311394,138.53,2,1000.0,-0.352535,-0.0297759,468,1334.41374703
471000,410.20494294166565,0.0392546,0.0,0.0396490693092,175.098,3,1000.0,-0.385401,-0.0359876,471,1335.80540497
473000,411.9901213645935,0.0303823,0.0,-0.00395405292511,133.271,2,1000.0,-0.37928,-0.0325064,473,1337.75349611
475000,413.78155398368835,0.0342762,0.0,0.0190848708153,133.744,2,1000.0,-0.383929,-0.0303162,475,1340.98484601
477000,415.5625123977661,0.033825,0.0,0.070578455925,138.146,2,1000.0,-0.354791,-0.0327412,477,1342.5544701
479000,417.343537569046,0.0273651,0.0,0.0512470006943,134.0,2,1000.0,-0.355315,-0.0363255,479,1344.08738783
481000,419.1251218318939,0.0435139,0.0,0.0497039556503,139.784,2,1000.0,-0.352106,-0.0320789,481,1345.55468686
483000,420.89073061943054,0.0284048,0.0,0.0477630496025,140.65,2,1000.0,-0.341393,-0.0353307,483,1348.29721671
485000,422.6716248989105,0.0279818,0.0,0.062431037426,140.066,2,1000.0,-0.357703,-0.0361644,485,1350.00423959
487000,424.438538312912,0.0379465,0.0,0.0473431348801,141.827,2,1000.0,-0.383442,-0.0339465,487,1350.52238377
489000,426.2195255756378,0.0423798,0.0,0.0652261972427,139.837,2,1000.0,-0.370209,-0.0290586,489,1351.13717863
491000,428.0007507801056,0.0310166,0.0,0.0474861264229,141.749,2,1000.0,-0.407044,-0.0375764,491,1352.91264663
493000,429.7663412094116,0.0299983,0.0,0.0407573580742,141.88,2,1000.0,-0.419394,-0.0351617,493,1354.19866898
495000,431.5474066734314,0.0337538,0.0,0.0421535372734,140.46,2,1000.0,-0.424891,-0.0334448,495,1355.81259844
497000,433.32853746414185,0.0365388,0.0,0.00714319944382,137.908,2,1000.0,-0.44393,-0.0336686,497,1357.42993993
499000,435.11009550094604,0.0436082,0.0,0.0437284708023,140.363,2,1000.0,-0.435974,-0.0300182,499,1358.39742187
501000,436.86762380599976,0.0390531,0.0,0.0322264432907,139.634,2,1000.0,-0.453726,-0.0350243,501,1360.41087398
503000,438.6557364463806,0.029938,0.0,0.040679693222,141.194,2,1000.0,-0.460023,-0.0340522,503,1362.60024829
505000,440.4216408729553,0.0312206,0.0,0.0578371286392,144.274,2,1000.0,-0.462395,-0.0361759,505,1363.97508344
507000,442.2036278247833,0.0642495,0.0,0.184154331684,147.603,2,1000.0,-0.483839,-0.0367474,507,1365.68573842
509000,443.96924805641174,0.0476957,0.0,0.0406041145325,144.683,2,1000.0,-0.471883,-0.0307398,509,1368.38811244
512000,445.7513020038605,0.0371117,0.0,0.0402423739433,196.603,3,1000.0,-0.476537,-0.0347228,512,1369.67762109
514000,447.5319004058838,0.0468209,0.0,0.0774698853493,139.519,2,1000.0,-0.502137,-0.0254754,514,1370.57750343
516000,449.3121602535248,0.0322987,0.0,0.0505272746086,143.398,2,1000.0,-0.491275,-0.0384875,516,1371.49533564
518000,451.0785183906555,0.0442238,0.0,0.0333703756332,140.558,2,1000.0,-0.540404,-0.032444,518,1372.67608773
520000,452.8608477115631,0.0355093,0.0,0.0394159555435,134.19,2,1000.0,-0.528642,-0.0348896,520,1372.83388122
522000,454.6533522605896,0.0302733,0.0,0.0924639105797,142.286,2,1000.0,-0.537112,-0.0365158,522,1373.13272396
524000,456.43895053863525,0.0330198,0.0,0.0860768556595,142.325,2,1000.0,-0.553478,-0.0394084,524,1374.24454698
526000,458.2033348083496,0.025267,0.0,0.04968136549,142.741,2,1000.0,-0.55459,-0.0382043,526,1374.18025856
528000,459.9979832172394,0.030302,0.0,0.0994988083839,147.226,2,1000.0,-0.551546,-0.0375625,528,1375.5954257
530000,461.74982380867004,0.0446437,0.0,0.0757304430008,145.79,2,1000.0,-0.570646,-0.0319116,530,1377.60595043
532000,463.53151535987854,0.0370351,0.0,0.0984642505646,144.021,2,1000.0,-0.594631,-0.0342373,532,1378.50047489
534000,465.2970998287201,0.0336369,0.0,0.0244188904762,147.127,2,1000.0,-0.607574,-0.035731,534,1379.18593925
536000,467.09332966804504,0.0480343,0.0,0.0704119205475,147.105,2,1000.0,-0.607401,-0.0335131,536,1381.5756925
538000,468.85897731781006,0.0342912,0.0,0.0719278454781,146.743,2,1000.0,-0.623897,-0.0362826,538,1381.75588703
540000,470.64098834991455,0.036191,0.0,0.0758421421051,148.514,2,1000.0,-0.603029,-0.036295,540,1383.99011809
542000,472.4074659347534,0.0312039,0.0,0.106386423111,146.965,2,1000.0,-0.614283,-0.0345991,542,1384.70605441
544000,474.18841004371643,0.0435295,0.0,0.0689668059349,146.704,2,1000.0,-0.635435,-0.0328195,544,1384.51102875
546000,475.95671033859253,0.0410355,0.0,0.0732760429382,147.02,2,1000.0,-0.601309,-0.0340036,546,1385.36431316
548000,477.7504403591156,0.0797302,0.0,0.0740739107132,150.799,2,1000.0,-0.624294,-0.0225355,548,1387.17456801
550000,479.5159435272217,0.0359,0.0,0.0435417890549,148.419,2,1000.0,-0.645177,-0.0329754,550,1389.18360857
552000,481.2813251018524,0.0653717,0.0,0.0713402628899,149.284,2,1000.0,-0.671345,-0.029244,552,1389.49017545
555000,483.0629150867462,0.0752035,0.0,0.0333855748177,214.482,3,1000.0,-0.709513,-0.0275784,555,1390.82996063
557000,484.84418296813965,0.0408789,0.0,0.091680586338,150.486,2,1000.0,-0.725412,-0.0355157,557,1391.47251541
559000,486.6095817089081,0.0338737,0.0,0.168721437454,147.957,2,1000.0,-0.718938,-0.0398114,559,1392.0796169
561000,488.3906738758087,0.0309025,0.0,0.0988264679909,151.809,2,1000.0,-0.713775,-0.0374816,561,1392.79934064
563000,490.15630865097046,0.0327102,0.0,0.0657754540443,151.452,2,1000.0,-0.712505,-0.0384946,563,1393.17557821
565000,491.938814163208,0.0335813,0.0,0.102795422077,138.603,2,1000.0,-0.756186,-0.0400936,565,1394.16727644
567000,493.719101190567,0.0465612,0.0,0.0633782148361,145.891,2,1000.0,-0.768031,-0.0310478,567,1396.0333236
569000,495.4998366832733,0.0367474,0.0,0.0699161887169,151.282,2,1000.0,-0.786484,-0.0339472,569,1397.12476186
571000,497.26350140571594,0.0341959,0.0,0.0315548181534,147.478,2,1000.0,-0.838379,-0.0336846,571,1400.1226039
573000,499.0314989089966,0.0321826,0.0,0.0575921535492,151.945,2,1000.0,-0.825163,-0.0336471,573,1402.33530124
575000,500.7972004413605,0.0422833,0.0,0.0729839801788,150.769,2,1000.0,-0.815087,-0.0347262,575,1402.34523524
577000,502.57788467407227,0.0311745,0.0,0.0457334518433,148.029,2,1000.0,-0.848446,-0.036818,577,1403.37161154
579000,504.3442223072052,0.0314407,0.0,0.0304312705994,146.677,2,1000.0,-0.818571,-0.0351466,579,1403.66099971
581000,506.15589928627014,0.0383668,0.0,0.0552705526352,153.594,2,1000.0,-0.807034,-0.0333843,581,1404.61970356
583000,507.9227890968323,0.0330793,0.0,0.0598513484001,153.82,2,1000.0,-0.809496,-0.0324129,583,1405.18958456
585000,509.6895537376404,0.0403303,0.0,0.065477848053,155.964,2,1000.0,-0.810366,-0.0352003,585,1404.83808978
587000,511.4698178768158,0.0622251,0.0,0.0684383511543,158.826,2,1000.0,-0.802982,-0.0282641,587,1406.48245391
589000,513.2500774860382,0.0401877,0.0,0.0729104876518,149.197,2,1000.0,-0.855461,-0.0354298,589,1408.75905329
591000,515.0310156345367,0.0366823,0.0,0.0710173249245,154.536,2,1000.0,-0.85484,-0.0341568,591,1409.20760968
593000,516.8123123645782,0.258388,0.0,0.244062483311,153.66,2,1000.0,-0.824421,-0.0452004,593,1409.1648043
595000,518.5776615142822,0.0387039,0.0,0.0910843610764,153.031,2,1000.0,-0.849156,-0.0344577,595,1410.54128135
598000,520.3597602844238,0.0505561,0.0,0.0493661165237,227.425,3,1000.0,-0.870591,-0.0326079,598,1413.16357468
600000,522.1564390659332,0.0360388,0.0,0.0592150092125,147.639,2,1000.0,-0.887987,-0.035807,600,1413.57224987
602000,523.921932220459,0.0629578,0.0,0.0475365519524,160.832,2,1000.0,-0.875929,-0.0214718,602,1416.73187559
604000,525.7148141860962,0.0489628,0.0,0.0569553971291,159.2,2,1000.0,-0.873893,-0.0309226,604,1417.4250288
606000,527.4868636131287,0.0348276,0.0,0.0453545451164,159.609,2,1000.0,-0.866011,-0.033697,606,1418.51593171
608000,529.2816326618195,0.0787482,0.0,0.335217118263,160.147,2,1000.0,-0.865545,-0.0541502,608,1420.92047273
610000,531.0639481544495,0.0289913,0.0,0.0955659747124,158.518,2,1000.0,-0.875254,-0.0391367,610,1418.44808722
612000,532.8534061908722,0.0322498,0.0,0.0485020279884,159.631,2,1000.0,-0.896584,-0.0446556,612,1419.0559143
614000,534.6415627002716,0.0361591,0.0,0.072293639183,157.403,2,1000.0,-0.890163,-0.0352359,614,1421.29157634
616000,536.4066936969757,0.0384381,0.0,0.0245350003242,152.574,2,1000.0,-0.886745,-0.0305403,616,1422.75494731
618000,538.1876068115234,0.0312085,0.0,0.0470990538597,153.777,2,1000.0,-0.906181,-0.0393951,618,1423.98742693
620000,539.9530165195465,0.0374718,0.0,0.060070514679,148.752,2,1000.0,-0.922513,-0.0334798,620,1425.12007573
622000,541.7350580692291,0.0421431,0.0,0.0168982744217,153.723,2,1000.0,-0.913198,-0.0323401,622,1426.73986095
624000,543.5153713226318,0.0327942,0.0,0.0349647402763,150.951,2,1000.0,-0.905808,-0.0348403,624,1427.93702589
626000,545.3131804466248,0.0383531,0.0,0.0188854932785,155.169,2,1000.0,-0.869195,-0.0353613,626,1429.63214371
628000,547.0795590877533,0.0305794,0.0,0.051668047905,156.342,2,1000.0,-0.892733,-0.0378236,628,1429.49798452
630000,548.8608024120331,0.0426837,0.0,0.177069723606,160.515,2,1000.0,-0.882868,-0.0407748,630,1428.62722404
632000,550.6253890991211,0.0355057,0.0,0.0482693910599,152.52,2,1000.0,-0.880091,-0.0383652,632,1429.83672649
634000,552.4059805870056,0.0265415,0.0,0.0506922602654,149.323,2,1000.0,-0.911559,-0.0368133,634,1431.21334148
636000,554.1714673042297,0.0406107,0.0,0.138365864754,157.215,2,1000.0,-0.906473,-0.0378539,636,1431.35431392
638000,555.9534115791321,0.0340091,0.0,0.0675114989281,157.973,2,1000.0,-0.896264,-0.0339033,638,1433.15063209
641000,557.7340400218964,0.0287742,0.0,0.0427004694939,233.363,3,1000.0,-0.883265,-0.0404443,641,1435.09247366
643000,559.5161159038544,0.040684,0.0,0.0492254495621,151.454,2,1000.0,-0.907974,-0.0339049,643,1436.27939595
645000,561.3122642040253,0.0332512,0.0,0.107464432716,156.309,2,1000.0,-0.933045,-0.040108,645,1436.79162027
647000,563.0791249275208,0.0420114,0.0,0.0436418652534,156.875,2,1000.0,-0.969781,-0.0368046,647,1438.55491876
649000,564.8593354225159,0.0370734,0.0,0.0330045819283,151.752,2,1000.0,-0.967831,-0.0350784,649,1438.95682621
651000,566.6404023170471,0.0495226,0.0,0.033841252327,159.806,2,1000.0,-0.97817,-0.0281105,651,1439.58573571
653000,568.4222009181976,0.0454695,0.0,0.209652125835,163.473,2,1000.0,-0.996784,-0.0353497,653,1440.8922749
655000,570.2041661739349,0.0382031,0.0,0.0875183343887,164.757,2,1000.0,-1.0091,-0.0353378,655,1443.01949355
657000,571.985680103302,0.0398964,0.0,0.0716429948807,163.322,2,1000.0,-1.01413,-0.0307724,657,1443.63333542
659000,573.7340137958527,0.0403271,0.0,0.0975002646446,158.155,2,1000.0,-1.0369,-0.0335389,659,1445.15437479
661000,575.5164361000061,0.0509787,0.0,0.0262460112572,157.763,2,1000.0,-1.05355,-0.0274384,661,1446.27976156
663000,577.2964954376221,0.0313919,0.0,0.0384051203728,154.343,2,1000.0,-1.06078,-0.0339769,663,1448.1248669
665000,579.0784630775452,0.0638622,0.0,0.0640116930008,160.886,2,1000.0,-1.11746,-0.0255426,665,1449.15008659
667000,580.8440284729004,0.0324489,0.0,0.0580638647079,161.678,2,1000.0,-1.12567,-0.0374709,667,1449.34940063
669000,582.6259837150574,0.0297638,0.0,0.0613067150116,160.23,2,1000.0,-1.13687,-0.0360891,669,1450.69770654
671000,584.3901250362396,0.045775,0.0,0.0654951334,156.472,2,1000.0,-1.14428,-0.0311183,671,1449.91277463
673000,586.1850152015686,0.0358151,0.0,0.0627628564835,164.299,2,1000.0,-1.1611,-0.0398628,673,1450.76036225
675000,587.9542081356049,0.0465057,0.0,0.025238931179,160.96,2,1000.0,-1.134,-0.0316044,675,1452.56113417
677000,589.7343382835388,0.0518459,0.0,0.0659449696541,163.908,2,1000.0,-1.10368,-0.0302593,677,1453.96354613
679000,591.4997115135193,0.0410415,0.0,0.0730016231537,158.055,2,1000.0,-1.12659,-0.0335603,679,1455.1872956
681000,593.3129844665527,0.0436195,0.0,0.0644590854645,162.786,2,1000.0,-1.13135,-0.0324581,681,1456.20718716
684000,595.093585729599,0.0316527,0.0,0.041971385479,226.311,3,1000.0,-1.13971,-0.0340624,684,1457.24422205
686000,596.8747889995575,0.0353963,0.0,0.0322549343109,157.142,2,1000.0,-1.13971,-0.0317659,686,1458.9267667
688000,598.6563889980316,0.07035,0.0,0.0322955846786,160.223,2,1000.0,-1.16562,-0.0210379,688,1459.02471868
690000,600.4373524188995,0.0613616,0.0,0.0444141030312,166.33,2,1000.0,-1.16041,-0.027871,690,1460.4486099
692000,602.2190809249878,0.0335137,0.0,0.0360201001167,156.245,2,1000.0,-1.16465,-0.0339275,692,1462.75842004
694000,604.0006320476532,0.0323202,0.0,0.051848590374,169.061,2,1000.0,-1.21512,-0.0366758,694,1464.95345512
696000,605.7651348114014,0.100473,0.0,-0.00194120407104,157.397,2,1000.0,-1.21165,-0.016415,696,1465.92789892
698000,607.54807472229,0.0411912,0.0,0.0608628988266,165.087,2,1000.0,-1.24725,-0.0338297,698,1466.34947293
700000,609.327957868576,0.0349189,0.0,0.0660619735718,163.995,2,1000.0,-1.28144,-0.0326419,700,1467.66116984
702000,611.1713759899139,0.0287138,0.0,0.0458146929741,162.688,2,1000.0,-1.27937,-0.0367163,702,1465.68455859
704000,612.9427869319916,0.0532999,0.0,0.0473849773407,167.314,2,1000.0,-1.29956,-0.0286604,704,1465.70610668
706000,614.7197785377502,0.0896206,0.0,0.0419278144836,163.677,2,1000.0,-1.31684,-0.0200828,706,1466.69563495
708000,616.5156416893005,0.0490534,0.0,0.0555050373077,171.357,2,1000.0,-1.32021,-0.0300627,708,1467.52986203
710000,618.2979090213776,0.0542468,0.0,0.0379120707512,157.45,2,1000.0,-1.30588,-0.0240669,710,1471.59382089
712000,620.0854828357697,0.033425,0.0,0.0590326786041,167.077,2,1000.0,-1.32415,-0.0330621,712,1473.66673053
714000,621.8595068454742,0.0405448,0.0,0.0764163136482,166.056,2,1000.0,-1.31911,-0.0344116,714,1473.82595928
716000,623.6404275894165,0.0433582,0.0,0.0984613895416,165.092,2,1000.0,-1.3518,-0.0318778,716,1475.11278533
718000,625.4233531951904,0.03833,0.0,0.069246172905,166.868,2,1000.0,-1.32657,-0.0386641,718,1476.3943841
720000,627.2031316757202,0.0410833,0.0,0.0711287856102,170.728,2,1000.0,-1.33627,-0.0338214,720,1477.60713319
722000,629.0006515979767,0.0348736,0.0,0.116352856159,165.069,2,1000.0,-1.35922,-0.0398085,722,1478.65669453
724000,630.7658758163452,0.0382158,0.0,0.0689277648926,164.88,2,1000.0,-1.39084,-0.0351769,724,1479.07759364
727000,632.5624516010284,0.0608796,0.0,0.0346387028694,208.276,3,1000.0,-1.39431,-0.029412,727,1481.44736343
729000,634.3287177085876,0.029995,0.0,0.0305413603783,165.192,2,1000.0,-1.3861,-0.032866,729,1482.78057078
731000,636.1096572875977,0.0476123,0.0,0.0783048868179,161.871,2,1000.0,-1.42134,-0.0313065,731,1485.47547735
733000,637.87597823143,0.0354337,0.0,0.0340504050255,159.326,2,1000.0,-1.43908,-0.0389192,733,1486.33601464
735000,639.6560516357422,0.0431617,0.0,0.0482831001282,165.321,2,1000.0,-1.45138,-0.0355265,735,1486.09040656
737000,641.4383327960968,0.0304481,0.0,0.094280064106,171.382,2,1000.0,-1.39488,-0.0354979,737,1488.436345
739000,643.2195818424225,0.049112,0.0,0.00541561841965,162.009,2,1000.0,-1.41889,-0.0299671,739,1488.95659252
741000,645.0002167224884,0.0513417,0.0,0.0351547002792,163.268,2,1000.0,-1.41883,-0.024173,741,1489.29908749
743000,646.7814793586731,0.0350981,0.0,0.0402849316597,161.702,2,1000.0,-1.45301,-0.0332819,743,1490.86301563
745000,648.5626292228699,0.0387989,0.0,0.036743581295,166.122,2,1000.0,-1.4829,-0.0333238,745,1492.18941612
747000,650.3281769752502,0.0418253,0.0,0.0429132580757,160.059,2,1000.0,-1.43042,-0.0271029,747,1493.39916928
749000,652.0941350460052,0.0552377,0.0,0.0387085080147,167.515,2,1000.0,-1.41775,-0.0281454,749,1494.71390391
751000,653.875247001648,0.0498949,0.0,0.0575329661369,174.037,2,1000.0,-1.45557,-0.032569,751,1496.17278521
753000,655.6431756019592,0.036219,0.0,0.130396485329,172.378,2,1000.0,-1.47226,-0.0363304,753,1497.68247664
755000,657.422064781189,0.0327883,0.0,0.0813363194466,174.35,2,1000.0,-1.49262,-0.0334791,755,1497.46106953
757000,659.1874814033508,0.0365254,0.0,0.0412725806236,171.988,2,1000.0,-1.47717,-0.0316027,757,1498.37094594
759000,660.9697358608246,0.030474,0.0,0.0279066562653,168.231,2,1000.0,-1.49148,-0.033467,759,1500.33478089
761000,662.7656760215759,0.0508552,0.0,0.0345681905746,172.035,2,1000.0,-1.48591,-0.0306443,761,1501.31575636
763000,664.5465114116669,0.0409149,0.0,0.0436449050903,167.818,2,1000.0,-1.50177,-0.0315075,763,1502.18876237
765000,666.3284375667572,0.0286605,0.0,0.0714740157127,172.829,2,1000.0,-1.52459,-0.0337483,765,1502.65310227
768000,668.1093807220459,0.0531189,0.0,0.056463599205,250.356,3,1000.0,-1.53617,-0.0333757,768,1504.334491
770000,669.8840198516846,0.0407135,0.0,0.101955652237,169.546,2,1000.0,-1.53365,-0.0325074,770,1505.8794907
772000,671.6574676036835,0.0420932,0.0,0.0838343501091,170.049,2,1000.0,-1.53158,-0.0335973,772,1506.11227534
774000,673.4215834140778,0.0413338,0.0,0.0171880125999,159.937,2,1000.0,-1.52803,-0.0322668,774,1506.38961155
776000,675.2035765647888,0.0260764,0.0,0.0675973296165,167.485,2,1000.0,-1.52985,-0.0352251,776,1507.28583295
778000,676.9691905975342,0.0467076,0.0,0.038435280323,169.646,2,1000.0,-1.569,-0.0315094,778,1508.05194098
780000,678.7505705356598,0.0562819,0.0,0.158465504646,168.691,2,1000.0,-1.55766,-0.0306757,780,1508.32685983
782000,680.524331331253,0.0301967,0.0,0.0460579395294,159.6,2,1000.0,-1.54708,-0.0350838,782,1508.30190439
784000,682.3279297351837,0.0494772,0.0,0.0203374028206,164.599,2,1000.0,-1.5319,-0.0263802,784,1508.86437681
786000,684.094183921814,0.047614,0.0,0.0261473655701,166.148,2,1000.0,-1.51451,-0.029203,786,1508.55321212
788000,685.8751649856567,0.0444176,0.0,0.0367189645767,161.843,2,1000.0,-1.51745,-0.0293045,788,1509.56407221
790000,687.697998046875,0.0413876,0.0,0.0455893278122,165.519,2,1000.0,-1.52845,-0.0287541,790,1510.11709272
792000,689.4810032844543,0.0616069,0.0,0.0456266403198,169.834,2,1000.0,-1.54635,-0.0183777,792,1511.00940428
794000,691.250408411026,0.038378,0.0,0.0678669810295,171.728,2,1000.0,-1.53736,-0.0354858,794,1510.46766067
796000,693.032354593277,0.0443632,0.0,0.0410167574883,169.72,2,1000.0,-1.5269,-0.0326203,796,1510.49379461
798000,694.8231301307678,0.0429534,0.0,0.041208922863,172.307,2,1000.0,-1.53192,-0.0325804,798,1510.09648687
800000,696.5940380096436,0.0414827,0.0,0.0853735208511,165.848,2,1000.0,-1.50338,-0.0353388,800,1510.75165538
802000,698.3756237030029,0.0447054,0.0,0.0818431377411,173.938,2,1000.0,-1.53716,-0.0360113,802,1512.52370156
804000,700.172233581543,0.0383638,0.0,0.0737262964249,172.709,2,1000.0,-1.53608,-0.0342768,804,1513.13798265
806000,701.9537811279297,0.0409971,0.0,0.0672493577003,170.997,2,1000.0,-1.52516,-0.0286824,806,1514.12574668
808000,703.734557390213,0.0759542,0.0,0.0738252401352,176.236,2,1000.0,-1.54515,-0.022334,808,1514.36947173
811000,705.5154385566711,0.0312476,0.0,0.056846678257,250.526,3,1000.0,-1.55448,-0.0384731,811,1515.32724364
813000,707.2964494228363,0.0553709,0.0,-0.022224187851,168.702,2,1000.0,-1.56181,-0.0273584,813,1515.61807015
815000,709.0627267360687,0.0457319,0.0,0.0387580990791,164.739,2,1000.0,-1.57432,-0.0301673,815,1517.15459636
817000,710.8545577526093,0.0558912,0.0,0.0564940571785,170.159,2,1000.0,-1.56125,-0.0243121,817,1517.50931059
819000,712.6248526573181,0.0332909,0.0,0.0486030578613,166.867,2,1000.0,-1.53189,-0.0308794,819,1517.32724598
821000,714.4061410427094,0.0510186,0.0,0.0996431112289,171.521,2,1000.0,-1.53712,-0.0284865,821,1517.10184814
823000,716.1880207061768,0.0320351,0.0,0.0735182762146,168.868,2,1000.0,-1.52665,-0.0315298,823,1518.71925036
825000,717.9543714523315,0.0432957,0.0,0.164801239967,175.545,2,1000.0,-1.51818,-0.0364546,825,1519.04109946
827000,719.7338953018188,0.0391518,0.0,0.117758393288,169.449,2,1000.0,-1.53347,-0.0339239,827,1519.55107914
829000,721.5240471363068,0.039558,0.0,0.0665963888168,171.282,2,1000.0,-1.53133,-0.0351485,829,1520.84544418
831000,723.3283371925354,0.0458714,0.0,0.134330153465,178.579,2,1000.0,-1.5485,-0.036052,831,1521.97741145
833000,725.0937390327454,0.0323201,0.0,0.00129532814026,171.44,2,1000.0,-1.5612,-0.0336915,833,1523.44175916
835000,726.8835263252258,0.0410762,0.0,0.0357410907745,179.133,2,1000.0,-1.54492,-0.0328778,835,1525.3156187
837000,728.6412281990051,0.0451481,0.0,0.0353970527649,176.446,2,1000.0,-1.54641,-0.0305313,837,1524.92047602
839000,730.4215838909149,0.0465081,0.0,0.0448117256165,173.2,2,1000.0,-1.56542,-0.0306549,839,1525.6359966
841000,732.1878490447998,0.0372587,0.0,0.0461694598198,177.087,2,1000.0,-1.60945,-0.0318772,841,1527.17643129
843000,733.9688398838043,0.0393659,0.0,0.0630105137825,179.491,2,1000.0,-1.62446,-0.0328985,843,1528.04445124
845000,735.7497501373291,0.0575768,0.0,0.0483211278915,180.69,2,1000.0,-1.66601,-0.0317438,845,1530.29941997
847000,737.5170283317566,0.0537459,0.0,-0.00185012817383,177.854,2,1000.0,-1.69877,-0.0308948,847,1531.12717962
849000,739.2820997238159,0.0554054,0.0,0.0489661693573,178.741,2,1000.0,-1.7547,-0.0297279,849,1532.77630883
851000,741.0625367164612,0.0563893,0.0,0.052099943161,182.504,2,1000.0,-1.77691,-0.0246218,851,1533.63761337
854000,742.8512856960297,0.0578307,0.0,0.136027872562,268.553,3,1000.0,-1.7429,-0.0385213,854,1533.938518
856000,744.6253814697266,0.0485893,0.0,0.0127176642418,171.218,2,1000.0,-1.76099,-0.0324859,856,1533.56782482
858000,746.3907692432404,0.0742204,0.0,0.032448887825,174.966,2,1000.0,-1.75186,-0.0232799,858,1535.02407183
860000,748.1717007160187,0.0422755,0.0,0.0548297166824,179.773,2,1000.0,-1.74498,-0.0312995,860,1535.67700683
862000,749.9370884895325,0.0604179,0.0,0.18698066473,175.43,2,1000.0,-1.73097,-0.0338758,862,1535.29101941
864000,751.7191672325134,0.0304457,0.0,0.0665934085846,184.227,2,1000.0,-1.72372,-0.035084,864,1535.80804312
866000,753.4844591617584,0.0357724,0.0,0.0146411061287,172.14,2,1000.0,-1.69885,-0.0319019,866,1536.82902485
868000,755.2651643753052,0.0418904,0.0,0.0643816590309,176.535,2,1000.0,-1.70698,-0.0323215,868,1537.28291886
870000,757.031450510025,0.0456027,0.0,0.0794759988785,179.237,2,1000.0,-1.72413,-0.0327899,870,1537.73451225
872000,758.8006925582886,0.0757584,0.0,0.0782282352448,175.89,2,1000.0,-1.73976,-0.0194194,872,1539.42126903
874000,760.5792119503021,0.030179,0.0,0.0861698389053,172.825,2,1000.0,-1.75358,-0.0366004,874,1540.14367359
876000,762.3593308925629,0.0457574,0.0,0.0256143808365,181.85,2,1000.0,-1.75851,-0.0291629,876,1540.49799055
878000,764.1253070831299,0.0344667,0.0,0.0424019694328,176.544,2,1000.0,-1.79842,-0.0311921,878,1541.56421114
880000,765.9057841300964,0.0473578,0.0,0.0448287129402,180.437,2,1000.0,-1.7954,-0.0313155,880,1542.73200567
882000,767.6875936985016,0.0370976,0.0,0.0665202140808,183.23,2,1000.0,-1.80463,-0.0345796,882,1544.63826567
884000,769.4725596904755,0.0404178,0.0,0.0464892983437,175.837,2,1000.0,-1.83697,-0.0340212,884,1545.40141989
886000,771.2656795978546,0.0328339,0.0,0.0628200769424,172.164,2,1000.0,-1.83761,-0.0336154,886,1546.22599911
888000,773.0477640628815,0.0442388,0.0,0.0526794195175,172.448,2,1000.0,-1.84092,-0.0296897,888,1547.5984063
890000,774.8436448574066,0.0356232,0.0,0.0412431955338,181.749,2,1000.0,-1.86616,-0.0335448,890,1547.80775615
892000,776.6256799697876,0.0434751,0.0,0.0879817605019,176.897,2,1000.0,-1.87152,-0.0322642,892,1547.57431619
894000,778.4224290847778,0.0343118,0.0,0.0365073084831,182.025,2,1000.0,-1.86799,-0.0333348,894,1549.86439795
897000,780.1890149116516,0.045157,0.0,0.0188632011414,258.528,3,1000.0,-1.86472,-0.0323473,897,1550.99410274
899000,781.9533259868622,0.0416847,0.0,0.0495268702507,182.137,2,1000.0,-1.84042,-0.0286146,899,1552.27370397
901000,783.735342502594,0.0434173,0.0,0.0465824604034,182.42,2,1000.0,-1.83481,-0.0318993,901,1553.30226804
903000,785.5152702331543,0.0584383,0.0,0.0725442767143,179.12,2,1000.0,-1.83367,-0.0274554,903,1554.60071196
905000,787.2822697162628,0.0457259,0.0,0.0592775940895,178.514,2,1000.0,-1.8767,-0.0312406,905,1556.02819048
907000,789.0623235702515,0.0444255,0.0,0.0346555709839,174.882,2,1000.0,-1.83776,-0.0294687,907,1556.99427895
909000,790.8405816555023,0.0462632,0.0,0.0430275797844,180.745,2,1000.0,-1.82656,-0.0266959,909,1558.92190555
911000,792.6090760231018,0.0401689,0.0,0.0644812583923,178.638,2,1000.0,-1.82941,-0.028715,911,1559.01224293
913000,794.3906650543213,0.0757647,0.0,0.0177739262581,176.931,2,1000.0,-1.85391,-0.0194757,913,1559.85074811
915000,796.1570155620575,0.0325939,0.0,0.020038485527,179.691,2,1000.0,-1.81401,-0.03192,915,1559.73193162
917000,797.9388446807861,0.0399675,0.0,0.0541636347771,179.582,2,1000.0,-1.86335,-0.0359521,917,1560.2034159
919000,799.7022016048431,0.0380152,0.0,0.0701519846916,185.402,2,1000.0,-1.86702,-0.0359587,919,1562.14735211
