loss_ent,ev_tdlam_before,loss_kl,EpisodesSoFar,loss_pol_entpen,EpRewMean,loss_vf_loss,EpThisIter,EpLenMean,TimestepsSoFar,loss_pol_surr,TimeElapsed
7.16864,0.960250481963,0.0144757,784,0.0,347.853801853,23.1732,13,200.93,94189,-0.0403982,94.3892707824707
7.16804,0.97332438454,0.0142698,794,0.0,348.750802026,23.7909,10,198.55,96048,-0.0432412,96.43590331077576
7.18772,0.951540019363,0.0157495,804,0.0,345.147544261,39.889,10,196.73,98282,-0.045576,98.47526574134827
7.20304,0.948435485363,0.0152571,814,0.0,347.373200531,37.6276,10,198.64,100317,-0.0405321,100.53028130531311
7.19406,0.977049631998,0.0146422,825,0.0,348.946994475,18.2395,11,196.37,102376,-0.046954,102.57909750938416
7.16802,0.953010838479,0.0135123,838,0.0,343.717636444,34.7756,13,189.82,104380,-0.0357982,104.63207364082336
7.18051,0.952357046306,0.0129157,850,0.0,350.027866179,24.108,12,191.89,106418,-0.0439126,106.66344690322876
7.15052,0.974404621869,0.0154669,861,0.0,348.033107314,18.2409,11,189.67,108522,-0.0455832,108.71921014785767
7.16708,0.968423496932,0.0187917,871,0.0,344.837988564,26.6315,10,183.7,110475,-0.047733,110.76470589637756
7.13898,0.963776987046,0.0131915,883,0.0,351.201920412,39.6105,12,185.32,112507,-0.045504,112.81265163421631
7.12214,0.96472466737,0.0156255,896,0.0,343.899743968,32.7214,13,178.3,114660,-0.0494127,114.8664059638977
7.15053,0.96790702641,0.0127318,907,0.0,348.152819522,22.8394,11,179.25,116665,-0.0478982,116.91206645965576
7.1366,0.951280474663,0.0157474,917,0.0,349.000658924,32.8002,10,177.83,118584,-0.0432097,118.97523999214172
7.12331,0.976760094985,0.0135926,928,0.0,355.315818862,18.5863,11,179.58,120678,-0.0497822,121.0229218006134
7.10904,0.978959746659,0.0150935,941,0.0,355.520511425,21.2401,13,179.3,122764,-0.0480547,123.06230139732361
7.06653,0.980113007128,0.0138104,954,0.0,355.346877789,18.3248,13,177.98,124866,-0.0519584,125.11082911491394
7.00578,0.967500150204,0.0185881,967,0.0,351.01504914,23.9135,13,172.03,126914,-0.0439884,127.14569568634033
6.93839,0.963806815445,0.0162092,981,0.0,347.236722482,34.3556,14,168.06,128992,-0.0492435,129.20816254615784
6.91741,0.944752335548,0.016589,993,0.0,348.743428143,65.954,12,168.58,131014,-0.0400138,131.24407744407654
6.91458,0.973485385999,0.0169576,1006,0.0,351.037971494,31.2272,13,167.38,133012,-0.0442206,133.2957124710083
6.90822,0.975054046139,0.015275,1017,0.0,349.892385166,25.7245,11,165.23,135107,-0.0456691,135.34265971183777
6.87567,0.96491580084,0.0131199,1030,0.0,344.230983705,24.8414,13,160.41,137065,-0.0480394,137.3750364780426
6.87175,0.965335983783,0.0172828,1042,0.0,344.975303382,36.2226,12,162.06,139145,-0.0478427,139.42437839508057
6.7978,0.960678942502,0.0197221,1054,0.0,348.318442041,37.155,12,162.77,141143,-0.0463187,141.47505521774292
6.74495,0.967507023364,0.0160045,1067,0.0,351.022461516,35.5509,13,163.4,143254,-0.0537082,143.50671863555908
6.7298,0.952471837401,0.0170808,1080,0.0,356.388621596,48.4804,13,165.16,145361,-0.0457871,145.55339288711548
6.6882,0.973951680586,0.0162737,1093,0.0,360.433185461,21.3715,13,164.34,147448,-0.0477756,147.6000247001648
6.65574,0.968605682254,0.0158237,1104,0.0,368.348383836,21.4982,11,166.89,149407,-0.0474766,149.64776158332825
6.66537,0.961792711169,0.0140454,1116,0.0,372.895268739,42.3732,12,167.66,151468,-0.0461211,151.68614864349365
6.63739,0.977948745713,0.0163785,1127,0.0,379.760539186,21.7695,11,168.81,153517,-0.0556874,153.7485544681549
6.57544,0.980487791821,0.0154136,1138,0.0,391.173598418,23.5385,11,169.99,155506,-0.0494152,155.79691219329834
6.48337,0.978826662526,0.0173787,1150,0.0,397.664984955,29.5755,12,170.69,157583,-0.0479145,157.84637832641602
6.49922,0.92127135396,0.0164619,1161,0.0,403.603552583,36.2831,11,172.45,159602,-0.0501176,159.88279700279236
6.48267,0.972018271685,0.0160028,1173,0.0,417.246467856,37.5334,12,176.92,161791,-0.0551414,161.93607139587402
6.43825,0.958545289934,0.0227478,1183,0.0,419.305798974,37.6414,10,179.18,163778,-0.051499,163.98279094696045
6.42403,0.958007883281,0.0171459,1195,0.0,423.690442175,56.8794,12,180.33,165774,-0.0488338,166.02952814102173
6.40399,0.943195242435,0.0127828,1206,0.0,424.489577737,48.4026,11,180.03,167770,-0.0465785,168.08876419067383
6.37169,0.966082911938,0.0164121,1218,0.0,431.391105808,37.7027,12,181.03,169970,-0.0546411,170.12372732162476
6.31794,0.956728555262,0.0189073,1229,0.0,433.343837661,44.5568,11,180.21,171882,-0.0582714,172.17385840415955
6.30722,0.940881434828,0.0197391,1241,0.0,435.299277727,61.6438,12,179.32,173991,-0.0511721,174.21024751663208
6.23673,0.954873941839,0.01829,1253,0.0,434.9186234,68.9446,12,176.7,175973,-0.0529968,176.24903535842896
6.16441,0.936599254608,0.0172506,1264,0.0,443.246073461,81.6919,11,179.12,178043,-0.0527067,178.29887676239014
6.13347,0.958698511124,0.0217139,1276,0.0,441.121947116,48.2703,12,176.93,180045,-0.0510284,180.3499584197998
6.08427,0.963096365333,0.0190329,1287,0.0,455.247535007,54.2676,11,176.86,182190,-0.0565427,182.38919758796692
6.04716,0.964072577655,0.0169133,1298,0.0,463.048774522,55.1009,11,177.99,184167,-0.0476628,184.43586349487305
6.04958,0.958402715623,0.0148395,1309,0.0,467.879210471,76.2805,11,179.53,186263,-0.0517803,186.4896354675293
5.98213,0.968662191182,0.0158632,1318,0.0,480.540688729,44.2902,9,182.36,188206,-0.0546221,188.55328702926636
5.97804,0.975875871256,0.0174976,1329,0.0,495.727379623,41.9696,11,185.43,190425,-0.0540846,190.60022473335266
5.98996,0.972321145236,0.0179358,1340,0.0,503.759597682,52.4443,11,186.29,192479,-0.0512667,192.67860388755798
5.9478,0.981942465529,0.0160648,1349,0.0,521.256952079,30.0543,9,192.02,194497,-0.0575543,194.74889659881592
5.918,0.95178642869,0.0184531,1359,0.0,527.402485118,52.0251,10,193.17,196498,-0.0593497,196.84277319908142
5.89105,0.969262804836,0.017865,1369,0.0,541.112436797,56.5158,10,197.64,198499,-0.0510453,198.9231939315796
5.86212,0.958789043128,0.0180026,1379,0.0,548.997436989,57.8814,10,199.63,200562,-0.0551609,201.00686955451965
5.83859,0.974301829934,0.0183204,1389,0.0,551.022179281,56.416,10,200.61,202591,-0.0560601,203.10101008415222
5.82741,0.968781031668,0.0200125,1400,0.0,557.764382432,61.5028,11,201.04,204622,-0.0573219,205.1709713935852
5.83448,0.979501405731,0.0199452,1410,0.0,566.346903524,44.3068,10,202.57,206704,-0.0581557,207.221125125885
5.79828,0.963243916631,0.0179684,1422,0.0,558.038324251,59.9787,12,199.77,208894,-0.0585726,209.25727128982544
5.75205,0.97523906827,0.0172106,1432,0.0,557.024453382,45.5521,10,198.95,210927,-0.055461,211.2955710887909
5.73511,0.976916743442,0.0172286,1441,0.0,566.756414656,38.6284,9,201.91,212879,-0.0518856,213.34273219108582
5.69757,0.974167127162,0.0187119,1451,0.0,561.230411777,55.3705,10,200.48,214950,-0.0528458,215.37641286849976
5.66475,0.972090702504,0.0223055,1462,0.0,558.669515524,49.4682,11,199.2,217049,-0.0557189,217.42906308174133
5.6264,0.987049075775,0.01792,1471,0.0,567.416065733,22.6288,9,200.75,219013,-0.0588924,219.452130317688
5.57233,0.984945703298,0.0193606,1481,0.0,575.654636565,33.5947,10,201.86,221100,-0.0558424,221.49974489212036
5.50575,0.984771751799,0.0208548,1490,0.0,584.64066535,28.0805,9,204.19,223222,-0.0606803,223.54572868347168
5.47742,0.979452552274,0.0207818,1499,0.0,589.030043744,34.8376,9,206.85,225170,-0.0544034,225.59269952774048
5.46866,0.981482600793,0.0209929,1508,0.0,599.582331054,28.7908,9,209.56,227201,-0.0608862,227.6417498588562
5.44594,0.985424456187,0.0244535,1517,0.0,610.896330402,32.1404,9,212.44,229218,-0.058435,229.67598485946655
5.43184,0.983199037611,0.0174924,1527,0.0,619.911396439,40.5273,10,214.9,231356,-0.0569307,231.7327709197998
5.42729,0.986113394611,0.0185334,1536,0.0,622.021889796,31.533,9,215.44,233351,-0.0605267,233.76463651657104
5.40851,0.985408334062,0.0180368,1545,0.0,625.563640138,26.4019,9,215.61,235360,-0.0543503,235.7970643043518
