loss_ent,EpLenMean,loss_pol_surr,loss_kl,ev_tdlam_before,loss_vf_loss,EpThisIter,TimestepsSoFar,EpRewMean,loss_pol_entpen,TimeElapsed,EpisodesSoFar
7.20322,169.61,-0.0391863,0.0118801,0.966211978346,12.1466,12,94153,332.170874221,0.0,95.33118772506714,839
7.19849,169.15,-0.0446774,0.0120447,0.978528738022,19.5994,12,96197,332.725614998,0.0,97.4150562286377,851
7.16492,165.53,-0.0389992,0.01316,0.979337671772,19.1575,12,98196,330.281917766,0.0,99.48437428474426,863
7.11852,167.13,-0.0460554,0.0122242,0.986904250458,12.4687,12,100223,333.652387098,0.0,101.56426787376404,875
7.0693,167.33,-0.0484628,0.0158044,0.988980893977,11.3717,13,102315,335.368933312,0.0,103.62768077850342,888
7.05237,169.31,-0.0429941,0.013158,0.989801780321,9.85153,11,104398,340.129205437,0.0,105.71571469306946,899
7.00091,168.67,-0.0456465,0.0127852,0.988025555387,14.8022,12,106292,340.363170101,0.0,107.78197884559631,911
6.96412,170.29,-0.0442628,0.0141056,0.970744404942,14.8567,12,108465,340.160131916,0.0,109.86267375946045,923
6.95587,168.0,-0.0496975,0.0148367,0.98297322914,18.9853,14,110524,340.910491263,0.0,111.94588470458984,937
6.89833,170.0,-0.0418716,0.0151755,0.981039505452,17.1836,11,112610,348.069029831,0.0,114.02311992645264,948
6.88994,170.51,-0.0430744,0.0130764,0.975850529969,26.1258,12,114647,350.711404456,0.0,116.10141897201538,960
6.86903,169.44,-0.0478731,0.0140562,0.982425456867,18.1764,12,116676,352.640798049,0.0,118.16495251655579,972
6.88753,170.53,-0.043083,0.0115441,0.988244009204,12.4363,11,118650,355.363041909,0.0,120.25896906852722,983
6.87912,167.82,-0.047587,0.0163483,0.97187634185,25.4198,13,120665,354.955929004,0.0,122.31317591667175,996
6.84068,168.56,-0.0485476,0.0136787,0.9763132222,26.623,13,122862,359.045518752,0.0,124.39107489585876,1009
6.83955,166.05,-0.04206,0.0150093,0.978517850861,25.5677,13,124914,362.590144471,0.0,126.46969604492188,1022
6.84872,167.02,-0.0473906,0.0133544,0.981197558343,19.5409,13,126899,366.075145143,0.0,128.54765033721924,1035
