EpThisIter,EpRewMean,loss_pol_entpen,TimeElapsed,TimestepsSoFar,EpLenMean,EpisodesSoFar,loss_pol_surr,loss_vf_loss,loss_kl,loss_ent,ev_tdlam_before
2,817.07,0.0,73.88953185081482,95420,817.07,849,-0.00791754,69.1244,0.00607247,1.01176,-0.000760436058044
2,832.77,0.0,75.50841617584229,97420,832.77,851,-0.00495533,69.3873,0.00471412,1.01747,-0.0038515329361
2,849.33,0.0,77.05578231811523,99420,849.33,853,-0.00819815,61.4258,0.00790442,1.03836,0.00275665521622
2,866.27,0.0,78.62429881095886,101420,866.27,855,-0.00464586,68.4257,0.00560423,1.03498,0.00776135921478
3,893.12,0.0,80.20222187042236,104420,893.12,858,-0.0053607,98.191,0.00316499,1.01687,0.0172532200813
2,902.07,0.0,81.7659809589386,106420,902.07,860,-0.00644535,66.6403,0.00956584,1.02358,0.00432938337326
2,910.6,0.0,83.32725882530212,108420,910.6,862,-0.00488491,68.1788,0.00776118,1.02643,0.014000415802
2,911.02,0.0,84.90237426757812,110420,911.02,864,-0.00785094,68.7041,0.00861266,1.05196,-0.036180973053
2,916.64,0.0,86.49991655349731,112420,916.64,866,-0.00920077,42.2663,0.0113537,1.05546,0.0951622128487
2,932.02,0.0,88.0468955039978,114420,932.02,868,-0.00508497,63.2188,0.00776314,1.04074,0.0957270860672
2,940.27,0.0,89.60868287086487,116420,940.27,870,-0.00397354,70.5891,0.00315452,1.05132,-0.0328985452652
2,941.56,0.0,91.17114448547363,118420,941.56,872,-0.00332533,70.4642,0.00627949,1.05396,-0.0130869150162
2,941.56,0.0,92.71873712539673,120420,941.56,874,-0.00761329,70.2254,0.0125312,1.06254,-0.00460839271545
2,941.56,0.0,94.29007411003113,122420,941.56,876,-0.0082702,69.7868,0.00991074,1.08682,-0.0055615901947
2,941.56,0.0,95.85915517807007,124420,941.56,878,-0.00601022,69.422,0.00484168,1.07575,-0.011257648468
2,941.56,0.0,97.42041659355164,126420,941.56,880,-0.00428316,69.2269,0.00429647,1.07034,-0.00114750862122
2,941.56,0.0,98.968013048172,128420,941.56,882,-0.00588742,69.1585,0.0045394,1.05149,-0.000215888023376
2,941.56,0.0,100.53051519393921,130420,941.56,884,-0.00470986,66.9806,0.00709407,1.03019,0.0020524263382
2,941.56,0.0,102.078209400177,132420,941.56,886,-0.00764145,68.7607,0.00983663,1.0334,-0.00591742992401
2,941.56,0.0,103.63949704170227,134420,941.56,888,-0.00424142,68.758,0.00821382,1.03318,-0.00161290168762
2,945.44,0.0,105.2020800113678,136420,945.44,890,-0.00427048,68.6592,0.00525224,1.02955,0.00072056055069
2,954.86,0.0,106.76559543609619,138420,954.86,892,-0.00621874,66.7571,0.00744476,1.02665,0.00155264139175
2,954.86,0.0,108.34282040596008,140420,954.86,894,-0.0050924,68.2925,0.00323594,1.01333,-0.00138187408447
2,954.86,0.0,109.9214096069336,142420,954.86,896,-0.00499498,68.0274,0.00785935,1.00765,-0.00813734531403
2,958.22,0.0,111.48366951942444,144420,958.22,898,-0.0052535,68.3508,0.00953306,1.00694,-0.0131424665451
3,967.46,0.0,113.04585909843445,147420,967.46,901,-0.00535477,94.3083,0.00580008,1.02122,-0.00365555286407
2,967.46,0.0,114.60841965675354,149420,967.46,903,-0.00684133,67.9673,0.00573842,0.999902,-0.00186812877655
2,969.45,0.0,116.15508580207825,151420,969.45,905,-0.00360118,68.1137,0.0101029,1.00941,-0.000907897949219
2,976.21,0.0,117.71792364120483,153420,976.21,907,-0.00646854,68.1624,0.00427721,1.01719,-0.00127124786377
2,982.37,0.0,119.28109908103943,155420,982.37,909,-0.00784312,63.4526,0.00796785,1.00129,0.0114241242409
2,982.37,0.0,120.84230256080627,157420,982.37,911,-0.00795855,68.2091,0.00620501,1.00998,-0.0269157886505
2,982.37,0.0,122.4076611995697,159420,982.37,913,-0.00783652,58.6517,0.00619998,0.982055,0.0373449325562
2,977.1,0.0,123.96796798706055,160893,977.1,915,-0.00841354,33.7555,0.00590907,0.981616,0.700549632311
2,977.1,0.0,125.53018188476562,162893,977.1,917,-0.00272938,69.4018,0.00978944,0.968716,-0.0212506055832
2,977.1,0.0,127.08530783653259,164893,977.1,919,-0.00546593,69.2778,0.00974236,0.985458,-0.0099128484726
3,977.81,0.0,128.63983583450317,167893,977.81,922,-0.00539751,84.8063,0.00838125,1.00515,-0.000179409980774
