TimestepsSoFar,EpisodesSoFar,EpThisIter,TimeElapsed,loss_vf_loss,EpLenMean,loss_pol_entpen,loss_kl,loss_ent,loss_pol_surr,ev_tdlam_before,EpRewMean
94041,879,10,99.51514434814453,16.0015,178.53,0.0,0.01513,7.23946,-0.0492927,0.976467581466,345.472046222
96110,890,11,101.68714022636414,17.0819,179.66,0.0,0.0131983,7.19816,-0.0458609,0.983239373192,350.278136316
98176,903,13,103.84433650970459,19.7248,176.1,0.0,0.0147767,7.19571,-0.0485508,0.977844173089,347.975924155
100337,915,12,105.99203944206238,17.9989,177.38,0.0,0.0150268,7.13643,-0.0539121,0.984793092124,351.259491635
102271,928,13,108.14803576469421,28.887,172.89,0.0,0.0121749,7.11903,-0.0323551,0.930429682136,349.45778927
104444,943,15,110.33465123176575,150.883,169.06,0.0,0.0169524,7.12479,-0.0428079,0.872684940696,341.862354997
106478,956,13,112.48392367362976,22.3883,166.29,0.0,0.0140773,7.09448,-0.0434295,0.955837152898,340.769678093
108496,969,13,114.65592551231384,33.3236,164.19,0.0,0.0139264,7.04407,-0.0429349,0.960651889443,340.7419427
110451,981,12,116.79666352272034,15.1469,160.03,0.0,0.0177436,6.97723,-0.0490321,0.979915000498,336.034494159
112572,994,13,118.94551348686218,23.1149,158.21,0.0,0.0146761,6.95274,-0.0489001,0.983206544071,335.301008537
114553,1006,12,121.12501502037048,23.256,158.14,0.0,0.016337,6.94397,-0.0453929,0.98037044704,338.21931117
116710,1021,15,123.29715275764465,50.5165,154.95,0.0,0.0152679,6.90283,-0.0443505,0.942920468748,334.588407571
118653,1034,13,125.46059346199036,29.6592,157.43,0.0,0.012211,6.86321,-0.0458242,0.972758745775,342.838632887
120754,1048,14,127.60046434402466,50.9008,155.3,0.0,0.0161119,6.81604,-0.0408496,0.953672081232,340.851523975
122707,1061,13,129.78025341033936,25.8954,154.06,0.0,0.0146301,6.74219,-0.0465053,0.977971332148,338.703903234
124928,1075,14,131.9544289112091,16.822,154.77,0.0,0.0128846,6.7426,-0.0484722,0.982088759542,343.553356432
126974,1087,12,134.1432797908783,42.7877,154.9,0.0,0.0143624,6.70535,-0.0426395,0.961479123682,345.578973985
128904,1099,12,136.32016921043396,22.2175,155.33,0.0,0.0143092,6.68037,-0.0485184,0.982210127637,347.972467751
131042,1112,13,138.50723576545715,14.9006,155.15,0.0,0.0190777,6.63408,-0.0503802,0.983462685719,350.180362658
133022,1124,12,140.7418932914734,12.1259,158.09,0.0,0.0124774,6.60545,-0.049881,0.988409264013,360.453492913
134990,1138,14,142.9542636871338,36.1248,157.26,0.0,0.0170254,6.5831,-0.0527784,0.957051642239,359.449881187
137206,1151,13,145.11235547065735,16.654,159.05,0.0,0.0157748,6.53905,-0.0561353,0.983525091782,366.938246769
139255,1165,14,147.24164867401123,23.9324,159.24,0.0,0.0152667,6.54029,-0.0404602,0.982327573001,369.343908684
141199,1177,12,149.39834547042847,15.8679,159.78,0.0,0.0152508,6.50977,-0.0485135,0.987603198737,372.884983836
143307,1191,14,151.55433797836304,55.318,157.21,0.0,0.01894,6.44586,-0.0524357,0.954877149314,370.166637403
145259,1203,12,153.7236852645874,19.4649,157.58,0.0,0.0156948,6.40215,-0.0518025,0.981722518802,372.706897398
147378,1216,13,155.87454199790955,38.8569,157.13,0.0,0.0156802,6.39684,-0.04448,0.951685126871,372.994291479
149474,1229,13,158.00852847099304,16.8279,157.71,0.0,0.0153329,6.39074,-0.0527878,0.988142482005,376.367526285
151452,1240,11,160.17466139793396,16.236,161.09,0.0,0.0153276,6.34402,-0.0496935,0.984269836918,386.305900332
153580,1253,13,162.3191602230072,29.4063,160.85,0.0,0.0164518,6.35806,-0.0518843,0.971914907917,387.463805976
155607,1265,12,164.44681525230408,20.8195,163.52,0.0,0.0156348,6.36007,-0.0439343,0.9769099392,396.610272551
157680,1278,13,166.57820510864258,17.04,163.31,0.0,0.0172509,6.32527,-0.0552115,0.988017298281,398.669177267
159690,1290,12,168.72017288208008,16.1736,165.3,0.0,0.0161358,6.30108,-0.0529452,0.984889524058,405.942982439
161647,1302,12,170.89097499847412,17.373,165.83,0.0,0.0173192,6.24298,-0.0597469,0.986579644494,408.381407259
163717,1314,12,173.05021286010742,15.518,166.57,0.0,0.0150015,6.17139,-0.0518616,0.987863395363,413.489561875
165860,1327,13,175.2107481956482,21.3536,167.06,0.0,0.0148729,6.17237,-0.054269,0.98190700449,416.283231451
167763,1339,12,177.35148692131042,29.4183,164.82,0.0,0.0160679,6.1432,-0.0534702,0.975638458505,413.237544542
169972,1352,13,179.50393629074097,29.0037,165.46,0.0,0.0199368,6.12895,-0.0512445,0.974955720827,416.354931918
172001,1364,12,181.66837859153748,20.2898,165.46,0.0,0.0177046,6.10817,-0.0516293,0.976431941614,416.767318234
173966,1376,12,183.827552318573,33.9026,166.09,0.0,0.0232579,6.09414,-0.0431606,0.968447707593,418.469302994
175977,1388,12,185.9836814403534,28.299,166.59,0.0,0.0195391,6.07138,-0.0534826,0.967443052679,421.068332163
178049,1400,12,188.1260757446289,42.197,167.69,0.0,0.0179817,6.05608,-0.0488308,0.963546007872,426.502383585
180203,1412,12,190.2861475944519,44.7796,168.42,0.0,0.0205006,5.98933,-0.0534579,0.965499050915,430.891460744
182114,1423,11,192.4458200931549,38.0011,169.58,0.0,0.017339,5.98524,-0.048152,0.971167616546,434.436186734
184181,1434,11,194.62588596343994,35.0431,172.71,0.0,0.0202628,5.93187,-0.0483922,0.933141134679,446.826147444
186328,1445,11,196.76562571525574,51.9328,174.55,0.0,0.019459,5.88954,-0.0537831,0.964330255985,453.700619859
188327,1456,11,198.91552448272705,36.6923,176.47,0.0,0.0177519,5.87508,-0.050722,0.968248203397,460.432615478
190326,1467,11,201.07834768295288,33.1329,178.16,0.0,0.0189477,5.85824,-0.0548366,0.974543921649,468.213310895
192500,1479,12,203.22595691680908,62.1852,180.36,0.0,0.017821,5.86904,-0.048933,0.962491385639,478.607468077
194511,1489,10,205.38244080543518,42.2244,183.66,0.0,0.0198986,5.85038,-0.0485551,0.975422121584,489.248398869
196584,1500,11,207.5242199897766,59.4876,185.35,0.0,0.0163313,5.83144,-0.0528803,0.96905846335,495.053305325
198643,1510,10,209.68713331222534,20.5398,188.52,0.0,0.0193133,5.82063,-0.0486305,0.978229470551,507.997967212
200645,1520,10,211.84424328804016,27.2116,190.27,0.0,0.0185113,5.76486,-0.0579467,0.986996343359,517.763555557
202644,1530,10,214.0074634552002,30.3022,192.49,0.0,0.0149461,5.7614,-0.0490321,0.980750793591,526.034266152
204752,1540,10,216.148588180542,29.813,193.71,0.0,0.0249998,5.75829,-0.0549846,0.983193807304,531.421014463
206764,1550,10,218.30423665046692,66.7468,195.62,0.0,0.0152552,5.79589,-0.0477627,0.966915428638,539.19553433
208767,1560,10,220.44600176811218,34.3803,196.76,0.0,0.0206371,5.76798,-0.0515926,0.981060661376,546.966431981
210811,1570,10,222.60559391975403,33.331,199.4,0.0,0.0166725,5.74217,-0.0537014,0.980324985459,556.547826776
