loss_pol_surr,loss_kl,loss_ent,TimestepsSoFar,EpRewMean,EpisodesSoFar,ev_tdlam_before,TimeElapsed,EpThisIter,loss_vf_loss,loss_pol_entpen,EpLenMean
-0.0112118,0.00806362,0.0061115,94110,737.505489426,4242,0.692969471216,79.5911283493042,28,4746.94,0.0,79.51
-0.0112009,0.00747255,0.0027895,96225,831.559722824,4258,0.634548068047,81.29424810409546,16,6411.52,0.0,89.62
-0.00761798,0.0140766,-0.00872445,98298,920.346000026,4274,0.660545557737,82.9973680973053,16,6585.88,0.0,99.17
-0.00599024,0.0131391,-0.0206386,100319,983.197318677,4291,0.706575065851,84.70048832893372,17,6368.31,0.0,105.93
-0.0117351,0.00903685,-0.0302162,102370,974.417351782,4313,0.693798810244,86.4036066532135,22,5689.38,0.0,104.99
-0.00554202,0.0141522,-0.0341938,104289,997.922793594,4334,0.725354254246,88.12591528892517,21,5477.61,0.0,107.51
-0.0141781,0.0061841,-0.0274701,106390,1073.11318958,4349,0.727633595467,89.81470561027527,15,5914.05,0.0,115.6
-0.0129692,0.0122467,-0.0382525,108363,1039.32466774,4367,0.661841064692,91.54438066482544,18,6207.76,0.0,111.97
-0.0122257,0.0109513,-0.0567513,110476,1094.47270246,4379,0.651973903179,93.26312613487244,12,6500.81,0.0,117.91
-0.00944076,0.0162733,-0.0639403,112497,1115.59264977,4394,0.763730153441,94.96624517440796,15,5353.78,0.0,120.18
0.00063196,0.0239408,-0.0772593,114550,1205.35663229,4404,0.614933073521,96.6537413597107,10,6827.99,0.0,129.84
-0.00461121,0.0126426,-0.0947804,116682,1269.85938631,4419,0.6640175879,98.36828279495239,15,6499.17,0.0,136.78
-0.00953208,0.0077954,-0.107871,118619,1348.57623147,4431,0.699018836021,100.0479428768158,12,5961.46,0.0,145.25
-0.0105787,0.00648241,-0.135393,120667,1377.79748209,4443,0.648840516806,101.75400710105896,12,6528.71,0.0,148.4
-0.0134155,0.00924038,-0.154658,122626,1464.28855186,4454,0.569311290979,103.43486905097961,11,6577.65,0.0,157.72
-0.0103107,0.0104507,-0.152425,124869,1537.52659372,4466,0.706746429205,105.12236499786377,12,5970.8,0.0,165.6
-0.0150918,0.0105782,-0.158235,126752,1573.0888498,4476,0.611351013184,106.80985975265503,10,6791.02,0.0,169.42
-0.00930438,0.010067,-0.172122,128965,1604.32940288,4485,0.651057809591,108.51297879219055,9,5935.39,0.0,172.77
-0.0094844,0.0105405,-0.190266,130658,1656.24740131,4495,0.685824781656,110.21609830856323,10,5799.56,0.0,178.35
-0.014411,0.00925043,-0.186753,133065,1638.02251957,4509,0.710526376963,111.91921830177307,14,6180.96,0.0,176.38
-0.00992193,0.0148059,-0.20522,135008,1735.33702988,4517,0.724426388741,113.62233877182007,8,5610.6,0.0,186.85
-0.0040172,0.0163869,-0.219447,137060,1712.66489789,4531,0.75403098762,115.32545757293701,14,5357.27,0.0,184.41
-0.0133282,0.0082192,-0.240193,139264,1739.85609252,4541,0.748327314854,117.02857851982117,10,5863.82,0.0,187.32
-0.00720732,0.0180705,-0.252303,140313,1789.23690666,4544,0.486489236355,118.72356963157654,3,5513.37,0.0,192.63
-0.010163,0.0108842,-0.254199,143119,1926.64165469,4552,0.580297827721,120.42799854278564,8,5751.7,0.0,207.39
-0.0104192,0.0198036,-0.268342,145375,1964.20997056,4561,0.614868402481,122.12299823760986,9,6364.19,0.0,211.42
