loss_kl,EpLenMean,TimestepsSoFar,EpisodesSoFar,loss_pol_entpen,ev_tdlam_before,loss_pol_surr,loss_ent,TimeElapsed,loss_vf_loss,EpThisIter,EpRewMean
0.0162884,212.51,94011,817,0.0,0.96191195026,-0.042676,7.54973,94.11427712440491,22.7645,10,346.390688656
0.0140946,211.77,96100,827,0.0,0.938611175865,-0.0403977,7.48908,96.14588069915771,38.0805,10,348.943051839
0.0125888,210.19,98235,838,0.0,0.971997527406,-0.0365889,7.49064,98.21584367752075,20.9229,11,351.770007522
0.0148941,209.95,100329,847,0.0,0.972409419715,-0.0469258,7.4567,100.26614165306091,17.624,9,357.441175076
0.0129748,207.72,102336,857,0.0,0.97844546102,-0.0451596,7.42852,102.3094961643219,17.1123,10,356.810774909
0.0132789,206.06,104325,867,0.0,0.984194707125,-0.0417623,7.38454,104.35584616661072,14.0381,10,361.138654099
0.0145658,201.47,106353,879,0.0,0.985568450764,-0.0482642,7.38559,106.40260124206543,14.4323,12,361.789509788
0.0131927,197.94,108445,891,0.0,0.98558082711,-0.042243,7.31534,108.4697265625,15.1634,12,362.325820382
0.0142698,192.24,110559,903,0.0,0.989143457264,-0.0510157,7.28223,110.5053563117981,10.8578,12,361.36520561
0.013567,190.44,112465,914,0.0,0.986200178042,-0.0454116,7.32024,112.55981230735779,11.9976,11,363.430627441
0.0105721,187.04,114609,926,0.0,0.984697153792,-0.04484,7.2623,114.59015011787415,15.312,12,363.837808504
0.0130306,185.71,116600,937,0.0,0.985067136586,-0.0456974,7.26594,116.65276408195496,14.4318,11,367.496934389
0.0148146,178.68,118724,949,0.0,0.988306472078,-0.0467267,7.2249,118.69975304603577,12.9438,12,361.443393497
0.0132638,175.44,120721,961,0.0,0.975733850151,-0.0370561,7.20936,120.74675250053406,18.8655,12,356.747746182
0.0140459,176.45,122752,972,0.0,0.979805257171,-0.0493107,7.21265,122.79491567611694,15.9237,11,362.394036466
0.012453,175.04,124836,985,0.0,0.970857162029,-0.0410192,7.20805,124.84423685073853,19.0073,13,359.857113816
0.0136199,173.4,126961,998,0.0,0.911103703082,-0.0414288,7.21756,126.89528059959412,71.6897,13,357.856667007
0.016797,171.43,128956,1010,0.0,0.981823856011,-0.050562,7.16829,128.92524099349976,21.2106,12,357.331057927
0.0143399,171.77,131054,1022,0.0,0.980472801253,-0.0509989,7.16018,130.97208523750305,20.2694,12,360.973694268
0.0119582,170.9,133117,1034,0.0,0.980468288064,-0.0504944,7.15135,133.0203013420105,19.6268,12,361.707054503
0.0148186,170.15,135093,1045,0.0,0.983771270141,-0.0486879,7.13971,135.0825982093811,17.8637,11,363.12922358
0.0140715,169.89,137099,1057,0.0,0.979874534532,-0.0500453,7.10257,137.14583253860474,26.0412,12,368.264864764
0.0155785,170.21,139263,1069,0.0,0.984700387344,-0.0452519,7.08343,139.1881115436554,20.4657,12,371.595975914
0.0129701,169.75,141219,1081,0.0,0.969569386914,-0.0469487,7.06605,141.26234483718872,19.0387,12,377.170591241
0.0147619,169.51,143254,1094,0.0,0.958376977593,-0.0496458,7.02309,143.30953359603882,51.2391,13,379.100476644
0.0170096,170.76,145358,1106,0.0,0.977872775868,-0.0466222,6.94998,145.3440818786621,27.3969,12,385.789425363
0.015419,170.24,147357,1118,0.0,0.973759213462,-0.0449293,6.92678,147.40261125564575,26.3145,12,387.041236224
0.0171465,168.44,149477,1131,0.0,0.973850596696,-0.0444772,6.94789,149.44720196723938,28.9428,13,384.97276381
0.0148926,167.08,151509,1143,0.0,0.981754977256,-0.055077,6.90753,151.50338578224182,23.6789,12,386.397664115
0.0182773,168.66,153441,1154,0.0,0.979019634426,-0.0513242,6.88053,153.55133843421936,21.2226,11,390.227776973
0.0153238,168.93,155563,1166,0.0,0.975529273972,-0.0428351,6.85953,155.62964010238647,26.2886,12,390.175029469
0.0134371,167.93,157676,1179,0.0,0.967539854348,-0.0497462,6.85191,157.6924593448639,33.3752,13,390.653956064
0.0119305,168.15,159744,1192,0.0,0.968297936022,-0.0499977,6.85565,159.7863893508911,38.3535,13,392.892576933
0.0149175,166.9,161709,1204,0.0,0.983799470589,-0.0555509,6.81803,161.85631227493286,21.6484,12,393.77944554
0.0173297,167.68,163783,1216,0.0,0.984064789489,-0.0490051,6.75491,163.94995713233948,24.6283,12,396.015177947
0.0161725,168.27,165757,1228,0.0,0.985094917007,-0.0526909,6.73014,166.04342889785767,22.1454,12,402.509046539
0.0183341,166.23,167891,1242,0.0,0.964724868536,-0.0521379,6.70195,168.12187385559082,48.4111,14,397.738365345
0.0159574,164.17,169858,1254,0.0,0.977829881012,-0.0527958,6.65053,170.2002329826355,27.0565,12,397.791573101
0.0174701,162.08,171980,1267,0.0,0.971698276699,-0.0505844,6.64781,172.26531720161438,39.2121,13,400.599656848
0.0172185,161.52,173977,1280,0.0,0.976341182366,-0.0547837,6.6608,174.3112931251526,30.5971,13,398.427176776
0.016932,163.53,175960,1291,0.0,0.982995271683,-0.0566993,6.63985,176.37188029289246,20.2915,11,405.782941885
0.020215,162.6,178116,1305,0.0,0.968944184482,-0.0511389,6.62721,178.4186601638794,44.2774,14,405.770708566
0.0178201,161.93,180152,1317,0.0,0.970479633659,-0.0526194,6.60971,180.4734170436859,34.4917,12,408.331129046
0.0213979,165.75,182162,1327,0.0,0.968137353659,-0.0551839,6.54481,182.5045063495636,32.5922,10,415.165328314
0.0179377,166.29,184201,1340,0.0,0.974459610879,-0.0535224,6.54129,184.55887603759766,43.4792,13,421.456807835
0.02191,164.28,186286,1354,0.0,0.96496000886,-0.0548679,6.55392,186.590270280838,48.4928,14,418.048458636
0.0167649,164.1,188390,1367,0.0,0.979336554185,-0.0562193,6.51461,188.6217658519745,34.698,13,420.120683363
0.0165318,165.15,190380,1379,0.0,0.975593592972,-0.0579113,6.51602,190.6687307357788,29.7522,12,427.36276623
0.0202613,163.24,192475,1392,0.0,0.968371320516,-0.056677,6.5093,192.70082068443298,54.4956,13,424.763451639
0.0198813,164.3,194546,1405,0.0,0.979111960158,-0.0572732,6.48695,194.7497115135193,38.0242,13,430.301135982
0.0220778,163.45,196497,1417,0.0,0.979888951406,-0.0569527,6.45787,196.78584456443787,32.272,12,430.509577266
0.0175303,157.37,198591,1431,0.0,0.929675638676,-0.0554991,6.46545,198.83144235610962,81.7004,14,419.607535934
0.0209399,159.24,200699,1444,0.0,0.940586954355,-0.0545991,6.42321,200.87316966056824,63.4122,13,422.021809618
0.0152535,162.17,202667,1455,0.0,0.961504168808,-0.0573523,6.38547,202.92224836349487,48.233,11,432.31763933
