EpisodesSoFar,loss_vf_loss,EpRewMean,loss_pol_entpen,EpThisIter,TimestepsSoFar,TimeElapsed,loss_ent,loss_pol_surr,EpLenMean,loss_kl,ev_tdlam_before
838,31.2839,351.572448197,0.0,11,94102,100.36103343963623,7.32561,-0.0402873,185.04,0.0151797,0.96408142522
850,13.1797,350.233435722,0.0,12,96246,102.54770994186401,7.26872,-0.048381,183.49,0.0134265,0.981206795201
861,15.9247,353.266374781,0.0,11,98218,104.71961283683777,7.26202,-0.0444572,183.15,0.0109083,0.97916669026
873,22.3622,351.249244808,0.0,12,100204,106.89951968193054,7.29401,-0.037435,178.55,0.0129053,0.973617278039
885,25.5054,346.314391863,0.0,12,102363,109.05693817138672,7.22018,-0.0357811,176.08,0.0149557,0.97636830993
898,14.9354,344.483744942,0.0,13,104362,111.21860146522522,7.17288,-0.0468803,172.2,0.0131616,0.98179868795
911,16.2062,348.345780272,0.0,13,106338,113.39984655380249,7.13229,-0.0505137,172.11,0.0142994,0.984028525651
923,18.7418,350.568775977,0.0,12,108419,115.57670497894287,7.12296,-0.0488464,171.41,0.0130207,0.980796931311
935,13.213,354.467106978,0.0,12,110432,117.7630181312561,7.15089,-0.0483845,169.08,0.0155318,0.985718447715
947,15.8155,355.601956187,0.0,12,112503,119.91474843025208,7.14421,-0.0434804,167.2,0.0146874,0.986277310178
960,20.278,358.341589214,0.0,13,114670,122.0782630443573,7.11261,-0.0506563,166.53,0.0140568,0.984080417082
970,19.3842,366.691425032,0.0,10,116649,124.2512309551239,7.1177,-0.0503122,169.78,0.0131553,0.978397445753
982,23.7337,371.17414551,0.0,12,118633,126.43899059295654,7.08371,-0.0485119,168.69,0.017439,0.972375223413
994,31.2706,375.16708801,0.0,12,120777,128.5798201560974,7.03577,-0.047821,169.71,0.0143864,0.96244976297
1005,59.9054,384.456560082,0.0,11,122679,130.74322271347046,6.98262,-0.0510502,172.83,0.0178858,0.932716958225
1018,56.9126,387.709415831,0.0,13,124776,132.9149694442749,6.94268,-0.0524835,172.53,0.0156291,0.946190215647
1032,58.0107,385.955208653,0.0,14,126976,135.078919172287,6.88229,-0.0563152,170.76,0.0159099,0.952847186476
1043,45.4242,391.784598388,0.0,11,128811,137.25987076759338,6.87959,-0.050446,170.29,0.0156775,0.946232907474
1054,35.8982,398.807394263,0.0,11,130935,139.41540122032166,6.84244,-0.0497501,173.14,0.0138622,0.964413437992
1065,48.4309,402.323056595,0.0,11,132899,141.57184100151062,6.83322,-0.0490894,171.65,0.0164192,0.956728897989
1076,50.5624,415.53442389,0.0,11,134990,143.74286794662476,6.79673,-0.050999,175.02,0.0170761,0.966339413077
1087,55.2354,424.570026599,0.0,11,137066,145.9314591884613,6.80966,-0.0548246,174.99,0.0138596,0.944078184664
1096,43.8386,435.718789871,0.0,9,138990,148.10355973243713,6.76567,-0.0557741,178.56,0.0150213,0.947088044137
1105,57.2203,452.288530609,0.0,9,140997,150.24308919906616,6.78238,-0.0512426,183.18,0.0178018,0.946872349828
1116,60.5213,467.470500515,0.0,11,143272,152.41599106788635,6.75369,-0.0524561,187.98,0.0146535,0.953871864825
1126,63.5832,484.842528981,0.0,10,145356,154.5870337486267,6.70525,-0.0511131,192.28,0.0201448,0.962291222066
1137,84.7055,499.440545618,0.0,11,147438,156.75893712043762,6.67268,-0.0554788,195.59,0.0206007,0.946276545525
1147,89.7187,511.949660465,0.0,10,149371,158.9152262210846,6.64935,-0.0499764,198.59,0.0182017,0.944261081517
1157,71.4771,519.046939098,0.0,10,151321,161.08119916915894,6.62493,-0.0526103,198.24,0.0162081,0.958900760859
1168,88.0415,529.71772489,0.0,11,153578,163.22884058952332,6.62819,-0.055189,200.21,0.016693,0.939991656691
1177,59.5457,541.712194663,0.0,9,155581,165.41680645942688,6.63453,-0.051952,203.96,0.0175626,0.957527495921
1187,77.6005,556.673044834,0.0,10,157632,167.58059215545654,6.58621,-0.0550217,205.66,0.015923,0.951599873602
1198,99.4351,552.478451027,0.0,11,159627,169.72771382331848,6.57347,-0.0492569,201.21,0.0183576,0.953070674092
1207,80.8428,554.986828407,0.0,9,161622,171.899808883667,6.5316,-0.0435828,200.45,0.020704,0.954157888889
1216,83.1951,569.367273274,0.0,9,163606,174.0555055141449,6.4831,-0.0602356,203.34,0.0199469,0.932630605996
1225,114.318,583.211043507,0.0,9,165784,176.22851181030273,6.43953,-0.0490536,206.28,0.0195738,0.939358972013
1234,110.171,590.77948261,0.0,9,167818,178.38355922698975,6.40707,-0.0557826,208.3,0.0183916,0.909521274269
1243,79.1451,606.020349432,0.0,9,169785,180.53394484519958,6.38072,-0.0572579,212.34,0.0158968,0.950807228684
1253,93.5964,609.601353719,0.0,10,171875,182.67395281791687,6.35121,-0.0488403,213.24,0.0177352,0.949220702052
1262,85.2244,625.327370992,0.0,9,173999,184.84955191612244,6.3152,-0.0599266,216.8,0.0174731,0.952269826084
1271,98.1494,632.511934928,0.0,9,176028,187.01247334480286,6.30357,-0.0523301,217.58,0.0145572,0.936261147261
1280,125.339,635.96443422,0.0,9,178098,189.12072014808655,6.30206,-0.0533405,218.62,0.0177383,0.949058618397
1289,146.528,645.061862464,0.0,9,180206,191.29848074913025,6.28405,-0.0529146,222.1,0.0211703,0.938218731433
1296,152.968,661.004572334,0.0,7,181918,193.45400214195251,6.25979,-0.0565861,226.62,0.0189112,0.917148336768
1304,104.771,685.046327567,0.0,8,184292,195.64183259010315,6.24466,-0.0588282,233.12,0.0187787,0.957113079727
1312,196.197,690.154411005,0.0,8,186141,197.81415629386902,6.21399,-0.0490539,234.49,0.0156951,0.844538629055
1319,131.021,705.827976299,0.0,7,188199,199.97780442237854,6.18688,-0.0510012,239.06,0.0212952,0.936279639602
1326,168.379,711.874097094,0.0,7,190249,202.1651611328125,6.14129,-0.0568389,240.56,0.0180929,0.908526100218
1333,200.904,731.850907147,0.0,7,192372,204.35256123542786,6.12871,-0.0500286,247.9,0.0164114,0.848930418491
1341,122.683,742.793588789,0.0,8,194503,206.55529189109802,6.08289,-0.0582916,250.98,0.019757,0.940596148372
1347,175.23,765.599184097,0.0,6,196485,208.7273108959198,6.04625,-0.0569039,258.45,0.0188081,0.870552331209
1353,192.859,785.647061881,0.0,6,198398,210.88343620300293,6.0582,-0.0507445,265.23,0.0156524,0.848060980439
1359,125.006,812.17735443,0.0,6,200398,213.04728293418884,6.03292,-0.055814,272.27,0.0186424,0.939471188933
1365,180.528,830.739069797,0.0,6,202546,215.2202513217926,5.98436,-0.0465416,278.87,0.0155331,0.897558130324
1372,120.291,843.249953151,0.0,7,204613,217.39236736297607,5.98338,-0.0575402,283.63,0.0184003,0.943696256727
1378,132.056,865.146939633,0.0,6,206447,219.57037830352783,5.96738,-0.0580589,289.31,0.0212084,0.924494549632
1387,264.329,863.743495352,0.0,9,208800,221.72716784477234,5.91129,-0.0537025,290.44,0.0179008,0.870224907994
1393,115.993,879.465695547,0.0,6,210744,223.88394737243652,5.88378,-0.0559264,295.61,0.0206731,0.904678463936
1400,103.332,883.588350793,0.0,7,212853,226.06269884109497,5.86431,-0.0556913,296.6,0.0199432,0.944989878684
1407,157.924,900.8673553,0.0,7,214978,228.22022104263306,5.82615,-0.0583645,300.68,0.0225853,0.927915692329
1414,112.342,902.059292096,0.0,7,217027,230.37670159339905,5.84401,-0.0600672,301.42,0.0213483,0.946350749582
