TimestepsSoFar,loss_pol_entpen,TimeElapsed,ev_tdlam_before,EpThisIter,EpisodesSoFar,loss_pol_surr,loss_kl,loss_vf_loss,EpRewMean,EpLenMean,loss_ent
92000,0.0,79.92769360542297,0.994463244919,2,92,-0.0210703,0.00963253,0.0174376,31.4869731822,1000.0,1.64366
94000,0.0,81.6948676109314,0.995307445526,2,94,-0.0131611,0.00684896,0.0121845,31.6494332926,1000.0,1.605
96000,0.0,83.45812845230103,0.997989219381,2,96,-0.012781,0.00676484,0.0092691,31.7395752214,1000.0,1.61272
98000,0.0,85.224538564682,0.99385456508,2,98,-0.015212,0.00873575,0.0166948,31.8994292367,1000.0,1.5853
100000,0.0,87.00569701194763,0.997004159493,2,100,-0.0188436,0.00728902,0.0180018,32.0864925418,1000.0,1.54954
102000,0.0,88.77214074134827,0.994859258644,2,102,-0.0127039,0.0115904,0.0161931,33.0413173293,1000.0,1.49534
104000,0.0,90.53647661209106,0.997275836067,2,104,-0.018303,0.014309,0.0121284,33.8435977354,1000.0,1.47684
106000,0.0,92.3025586605072,0.997570066014,2,106,-0.0155053,0.00664716,0.00948932,34.1393646834,1000.0,1.46048
108000,0.0,94.1149091720581,0.997822239297,2,108,-0.0129277,0.0095434,0.00745135,34.7207646718,1000.0,1.46077
110000,0.0,95.88091993331909,0.997958589578,2,110,-0.0152092,0.00851982,0.010182,35.2880616627,1000.0,1.42513
112000,0.0,97.65393495559692,0.997649982339,2,112,-0.0157078,0.00582096,0.0133684,35.6756624176,1000.0,1.399
114000,0.0,99.42763376235962,0.997477583354,2,114,-0.0132845,0.00778911,0.0125537,35.989617477,1000.0,1.37333
116000,0.0,101.20973873138428,0.996761874761,2,116,-0.0157961,0.011825,0.0152127,36.3584677274,1000.0,1.36655
118000,0.0,102.99643397331238,0.99780816515,2,118,-0.0170328,0.0173031,0.0105885,36.7336057216,1000.0,1.36916
120000,0.0,104.77123236656189,0.996558496263,2,120,-0.0159263,0.00904699,0.0134515,37.0730482184,1000.0,1.35223
122000,0.0,106.55207657814026,0.997611752013,2,122,-0.00986463,0.0140369,0.0100476,37.356769505,1000.0,1.3308
