loss_pol_entpen,loss_pol_surr,EpLenMean,EpRewMean,TimeElapsed,ev_tdlam_before,loss_kl,loss_ent,EpThisIter,TimestepsSoFar,EpisodesSoFar,loss_vf_loss
0.0,-0.0142864,76.56,710.478637936,82.92334699630737,0.717428952456,0.00761102,0.0398213,24,94190,4312,4953.99
0.0,-0.0164829,85.92,797.601500946,84.68693590164185,0.768777191639,0.0100309,0.0265224,14,95994,4326,5615.32
0.0,-0.00771861,96.59,896.902402138,86.468181848526,0.689221292734,0.0115276,0.0194293,19,98158,4345,5732.76
0.0,-0.00537587,104.27,968.453666436,88.2494261264801,0.736365824938,0.0150905,0.0115174,17,100285,4362,5492.13
0.0,-0.0115713,111.79,1038.47545044,90.01580715179443,0.775855660439,0.0154495,-0.013438,17,102326,4379,5318.6
0.0,-0.0132872,120.27,1117.41977156,91.78122687339783,0.704562216997,0.00790483,-0.00801587,12,104354,4391,6289.5
0.0,-0.0164922,126.78,1178.09066664,93.59344291687012,0.626762032509,0.00795863,-0.0189191,15,106397,4406,6337.43
0.0,-0.00966151,134.84,1253.15833252,95.35847878456116,0.667154103518,0.0114564,-0.0362219,11,108245,4417,6526.51
0.0,-0.0165302,140.47,1305.60425634,97.13977980613708,0.673810243607,0.0112119,-0.0693287,13,110562,4430,6360.65
0.0,-0.0093962,151.06,1404.24952498,98.92096734046936,0.687637120485,0.0105294,-0.0964553,10,112485,4440,6590.57
0.0,-0.0146283,157.36,1462.87748395,100.70221185684204,0.675552845001,0.00946509,-0.107747,9,114641,4449,6474.0
0.0,-0.0122658,164.0,1524.56739368,102.4685525894165,0.620259642601,0.00856569,-0.11467,11,116455,4460,6786.81
0.0,-0.0103033,178.44,1659.03524062,104.25602960586548,0.636352747679,0.0189033,-0.130796,4,118532,4464,6769.98
0.0,-0.015159,193.18,1796.23311848,106.01565384864807,0.563744008541,0.0188934,-0.135127,6,120828,4470,6598.69
0.0,-0.0152822,198.22,1843.02008431,107.79682040214539,0.708588838577,0.00837468,-0.147976,12,122869,4482,5501.81
0.0,-0.0124119,209.98,1952.47971704,109.56217837333679,0.579432070255,0.00696998,-0.15437,3,124374,4485,6463.63
0.0,-0.00218438,214.89,1998.20621204,111.34367370605469,0.613851010799,0.0174533,-0.176069,11,126756,4496,6242.9
0.0,-0.0159025,222.51,2069.09894234,113.11752557754517,0.679308533669,0.0128042,-0.182306,6,128167,4502,6241.57
0.0,-0.0078237,240.33,2234.93376987,114.88985705375671,0.496165215969,0.0135083,-0.195298,5,130665,4507,6683.53
0.0,-0.0124104,248.53,2311.25543365,116.65577363967896,0.663692653179,0.00790792,-0.195846,8,132820,4515,5618.58
0.0,-0.00857523,253.78,2360.15822883,118.43839049339294,0.70148780942,0.010674,-0.194956,6,134617,4521,5951.3
0.0,-0.0117634,266.51,2478.56058566,120.21856355667114,0.64882209897,0.0134105,-0.197761,6,136906,4527,5439.01
0.0,-0.0110689,285.24,2652.95593118,121.98411011695862,0.553910285234,0.0108811,-0.203462,5,139240,4532,6279.5
0.0,-0.00647347,295.21,2745.78430978,123.7500569820404,0.63677033782,0.019623,-0.20662,4,140887,4536,5862.48
0.0,-0.00359936,306.17,2847.85022567,125.51541256904602,0.40283370018,0.0178931,-0.204995,2,142747,4538,5744.19
0.0,-0.0129585,321.98,2995.02660885,127.28072786331177,0.638460606337,0.0110415,-0.210772,6,145321,4544,5811.46
0.0,-0.00565102,326.88,3040.66215166,129.04730582237244,0.49243324995,0.0150175,-0.224853,3,147013,4547,5288.34
0.0,-0.00371445,344.48,3204.50658422,130.8275294303894,0.482433795929,0.0130935,-0.234297,5,149313,4552,6240.57
0.0,-0.0151442,352.37,3277.99054019,132.6087749004364,0.567034095526,0.0115873,-0.243927,3,150746,4555,4244.71
0.0,-0.00662238,369.95,3441.64210477,134.37439370155334,0.594798594713,0.00876073,-0.246071,5,153450,4560,5400.92
0.0,-0.00769772,369.35,3436.11871662,136.14001655578613,0.521157443523,0.00919262,-0.24653,3,155381,4563,5363.19
0.0,-0.0171128,375.96,3497.61227237,137.90563321113586,0.544442296028,0.0169257,-0.230433,3,157192,4566,5352.96
0.0,-0.0110187,385.12,3582.97397155,139.67125463485718,0.542547285557,0.00953834,-0.240708,6,159664,4572,6161.29
0.0,-0.0078276,394.09,3666.63779786,141.4212474822998,0.582491576672,0.0144704,-0.247216,4,161303,4576,4852.71
0.0,-0.00644243,407.78,3794.21234356,143.17124223709106,0.418879985809,0.0224238,-0.242973,3,163179,4579,5434.14
0.0,-0.012055,426.34,3967.17765425,144.9368622303009,0.377148747444,0.0165537,-0.228801,3,165503,4582,5213.14
0.0,-0.0117195,429.02,3992.24666148,146.68685698509216,0.476610958576,0.0120525,-0.234738,4,167890,4586,5996.74
0.0,-0.0120324,435.62,4053.65891296,148.46810150146484,0.613454192877,0.0090033,-0.246503,4,169384,4590,4484.35
0.0,-0.00951461,448.13,4170.21177009,150.2180962562561,0.592889755964,0.00965515,-0.262755,3,171322,4593,4820.4
0.0,-0.00048443,470.66,4380.15163681,151.98421263694763,0.242898523808,0.0235681,-0.248894,3,173822,4596,5446.61
0.0,-0.00353013,487.73,4539.23809959,153.7416422367096,0.727493077517,0.0255261,-0.258327,2,175794,4598,3552.26
0.0,0.000553392,501.98,4672.10519247,155.52227401733398,-0.046480178833,0.0112921,-0.260703,2,177794,4600,5124.16
