loss_pol_entpen,loss_vf_loss,TimestepsSoFar,loss_kl,EpRewMean,EpLenMean,EpisodesSoFar,TimeElapsed,EpThisIter,ev_tdlam_before,loss_pol_surr,loss_ent
0.0,12.254,96181,0.0137308,346.610027198,180.71,834,95.22006440162659,12,0.990661464632,-0.0422574,7.48845
0.0,20.9421,98209,0.0135048,346.231765526,179.83,845,97.23578810691833,11,0.975981736556,-0.0393794,7.45834
0.0,21.8955,100270,0.0139826,342.106245115,173.53,858,99.23587274551392,13,0.971698846668,-0.0428475,7.45192
0.0,11.4696,102380,0.012037,345.075417031,174.81,869,101.26741242408752,11,0.988000223413,-0.0434243,7.43658
0.0,8.88811,104376,0.0108864,347.856104877,175.56,880,103.29045414924622,11,0.990244175307,-0.0393705,7.42431
0.0,18.0131,106328,0.0124671,348.459956199,174.58,892,105.30688142776489,12,0.97547717765,-0.0433657,7.41209
0.0,21.2649,108507,0.0132527,352.664998746,175.05,904,107.3372905254364,12,0.981875834987,-0.0403184,7.39521
0.0,32.1197,110545,0.0155524,351.699442949,172.34,917,109.36795592308044,13,0.968871433288,-0.0466316,7.3835
0.0,16.5503,112506,0.015551,353.990527206,174.97,927,111.40093398094177,10,0.97785137035,-0.0459774,7.37862
0.0,16.3981,114571,0.0118919,354.191955741,173.25,940,113.43404960632324,13,0.985844288953,-0.0429917,7.39988
0.0,20.9837,116688,0.0151926,356.32412806,172.93,952,115.448965549469,12,0.983648499474,-0.039481,7.38353
0.0,29.4203,118628,0.0137227,355.998033034,169.65,965,117.46905660629272,13,0.970057824627,-0.0450631,7.31974
0.0,16.6599,120682,0.0167883,353.465985658,166.13,978,119.48265075683594,13,0.983128184453,-0.0453313,7.2925
0.0,19.6427,122817,0.0137668,356.566931493,166.42,991,121.51712369918823,13,0.979644533247,-0.0373925,7.29522
0.0,24.9928,124901,0.016204,350.970043497,162.08,1005,123.56425023078918,14,0.98042033799,-0.0401484,7.26217
0.0,21.0388,126918,0.0156225,355.354339284,162.57,1018,125.5869951248169,13,0.98586480692,-0.0463269,7.21652
0.0,22.7848,128812,0.0139864,355.864000216,160.12,1029,127.61851954460144,11,0.975326113403,-0.0457236,7.15239
0.0,29.464,131070,0.0175214,361.309359737,163.3,1041,129.63387870788574,12,0.963892821223,-0.0481305,7.11783
0.0,36.0661,133013,0.0144176,362.175292748,161.53,1053,131.65443563461304,12,0.963562656194,-0.0435435,7.06494
0.0,34.3009,135003,0.0135177,367.753595164,163.75,1065,133.65760278701782,12,0.962575849146,-0.0403136,7.02583
0.0,29.1703,137184,0.0148009,369.77814896,163.11,1079,135.67441987991333,14,0.979194238782,-0.0462669,7.01451
0.0,23.9252,139099,0.0135394,372.96952305,162.82,1091,137.68106985092163,12,0.983487898484,-0.0483454,6.9721
0.0,20.6281,141202,0.0146571,382.426201684,166.53,1103,139.71512722969055,12,0.984986637719,-0.0465789,6.94925
0.0,29.2541,143216,0.0180366,388.960001156,167.58,1115,141.7202684879303,12,0.975701479241,-0.0389179,6.93809
0.0,47.2779,145367,0.016761,388.950621353,165.55,1129,143.77399730682373,14,0.960510555655,-0.0461182,6.92521
0.0,52.5922,147323,0.0162165,389.249382751,162.53,1141,145.80602645874023,12,0.954165045172,-0.0427152,6.88054
0.0,43.79,149455,0.0139714,400.52841088,165.82,1152,147.85278630256653,11,0.961399387568,-0.037644,6.83733
0.0,56.209,151514,0.0163683,407.245784693,166.64,1164,149.86851334571838,12,0.965065855533,-0.0473733,6.77512
0.0,47.566,153530,0.0197129,416.16897312,168.5,1176,151.88648080825806,12,0.963638313115,-0.0481221,6.74057
0.0,41.2288,155506,0.0158819,430.572830841,171.73,1186,153.9088490009308,10,0.956458035856,-0.0455873,6.72563
0.0,51.5109,157613,0.0181622,444.308516603,174.83,1197,155.93025159835815,11,0.971049992368,-0.0507256,6.66431
0.0,47.0021,159498,0.0144077,460.677110892,178.46,1206,157.9772927761078,9,0.965721812099,-0.048718,6.65239
0.0,60.0733,161761,0.0174819,470.766448551,180.52,1218,160.02452731132507,12,0.965870711952,-0.0458955,6.61646
0.0,55.1262,163827,0.0170865,492.895630523,186.17,1228,162.04096841812134,10,0.970722852275,-0.0458202,6.60585
0.0,67.3543,165681,0.0135008,508.158699681,190.04,1237,164.08698272705078,9,0.964487079531,-0.0440996,6.56886
0.0,57.1417,167776,0.0165472,526.565516338,194.12,1246,166.11841464042664,9,0.970981014892,-0.049418,6.53235
0.0,45.0341,169841,0.015907,542.660305445,197.15,1256,168.16638088226318,10,0.98107207939,-0.051232,6.50674
0.0,44.713,171930,0.0166766,557.583062377,200.69,1266,170.24570298194885,10,0.977457405999,-0.0502581,6.47413
0.0,32.1072,173937,0.0176217,579.144762127,205.8,1275,172.29833030700684,9,0.987314880826,-0.051308,6.44315
0.0,42.3856,175940,0.0167258,592.223808789,209.06,1284,174.35993766784668,9,0.983764702454,-0.0461407,6.4249
0.0,70.0517,177997,0.0173243,597.881843638,209.88,1294,176.41859078407288,10,0.966064609587,-0.0490991,6.4111
0.0,69.02,180006,0.0180408,606.685734457,211.07,1303,178.43852043151855,9,0.970370709896,-0.0470539,6.37519
0.0,39.8816,182109,0.0179876,620.603455076,214.97,1312,180.4373733997345,9,0.973284980282,-0.0524582,6.34478
0.0,46.6645,184118,0.0141537,636.140328551,219.11,1320,182.4693500995636,8,0.98043060489,-0.0486701,6.33624
0.0,33.1698,186220,0.016124,653.629918754,223.93,1328,184.46973729133606,8,0.98328726925,-0.053946,6.32356
0.0,60.2419,188249,0.015673,665.024355577,227.45,1336,186.50138568878174,8,0.968445573002,-0.0557109,6.29445
0.0,100.479,190298,0.0180045,665.887027762,227.44,1345,188.51641821861267,9,0.956437122077,-0.050642,6.274
0.0,83.3344,192409,0.0173413,677.893322287,231.84,1353,190.56094026565552,8,0.960942812264,-0.0437349,6.19061
0.0,102.6,194315,0.0166824,677.74900049,232.33,1362,192.5636670589447,9,0.953542068601,-0.049719,6.14163
0.0,78.0168,196442,0.0207009,690.616198721,236.56,1370,194.5798110961914,8,0.969304848462,-0.0470653,6.09798
0.0,65.316,198608,0.0176973,692.27117676,237.96,1379,196.5871708393097,9,0.968244951218,-0.0556331,6.09387
0.0,43.7931,200662,0.0206441,699.89484112,240.52,1387,198.60304498672485,8,0.979744238779,-0.0592461,6.04321
0.0,45.3667,202540,0.0191533,719.379522228,245.43,1394,200.60623240470886,7,0.978649443015,-0.0513403,6.0536
0.0,59.6148,204575,0.0157542,728.924659329,248.26,1402,202.62479758262634,8,0.974650802091,-0.0566714,6.04546
0.0,27.8535,206679,0.0191724,740.378996029,250.41,1410,204.63642716407776,8,0.983948035166,-0.0542654,6.00882
0.0,67.1531,208756,0.0156836,742.56719552,251.6,1418,206.6576223373413,8,0.961176488549,-0.051037,5.96662
0.0,41.6415,210805,0.0180575,741.838390622,251.18,1426,208.6730842590332,8,0.984147895128,-0.0558144,5.94898
0.0,39.3761,212765,0.0165877,747.9203038,252.91,1433,210.6885335445404,7,0.985844747163,-0.0514115,5.91005
0.0,27.7754,214923,0.0168942,758.220517434,254.36,1441,212.7205104827881,8,0.984446209855,-0.0497581,5.87764
0.0,35.887,216795,0.0169349,768.287246738,256.01,1448,214.71192979812622,7,0.986585719511,-0.0517384,5.85147
0.0,41.5933,218914,0.0190812,777.755649147,258.36,1456,216.74328637123108,8,0.976173771545,-0.0514875,5.84523
0.0,30.9435,221047,0.0198175,793.762886832,261.85,1464,218.75905108451843,8,0.986728612334,-0.0503671,5.81799
0.0,38.6219,222966,0.0184705,800.607127567,262.54,1471,220.7748899459839,7,0.984452359378,-0.0552553,5.83071
0.0,35.1966,225267,0.017821,814.79155683,266.59,1479,222.79131317138672,8,0.983674997464,-0.0525851,5.84606
0.0,39.8204,227182,0.0112841,822.868724046,268.02,1486,224.82161116600037,7,0.985663384199,-0.0500998,5.85704
0.0,33.6692,229217,0.0198159,829.068346002,269.27,1493,226.8223168849945,7,0.985038038343,-0.057316,5.80948
0.0,43.3919,231292,0.0219613,830.847211364,269.53,1501,228.83652639389038,8,0.979970829561,-0.0530798,5.74907
0.0,42.4287,233216,0.0161715,833.270377133,270.95,1508,230.85392093658447,7,0.978538984433,-0.0460401,5.72367
