loss_pol_surr,ev_tdlam_before,TimeElapsed,loss_ent,EpThisIter,TimestepsSoFar,loss_kl,EpLenMean,loss_vf_loss,EpisodesSoFar,loss_pol_entpen,EpRewMean
-0.0611425,0.178295731544,80.83645009994507,5.45956,2,92000,0.0152203,1000.0,6.91491,92,0.0,-341.244647364
-0.0628579,0.294378697872,82.6242949962616,5.39029,2,94000,0.0194802,1000.0,8.49106,94,0.0,-333.009486788
-0.064247,0.37017416954,84.42116737365723,5.30086,2,96000,0.0168328,1000.0,9.73182,96,0.0,-325.281998709
-0.0590165,0.402311205864,86.21506690979004,5.25434,2,98000,0.0153073,1000.0,8.89311,98,0.0,-316.435789024
-0.0639106,0.175429284573,88.00004005432129,5.17028,2,100000,0.0146011,1000.0,8.34339,100,0.0,-307.489602052
-0.0593494,0.295223236084,89.78128695487976,5.05461,2,102000,0.0181058,1000.0,11.3973,102,0.0,-289.52812729
-0.0580501,0.159517168999,91.56272602081299,4.9682,2,104000,0.0166001,1000.0,9.13887,104,0.0,-273.420920735
-0.0652655,0.326338469982,93.35882329940796,4.87765,2,106000,0.0182097,1000.0,10.6717,106,0.0,-256.308006699
-0.0606145,0.287648558617,95.13982105255127,4.80356,2,108000,0.0177631,1000.0,9.10851,108,0.0,-238.151306832
-0.0640463,0.209509670734,96.92189264297485,4.74174,2,110000,0.018532,1000.0,8.94692,110,0.0,-221.00672152
-0.0591925,0.339210689068,98.70288681983948,4.66284,2,112000,0.017036,1000.0,13.3575,112,0.0,-202.972606119
-0.0590092,0.319751381874,100.48443603515625,4.57451,2,114000,0.0180034,1000.0,14.9611,114,0.0,-185.356081713
-0.0587308,0.413080573082,102.2656660079956,4.48876,2,116000,0.0198222,1000.0,13.9647,116,0.0,-169.361786435
-0.0529691,0.239782631397,104.06242156028748,4.4272,2,118000,0.0207549,1000.0,13.6662,118,0.0,-151.686219719
-0.0524707,0.305546402931,105.84340786933899,4.34946,2,120000,0.0197755,1000.0,15.4084,120,0.0,-132.502957309
-0.0502958,0.176325559616,107.62488436698914,4.28256,2,122000,0.0210143,1000.0,18.9087,122,0.0,-112.108699214
-0.0490859,0.142283499241,109.40613865852356,4.24278,2,124000,0.0192616,1000.0,16.2282,124,0.0,-94.1551561084
-0.0548548,0.294188976288,111.18707346916199,4.1979,2,126000,0.0199179,1000.0,20.5128,126,0.0,-76.0904969989
-0.0478344,0.220151007175,112.98404049873352,4.15801,3,129000,0.0154658,1000.0,25.5855,129,0.0,-46.2658732169
-0.0518123,0.212558090687,114.76496815681458,4.05712,2,131000,0.0211176,1000.0,22.4792,131,0.0,-25.0205881325
-0.0493489,0.22844183445,116.54606246948242,3.98485,2,133000,0.0182017,1000.0,23.436,133,0.0,-4.44885901252
-0.0450856,0.339794516563,118.3276526927948,3.94665,2,135000,0.017905,1000.0,24.3542,135,0.0,15.8951471446
-0.0447023,0.291488289833,120.10876846313477,3.91018,2,137000,0.017911,1000.0,24.1124,137,0.0,36.095297704
-0.0437795,0.369863212109,121.88990068435669,3.8918,2,139000,0.0172628,1000.0,26.7016,139,0.0,55.826149795
-0.0442339,0.180608034134,123.67108249664307,3.82534,2,141000,0.0194017,1000.0,28.5153,141,0.0,76.204412485
-0.0467634,0.42879730463,125.45301127433777,3.81268,2,143000,0.0226939,1000.0,35.3741,143,0.0,98.7204980743
-0.0455361,0.327710151672,127.23353147506714,3.80071,2,145000,0.0185625,1000.0,33.1281,145,0.0,117.513575584
-0.0447653,0.241087496281,129.01535201072693,3.72037,2,147000,0.0244239,1000.0,34.604,147,0.0,137.037425706
-0.0448397,0.420634567738,130.79627346992493,3.62579,2,149000,0.0289201,1000.0,39.5121,149,0.0,157.377958424
-0.0471051,0.46046102047,132.57732033729553,3.53802,2,151000,0.0166117,1000.0,38.6256,151,0.0,178.812884109
-0.0399806,0.052895963192,134.35905504226685,3.52427,2,153000,0.019665,1000.0,37.0476,153,0.0,199.475841665
-0.0440238,0.204939723015,136.13998675346375,3.4872,2,155000,0.0165785,1000.0,40.9911,155,0.0,220.188727397
-0.0447508,0.191871404648,137.92226004600525,3.44293,2,157000,0.0214494,1000.0,41.0545,157,0.0,240.323094367
-0.0524073,0.33846694231,139.70318865776062,3.37234,2,159000,0.021373,1000.0,44.7845,159,0.0,262.030149444
-0.0442291,0.0978122353554,141.4840817451477,3.28818,2,161000,0.0222664,1000.0,45.5178,161,0.0,282.789780458
-0.0474711,0.353088915348,143.26603841781616,3.25826,2,163000,0.0250033,1000.0,52.7121,163,0.0,303.010841527
-0.0441342,0.186631560326,145.04624581336975,3.23651,2,165000,0.0178255,1000.0,52.3454,165,0.0,323.826426542
-0.0513458,0.489136338234,146.84291529655457,3.17206,2,167000,0.0231987,1000.0,50.7473,167,0.0,344.874096181
-0.0458532,0.523927301168,148.64058303833008,3.1714,2,169000,0.0237512,1000.0,53.4828,169,0.0,364.504166904
-0.0473804,0.446747124195,150.4058644771576,3.11964,3,172000,0.0202518,1000.0,76.6445,172,0.0,392.509783135
-0.0486047,0.589041650295,152.18680572509766,3.09607,2,174000,0.0199966,1000.0,56.9889,174,0.0,413.040629039
-0.043114,0.410224199295,153.96876168251038,3.05971,2,176000,0.0185416,1000.0,53.093,176,0.0,432.401131903
-0.0397039,0.330541729927,155.7497968673706,3.03055,2,178000,0.0217885,1000.0,54.7453,178,0.0,453.182496995
-0.0467394,0.544822603464,158.00008273124695,2.99371,2,180000,0.0215161,1000.0,62.1968,180,0.0,473.632729535
-0.0455595,0.57713830471,159.78146600723267,2.96104,2,182000,0.0236476,1000.0,61.5515,182,0.0,491.753364604
-0.0413936,0.10785806179,161.56237626075745,2.9207,2,184000,0.016648,1000.0,57.8005,184,0.0,510.498953925
-0.0381289,0.122205615044,163.3433027267456,2.87592,2,186000,0.0197681,1000.0,57.4792,186,0.0,529.291195415
-0.0426637,0.26352840662,165.1255452632904,2.78003,2,188000,0.0214349,1000.0,60.396,188,0.0,548.598823722
-0.0423042,0.266080498695,166.90611481666565,2.76462,2,190000,0.0191532,1000.0,60.5519,190,0.0,566.659789609
-0.0374417,0.0239264965057,168.68763661384583,2.71795,2,192000,0.0284118,1000.0,59.8601,192,0.0,584.832065263
-0.042441,0.148500323296,170.45247793197632,2.66611,2,194000,0.0193901,1000.0,62.1892,194,0.0,602.37867669
-0.0396505,0.0670382380486,172.24939370155334,2.63803,2,196000,0.0208345,1000.0,60.3953,196,0.0,620.553369878
-0.0380846,0.106892228127,174.01490926742554,2.59663,2,198000,0.0205521,1000.0,64.8754,198,0.0,636.882630735
-0.045273,0.282296001911,175.81238794326782,2.55986,2,200000,0.0236704,1000.0,66.5387,200,0.0,652.163262829
-0.0403204,0.189234435558,177.57836437225342,2.5479,2,202000,0.0213956,1000.0,62.8622,202,0.0,666.960599849
