EpThisIter,TimestepsSoFar,loss_kl,EpisodesSoFar,loss_pol_entpen,EpLenMean,loss_pol_surr,TimeElapsed,ev_tdlam_before,EpRewMean,loss_ent,loss_vf_loss
40,2000,0.0114333,40,0.0,50.0,-0.0261902,2.0157744884490967,-0.0096777677536,-109.30389135,2.72676,533.901
41,4050,0.00814418,81,0.0,50.0,-0.0197494,3.7681522369384766,0.11406314373,-105.592006001,2.63925,163.612
41,6100,0.00747852,122,0.0,50.0,-0.0163822,5.507850646972656,0.110720396042,-99.7341618986,2.5764,166.494
41,8150,0.00659336,163,0.0,50.0,-0.0137818,7.250814437866211,0.0884632468224,-92.7111041387,2.506,180.455
41,10200,0.00664652,204,0.0,50.0,-0.0156465,8.993297338485718,0.101151943207,-87.3777865997,2.44308,178.874
41,12250,0.00931736,245,0.0,50.0,-0.0202441,10.74120306968689,0.122730076313,-81.2374386811,2.36702,168.374
41,14300,0.00779194,286,0.0,50.0,-0.0175217,12.484567642211914,0.222234487534,-76.4522447905,2.29775,139.092
41,16350,0.00930117,327,0.0,50.0,-0.0218354,14.227141618728638,0.347161352634,-72.0586846378,2.22238,109.228
41,18400,0.00775965,368,0.0,50.0,-0.0167303,15.954272747039795,0.423837482929,-68.7215944225,2.14718,86.3088
41,20450,0.00904205,409,0.0,50.0,-0.019956,17.70244836807251,0.465887367725,-66.8123924533,2.06611,75.2402
41,22500,0.00812497,450,0.0,50.0,-0.0198376,19.437660217285156,0.511174052954,-63.2468722358,2.01637,60.877
41,24550,0.00757365,491,0.0,50.0,-0.0220078,21.179136037826538,0.512138187885,-59.9994597435,1.94638,58.957
41,26600,0.00888566,532,0.0,50.0,-0.022813,22.912644147872925,0.588967561722,-56.6120871646,1.88906,43.0497
41,28650,0.0114071,573,0.0,50.0,-0.0243164,24.66401481628418,0.607769340277,-54.3919646966,1.80785,37.3466
41,30700,0.00699501,614,0.0,50.0,-0.0175725,26.39168620109558,0.659809827805,-50.9711614382,1.75612,27.7446
41,32750,0.0112175,655,0.0,50.0,-0.0255359,28.127387046813965,0.664190471172,-48.5446640811,1.70187,26.3791
41,34800,0.00857345,696,0.0,50.0,-0.0178026,29.865827798843384,0.66457670927,-47.1033757205,1.64721,23.7397
41,36850,0.00869462,737,0.0,50.0,-0.0203042,31.63156795501709,0.624773025513,-46.8625688659,1.5828,25.2763
41,38900,0.00943015,778,0.0,50.0,-0.0241009,33.3903591632843,0.725823193789,-45.4063568595,1.50106,20.5819
41,40950,0.0100659,819,0.0,50.0,-0.0214108,35.14121890068054,0.763447105885,-43.3056814802,1.43291,15.6429
41,43000,0.0103466,860,0.0,50.0,-0.0263732,36.90934681892395,0.76308760047,-41.2282331367,1.37622,14.6914
41,45050,0.0102234,901,0.0,50.0,-0.0270434,38.6645028591156,0.696863502264,-39.3664285949,1.30568,17.6489
41,47100,0.00898435,942,0.0,50.0,-0.0234745,40.421308517456055,0.747397780418,-37.9820903503,1.24012,13.7305
41,49150,0.0102562,983,0.0,50.0,-0.025978,42.16379380226135,0.716916292906,-36.5904336442,1.16185,12.7315
41,51200,0.00885016,1024,0.0,50.0,-0.0235005,43.91381359100342,0.741180419922,-34.9518285447,1.08565,11.3537
40,53200,0.00657204,1064,0.0,50.0,-0.0229139,45.664021015167236,0.715241611004,-33.5442377416,1.0397,10.714
41,55250,0.0099716,1105,0.0,50.0,-0.0213165,47.43725323677063,0.814896121621,-32.6671104588,0.973726,6.86123
41,57300,0.00905232,1146,0.0,50.0,-0.0243173,49.171796798706055,0.846474319696,-31.9945677362,0.89348,6.54141
41,59350,0.0114391,1187,0.0,50.0,-0.0236235,50.94090509414673,0.824539229274,-31.1336040623,0.820444,6.25532
41,61400,0.0135567,1228,0.0,50.0,-0.0219944,52.67938160896301,0.887319542468,-29.6395176715,0.725168,3.98112
41,63450,0.010934,1269,0.0,50.0,-0.0246636,54.45279264450073,0.814698278904,-28.1417098727,0.650084,5.36112
41,65500,0.00885929,1310,0.0,50.0,-0.022151,56.195271730422974,0.810184314847,-27.0894143179,0.588589,4.33221
41,67550,0.011784,1351,0.0,50.0,-0.0228693,57.96088004112244,0.882708884776,-26.6381904736,0.525887,3.1064
41,69600,0.00971173,1392,0.0,50.0,-0.026997,59.69576978683472,0.88682448864,-26.1023827729,0.473412,2.71318
41,71650,0.0107567,1433,0.0,50.0,-0.0230084,61.45269417762756,0.851151674986,-25.5299803673,0.42045,3.19842
41,73700,0.00921035,1474,0.0,50.0,-0.0249946,63.195189237594604,0.882435508072,-24.8838136744,0.35331,2.66918
41,75750,0.00998871,1515,0.0,50.0,-0.0226257,64.95536684989929,0.860216841102,-23.7744829313,0.301174,2.71637
41,77800,0.0133259,1556,0.0,50.0,-0.020297,66.69562411308289,0.86117900908,-23.3002844025,0.240026,2.41613
41,79850,0.0125952,1597,0.0,50.0,-0.0219734,68.46138072013855,0.757415056229,-22.9656938563,0.18929,2.9953
41,81900,0.0100975,1638,0.0,50.0,-0.0274151,70.20570397377014,0.849364832044,-22.6900608796,0.133219,2.43509
41,83950,0.00829216,1679,0.0,50.0,-0.0238467,71.9605004787445,0.841691672802,-22.1178710957,0.086194,2.50992
41,86000,0.011581,1720,0.0,50.0,-0.0199573,73.69466829299927,0.885722972453,-21.5160178683,0.0102783,1.69258
41,88050,0.013624,1761,0.0,50.0,-0.0234161,75.57087111473083,0.910893805325,-20.4567797095,-0.0351425,1.48096
41,90100,0.0105546,1802,0.0,50.0,-0.0244728,77.32009792327881,0.940437920392,-20.6252422942,-0.0806266,0.961599
41,92150,0.0111931,1843,0.0,50.0,-0.0261056,79.07469987869263,0.919542513788,-20.4256111998,-0.127019,1.28813
41,94200,0.0154945,1884,0.0,50.0,-0.0224857,81.00015783309937,0.914701372385,-20.5794698894,-0.165652,1.12204
41,96250,0.018344,1925,0.0,50.0,-0.00741569,82.7533552646637,0.904944613576,-20.3290321956,-0.21242,1.24405
41,98300,0.015585,1966,0.0,50.0,-0.0258517,84.47623300552368,0.922182269394,-20.4948940183,-0.251014,1.16561
41,100350,0.0083355,2007,0.0,50.0,-0.0197004,86.23741436004639,0.935061752796,-19.99636829,-0.299616,0.813273
41,102400,0.0140978,2048,0.0,50.0,-0.0250113,87.96977162361145,0.917083449662,-19.5202070736,-0.353971,1.11413
40,104400,0.0181392,2088,0.0,50.0,-0.0271528,89.72118759155273,0.92980980128,-18.6185142537,-0.390461,0.866493
41,106450,0.0116497,2129,0.0,50.0,-0.0204493,91.46144366264343,0.937551505864,-17.8007385279,-0.428873,0.892504
41,108500,0.0142428,2170,0.0,50.0,-0.0223091,93.22090196609497,0.931596130133,-17.3427907765,-0.465964,0.984922
41,110550,0.0148278,2211,0.0,50.0,-0.0227579,94.94578719139099,0.948372673243,-17.4312279704,-0.52532,0.702085
41,112600,0.0126586,2252,0.0,50.0,-0.0175211,96.70325946807861,0.916582018137,-17.147687679,-0.573783,0.877339
41,114650,0.0175133,2293,0.0,50.0,-0.0266182,98.43765139579773,0.940246932209,-16.9536040604,-0.61725,0.659271
41,116700,0.0148881,2334,0.0,50.0,-0.0209471,100.18680024147034,0.935956411064,-17.0895959926,-0.670004,0.743317
41,118750,0.0076506,2375,0.0,50.0,-0.0161825,101.93694853782654,0.955255474895,-16.7584306262,-0.679193,0.421067
41,120800,0.0181434,2416,0.0,50.0,-0.0136533,103.68709135055542,0.964041013271,-16.4890671419,-0.731254,0.388801
41,122850,0.016524,2457,0.0,50.0,-0.014227,105.42185139656067,0.954095877707,-16.7801129193,-0.794764,0.502377
41,124900,0.0142285,2498,0.0,50.0,-0.0195798,107.17997550964355,0.953858908266,-17.0503897268,-0.833633,0.513099
41,126950,0.0125303,2539,0.0,50.0,-0.0241454,108.91447353363037,0.956672742963,-16.2800171167,-0.871198,0.433332
41,129000,0.0150813,2580,0.0,50.0,-0.0229042,110.68107104301453,0.9402317442,-15.9022052771,-0.919254,0.550594
