EpLenMean,loss_vf_loss,loss_kl,ev_tdlam_before,loss_ent,TimestepsSoFar,loss_pol_surr,EpRewMean,EpisodesSoFar,TimeElapsed,EpThisIter,loss_pol_entpen
111.04,7042.07,0.0102612,0.573359459639,0.0796038,94143,-0.0134927,1030.74689528,4285,83.26536011695862,18,0.0
112.76,7601.47,0.00845237,0.529434114695,0.0714747,96213,-0.015387,1046.68046651,4303,85.046541929245,18,0.0
124.39,7541.61,0.0171557,0.584008306265,0.0547987,98013,-0.00675592,1154.91680657,4312,86.82760739326477,9,0.0
139.18,7706.42,0.0122304,0.577150344849,0.0351987,99958,-0.0105671,1292.52439559,4319,88.59322690963745,7,0.0
152.46,8246.76,0.0185012,0.474986970425,0.00829911,101861,-0.00589637,1416.13966417,4326,90.37447190284729,7,0.0
158.93,7789.09,0.0160204,0.497381925583,-0.00690556,104162,-0.004777,1476.49160822,4336,92.15571618080139,10,0.0
172.69,8439.63,0.00597043,0.439114868641,-0.03301,106307,-0.011042,1604.55046238,4346,93.93696141242981,10,0.0
181.65,7253.62,0.0100924,0.561551749706,-0.0379437,108162,-0.00624798,1688.07348798,4352,95.702800989151,6,0.0
192.1,7858.44,0.0120103,0.561271429062,-0.0412405,110414,-0.013813,1785.55065742,4359,97.47267699241638,7,0.0
205.47,7346.84,0.00881772,0.614234894514,-0.0649883,112496,-0.0148587,1910.16173284,4366,99.26541471481323,7,0.0
220.1,7728.39,0.0142767,0.537011772394,-0.0899243,114643,-0.0127188,2046.50420076,4373,101.04665994644165,7,0.0
227.74,6905.31,0.00534544,0.554116457701,-0.0927633,116182,-0.00454489,2117.8249592,4379,102.8122775554657,6,0.0
246.13,7130.63,0.0120194,0.579911738634,-0.0821863,118756,-0.00119899,2289.20378268,4385,104.59352278709412,6,0.0
259.39,7250.14,0.0280073,0.218993902206,-0.0820987,120196,-0.00582033,2412.70615394,4387,106.35914182662964,2,0.0
277.36,6775.9,0.0208682,0.486788451672,-0.0692614,122752,-0.00133142,2580.07988925,4393,108.14038729667664,6,0.0
275.97,5658.6,0.0100171,0.687240630388,-0.0743039,124797,-0.00973971,2567.53500975,4406,109.92219543457031,13,0.0
270.82,5848.12,0.00742676,0.704057186842,-0.0868703,126666,-0.0109901,2519.75015838,4417,111.70660376548767,11,0.0
263.87,5956.22,0.00885466,0.698338121176,-0.0981469,128925,-0.0110498,2455.18306374,4427,113.46913266181946,10,0.0
267.32,5643.78,0.00950729,0.755113989115,-0.082082,130529,-0.0118939,2487.36006077,4435,115.26515197753906,8,0.0
264.9,5927.58,0.0122693,0.708405226469,-0.104933,133023,-0.0105882,2465.06936018,4447,117.03077173233032,12,0.0
260.75,5786.75,0.00984743,0.635254979134,-0.127678,135102,-0.0106274,2426.40017419,4455,118.81254076957703,8,0.0
256.49,6517.84,0.00866137,0.574627637863,-0.14817,136563,-0.0109801,2386.71026744,4460,120.578200340271,5,0.0
253.12,5769.12,0.00944008,0.62256705761,-0.162854,138615,-0.00780709,2355.31791441,4468,122.35952162742615,8,0.0
255.56,5754.88,0.0212541,0.664717435837,-0.164937,140890,-0.00597797,2377.97193317,4475,124.127516746521,7,0.0
269.1,5810.95,0.0179304,0.531196206808,-0.185423,142828,-0.00933914,2504.05121957,4478,125.90647435188293,3,0.0
276.44,5913.77,0.0128137,0.508603364229,-0.18357,145009,-0.00656606,2572.40539324,4482,127.6713879108429,4,0.0
252.0,5771.93,0.0139042,0.656223803759,-0.212372,147331,-0.00871324,2344.85853925,4492,129.45263242721558,10,0.0
257.26,6265.56,0.0153705,0.605262428522,-0.234521,149292,-0.00996039,2393.8188836,4498,131.21825170516968,6,0.0
267.27,5019.79,0.0157316,0.687403470278,-0.244436,150684,-0.0127084,2487.02805997,4501,132.9838719367981,3,0.0
285.22,5714.18,0.0110166,0.297979772091,-0.238527,153233,-0.00550155,2654.11804221,4504,134.76583194732666,3,0.0
296.63,5121.62,0.0103002,0.671710282564,-0.25701,155224,-0.0168266,2760.29523393,4508,136.5314016342163,4,0.0
308.25,5229.0,0.0296157,0.469969272614,-0.262321,156975,-0.0055217,2868.54613842,4511,138.29693055152893,3,0.0
327.46,6271.14,0.00629675,0.448509633541,-0.268146,159328,-0.00825015,3047.5274443,4515,140.06292295455933,4,0.0
344.24,4912.37,0.0100454,0.54240322113,-0.263766,161566,-0.00797699,3203.90941978,4518,141.84380888938904,3,0.0
361.5,5448.92,0.0270731,0.334697842598,-0.270621,163584,-0.000911583,3364.71749067,4521,143.609135389328,3,0.0
367.23,4670.62,0.00624471,0.665703058243,-0.264819,165121,-0.0120178,3418.07494862,4524,145.37475514411926,3,0.0
380.96,4589.87,0.0097815,0.412860095501,-0.27981,166947,-0.0124235,3546.0156203,4526,147.1403751373291,2,0.0
397.28,5684.83,0.0191483,0.256139874458,-0.26897,169362,-0.00935992,3698.04261618,4529,148.92161965370178,3,0.0
416.2,4911.33,0.0149764,0.497563838959,-0.29415,172025,-0.0101039,3874.30569704,4533,150.68723917007446,4,0.0
417.52,3982.21,0.0155866,0.715298295021,-0.305428,173332,-0.00608515,3886.59537696,4537,152.45285892486572,4,0.0
435.4,5156.46,0.0163537,-0.0222121477127,-0.277651,175332,-0.00760974,4053.21989122,4539,154.21847867965698,2,0.0
450.25,4396.12,0.0157499,0.639982223511,-0.258799,177301,-0.0101156,4191.54183893,4542,155.99972367286682,3,0.0
469.12,5148.97,0.00683631,-0.0079345703125,-0.261064,179301,-0.00540103,4367.29517711,4544,157.76534295082092,2,0.0
492.14,5167.93,0.0112288,0.45129275322,-0.257449,182237,-0.00793198,4581.73670102,4547,159.53096318244934,3,0.0
497.13,5399.21,0.0144799,0.475695371628,-0.28152,183469,-0.0113616,4628.19422031,4551,161.2967791557312,4,0.0
517.33,5335.02,0.0110165,0.29344022274,-0.292966,186340,-0.00674009,4816.28124338,4554,163.07844161987305,3,0.0
525.29,4807.63,0.0246695,-0.107820034027,-0.300256,188340,0.000959121,4890.47396081,4556,164.8437623977661,2,0.0
537.3,3824.28,0.0142801,0.494780361652,-0.293535,189735,-0.0122997,5002.24099175,4558,166.62498426437378,2,0.0
546.11,6282.69,0.0260327,0.461835026741,-0.292664,192499,-0.000617799,5084.16319482,4563,168.43488836288452,5,0.0
555.64,5652.3,0.0201059,0.505514204502,-0.300728,194179,-0.00724095,5172.87232002,4568,170.20910573005676,5,0.0
559.86,3609.97,0.0132716,0.364364326,-0.291864,195632,-0.0140273,5212.1748274,4570,171.98462390899658,2,0.0
583.79,6106.72,0.0288044,-0.0622913837433,-0.28855,198632,-0.0105298,5435.04861749,4573,173.76580333709717,3,0.0
590.01,2793.51,0.0153773,0.633136898279,-0.299335,199891,-0.0165257,5492.99203704,4575,175.5310926437378,2,0.0
578.49,4913.07,0.0152902,0.642563819885,-0.316283,202634,-0.00711451,5385.64637435,4581,177.30429911613464,6,0.0
592.25,4583.02,0.0109113,0.53644695878,-0.31383,204774,-0.00461889,5513.76678029,4584,179.09359526634216,3,0.0
604.69,3357.53,0.0473031,0.508718878031,-0.343223,206540,0.0242746,5629.65646908,4586,180.87682247161865,2,0.0
581.35,3408.3,0.00848074,0.878318108618,-0.352032,208819,-0.0147727,5412.43595903,4601,182.65164184570312,15,0.0
546.22,2785.59,0.00871315,0.919092573225,-0.362109,210846,-0.0142795,5085.39610943,4609,184.42227411270142,8,0.0
527.25,3598.01,0.0155251,0.89140830189,-0.356322,212546,-0.0176865,4908.65943241,4616,186.20547771453857,7,0.0
512.64,3586.36,0.0190952,0.850676611066,-0.358747,214848,-0.00692373,4772.50808413,4621,187.98398280143738,5,0.0
