TimestepsSoFar,EpThisIter,loss_ent,loss_pol_entpen,ev_tdlam_before,loss_pol_surr,EpRewMean,loss_kl,EpisodesSoFar,loss_vf_loss,TimeElapsed,EpLenMean
94135,17,-0.00668931,0.0,0.672927945852,-0.0110168,894.897145303,0.00658243,4313,6276.73,81.96851110458374,96.39
96252,16,-0.0225284,0.0,0.675600498915,-0.0133187,993.121836357,0.00570284,4329,6491.63,83.734130859375,106.95
98180,12,-0.0401545,0.0,0.643545210361,-0.0193429,1062.37247226,0.0102871,4341,6947.46,85.46851301193237,114.39
100214,11,-0.0644433,0.0,0.625894010067,0.000569076,1173.36598688,0.0258239,4352,7408.01,87.23412013053894,126.32
101970,13,-0.0865221,0.0,0.620693147182,-0.0111123,1221.20003596,0.00942899,4365,6830.21,88.9841148853302,131.45
104405,6,-0.101867,0.0,0.443067252636,-0.00863558,1398.92122432,0.0160057,4371,8020.28,90.73418116569519,150.56
106461,9,-0.111608,0.0,0.621428132057,-0.0122195,1479.26570266,0.00950552,4380,7222.89,92.48417544364929,159.2
108148,9,-0.116642,0.0,0.607396185398,-0.0111492,1574.19835577,0.0125018,4389,7134.63,94.23417115211487,169.4
110587,9,-0.1373,0.0,0.655757069588,-0.0142598,1691.38036154,0.00931932,4398,7143.78,95.98416495323181,181.99
111904,8,-0.153415,0.0,0.620494663715,-0.0106599,1743.20084775,0.01132,4406,7281.31,97.73416042327881,187.56
114472,9,-0.165606,0.0,0.622018814087,-0.0121889,1869.63588594,0.0082746,4415,6724.27,99.48415446281433,201.14
116550,14,-0.18542,0.0,0.632458329201,-0.00104204,1886.77390987,0.0272299,4429,6730.61,101.25012612342834,202.98
118736,6,-0.196696,0.0,0.553980141878,-0.0094566,1991.42311042,0.0112097,4435,7222.46,102.99319052696228,214.22
120653,5,-0.199666,0.0,0.410183310509,-0.00782425,2104.20124263,0.0124694,4440,7376.7,104.74973964691162,226.34
122563,4,-0.190692,0.0,0.649034172297,-0.0118523,2200.84965582,0.0312338,4444,6326.0,106.48410844802856,236.72
124776,4,-0.184381,0.0,0.470424413681,-0.0102309,2351.15743486,0.0100737,4448,6917.58,108.23410320281982,252.87
126058,3,-0.179489,0.0,0.456336736679,-0.00854944,2418.98247119,0.0167861,4451,6657.84,109.96847319602966,260.16
128058,2,-0.187506,0.0,-0.0244935750961,-0.00649727,2562.0476452,0.00432968,4453,7039.18,111.72594857215881,275.53
130465,5,-0.190417,0.0,0.446693837643,-0.00652256,2732.00698169,0.0202213,4458,6912.51,113.46912145614624,293.79
132249,3,-0.181043,0.0,0.398771941662,-0.00517811,2875.06937015,0.0326153,4461,6639.92,115.20286774635315,309.16
134882,8,-0.176986,0.0,0.685934633017,-0.00942177,2931.58875403,0.00846358,4469,6099.47,116.95286154747009,315.22
137108,5,-0.17998,0.0,0.545786470175,-0.0105139,2975.92236895,0.0114588,4474,6314.53,118.70285725593567,319.97
139154,9,-0.188909,0.0,0.559336811304,-0.00617775,2993.76182867,0.0143965,4483,6702.75,120.45285129547119,321.89
140726,5,-0.184109,0.0,0.740306198597,-0.00953277,3046.41237777,0.00704753,4488,5635.45,122.18722176551819,327.54
143091,6,-0.18641,0.0,0.593461751938,-0.00726256,3113.43995043,0.00734184,4494,6483.24,123.93721532821655,334.73
145351,6,-0.198255,0.0,0.772357016802,-0.0170382,3224.44083389,0.00973189,4500,4988.81,125.67158532142639,346.65
147321,4,-0.211672,0.0,0.406238079071,-0.0121326,3354.47082441,0.0187758,4504,6314.75,127.40595531463623,360.62
149001,3,-0.233517,0.0,0.526589274406,-0.0125999,3370.90329936,0.0123243,4507,5613.76,129.1559498310089,362.38
151331,4,-0.233701,0.0,0.450419604778,-0.00673479,3501.13099351,0.00955692,4511,6074.89,130.90594458580017,376.37
152992,4,-0.252461,0.0,0.629600137472,-0.010906,3583.29945552,0.00772891,4515,5573.62,132.64031457901,385.2
155104,3,-0.232578,0.0,0.392306923866,-0.011614,3722.78233471,0.0126658,4518,5958.99,134.3915410041809,400.18
157634,6,-0.248921,0.0,0.652378022671,-0.0117553,3869.44836592,0.00551676,4524,5405.49,136.14825534820557,415.93
159135,3,-0.261173,0.0,0.684752941132,-0.012508,3977.96818986,0.0118516,4527,4256.3,137.89068031311035,427.59
161709,9,-0.269556,0.0,0.76378557086,-0.0109802,3971.31196081,0.00446431,4536,4344.78,139.63318872451782,426.87
163791,6,-0.265977,0.0,0.714688152075,-0.0127002,3947.49782587,0.0125271,4542,4747.36,141.4062283039093,424.31
165716,6,-0.277726,0.0,0.754254490137,-0.0114137,3808.77140459,0.0113131,4548,4686.44,143.14059853553772,409.4
167800,9,-0.303464,0.0,0.700170576572,-0.00821921,3521.5383913,0.0181222,4557,6476.01,144.90621995925903,378.53
169964,5,-0.312041,0.0,0.487652420998,0.00450274,3415.65115405,0.0319193,4562,6338.15,146.64058828353882,367.15
171989,3,-0.334564,0.0,0.720857143402,-0.00706412,3479.84978484,0.0290992,4565,4599.71,148.40621304512024,374.04
173449,3,-0.3489,0.0,0.540474832058,-0.0108133,3592.11723246,0.0165217,4568,4431.4,150.14057779312134,386.1
175244,5,-0.340279,0.0,0.702283501625,-0.00707063,3570.6515198,0.0149903,4573,5100.99,151.89057302474976,383.79
177701,3,-0.347879,0.0,0.453584074974,0.00514587,3675.50732175,0.03329,4576,5209.24,153.64056754112244,395.04
179971,3,-0.375457,0.0,0.405744791031,-0.00984531,3830.24135231,0.0147687,4579,4906.39,155.390563249588,411.66
181297,2,-0.374181,0.0,0.344539642334,-0.00441152,3946.90602225,0.0168949,4581,4024.91,157.1405565738678,424.19
184297,3,-0.367303,0.0,-0.0286365747452,-0.00564686,4171.83992167,0.0212493,4584,6211.7,158.89469528198242,448.35
186090,2,-0.375115,0.0,0.459499835968,-0.00580336,4320.88775742,0.0328429,4586,4144.94,160.6324121952057,464.36
188363,4,-0.371684,0.0,0.531445980072,-0.00784952,4309.35074645,0.0246503,4590,5621.47,162.3910448551178,463.13
189897,4,-0.389822,0.0,0.625259876251,-0.00846679,4355.21065257,0.0214526,4594,4368.46,164.125408411026,468.06
192504,4,-0.398394,0.0,0.407785475254,0.0073761,4478.7452077,0.0425378,4598,5728.6,165.87513899803162,481.33
193563,5,-0.423992,0.0,0.663234382868,-0.00361381,4341.84683382,0.0227315,4603,4128.2,167.6290099620819,466.63
196327,6,-0.432818,0.0,0.558166772127,4.56488e-06,4278.44569181,0.0182757,4609,5450.3,169.37475037574768,459.82
198351,11,-0.421202,0.0,0.740923464298,-0.0203457,3916.85341404,0.0109876,4620,4941.03,171.10911893844604,420.98
200600,4,-0.436251,0.0,0.513393223286,-0.00668425,3997.60650113,0.0196494,4624,5170.56,172.85911464691162,429.66
202600,2,-0.424558,0.0,-0.0725326538086,-0.0072927,4078.50764385,0.0228834,4626,4617.89,174.60910940170288,438.35
204600,2,-0.426587,0.0,-0.0604989528656,-0.00768084,4139.27061348,0.0130805,4628,4652.2,176.3434784412384,444.88
206600,2,-0.420636,0.0,-0.00475072860718,-0.00404875,4238.11129354,0.0382514,4630,4750.65,178.09347343444824,455.5
208562,7,-0.434994,0.0,0.642862856388,-0.0100618,4334.7648164,0.0224442,4637,4266.25,179.82784295082092,465.89
210172,2,-0.423263,0.0,0.527334570885,-0.0107818,4351.3117897,0.0184214,4639,3492.35,181.5778374671936,467.67
212898,3,-0.428916,0.0,0.449285507202,-0.00834785,4569.1215943,0.0177929,4642,4009.11,183.31220746040344,491.07
214897,2,-0.423377,0.0,0.378850162029,-0.0125108,4709.95486332,0.00906282,4644,3959.59,185.07346940040588,506.21
216897,2,-0.422418,0.0,0.0203837156296,-0.0107517,4827.48081778,0.0167595,4646,4651.83,186.81239318847656,518.84
218553,2,-0.414026,0.0,0.264156222343,-0.00830726,4916.14677281,0.0187502,4648,4220.87,188.5623881816864,528.37
220496,2,-0.418501,0.0,0.402399361134,-0.0077869,5034.84737992,0.0286447,4650,3710.38,190.32800817489624,541.13
222572,3,-0.432536,0.0,0.348864376545,0.0128074,5174.5955562,0.07763,4653,4437.94,192.07800269126892,556.15
224572,2,-0.426226,0.0,-0.0200601816177,-0.00827765,5337.26712653,0.0149723,4655,4738.08,193.81237244606018,573.62
226685,4,-0.430042,0.0,0.489061117172,-0.00980273,5443.48220334,0.0198514,4659,4949.82,195.57954859733582,585.03
228685,2,-0.409581,0.0,-0.107385873795,-0.00498731,5556.90865317,0.0148008,4661,4712.64,197.32045602798462,597.21
230685,2,-0.387118,0.0,-0.00216543674469,-0.000215145,5556.87841464,0.0566847,4663,4785.53,199.07127261161804,597.21
233382,6,-0.376351,0.0,0.628905266523,-0.012602,5483.46009481,0.011117,4669,6098.5,200.81232142448425,589.33
234862,3,-0.37036,0.0,0.618500649929,-0.00734101,5560.05307217,0.0120285,4672,4120.13,202.56231832504272,597.57
236628,3,-0.394697,0.0,0.39115691185,-0.0106602,5575.71715006,0.0185529,4675,4210.23,204.31231212615967,599.27
239339,7,-0.406238,0.0,0.597785890102,-0.011996,5307.04784079,0.00904346,4682,5558.05,206.06591701507568,570.42
241441,3,-0.413022,0.0,0.417365014553,-0.00864406,5242.68950973,0.0142073,4685,5588.67,207.79755020141602,563.51
243120,2,-0.407094,0.0,0.605332732201,-0.0140336,5259.19400647,0.0229,4687,3009.04,209.54726433753967,565.29
245715,3,-0.39734,0.0,0.172447383404,-0.00868541,5335.87463224,0.0125109,4690,6586.71,211.3041832447052,573.52
247715,2,-0.405504,0.0,-0.0197803974152,-0.00653175,5487.01783816,0.00956099,4692,4932.91,213.04793214797974,589.75
249597,3,-0.392114,0.0,0.546738624573,-0.0103516,5461.38360854,0.0145766,4695,3983.87,214.82173466682434,587.0
251727,3,-0.379912,0.0,0.383962154388,-0.00817772,5510.08872954,0.0202771,4698,5519.44,216.56359314918518,592.23
253577,2,-0.376126,0.0,0.472033679485,0.00950359,5608.27725798,0.0617357,4700,3400.79,218.3126358985901,602.77
255231,3,-0.398661,0.0,0.534599632025,-0.0072957,5737.75916582,0.01652,4703,4922.45,220.05410385131836,616.68
257150,2,-0.408475,0.0,0.206128895283,-0.0102121,5808.79397059,0.0208528,4705,3183.8,221.7968978881836,624.31
259797,3,-0.412573,0.0,0.430301487446,-0.00364959,5917.35421802,0.0103771,4708,5181.25,223.54661655426025,635.97
261921,3,-0.404967,0.0,0.300313293934,-0.00293616,6063.41702961,0.0301872,4711,5416.14,225.2809829711914,651.66
263921,2,-0.393644,0.0,-0.147575616837,-0.00682354,6229.93481842,0.0184257,4713,5378.63,227.01535320281982,669.55
265921,2,-0.389399,0.0,-0.0121735334396,-0.00855424,6363.74262514,0.0254976,4715,5215.51,228.76534748077393,683.92
268214,3,-0.389404,0.0,0.517171740532,-0.00841731,6516.20325152,0.0102574,4718,4747.41,230.53096795082092,700.31
270214,2,-0.391165,0.0,-0.020467877388,-0.0047719,6686.77280708,0.0259933,4720,5287.39,232.28192162513733,718.63
272214,2,-0.378538,0.0,-0.00299966335297,-0.00573312,6775.93885497,0.0254463,4722,5332.37,234.01961421966553,728.21
273633,2,-0.371991,0.0,0.255034506321,-0.00732299,6795.62783763,0.0189948,4724,4663.42,235.765380859375,730.33
275633,2,-0.366219,0.0,-0.0156432390213,-0.007794,6795.60810237,0.0145596,4726,5404.08,237.49975037574768,730.33
277888,3,-0.36202,0.0,0.18036544323,-0.0120807,6726.2562472,0.00877221,4729,6246.26,239.24974584579468,722.88
279888,2,-0.357813,0.0,-0.173568248749,-0.00737146,6729.31977608,0.0101993,4731,5460.99,241.0039632320404,723.21
282111,3,-0.356821,0.0,0.239308178425,-0.0118291,6914.8044,0.0121306,4734,6069.96,242.7654902935028,743.14
284368,3,-0.350884,0.0,0.340407848358,-0.00943112,7053.66795925,0.00865718,4737,6329.31,244.49985885620117,758.06
285990,2,-0.338845,0.0,0.531055957079,-0.00154187,7054.77688686,0.00836279,4739,3624.96,246.25086188316345,758.18
288681,3,-0.358178,0.0,0.594114780426,-0.0103306,7051.46277512,0.00760469,4742,5479.8,247.999769449234,757.83
290384,2,-0.364481,0.0,0.224425494671,-0.00741073,7023.96549022,0.0218221,4744,4495.48,249.74976468086243,754.87
292616,3,-0.38465,0.0,0.430566430092,-0.0130526,6984.57294034,0.00763305,4747,6416.81,251.4841341972351,750.63
294616,2,-0.368138,0.0,-0.010899066925,-0.00789454,6990.03563481,0.00785272,4749,5611.9,253.24975514411926,751.2
296616,2,-0.360511,0.0,-0.007807970047,-0.00643968,6990.14073772,0.0253636,4751,5619.27,254.98412346839905,751.2
298083,2,-0.378125,0.0,0.243878006935,-0.00724405,7026.56942972,0.0142478,4753,5067.46,256.73548007011414,755.11
300083,2,-0.370431,0.0,-0.0349940061569,-0.00748918,7026.52789005,0.0386199,4755,5696.69,258.48440432548523,755.11
302820,3,-0.366763,0.0,0.197574198246,-0.00596448,7165.05276713,0.0172664,4758,7120.25,260.2341914176941,769.99
304481,2,-0.376346,0.0,0.534972012043,-0.0127001,7146.09065063,0.0149785,4760,3275.98,261.9685609340668,767.96
306663,3,-0.381022,0.0,0.128731608391,-0.0061097,7069.94044535,0.0255672,4763,7891.69,263.70967984199524,759.78
308516,2,-0.390497,0.0,0.23143863678,-0.0100319,7138.20820198,0.0197186,4765,5336.82,265.4691596031189,767.11
311060,4,-0.40378,0.0,0.228872537613,-0.00815374,7228.36872405,0.0231733,4769,9520.19,267.21889901161194,776.78
313287,3,-0.40983,0.0,0.140481650829,-0.00992549,7298.12009765,0.00736245,4772,7601.31,268.9614052772522,784.25
315287,2,-0.417847,0.0,0.0465298295021,-0.010162,7395.97242677,0.0205431,4774,5501.57,270.7197573184967,794.75
316954,4,-0.416895,0.0,0.501436889172,-0.00938234,7351.44682511,0.0131172,4778,6220.3,272.4687201976776,789.95
318954,2,-0.394089,0.0,-0.0260847806931,-0.00468483,7478.93345006,0.0113597,4780,5690.58,274.2187144756317,803.63
321132,4,-0.399796,0.0,0.635749489069,-0.0108665,7426.12009888,0.00776085,4784,5667.24,275.9530849456787,797.93
322871,3,-0.402842,0.0,0.635367244482,-0.00767114,7422.34947274,0.00658432,4787,3457.0,277.70307898521423,797.51
325338,3,-0.41434,0.0,0.471054136753,-0.00824964,7410.58394942,0.00879892,4790,6801.31,279.4530737400055,796.23
327285,3,-0.418654,0.0,0.504953831434,-0.00659141,7366.70119165,0.0200625,4793,5754.9,281.1874432563782,791.5
329285,2,-0.398506,0.0,-0.0499557256699,-0.00696206,7416.97348305,0.00811116,4795,5743.77,282.937438249588,796.88
331127,3,-0.416651,0.0,0.317570865154,-0.00356866,7390.24601612,0.0307543,4798,7366.56,284.67529821395874,794.0
333393,3,-0.417048,0.0,0.259662091732,0.00226176,7373.65756698,0.0271863,4801,7576.08,286.4377188682556,792.21
335393,2,-0.420226,0.0,-0.0458558797836,-0.00119585,7461.39761693,0.018299,4803,5748.08,288.1720235347748,801.62
337393,2,-0.431471,0.0,-0.00242614746094,-0.000974046,7469.054619,0.0405672,4805,5718.29,289.9389865398407,802.43
339393,2,-0.443617,0.0,-0.0020238161087,0.00625009,7502.1046968,0.0426059,4807,5737.92,291.6826958656311,805.96
341393,2,-0.434374,0.0,-0.000633239746094,-0.0105625,7502.30135524,0.0109529,4809,5755.19,293.43726420402527,805.96
