loss_kl,loss_pol_surr,TimeElapsed,ev_tdlam_before,EpThisIter,EpisodesSoFar,EpLenMean,loss_ent,TimestepsSoFar,loss_pol_entpen,EpRewMean,loss_vf_loss
0.00704145,-0.0129899,83.4688048362732,0.716309934855,27,4322,77.74,0.056251,94148,0.0,721.122433432,4730.86
0.010216,-0.00996654,85.26567506790161,0.707444816828,20,4342,82.55,0.0470065,96183,0.0,765.903274357,5371.34
0.00649866,-0.00835426,87.04691934585571,0.671529442072,22,4364,86.35,0.0409545,98267,0.0,801.26917003,5244.9
0.0101564,-0.0131981,88.84378957748413,0.690385431051,27,4391,86.7,0.0267774,100334,0.0,804.527131807,5474.5
0.00756956,-0.00838872,90.60940837860107,0.670148581266,14,4405,94.64,0.0106244,102331,0.0,878.403156129,6108.48
0.00783197,-0.00672857,92.40627837181091,0.644479602575,15,4420,103.23,-0.00869715,104317,0.0,958.336136236,6607.96
0.0105676,-0.00126905,94.18737506866455,0.665446639061,12,4432,115.05,-0.00687766,106480,0.0,1068.27595249,6630.77
0.00771185,-0.0078312,95.96862149238586,0.698156327009,17,4449,116.36,-0.0313889,108507,0.0,1080.59503517,5554.31
0.0138829,-0.00749269,97.74986433982849,0.728885293007,11,4460,126.23,-0.0641186,110460,0.0,1172.5029682,6369.41
0.0126624,-0.00780664,99.5467357635498,0.60303324461,11,4471,135.08,-0.084035,112195,0.0,1254.90881228,7190.89
0.00716828,-0.0136946,101.31615114212036,0.573120415211,8,4479,152.63,-0.0857486,114596,0.0,1418.18427008,7275.43
0.0154857,-0.00183214,103.09447813034058,0.658891290426,7,4486,165.14,-0.0952496,116404,0.0,1534.62672729,6607.67
0.00709366,-0.0121937,104.88278913497925,0.636987119913,11,4497,173.73,-0.120033,118686,0.0,1614.56087258,6907.49
0.021677,-0.00969441,106.67448592185974,0.689307898283,7,4504,184.33,-0.142126,120697,0.0,1713.18812397,6596.19
