loss_ent,ev_tdlam_before,EpThisIter,loss_pol_entpen,TimeElapsed,loss_vf_loss,loss_kl,EpisodesSoFar,EpLenMean,loss_pol_surr,TimestepsSoFar,EpRewMean
-0.0484252,0.604258596897,23,0.0,83.10974597930908,6407.69,0.0136839,4110,90.73,-0.00290415,94191,841.83507005
-0.0584793,0.652382671833,22,0.0,84.89071822166443,6260.42,0.00800787,4132,94.35,-0.0153956,96242,875.565101717
-0.0675732,0.650385737419,18,0.0,86.6875867843628,6434.49,0.00806326,4150,94.22,-0.0121314,98291,874.373496436
-0.0965829,0.66762316227,17,0.0,88.46644496917725,6720.45,0.00937348,4167,101.42,-0.0153626,100239,941.344731201
-0.113321,0.615585237741,12,0.0,90.2345826625824,7075.1,0.0107689,4179,108.84,-0.0115407,102377,1010.45921862
-0.136702,0.631254047155,6,0.0,92.001131772995,7344.37,0.00952502,4185,120.18,-0.00838212,103889,1116.04917094
-0.158541,0.625838190317,11,0.0,93.79759669303894,6803.8,0.00436245,4196,132.78,-0.0127869,106466,1233.46168251
-0.18264,0.652724057436,8,0.0,95.5789110660553,6999.63,0.00773542,4204,145.44,-0.0118275,108301,1351.31950304
-0.185372,0.699827462435,5,0.0,97.35450196266174,7011.43,0.0260779,4209,160.42,-0.00921602,110187,1490.74039191
-0.198963,0.679373085499,9,0.0,99.12541437149048,6485.12,0.00934606,4218,171.98,-0.0108161,112225,1598.46118577
-0.200523,0.672093898058,4,0.0,100.94277000427246,7085.55,0.02958,4222,187.74,0.00024696,114215,1745.26806988
-0.204422,0.700998157263,5,0.0,102.71891784667969,6631.28,0.0120376,4227,200.84,-0.0011144,115860,1867.31956366
-0.202248,0.487927377224,4,0.0,104.48453760147095,7318.93,0.00902438,4231,222.52,-0.0107643,118461,2069.3310926
-0.206629,0.588973909616,5,0.0,106.26578211784363,6810.7,0.00715627,4236,242.29,-0.0140978,120815,2253.43268864
-0.211675,0.529351115227,5,0.0,108.04702734947205,6793.22,0.0163286,4241,256.05,-0.0132187,122743,2381.69818524
-0.213468,0.714573264122,4,0.0,109.81264734268188,6016.91,0.0104879,4245,273.58,-0.0148761,124849,2545.00716149
-0.249309,0.521279931068,5,0.0,111.5972740650177,6819.75,0.0177805,4250,286.32,-0.0122682,126923,2663.7226987
-0.255807,0.481509327888,4,0.0,113.36677074432373,6719.24,0.0115657,4254,299.62,-0.0160902,128572,2787.6427174
-0.258758,-0.0400739908218,2,0.0,115.14125895500183,6770.51,0.0339234,4256,314.28,-0.00602439,130572,2924.29144339
-0.265674,0.471109807491,5,0.0,116.92234921455383,6320.95,0.0169507,4261,332.22,-0.00370549,133001,3091.53064629
-0.2719,0.556628644466,4,0.0,118.7032470703125,6332.6,0.0184488,4265,348.29,-0.00182176,134910,3241.32915145
-0.288698,0.749157756567,3,0.0,120.46925854682922,5552.33,0.0107238,4268,357.48,0.000363424,136217,3326.99031921
