loss_pol_entpen,EpRewMean,TimestepsSoFar,loss_kl,EpLenMean,loss_vf_loss,EpThisIter,EpisodesSoFar,loss_pol_surr,TimeElapsed,loss_ent,ev_tdlam_before
0.0,-112.999891439,2000,0.00889192,50.0,609.509,40,40,-0.0218178,2.0613207817077637,2.73813,-0.00945377349854
0.0,-107.062902261,4050,0.010054,50.0,149.143,41,81,-0.0227004,3.79646897315979,2.64526,0.214392900467
0.0,-99.5201531483,6100,0.00913556,50.0,169.879,41,122,-0.0212353,5.502127408981323,2.56016,0.133961200714
0.0,-91.0322189576,8150,0.00830976,50.0,169.141,41,163,-0.0157334,7.233477354049683,2.49807,0.129452288151
0.0,-87.291882901,10200,0.00764264,50.0,207.437,41,204,-0.0171011,8.944736003875732,2.43207,0.0564050674438
0.0,-83.9377040287,12250,0.00679557,50.0,177.247,41,245,-0.0173186,10.678910732269287,2.3584,0.107650220394
0.0,-79.0392142785,14300,0.0083683,50.0,124.142,41,286,-0.0183002,12.405019521713257,2.28137,0.219351172447
0.0,-74.9103442392,16350,0.007214,50.0,111.151,41,327,-0.0192918,14.123973369598389,2.22175,0.329318642616
0.0,-69.7353663973,18400,0.00716147,50.0,85.7931,41,368,-0.0164086,15.850844383239746,2.15591,0.443663775921
0.0,-65.5142870132,20450,0.0105933,50.0,71.6817,41,409,-0.023395,17.569823503494263,2.07551,0.529757201672
0.0,-61.126541514,22500,0.00966438,50.0,67.8961,41,450,-0.0201775,19.304678678512573,2.00422,0.467878758907
0.0,-59.9440964212,24550,0.00823057,50.0,48.0488,41,491,-0.0206965,21.017307996749878,1.91732,0.596320867538
0.0,-58.8172241841,26600,0.00838352,50.0,46.7456,41,532,-0.0214913,22.741883277893066,1.83997,0.61023491621
0.0,-54.5231910492,28650,0.00860315,50.0,37.1608,41,573,-0.0192785,24.444716691970825,1.77212,0.665681391954
0.0,-51.1449411806,30700,0.00733671,50.0,27.3778,41,614,-0.0186405,26.177777767181396,1.71513,0.7013002038
0.0,-48.4265335523,32750,0.0106219,50.0,25.3728,41,655,-0.0254301,27.890170574188232,1.64507,0.668881714344
0.0,-46.7511583183,34800,0.00813003,50.0,26.081,41,696,-0.021922,29.610920667648315,1.58098,0.672536611557
0.0,-46.048467825,36850,0.00996643,50.0,23.912,41,737,-0.0273938,31.320175170898438,1.49784,0.636982560158
0.0,-42.8003542692,38900,0.0107031,50.0,17.1995,41,778,-0.0253438,33.06172728538513,1.42524,0.719127088785
0.0,-40.2822577922,40950,0.00793183,50.0,16.4984,41,819,-0.0224006,34.77295422554016,1.35167,0.719577819109
0.0,-40.0589580693,43000,0.0105412,50.0,11.7575,41,860,-0.0285952,36.57794165611267,1.2722,0.807634085417
0.0,-38.6885427602,45050,0.00686022,50.0,13.5004,41,901,-0.0229009,38.264628171920776,1.22324,0.720622003078
0.0,-35.9751964564,47100,0.00947977,50.0,12.6751,41,942,-0.0249607,40.007152795791626,1.16342,0.70850110054
0.0,-33.9943481373,49150,0.0105868,50.0,11.2018,41,983,-0.0228783,41.72508525848389,1.08675,0.691890776157
0.0,-33.3161605215,51200,0.00807904,50.0,9.37885,41,1024,-0.0210766,43.46003866195679,1.02517,0.741802632809
0.0,-32.6694119146,53200,0.00950135,50.0,9.34557,40,1064,-0.025297,45.17940807342529,0.950123,0.7452673316
0.0,-31.700882556,55250,0.0121764,50.0,9.90911,41,1105,-0.0265522,46.91016888618469,0.861975,0.697584152222
0.0,-30.6449487319,57300,0.0147825,50.0,7.57247,41,1146,-0.0239876,48.623992681503296,0.785479,0.746627479792
0.0,-29.2787258337,59350,0.00768273,50.0,6.79013,41,1187,-0.024527,50.35857629776001,0.720938,0.77053847909
0.0,-27.6666274104,61400,0.0141787,50.0,6.6975,41,1228,-0.0252784,52.07722043991089,0.663433,0.747045069933
0.0,-26.2037759656,63450,0.0104466,50.0,6.17271,41,1269,-0.0271946,53.81148409843445,0.609503,0.74892526865
0.0,-24.9484543896,65500,0.00975638,50.0,4.75906,41,1310,-0.0192838,55.5300772190094,0.563394,0.760140314698
0.0,-24.3671618369,67550,0.0108434,50.0,5.1832,41,1351,-0.0209556,57.248624324798584,0.517157,0.690613299608
0.0,-23.5317291626,69600,0.0148183,50.0,4.18326,41,1392,-0.020799,58.98679065704346,0.461416,0.755511209369
