#{"t_start": 1536331701.2375243, "env_id": "Hopper-v2"}
r,l,t
8.401215,21,1.368201
23.392924,32,1.383824
10.490249,19,1.399449
22.283173,23,1.415074
10.839933,16,1.430699
10.603163,15,1.430699
10.190789,23,1.446324
22.726958,33,1.477573
15.143345,25,1.493199
5.049555,11,1.493199
35.100433,31,1.52445
24.458105,25,1.540074
14.939952,37,1.5557
14.223342,14,1.571323
47.542341,35,1.602573
10.322402,13,1.602573
6.714248,8,1.618199
8.921816,13,1.618199
8.356106,12,1.633823
7.789013,11,1.633823
16.719193,18,1.649448
6.346552,10,1.649448
6.288443,12,1.665074
19.124089,19,1.680697
12.098061,14,1.680697
13.667846,18,1.696324
13.711255,16,1.711948
8.651356,26,1.727574
21.678322,23,1.743198
26.175335,29,1.758823
12.585523,14,1.774448
14.616988,15,1.774448
13.090195,24,1.805697
10.643568,12,1.805697
8.731837,11,1.821323
4.98327,18,1.821323
8.611652,12,1.836948
8.673007,17,1.852573
4.795696,8,1.852573
18.416205,16,1.868198
21.885336,30,1.883822
9.815495,19,1.899447
11.509221,16,1.915073
30.287372,42,1.939807
7.442663,13,1.939807
42.55405,49,1.986683
17.671179,18,1.986683
11.460336,12,2.002308
28.285262,33,2.017933
32.361971,27,2.049184
7.381119,16,2.049184
8.74418,21,2.064809
13.489069,22,2.080433
21.59264,20,2.096058
10.352876,14,2.111684
7.814615,12,2.111684
8.375293,21,2.127308
29.515139,26,2.142934
10.509413,13,2.158559
39.099723,31,2.174182
11.59682,18,2.189807
21.18109,30,2.205432
7.142688,16,2.221057
44.108301,50,2.252308
9.102324,14,2.267932
20.196882,18,2.283557
34.215979,26,2.299183
20.829931,30,2.314807
7.005556,9,2.314807
24.188827,23,2.330432
17.717017,17,2.346057
118.973116,74,2.392932
8.879161,12,2.408556
7.503342,13,2.408556
14.523111,19,2.424184
10.950294,18,2.439807
16.851977,19,2.455432
10.13158,15,2.455432
43.113938,43,2.486681
6.122195,15,2.502307
6.869434,10,2.502307
81.823863,49,2.533556
7.253493,9,2.549183
9.730321,15,2.549183
24.709967,36,2.580431
29.682324,25,2.596057
12.758527,32,2.611681
8.476153,13,2.627307
7.585329,13,2.642932
32.914995,36,2.658557
46.45028,40,2.689806
8.057404,19,2.705432
6.582075,11,2.705432
8.429325,29,2.721056
30.043715,32,3.77779
15.850256,25,3.793415
93.348537,61,3.836833
9.720644,12,3.852461
31.209898,30,3.868086
8.691583,13,3.883709
34.201736,26,3.899337
34.108595,33,3.914961
8.316856,10,3.930585
23.268041,29,3.94621
10.490814,13,3.961835
86.778912,50,3.993086
6.695664,23,4.008709
9.413843,12,4.008709
7.751577,10,4.024334
18.472022,21,4.039959
134.382051,103,4.118085
9.665632,12,4.118085
17.895863,28,4.133709
37.378873,32,4.16496
10.468983,12,4.16496
16.353281,15,4.180584
26.113487,30,4.196209
34.63018,37,4.227458
11.489297,13,4.243084
20.764989,26,4.258708
18.504705,20,4.274334
54.917013,35,4.289958
6.995534,11,4.305583
16.253624,17,4.305583
9.979616,13,4.321209
30.46484,27,4.336833
12.437474,31,4.368083
17.737295,27,4.383708
13.016919,15,4.383708
11.651157,15,4.399333
6.005671,15,4.414958
16.185955,17,4.414958
11.560175,15,4.430585
17.675059,21,4.446208
36.015317,29,4.461833
7.718813,12,4.477458
121.459845,71,4.524332
45.094412,34,4.539957
36.697826,29,4.571207
68.648991,45,4.602458
77.385596,45,4.633706
24.473461,22,4.649332
11.182922,16,4.649332
12.208466,17,4.664956
5.641248,11,4.680581
10.059053,25,4.696206
61.61024,45,4.727456
29.473425,31,4.743081
18.72304,22,4.758707
9.377244,13,4.774331
8.839464,11,4.774331
18.470964,22,4.789957
67.166506,42,4.821205
36.457136,31,4.836833
28.406107,23,4.852457
10.069447,12,4.868081
24.145879,26,4.883706
6.327268,9,4.883706
16.026434,17,4.899331
22.403661,22,4.914956
62.063658,36,4.937688
9.301845,11,4.953315
50.942825,31,4.96894
11.082209,18,4.984565
28.884814,49,5.015814
27.204693,27,5.03144
6.490394,21,5.047065
55.064735,45,5.078315
26.276569,21,5.093939
23.082954,19,5.109563
9.574266,18,5.12519
23.039512,20,5.12519
19.697877,22,5.140815
58.670213,58,5.18769
41.094878,31,5.946141
