loss_kl,loss_pol_entpen,loss_ent,ev_tdlam_before,loss_vf_loss,EpThisIter,TimestepsSoFar,EpLenMean,EpisodesSoFar,loss_pol_surr,EpRewMean,TimeElapsed
0.0128871,0.0,4.22522,0.0041356086731,37.6043,94,2020,21.4893617021,94,-0.0284315,17.9032130557,2.472090721130371
0.0210698,0.0,4.19009,0.410629630089,57.7774,80,4085,25.31,174,-0.0414655,26.0936628047,4.624817609786987
0.0146283,0.0,4.15629,0.282192528248,116.48,42,6130,35.08,216,-0.0361349,44.4806909474,6.814024925231934
0.0126756,0.0,4.14101,0.193490862846,186.177,37,8137,45.88,253,-0.0321077,67.5031706411,8.988065242767334
0.0151609,0.0,4.13925,0.101056456566,212.087,25,10223,59.43,278,-0.0313502,98.1517588823,11.100790739059448
0.0128634,0.0,4.14938,0.254991650581,212.391,25,12288,67.98,303,-0.0319215,122.002423508,13.209465026855469
0.0102628,0.0,4.14662,0.54037836194,201.344,24,14301,74.66,327,-0.0284951,143.978179231,15.351419925689697
0.00725648,0.0,4.14804,0.749904334545,155.505,22,16326,83.79,349,-0.0183509,170.035336629,17.531167030334473
0.00875397,0.0,4.15136,0.806542813778,136.499,23,18399,86.33,372,-0.0204544,182.442550862,19.73468255996704
0.0080534,0.0,4.15471,0.887977302074,102.355,22,20457,88.61,394,-0.0128362,192.700412483,21.9304461479187
0.0083447,0.0,4.1618,0.913586303592,86.2714,21,22461,91.93,415,-0.0180448,202.5268518,24.148921489715576
0.00958217,0.0,4.17633,0.911101013422,72.0593,23,24576,92.93,438,-0.0200453,205.967348933,26.46801233291626
0.00955253,0.0,4.17187,0.870745450258,115.465,23,26580,91.88,461,-0.0203825,204.946216857,28.800459623336792
0.00801417,0.0,4.20275,0.95641631633,46.4914,21,28589,92.81,482,-0.0187693,207.438949929,31.171201705932617
0.00870643,0.0,4.24072,0.912216439843,67.507,22,30690,92.81,504,-0.0182684,207.773266543,33.4461944103241
0.0101262,0.0,4.23575,0.968061521649,31.4532,20,32729,94.32,524,-0.0248332,211.542997,35.72726130485535
0.0102071,0.0,4.22733,0.969072371721,32.4687,20,34806,97.31,544,-0.0222697,218.626105468,38.14289450645447
0.00856654,0.0,4.20889,0.961188569665,40.3517,18,36765,100.87,562,-0.0248289,227.510212498,40.64064407348633
0.010068,0.0,4.16299,0.931591428816,38.9856,19,38833,103.48,581,-0.0249777,233.873954742,43.09601068496704
0.00960376,0.0,4.12465,0.842596590519,107.401,19,40891,105.94,600,-0.0264449,241.363233332,45.47699737548828
0.0106492,0.0,4.12364,0.918299213052,75.8409,18,42969,108.62,618,-0.0249573,250.446522007,47.91520071029663
0.010676,0.0,4.12685,0.944131154567,48.2438,16,44971,112.02,634,-0.0278531,261.737270351,50.41514778137207
0.0099724,0.0,4.1035,0.921949326992,55.5513,17,46990,114.2,651,-0.0291348,269.827647061,52.9911835193634
0.00626257,0.0,4.09444,0.932652011514,44.4281,18,49135,116.11,669,-0.025781,276.926129118,55.51094079017639
0.0122111,0.0,4.05825,0.945359636098,50.2562,16,51193,118.53,685,-0.0266502,285.503061871,58.008328676223755
0.00934597,0.0,4.02494,0.966040417552,37.7366,16,53211,122.0,701,-0.0242071,298.25605598,60.4224328994751
0.00909383,0.0,4.02486,0.95858342573,36.0778,15,55219,124.91,716,-0.0273,308.317683027,62.56271290779114
0.0088565,0.0,4.0464,0.953263442963,49.5993,15,57249,126.53,731,-0.023556,315.30011376,64.69010853767395
0.0138983,0.0,4.00299,0.93488111347,48.3014,15,59355,129.35,746,-0.0259325,325.89354175,66.82028985023499
0.0121451,0.0,3.98752,0.949567824602,36.6712,14,61374,133.23,760,-0.027546,339.942372158,68.9141845703125
0.0124006,0.0,3.96648,0.919383145869,100.983,14,63385,135.98,774,-0.0232573,351.654960189,70.9923837184906
0.0115837,0.0,3.9535,0.902862623334,152.683,15,65510,138.49,789,-0.0213138,360.988626755,73.11767911911011
0.0106838,0.0,3.96521,0.954211238772,66.5516,13,67442,140.83,802,-0.0279252,369.920592699,75.25028896331787
0.00994842,0.0,3.94505,0.95883892104,47.2957,13,69525,144.22,815,-0.0289412,382.688910207,77.37761449813843
0.0110548,0.0,3.89397,0.943507947028,90.0978,13,71667,148.07,828,-0.0252093,397.354407811,79.46075534820557
0.00840526,0.0,3.87311,0.950244050473,82.6329,12,73627,151.26,840,-0.0263468,409.664189295,81.57733201980591
0.0105269,0.0,3.87212,0.968894887716,63.5437,12,75645,154.11,852,-0.0237608,422.164803862,83.67551732063293
0.00927831,0.0,3.85558,0.971046615392,58.8925,12,77755,158.06,864,-0.0263055,436.704803506,85.83607077598572
0.0115827,0.0,3.8181,0.911664046347,128.242,12,79869,162.08,876,-0.0308091,451.296189071,87.90742301940918
0.0104117,0.0,3.79195,0.929908059537,118.673,12,81919,165.48,888,-0.0242557,464.305826706,89.99957942962646
0.00915738,0.0,3.78477,0.978033639491,39.1947,11,83910,169.02,899,-0.0243355,478.535417284,92.10916352272034
0.0121778,0.0,3.7224,0.983474383131,27.4606,11,85951,172.84,910,-0.0278371,493.605974167,94.26558780670166
0.00994896,0.0,3.73383,0.984741173685,32.434,11,87929,173.73,921,-0.0226403,498.473893002,96.46203184127808
0.0113761,0.0,3.70491,0.981737662107,32.8332,11,89994,176.4,932,-0.0288988,507.941562967,98.71839213371277
0.013407,0.0,3.70798,0.928856082261,168.632,12,92116,178.88,944,-0.0248084,518.403417717,100.95608162879944
0.0117334,0.0,3.72007,0.986085471697,25.2975,10,94033,181.12,954,-0.0286148,527.142194072,103.22619652748108
0.0135066,0.0,3.71928,0.939913976938,102.134,11,96096,181.9,965,-0.0217292,530.746432464,105.54661560058594
0.0125759,0.0,3.67712,0.985843658447,20.4286,10,98138,184.56,975,-0.0282494,541.951911939,107.85209155082703
0.011769,0.0,3.64844,0.991430622526,15.6035,11,100273,186.9,986,-0.0208868,551.055052831,110.12292146682739
0.0104028,0.0,3.65201,0.967977255583,77.9644,11,102393,188.48,997,-0.021714,556.706072802,112.46818947792053
0.0149271,0.0,3.60221,0.958870280534,96.1315,10,104356,189.68,1007,-0.0246337,560.497005152,114.91287899017334
0.00985787,0.0,3.5491,0.985734701157,23.4374,11,106468,190.54,1018,-0.0265503,564.065477139,117.32806587219238
0.0111593,0.0,3.53063,0.993173535448,15.5384,10,108431,192.01,1028,-0.0252199,570.35331247,119.81470203399658
0.00847639,0.0,3.54443,0.994344957639,13.0825,11,110543,192.41,1039,-0.0247241,573.531872005,122.17973494529724
0.00857758,0.0,3.53835,0.973327320069,45.8716,11,112574,193.32,1050,-0.0168632,575.919051659,124.64035701751709
0.0129459,0.0,3.55125,0.985050898045,35.2159,11,114530,191.77,1061,-0.0265887,571.061656816,127.11821484565735
0.0127508,0.0,3.52499,0.994979613461,7.81721,11,116736,191.88,1072,-0.0280467,573.144670918,129.64871454238892
0.0124095,0.0,3.49765,0.994155935943,12.1518,10,118678,191.52,1082,-0.0314205,572.611432719,132.18898177146912
0.010516,0.0,3.46019,0.992913664319,15.7045,10,120645,191.94,1092,-0.0269064,574.773150939,134.50354433059692
0.0107305,0.0,3.44253,0.993979687802,10.4508,11,122838,192.37,1103,-0.0274657,575.923457641,136.60951161384583
0.0150177,0.0,3.43108,0.939098522067,141.678,11,124921,191.37,1114,-0.0182122,573.760232078,138.7190065383911
0.0127653,0.0,3.42925,0.991534199566,15.1416,9,126829,193.5,1123,-0.0238247,581.427501072,140.84665846824646
0.013186,0.0,3.40058,0.989350837655,19.383,10,128818,194.23,1133,-0.0237958,584.322572162,142.99516582489014
0.00939805,0.0,3.40883,0.986167927273,31.62,11,131069,195.85,1144,-0.0216812,590.030259687,145.10913062095642
0.00860711,0.0,3.37891,0.990123322234,19.0827,10,133031,197.26,1154,-0.0273398,595.552832189,147.202654838562
0.0103909,0.0,3.36906,0.9880421618,23.2277,10,135055,199.18,1164,-0.0268558,602.137561306,149.3274393081665
0.0109413,0.0,3.35058,0.992944590282,13.3577,9,137017,200.84,1173,-0.0299758,608.016190816,151.43801641464233
0.0109503,0.0,3.3202,0.993412520736,17.3966,10,139255,203.74,1183,-0.0329608,618.29315572,153.57742142677307
0.011626,0.0,3.32154,0.988794566132,23.1038,10,141294,204.42,1193,-0.0285684,621.923920684,155.67996191978455
