loss_ent,EpisodesSoFar,TimeElapsed,EpThisIter,loss_vf_loss,ev_tdlam_before,loss_kl,EpLenMean,loss_pol_surr,EpRewMean,TimestepsSoFar,loss_pol_entpen
7.48749,866,96.74190640449524,12,30.9718,0.963065050542,0.0136942,179.31,-0.0459251,356.709801418,96238,0.0
7.48122,876,98.7920069694519,10,16.5048,0.979705195874,0.0127689,180.44,-0.0468053,360.62532531,98211,0.0
7.4887,887,100.84194350242615,11,18.6636,0.977477153763,0.0147313,181.52,-0.0452012,362.129890519,100259,0.0
7.4944,898,102.90558910369873,11,15.5136,0.986858516,0.0117265,181.13,-0.0407669,363.717602883,102270,0.0
7.44498,909,104.95250940322876,11,13.3056,0.989726959728,0.0141854,179.12,-0.0485428,361.318155294,104264,0.0
7.44715,920,106.99844336509705,11,17.2445,0.980943916366,0.0152303,181.42,-0.0468886,368.297101386,106315,0.0
7.40163,931,109.04569172859192,11,17.6907,0.985170048662,0.0150707,186.43,-0.0418981,378.361613139,108432,0.0
7.37311,943,111.09313797950745,12,22.4748,0.978958398104,0.0166289,186.1,-0.04619,381.421691361,110472,0.0
7.32069,955,113.1633939743042,12,17.2668,0.984835090116,0.0160262,182.21,-0.0484067,382.220238193,112505,0.0
7.29576,966,115.21149802207947,11,18.1826,0.976617272943,0.0152403,184.14,-0.0465747,389.290671903,114652,0.0
7.27352,977,117.2584400177002,11,15.0329,0.97935285978,0.0143843,182.16,-0.0509434,390.366445276,116620,0.0
7.24316,989,119.2969765663147,12,27.0479,0.977319704369,0.0175823,180.56,-0.0450007,392.453936436,118673,0.0
7.20736,1001,121.35471391677856,12,36.1214,0.953653343022,0.014243,179.49,-0.0458797,392.775502249,120688,0.0
7.17663,1014,123.40568780899048,13,56.8713,0.945774465799,0.0145358,176.07,-0.0487659,391.386830994,122879,0.0
7.16266,1026,125.43567824363708,12,51.2853,0.949252933264,0.0141201,172.2,-0.0427676,390.202505508,124801,0.0
7.14526,1038,127.53124022483826,12,28.2362,0.9744077418,0.0170407,173.3,-0.0525487,395.893191977,126913,0.0
7.14665,1049,129.55430030822754,11,27.5523,0.980486592278,0.012652,174.71,-0.0503563,401.372793296,128914,0.0
