EpRewMean,loss_ent,loss_kl,EpThisIter,ev_tdlam_before,TimeElapsed,TimestepsSoFar,EpLenMean,loss_pol_entpen,loss_vf_loss,EpisodesSoFar,loss_pol_surr
8.02390338883,2.80382,0.0146063,2,0.0251680612564,2.108330249786377,2000,1000.0,0.0,10.9879,2,-0.0264986
5.90318483671,2.75545,0.0133811,2,0.18384963274,3.826190948486328,4000,1000.0,0.0,9.29551,4,-0.0250516
5.86939439562,2.74796,0.0139083,2,0.381286740303,5.562523365020752,6000,1000.0,0.0,6.82103,6,-0.0274723
6.50305907668,2.70921,0.0087359,2,-0.289679646492,7.2956223487854,8000,1000.0,0.0,3.53073,8,-0.017702
9.30607331469,2.67651,0.0116548,2,0.314794480801,9.045561075210571,10000,1000.0,0.0,2.45154,10,-0.0250301
12.2271838735,2.64079,0.00749074,2,0.443686842918,10.826211929321289,12000,1000.0,0.0,0.468601,12,-0.0137356
13.7743877936,2.61596,0.0100269,2,0.73815074563,12.570245265960693,14000,1000.0,0.0,0.55273,14,-0.0190024
15.403809389,2.55189,0.00669777,2,0.825626850128,14.327585458755493,16000,1000.0,0.0,0.681351,16,-0.0118193
16.3297758785,2.51368,0.0106947,2,0.870863333344,16.107622385025024,18000,1000.0,0.0,0.419862,18,-0.0100512
17.2896922174,2.47591,0.00573518,2,0.90369258076,17.85758662223816,20000,1000.0,0.0,0.276249,20,-0.0134358
18.1982210308,2.46699,0.00788234,2,0.960238069296,19.62400794029236,22000,1000.0,0.0,0.176677,22,-0.0101882
19.2855617193,2.43273,0.0122226,2,0.902229629457,21.373876333236694,24000,1000.0,0.0,0.374565,24,-0.00781205
20.1317720701,2.37647,0.0148331,2,0.955591119826,23.124221324920654,26000,1000.0,0.0,0.201148,26,-0.0219075
20.6812236898,2.33823,0.00861352,2,0.947822298855,24.88875126838684,28000,1000.0,0.0,0.192566,28,-0.0141131
21.3084788885,2.30366,0.00781069,2,0.975085580721,26.6249041557312,30000,1000.0,0.0,0.102064,30,-0.0128168
21.7850495427,2.27334,0.00405386,2,0.941449392587,28.389281749725342,32000,1000.0,0.0,0.112999,32,-0.012735
22.39942544,2.26709,0.00848012,2,0.98044340685,30.139718055725098,34000,1000.0,0.0,0.0977547,34,-0.013831
22.8770809527,2.25513,0.00518501,2,0.983951531351,31.90632390975952,36000,1000.0,0.0,0.0580936,36,-0.0167359
23.3369604034,2.24179,0.00511947,2,0.954833462834,33.675342082977295,38000,1000.0,0.0,0.070938,38,-0.0156036
23.6590240708,2.22496,0.0155507,2,0.981117807329,35.43693542480469,40000,1000.0,0.0,0.0631217,40,-0.0187192
24.2363915634,2.21576,0.010335,3,0.960722643882,37.20232796669006,43000,1000.0,0.0,0.0825328,43,-0.015271
24.7489014623,2.1939,0.00829733,2,0.982251938432,38.967456102371216,45000,1000.0,0.0,0.0805534,45,-0.0180253
25.0516134815,2.20251,0.00915653,2,0.971237964928,40.71733212471008,47000,1000.0,0.0,0.0609075,47,-0.0191833
25.133118464,2.16804,0.00905527,2,0.983105646446,42.48275279998779,49000,1000.0,0.0,0.0841523,49,-0.0181769
25.3751716848,2.14869,0.00943675,2,0.991076268256,44.26411318778992,51000,1000.0,0.0,0.0476751,51,-0.0192633
25.6323730019,2.15159,0.00923458,2,0.99106795527,46.030112743377686,53000,1000.0,0.0,0.0376746,53,-0.0185122
25.9562276787,2.11392,0.0111284,2,0.995718591847,47.8276526927948,55000,1000.0,0.0,0.0237532,55,-0.0145578
26.2017782057,2.08108,0.00974541,2,0.994889260735,49.576980113983154,57000,1000.0,0.0,0.0289754,57,-0.0223889
26.5440459312,2.04809,0.012945,2,0.994117705617,51.34246301651001,59000,1000.0,0.0,0.037803,59,-0.0209083
26.8965023177,2.04207,0.00568685,2,0.995222840924,53.10787224769592,61000,1000.0,0.0,0.0203933,61,-0.0141983
27.1332694071,2.00058,0.0106025,2,0.996093107853,54.888763427734375,63000,1000.0,0.0,0.0223873,63,-0.0155058
27.403082742,1.96734,0.0103969,2,0.994317826815,56.63948726654053,65000,1000.0,0.0,0.0220069,65,-0.0179282
27.6805145241,1.94403,0.0082341,2,0.997522634454,58.42036414146423,67000,1000.0,0.0,0.0163103,67,-0.0172542
27.9232618429,1.90875,0.0111131,2,0.995941519737,60.185635805130005,69000,1000.0,0.0,0.0188082,69,-0.0181131
28.2674466714,1.88921,0.00972306,2,0.997898720205,61.95241928100586,71000,1000.0,0.0,0.0148747,71,-0.0160859
28.5419913137,1.88391,0.0113951,2,0.996821428416,63.71740198135376,73000,1000.0,0.0,0.0235939,73,-0.0179123
28.8811831708,1.86472,0.00782408,2,0.994310059585,65.48399806022644,75000,1000.0,0.0,0.035614,75,-0.0127721
29.1916848466,1.81368,0.00894582,2,0.995776711963,67.249436378479,77000,1000.0,0.0,0.0299614,77,-0.0148933
29.5131440933,1.7841,0.00790957,2,0.996931149857,69.02985858917236,79000,1000.0,0.0,0.0215007,79,-0.015624
29.76006601,1.77953,0.00815927,2,0.982798714191,70.79811215400696,81000,1000.0,0.0,0.0445497,81,-0.0154332
30.0469382749,1.755,0.00895526,2,0.996883625397,72.57668566703796,83000,1000.0,0.0,0.0162849,83,-0.0159167
30.466840975,1.72087,0.00687765,3,0.995635686908,74.32742714881897,86000,1000.0,0.0,0.0286465,86,-0.0169192
30.6697172913,1.69534,0.00696336,2,0.99775218498,76.10911464691162,88000,1000.0,0.0,0.0158284,88,-0.0157239
30.9173150634,1.67552,0.00696295,2,0.995195253752,77.87390685081482,90000,1000.0,0.0,0.0251999,90,-0.0100799
31.1226446458,1.63304,0.0037727,2,0.99782680301,79.64681696891785,92000,1000.0,0.0,0.0136805,92,-0.0124763
31.330533057,1.61857,0.00925563,2,0.997236402472,81.42089223861694,94000,1000.0,0.0,0.018438,94,-0.0190296
31.5494596738,1.57719,0.0082868,2,0.99838533625,83.18709325790405,96000,1000.0,0.0,0.0114877,96,-0.0122355
31.8099728788,1.54951,0.00611149,2,0.998017524369,84.9514548778534,98000,1000.0,0.0,0.015073,98,-0.0141947
