ev_tdlam_before,EpisodesSoFar,loss_ent,loss_pol_entpen,EpLenMean,TimestepsSoFar,loss_pol_surr,EpRewMean,EpThisIter,loss_kl,TimeElapsed,loss_vf_loss
0.907922528684,857,0.932596,0.0,816.81,95516,-0.00586772,816.81,2,0.0137715,73.8288242816925,37.481
-0.000346660614014,859,0.923309,0.0,835.13,97516,-0.00615916,835.13,2,0.00783939,75.40775156021118,68.6
0.905959643424,862,0.934961,0.0,848.73,99981,-0.00738011,848.73,3,0.00682809,76.96880531311035,38.9245
0.857769012451,864,0.953032,0.0,859.69,101556,-0.00579273,859.69,2,0.0137259,78.53310894966125,37.1341
0.000209033489227,866,0.933712,0.0,875.59,103556,-0.00344315,875.59,2,0.00336306,80.15815353393555,71.0885
0.0119166970253,868,0.951046,0.0,893.09,105556,-0.00495035,893.09,2,0.00500797,81.73545527458191,60.2683
0.0291342139244,870,0.959335,0.0,907.81,107556,-0.00294089,907.81,2,0.0150287,83.30715799331665,69.6246
0.933097854257,874,0.956293,0.0,922.09,109952,-0.00866822,922.09,4,0.0174406,84.87543869018555,25.7307
0.973716957495,876,0.939874,0.0,933.06,111817,-0.0126794,933.06,2,0.0141039,86.43865251541138,3.01306
0.0483031868935,878,0.930741,0.0,944.12,113817,-0.00482958,944.12,2,0.00456058,88.01579403877258,67.9905
0.0244699120522,880,0.930784,0.0,950.3,115817,-0.0034373,950.3,2,0.00467309,89.6093099117279,70.9042
0.154664337635,882,0.918463,0.0,950.3,117817,-0.0012177,950.3,2,0.00575308,91.17252612113953,65.2534
0.942781765014,889,0.935669,0.0,910.18,120805,-0.0126769,910.18,7,0.0202723,92.76655864715576,33.9757
0.893261551857,891,0.928732,0.0,907.03,122400,-0.00971163,907.03,2,0.0064538,94.3300461769104,21.3461
0.424248814583,893,0.911135,0.0,917.69,124400,-0.00960226,917.69,2,0.0319477,95.92259955406189,69.8101
0.0458552837372,895,0.901882,0.0,917.69,126400,-0.00411962,917.69,2,0.0112018,97.48499751091003,71.456
0.79534201324,897,0.9018,0.0,917.01,128332,-0.00507674,917.01,2,0.0063176,99.0629255771637,38.2571
0.00402247905731,899,0.904502,0.0,919.64,130332,-0.00212413,919.64,2,0.0030299,100.62633514404297,73.2135
0.47567731142,901,0.907463,0.0,919.64,132332,-0.0050905,919.64,2,0.00339645,102.16508316993713,42.8606
0.154950976372,903,0.888842,0.0,919.64,134332,-0.00365732,919.64,2,0.00301388,103.7351324558258,72.2115
0.382383108139,905,0.878777,0.0,919.64,136332,-0.00535334,919.64,2,0.00401457,105.29745578765869,55.116
0.281466722488,907,0.86799,0.0,922.59,138332,-0.00423725,922.59,2,0.00429901,106.86073637008667,62.1902
0.356714129448,909,0.863913,0.0,922.59,140332,-0.00770953,922.59,2,0.0148645,108.43838262557983,47.0506
0.176931023598,912,0.844744,0.0,922.59,143332,-0.00757091,922.59,3,0.00772424,110.01608443260193,84.2251
0.0196009278297,914,0.86712,0.0,923.63,145332,-0.00221564,923.63,2,0.00325845,111.57829022407532,67.9202
-0.00134837627411,916,0.833622,0.0,923.63,147332,-0.00423768,923.63,2,0.00495322,113.14077234268188,72.2536
-0.0139325857162,918,0.831015,0.0,923.63,149332,-0.00358458,923.63,2,0.00291335,114.70324611663818,70.7238
-0.00928640365601,920,0.836067,0.0,923.63,151332,-0.00286353,923.63,2,0.0057718,116.28184986114502,70.7256
0.00779634714127,922,0.798896,0.0,923.63,153332,-0.00635609,923.63,2,0.00345064,117.84455442428589,70.0356
-0.00559103488922,924,0.809427,0.0,923.63,155332,-0.00228627,923.63,2,0.00821033,119.4067792892456,70.4349
0.0366318821907,926,0.806684,0.0,923.63,157332,-0.00504006,923.63,2,0.00549401,121.00113320350647,61.8285
