loss_pol_surr,EpThisIter,TimestepsSoFar,EpLenMean,loss_ent,EpisodesSoFar,loss_kl,ev_tdlam_before,TimeElapsed,loss_pol_entpen,loss_vf_loss,EpRewMean
-0.103535,93,2042,21.9569892473,24.1247,93,0.0260476,-0.0179324150085,3.5689339637756348,0.0,0.853445,10.246059706
-0.112479,86,4090,23.94,24.1522,179,0.0292168,0.465266048908,6.874311923980713,0.0,0.854992,11.2812116968
-0.116883,90,6127,22.45,24.1214,269,0.031806,0.745729744434,10.131462097167969,0.0,0.802726,10.622774427
-0.12407,81,8165,25.06,24.0641,350,0.0395436,0.724297136068,13.40923523902893,0.0,0.965596,11.873726521
-0.133669,71,10220,27.82,24.0499,421,0.0380099,0.756641358137,16.694117069244385,0.0,0.907456,13.0064986942
-0.128017,68,12279,29.28,24.0111,489,0.0359511,0.778063625097,20.01469898223877,0.0,1.04187,13.8121083588
-0.136279,60,14305,32.56,23.9922,549,0.038563,0.764636725187,23.327450037002563,0.0,1.23726,15.3398439488
-0.136412,55,16381,35.36,23.9255,604,0.0402531,0.807802766562,26.679112672805786,0.0,0.943955,16.7168607353
-0.137442,52,18422,38.45,23.9053,656,0.038648,0.725103825331,30.02932596206665,0.0,1.5479,18.3232573996
-0.140643,49,20475,40.75,23.8463,705,0.0408852,0.784495785832,33.357784032821655,0.0,1.18617,19.5594681695
-0.137954,46,22503,43.18,23.7669,751,0.0388707,0.801302999258,36.71264100074768,0.0,1.01732,20.8765243558
-0.14104,39,24552,47.32,23.7071,790,0.0400655,0.823454409838,40.11621356010437,0.0,0.954246,23.0217308827
-0.141505,40,26612,50.39,23.6392,830,0.0436383,0.839704111218,43.52486228942871,0.0,1.03039,24.5842132233
-0.140876,37,28611,52.98,23.6044,867,0.04427,0.860680133104,46.94308829307556,0.0,0.611754,25.9318081299
-0.141228,36,30697,55.42,23.5562,903,0.0429278,0.863762721419,50.35053014755249,0.0,1.01863,27.2654055706
-0.137714,35,32747,57.03,23.5275,938,0.0450285,0.870266035199,53.764058113098145,0.0,0.649787,28.2495635594
-0.133146,34,34770,58.29,23.4773,972,0.0424815,0.883112341166,57.16976475715637,0.0,0.737699,28.8531785416
-0.142981,31,36832,61.35,23.4451,1003,0.0441585,0.891118444502,60.584991216659546,0.0,0.624441,30.3393779121
-0.141292,33,38901,62.55,23.4082,1036,0.0454573,0.87879357487,63.98388481140137,0.0,0.619959,30.7376347232
-0.137916,31,40936,65.13,23.3248,1067,0.0453357,0.889430858195,67.4060435295105,0.0,0.634944,31.9838175312
-0.138672,32,43005,64.52,23.2844,1099,0.0464025,0.878126636147,70.85723352432251,0.0,0.758432,31.8521050291
-0.139218,33,44992,63.4,23.2682,1132,0.0452294,0.885098934174,74.26319932937622,0.0,0.567295,31.3394579531
-0.134233,34,47099,62.41,23.2683,1166,0.0470844,0.918214291334,77.70984840393066,0.0,0.607567,31.0863026176
-0.13848,28,49112,63.94,23.2092,1194,0.0527707,0.89340646565,81.14729881286621,0.0,0.566912,31.7327798052
-0.136106,31,51175,66.11,23.1572,1225,0.0450441,0.920331403613,84.57722163200378,0.0,0.481079,32.8678865422
-0.140742,31,53233,67.74,23.093,1256,0.0494996,0.928249098361,88.01420664787292,0.0,0.484762,33.4818448512
-0.139088,30,55271,67.39,23.0936,1286,0.0435422,0.928286388516,91.47148251533508,0.0,0.510895,33.5499405417
-0.141076,28,57293,69.01,23.042,1314,0.0505546,0.930820174515,94.93852663040161,0.0,0.507145,34.5213792425
-0.135549,31,59389,68.62,22.9884,1345,0.0512494,0.932079002261,98.36600136756897,0.0,0.376568,34.3681903506
-0.144117,27,61395,69.91,22.9394,1372,0.0468197,0.937577735633,101.83658027648926,0.0,0.318015,34.9073811773
-0.14289,29,63486,71.01,22.9167,1401,0.0534844,0.93720626086,105.29688692092896,0.0,0.504817,35.6963536936
-0.140614,27,65482,72.93,22.9039,1428,0.057113,0.929775431752,108.73153424263,0.0,0.379444,36.6591416648
-0.140169,27,67539,74.28,22.8635,1455,0.0502843,0.932616733015,112.18689560890198,0.0,0.541884,37.6333369598
-0.135683,29,69570,73.13,22.812,1484,0.0541059,0.917336694896,115.64723110198975,0.0,0.437436,36.9187791871
-0.144306,29,71667,71.99,22.8149,1513,0.0528828,0.941949129105,119.11639070510864,0.0,0.640203,36.634465751
-0.14276,29,73671,71.07,22.7778,1542,0.0580957,0.935545384884,122.56187987327576,0.0,0.519945,36.0414954569
-0.139473,29,75750,70.17,22.7508,1571,0.0525751,0.92189784348,126.02270531654358,0.0,0.655013,35.5585290757
-0.147774,25,77720,72.49,22.7215,1596,0.0585013,0.942017685622,129.45992970466614,0.0,0.468852,36.8585402597
-0.140361,26,79795,75.57,22.7144,1622,0.0578694,0.925203464925,132.93568778038025,0.0,0.435435,38.2576028452
-0.140136,25,81901,79.11,22.6747,1647,0.0581209,0.927375853062,136.36630129814148,0.0,0.424943,39.8964970034
-0.142911,25,83912,80.71,22.6052,1672,0.0580228,0.9139874354,139.84240055084229,0.0,0.439238,40.6410372651
-0.14605,28,85944,79.1,22.5511,1700,0.0533189,0.936174750328,143.30414128303528,0.0,0.411935,39.7545151727
-0.140881,25,88007,79.25,22.5526,1725,0.0594361,0.925654500723,146.75682044029236,0.0,0.363764,39.7129220819
-0.138681,25,90102,79.14,22.5452,1750,0.0600026,0.930529557168,150.21798181533813,0.0,0.41055,39.7644890685
-0.137399,25,92104,79.65,22.4939,1775,0.0613115,0.907169699669,153.6632285118103,0.0,0.473401,40.1044267937
-0.144987,27,94149,80.6,22.4228,1802,0.0651784,0.919373050332,157.1472463607788,0.0,0.666781,40.4950974617
-0.138286,23,96173,81.66,22.3981,1825,0.057315,0.91776085645,160.61625742912292,0.0,0.470571,41.0567865414
-0.138539,25,98304,82.02,22.3813,1850,0.059302,0.918096967041,164.1007707118988,0.0,0.638913,40.8933353198
-0.145157,26,100338,81.63,22.356,1876,0.061762,0.924105681479,167.55372381210327,0.0,0.668844,40.8542079591
-0.148633,25,102390,83.33,22.2867,1901,0.0616893,0.942391645163,171.0306751728058,0.0,0.581885,41.8111511642
-0.142679,24,104389,82.16,22.2711,1925,0.0597753,0.918391510844,174.44703650474548,0.0,0.431796,41.2591107536
-0.14201,25,106415,81.11,22.2388,1950,0.0701818,0.903240032494,177.91658115386963,0.0,0.518522,41.1800931492
