#{"t_start": 1536420232.03701, "env_id": "InvertedPendulum-v2"}
r,l,t
6.0,6,1.170479
4.0,4,1.170479
7.0,7,1.170479
15.0,15,1.186106
5.0,5,1.186106
3.0,3,1.186106
7.0,7,1.186106
10.0,10,1.201728
15.0,15,1.201728
7.0,7,1.201728
7.0,7,1.217353
6.0,6,1.217353
8.0,8,1.217353
21.0,21,1.23298
4.0,4,1.23298
6.0,6,1.23298
6.0,6,1.23298
7.0,7,1.248603
6.0,6,1.248603
8.0,8,1.248603
6.0,6,1.248603
4.0,4,1.248603
7.0,7,1.264228
10.0,10,1.264228
6.0,6,1.264228
7.0,7,1.264228
8.0,8,1.279853
5.0,5,1.279853
6.0,6,1.279853
15.0,15,1.295481
4.0,4,1.295481
7.0,7,1.295481
29.0,29,1.311103
5.0,5,1.311103
9.0,9,1.311103
5.0,5,1.311103
9.0,9,1.32673
4.0,4,1.32673
5.0,5,1.32673
10.0,10,1.32673
3.0,3,1.342353
19.0,19,1.342353
4.0,4,1.342353
7.0,7,1.342353
9.0,9,1.357978
14.0,14,1.357978
6.0,6,1.357978
4.0,4,1.373603
4.0,4,1.373603
11.0,11,1.373603
9.0,9,1.373603
4.0,4,1.389228
6.0,6,1.389228
5.0,5,1.389228
8.0,8,1.389228
13.0,13,1.404855
8.0,8,1.404855
4.0,4,1.404855
12.0,12,1.404855
16.0,16,1.420478
8.0,8,1.420478
4.0,4,1.420478
5.0,5,1.420478
8.0,8,1.436102
11.0,11,1.436102
6.0,6,1.436102
6.0,6,1.436102
5.0,5,1.451729
14.0,14,1.451729
5.0,5,1.451729
10.0,10,1.467354
12.0,12,1.467354
6.0,6,1.467354
6.0,6,1.467354
4.0,4,1.482976
7.0,7,1.482976
7.0,7,1.482976
4.0,4,1.482976
5.0,5,1.482976
9.0,9,1.498604
14.0,14,1.498604
4.0,4,1.498604
7.0,7,1.498604
6.0,6,1.514226
10.0,10,1.514226
18.0,18,1.514226
11.0,11,1.529852
7.0,7,1.529852
3.0,3,1.529852
15.0,15,1.545477
12.0,12,1.545477
9.0,9,1.545477
5.0,5,1.545477
9.0,9,1.561102
8.0,8,1.561102
7.0,7,1.561102
3.0,3,1.561102
8.0,8,1.576726
5.0,5,1.576726
9.0,9,1.576726
5.0,5,1.576726
6.0,6,1.576726
4.0,4,1.592352
8.0,8,1.592352
11.0,11,1.592352
7.0,7,1.592352
11.0,11,1.607977
5.0,5,1.607977
4.0,4,1.607977
4.0,4,1.607977
15.0,15,1.623602
17.0,17,1.623602
5.0,5,1.623602
5.0,5,1.639226
3.0,3,1.639226
4.0,4,1.639226
9.0,9,1.639226
7.0,7,1.639226
6.0,6,1.639226
5.0,5,1.65485
7.0,7,1.65485
11.0,11,1.65485
10.0,10,1.670476
7.0,7,1.670476
3.0,3,1.670476
14.0,14,1.670476
7.0,7,1.686102
3.0,3,1.686102
7.0,7,1.686102
8.0,8,1.686102
9.0,9,1.686102
11.0,11,1.701726
6.0,6,1.701726
10.0,10,1.701726
12.0,12,1.717352
13.0,13,1.717352
7.0,7,1.717352
4.0,4,1.717352
5.0,5,1.732977
5.0,5,1.732977
6.0,6,1.732977
7.0,7,1.732977
12.0,12,1.748602
9.0,9,1.748602
7.0,7,1.748602
6.0,6,1.748602
4.0,4,1.748602
4.0,4,1.764227
8.0,8,1.764227
9.0,9,1.764227
8.0,8,1.764227
7.0,7,1.77985
5.0,5,1.77985
3.0,3,1.77985
7.0,7,1.77985
4.0,4,1.77985
8.0,8,1.795475
16.0,16,1.795475
4.0,4,1.795475
9.0,9,1.795475
5.0,5,1.8111
4.0,4,1.8111
11.0,11,1.8111
6.0,6,1.8111
5.0,5,1.8111
7.0,7,1.826725
5.0,5,1.826725
4.0,4,1.826725
7.0,7,1.826725
5.0,5,1.826725
5.0,5,1.84235
7.0,7,1.84235
6.0,6,1.84235
5.0,5,1.84235
9.0,9,1.84235
5.0,5,1.857975
9.0,9,1.857975
5.0,5,1.857975
3.0,3,1.857975
19.0,19,1.8736
9.0,9,1.8736
5.0,5,1.8736
4.0,4,1.8736
5.0,5,1.8736
12.0,12,1.889225
9.0,9,1.889225
6.0,6,1.889225
7.0,7,1.90485
5.0,5,1.90485
8.0,8,1.90485
10.0,10,1.90485
4.0,4,1.90485
3.0,3,1.920476
12.0,12,1.920476
12.0,12,1.920476
6.0,6,1.9361
4.0,4,1.9361
4.0,4,1.9361
5.0,5,1.9361
10.0,10,1.9361
14.0,14,1.951726
5.0,5,1.951726
16.0,16,1.951726
5.0,5,1.96735
5.0,5,1.96735
6.0,6,1.96735
7.0,7,1.96735
5.0,5,1.96735
11.0,11,1.982976
11.0,11,1.982976
5.0,5,1.982976
5.0,5,1.982976
11.0,11,1.998601
9.0,9,1.998601
4.0,4,1.998601
4.0,4,1.998601
7.0,7,1.998601
8.0,8,2.014225
9.0,9,2.014225
5.0,5,2.014225
10.0,10,2.014225
4.0,4,2.02985
7.0,7,2.03518
8.0,8,2.039178
5.0,5,2.042177
8.0,8,2.045214
6.0,6,2.045214
8.0,8,2.045214
5.0,5,2.045214
9.0,9,2.06084
6.0,6,2.06084
4.0,4,2.06084
9.0,9,2.06084
7.0,7,2.06084
15.0,15,2.076466
5.0,5,2.076466
15.0,15,2.076466
4.0,4,2.092091
6.0,6,2.092091
6.0,6,2.092091
5.0,5,2.092091
4.0,4,2.092091
4.0,4,2.092091
5.0,5,2.107716
11.0,11,2.107716
3.0,3,2.107716
9.0,9,2.107716
4.0,4,2.107716
18.0,18,2.12334
4.0,4,2.12334
10.0,10,2.138966
6.0,6,2.138966
5.0,5,2.138966
18.0,18,2.138966
11.0,11,2.154589
6.0,6,2.154589
9.0,9,2.154589
13.0,13,2.170215
6.0,6,2.170215
14.0,14,2.170215
8.0,8,2.18584
5.0,5,2.18584
21.0,21,2.18584
15.0,15,2.201465
6.0,6,2.201465
4.0,4,2.201465
9.0,9,2.201465
5.0,5,3.092153
11.0,11,3.092153
11.0,11,3.110897
22.0,22,3.122892
11.0,11,3.127891
4.0,4,3.129891
12.0,12,3.130946
4.0,4,3.130946
5.0,5,3.130946
28.0,28,3.14657
12.0,12,3.14657
5.0,5,3.162197
18.0,18,3.162197
14.0,14,3.177822
6.0,6,3.177822
3.0,3,3.177822
41.0,41,3.193447
9.0,9,3.193447
8.0,8,3.209071
35.0,35,3.224697
12.0,12,3.224697
17.0,17,3.24032
5.0,5,3.24032
4.0,4,3.24032
9.0,9,3.24032
7.0,7,3.255945
4.0,4,3.255945
13.0,13,3.255945
8.0,8,3.255945
4.0,4,3.255945
4.0,4,3.27157
9.0,9,3.27157
11.0,11,3.27157
27.0,27,3.287197
6.0,6,3.287197
16.0,16,3.302822
21.0,21,3.302822
5.0,5,3.318445
10.0,10,3.318445
5.0,5,3.318445
10.0,10,3.318445
7.0,7,3.334072
10.0,10,3.334072
11.0,11,3.334072
5.0,5,3.334072
20.0,20,3.349697
4.0,4,3.349697
5.0,5,3.349697
14.0,14,3.365321
6.0,6,3.365321
7.0,7,3.365321
3.0,3,3.365321
5.0,5,3.380946
13.0,13,3.380946
10.0,10,3.380946
5.0,5,3.380946
7.0,7,3.397837
6.0,6,3.397837
3.0,3,3.397837
17.0,17,3.397837
8.0,8,3.413462
8.0,8,3.413462
16.0,16,3.413462
19.0,19,3.429089
17.0,17,3.444714
7.0,7,3.444714
7.0,7,3.444714
27.0,27,3.460338
4.0,4,3.460338
13.0,13,3.460338
5.0,5,3.475962
6.0,6,3.475962
9.0,9,3.475962
14.0,14,3.475962
5.0,5,3.491589
7.0,7,3.491589
5.0,5,3.491589
6.0,6,3.491589
9.0,9,3.507214
9.0,9,3.507214
10.0,10,3.507214
7.0,7,3.507214
8.0,8,3.522837
7.0,7,3.522837
7.0,7,3.522837
5.0,5,3.522837
9.0,9,3.538463
10.0,10,3.538463
13.0,13,3.538463
12.0,12,3.554089
4.0,4,3.554089
4.0,4,3.554089
23.0,23,3.569713
16.0,16,3.569713
14.0,14,3.585339
23.0,23,3.585339
27.0,27,3.600963
10.0,10,3.600963
3.0,3,3.616588
6.0,6,3.616588
6.0,6,3.616588
11.0,11,3.616588
4.0,4,3.616588
8.0,8,3.632213
7.0,7,3.632213
11.0,11,3.632213
5.0,5,3.632213
12.0,12,3.647837
3.0,3,3.647837
5.0,5,3.647837
6.0,6,3.647837
21.0,21,3.663462
4.0,4,3.663462
8.0,8,3.663462
8.0,8,3.679088
15.0,15,3.679088
14.0,14,3.679088
5.0,5,3.694711
4.0,4,3.694711
4.0,4,3.694711
10.0,10,3.694711
6.0,6,3.694711
4.0,4,3.710337
14.0,14,3.710337
8.0,8,3.710337
11.0,11,3.725962
3.0,3,3.725962
10.0,10,3.725962
21.0,21,3.741587
5.0,5,3.741587
12.0,12,3.741587
9.0,9,3.757212
22.0,22,3.757212
8.0,8,3.757212
9.0,9,3.772837
25.0,25,3.788462
4.0,4,3.788462
43.0,43,3.804088
18.0,18,3.819712
3.0,3,3.819712
4.0,4,3.819712
5.0,5,3.819712
4.0,4,3.819712
12.0,12,3.819712
21.0,21,3.835338
11.0,11,3.835338
7.0,7,3.850966
4.0,4,3.850966
13.0,13,3.850966
5.0,5,3.850966
4.0,4,3.86659
7.0,7,3.86659
7.0,7,3.86659
10.0,10,3.86659
6.0,6,3.882212
11.0,11,3.882212
7.0,7,3.882212
12.0,12,3.897838
6.0,6,3.897838
8.0,8,3.897838
13.0,13,3.897838
7.0,7,3.913462
12.0,12,3.913462
9.0,9,3.913462
16.0,16,3.929087
13.0,13,3.929087
19.0,19,3.944713
5.0,5,3.944713
8.0,8,3.944713
4.0,4,3.944713
15.0,15,3.960337
4.0,4,3.960337
11.0,11,3.960337
17.0,17,3.975963
10.0,10,3.975963
6.0,6,3.975963
4.0,4,3.991587
6.0,6,3.991587
9.0,9,3.991587
15.0,15,4.007212
6.0,6,4.007212
12.0,12,4.007212
12.0,12,4.022837
6.0,6,4.022837
13.0,13,4.022837
12.0,12,4.038462
5.0,5,4.041894
5.0,5,4.044891
8.0,8,4.046945
4.0,4,4.046945
10.0,10,4.046945
8.0,8,4.046945
14.0,14,4.062571
22.0,22,4.078199
9.0,9,4.078199
8.0,8,4.078199
25.0,25,4.093822
36.0,36,4.109446
17.0,17,4.750069
12.0,12,4.765695
12.0,12,4.765695
10.0,10,4.765695
10.0,10,4.781319
10.0,10,4.781319
41.0,41,4.796944
4.0,4,4.796944
21.0,21,4.812569
21.0,21,4.8282
5.0,5,4.8282
14.0,14,4.8282
36.0,36,4.859445
4.0,4,4.859445
31.0,31,4.875069
34.0,34,4.890694
13.0,13,4.890694
24.0,24,4.906319
5.0,5,4.906319
20.0,20,4.921943
28.0,28,4.937572
25.0,25,4.937572
60.0,60,4.968817
12.0,12,4.968817
29.0,29,4.984443
21.0,21,5.00007
35.0,35,5.015694
59.0,59,5.046952
4.0,4,5.046952
5.0,5,5.046952
13.0,13,5.062579
11.0,11,5.062579
6.0,6,5.062579
11.0,11,5.062579
8.0,8,5.078203
36.0,36,5.093828
6.0,6,5.093828
15.0,15,5.093828
20.0,20,5.109454
15.0,15,5.125077
32.0,32,5.140704
15.0,15,5.140704
9.0,9,5.140704
5.0,5,5.140704
6.0,6,5.156329
