TimeElapsed,loss_pol_entpen,EpLenMean,loss_kl,EpThisIter,TimestepsSoFar,EpisodesSoFar,loss_vf_loss,loss_pol_surr,EpRewMean,ev_tdlam_before,loss_ent
75.95293545722961,0.0,821.87,0.00848108,2,95907,816,64.193,-0.00627159,821.87,0.0206154584885,0.94946
77.56332159042358,0.0,840.74,0.0136218,2,97907,818,70.067,-0.00924129,840.74,-0.0149391889572,0.966172
79.15656352043152,0.0,858.16,0.00666731,2,99907,820,69.7003,-0.00297468,858.16,-0.0008544921875,0.963098
80.7660186290741,0.0,874.94,0.0070201,2,101907,822,69.2318,-0.00587351,874.94,-0.00969552993774,0.986889
82.36755657196045,0.0,892.14,0.00573873,2,103907,824,69.4039,-0.0039763,892.14,-0.00443971157074,0.98498
83.96859121322632,0.0,908.82,0.0130925,2,105907,826,69.2322,-0.00576941,908.82,-0.000385761260986,1.01208
85.5628309249878,0.0,926.32,0.00517143,2,107907,828,69.0711,-0.00483673,926.32,-0.00180554389954,0.998388
87.17321562767029,0.0,943.39,0.00812197,2,109907,830,68.479,-0.00632018,943.39,-0.0133273601532,1.00524
88.76612615585327,0.0,956.71,0.0156255,2,111907,832,64.3096,-0.00351954,956.71,0.0820155143738,1.01005
90.37550044059753,0.0,960.96,0.00671622,2,113907,834,69.3428,-0.00502276,960.96,-0.000579357147217,1.00391
91.98425960540771,0.0,960.96,0.0078979,2,115907,836,69.0891,-0.0055194,960.96,0.000453174114227,1.00412
93.57778358459473,0.0,960.96,0.00679413,2,117907,838,69.0293,-0.00499636,960.96,-0.000124335289001,1.01363
95.18722629547119,0.0,960.96,0.00678778,2,119907,840,68.9302,-0.00257721,960.96,-0.000532627105713,1.03055
96.78222465515137,0.0,960.96,0.00533657,2,121907,842,68.9433,-0.00465833,960.96,-0.000585913658142,1.03379
98.39036393165588,0.0,970.07,0.00443433,3,124907,845,100.962,-0.00361682,970.07,-0.000358104705811,1.02393
99.98394012451172,0.0,977.5,0.0209911,2,126907,847,68.0584,-0.00542098,977.5,-0.000123620033264,1.05028
101.59393239021301,0.0,991.39,0.00824754,2,128907,849,68.0763,-0.00577928,991.39,0.000321090221405,1.02754
103.17180633544922,0.0,991.85,0.00542279,2,130907,851,68.2261,-0.00436419,991.85,-8.34465026855e-06,1.03677
104.76552081108093,0.0,999.93,0.00397432,2,132907,853,68.2531,-0.00291241,999.93,-0.00124645233154,1.03299
