TimeElapsed,loss_pol_surr,EpRewMean,loss_pol_entpen,ev_tdlam_before,loss_vf_loss,TimestepsSoFar,EpLenMean,loss_ent,EpisodesSoFar,EpThisIter,loss_kl
2.006701946258545,-0.0255895,-107.505386988,0.0,-0.00444495677948,543.309,2000,50.0,2.73349,40,40,0.0110023
3.709926128387451,-0.0226033,-105.50132383,0.0,0.155503332615,151.391,4050,50.0,2.63847,81,41,0.00969439
5.4368250370025635,-0.0195535,-99.8963791438,0.0,0.0704846978188,175.955,6100,50.0,2.55793,122,41,0.00921694
7.1249988079071045,-0.0185198,-92.3759002118,0.0,0.0440528988838,185.447,8150,50.0,2.47712,163,41,0.00784463
8.850515365600586,-0.019316,-86.4926960984,0.0,0.0326582789421,183.479,10200,50.0,2.4155,204,41,0.00866901
10.562609672546387,-0.0174642,-80.4778749773,0.0,0.079513669014,171.982,12250,50.0,2.34935,245,41,0.00750468
12.319952249526978,-0.0155704,-76.6663977072,0.0,0.185177743435,139.968,14300,50.0,2.29201,286,41,0.00726517
14.025338172912598,-0.0182509,-72.7521034032,0.0,0.242169439793,124.843,16350,50.0,2.20763,327,41,0.00858701
15.734320402145386,-0.0211814,-68.6816976451,0.0,0.310826182365,102.273,18400,50.0,2.12631,368,41,0.00755921
17.4635808467865,-0.0162693,-64.8282370214,0.0,0.442379176617,74.1489,20450,50.0,2.07624,409,41,0.00717514
19.171834707260132,-0.0216266,-61.3976994081,0.0,0.49860394001,59.8076,22500,50.0,2.00546,450,41,0.0106728
20.88163161277771,-0.0193053,-58.2907858542,0.0,0.415115475655,69.0475,24550,50.0,1.93426,491,41,0.00902705
22.592883348464966,-0.0228705,-54.9590011626,0.0,0.562190294266,46.5964,26600,50.0,1.86129,532,41,0.00982751
24.311690092086792,-0.022047,-51.7620463155,0.0,0.547196686268,42.5438,28650,50.0,1.79725,573,41,0.00845827
26.013668537139893,-0.0195514,-48.4404065373,0.0,0.496193110943,36.1965,30700,50.0,1.74489,614,41,0.00807169
27.73379898071289,-0.0245802,-46.5517285107,0.0,0.577927201986,31.3979,32750,50.0,1.66647,655,41,0.00993075
29.44425320625305,-0.0194501,-44.5705089047,0.0,0.533662825823,29.6195,34800,50.0,1.60665,696,41,0.00743384
31.163811683654785,-0.0202374,-42.7960246009,0.0,0.571814119816,23.753,36850,50.0,1.55727,737,41,0.00803845
32.869834423065186,-0.024101,-41.2734496144,0.0,0.606221288443,24.7402,38900,50.0,1.48997,778,41,0.00963861
34.61612367630005,-0.0237981,-40.1930057027,0.0,0.602733135223,19.5335,40950,50.0,1.43842,819,41,0.00891342
36.307860136032104,-0.0198281,-38.6396780788,0.0,0.628502339125,16.9103,43000,50.0,1.38668,860,41,0.0115133
38.05419635772705,-0.0226522,-36.3558762138,0.0,0.623610109091,15.7688,45050,50.0,1.30473,901,41,0.010674
39.749717235565186,-0.0248555,-35.1631965285,0.0,0.58473610878,15.819,47100,50.0,1.25021,942,41,0.00863266
41.47597098350525,-0.023759,-33.8141257086,0.0,0.64738252759,13.6026,49150,50.0,1.18028,983,41,0.0104174
