EpLenMean,EpThisIter,loss_pol_entpen,EpRewMean,loss_vf_loss,EpisodesSoFar,loss_pol_surr,TimestepsSoFar,loss_ent,loss_kl,TimeElapsed,ev_tdlam_before
1000.0,2,0.0,-257.768119995,44.9709,92,-0.0613339,92000,5.72764,0.0166274,81.04558396339417,0.421943962574
1000.0,2,0.0,-250.881742142,46.0844,94,-0.060931,94000,5.71053,0.013474,82.84259724617004,0.672955870628
1000.0,2,0.0,-238.895263414,74.7154,96,-0.0607988,96000,5.68176,0.0157905,84.64804935455322,0.553665518761
1000.0,2,0.0,-227.964496703,61.6756,98,-0.0587387,98000,5.6544,0.0129515,86.4514856338501,0.422657072544
1000.0,2,0.0,-219.930499327,74.2126,100,-0.0586214,100000,5.61389,0.0139481,88.24896836280823,0.425721883774
1000.0,2,0.0,-201.528245036,64.9839,102,-0.0627692,102000,5.60071,0.0145744,90.0458345413208,0.69917562604
1000.0,2,0.0,-191.352722132,32.707,104,-0.0687687,104000,5.54877,0.0141558,91.84273886680603,0.842705473304
1000.0,2,0.0,-173.376328614,55.8224,106,-0.0616988,106000,5.52725,0.0142927,93.6242094039917,0.40389341116
1000.0,2,0.0,-160.340893026,40.5157,108,-0.0649664,108000,5.49308,0.0150299,95.42089629173279,0.899489305913
1000.0,2,0.0,-135.877420717,78.4208,110,-0.0655774,110000,5.41891,0.0179149,97.21708559989929,0.496553957462
1000.0,2,0.0,-118.538813902,90.7554,112,-0.0635321,112000,5.37466,0.0145007,99.01395177841187,0.649388343096
1000.0,2,0.0,-102.775577383,66.3224,114,-0.0629127,114000,5.3554,0.0118396,100.7968544960022,0.889893524349
1000.0,2,0.0,-82.7190988474,75.6621,116,-0.0624612,116000,5.32642,0.0160086,102.62393045425415,0.445846259594
1000.0,2,0.0,-61.1678672422,47.0259,118,-0.0638006,118000,5.25916,0.0168666,104.41268658638,0.940660882741
1000.0,2,0.0,-48.8587824965,65.4909,120,-0.0648372,120000,5.24697,0.0164468,106.20190811157227,0.874071866274
1000.0,2,0.0,-30.4471178618,82.6045,122,-0.0612837,122000,5.21335,0.014852,107.99978685379028,0.475736558437
1000.0,2,0.0,-9.85721474912,67.1862,124,-0.0639633,124000,5.15996,0.01586,109.80487036705017,0.502386361361
1000.0,2,0.0,7.18304901936,67.6781,126,-0.0589718,126000,5.14573,0.0151638,111.59239673614502,0.9422750175
1000.0,3,0.0,29.2382239066,90.9859,129,-0.0618061,129000,5.07963,0.0152975,113.3900146484375,0.514937460423
1000.0,2,0.0,50.5686494751,94.5221,131,-0.0639847,131000,5.03209,0.018077,115.18591523170471,0.48868817091
1000.0,2,0.0,69.4480274723,70.245,133,-0.0665952,133000,5.00518,0.0148313,116.96856904029846,0.742829114199
1000.0,2,0.0,89.3927182047,85.1824,135,-0.0593392,135000,4.97498,0.0156992,118.76417279243469,0.540111958981
1000.0,2,0.0,109.648786513,86.8132,137,-0.0627477,137000,4.93501,0.0148804,120.56156420707703,0.893882893026
1000.0,2,0.0,111.767979671,68.9628,139,-0.0653576,139000,4.86409,0.016961,122.3580093383789,0.945449914783
