TimestepsSoFar,loss_pol_entpen,TimeElapsed,ev_tdlam_before,EpThisIter,EpLenMean,loss_pol_surr,EpisodesSoFar,loss_ent,loss_kl,EpRewMean,loss_vf_loss
59352,0.0,97.53220057487488,0.940368115902,30,64.73,-0.140547,1420,22.9231,0.04841,32.4725296384,0.404674
61390,0.0,100.91524958610535,0.92139146477,32,65.26,-0.140126,1452,22.8866,0.0452576,32.548522797,0.396368
63465,0.0,104.32833790779114,0.924054354429,31,65.79,-0.14509,1483,22.8361,0.0502439,32.9656733887,0.454753
65469,0.0,107.72078561782837,0.930029980838,30,65.98,-0.143564,1513,22.7837,0.0525766,33.1126142341,0.513076
67582,0.0,111.13303780555725,0.911264844239,32,66.09,-0.139318,1545,22.7313,0.0506523,33.455215908,0.504255
69617,0.0,114.53315019607544,0.911277964711,30,66.7,-0.134783,1575,22.7024,0.0511907,33.5260715802,0.465065
71590,0.0,117.97814178466797,0.907051503658,29,67.85,-0.145543,1604,22.6751,0.0566791,34.2135561987,0.508971
73715,0.0,121.4263927936554,0.918362408876,29,68.86,-0.143109,1633,22.6312,0.0546614,34.5269516782,0.478571
75726,0.0,124.85903692245483,0.9290811643,27,71.61,-0.142229,1660,22.5956,0.0537307,35.8034166979,0.414363
77759,0.0,128.28090143203735,0.933527782559,28,72.5,-0.143532,1688,22.5296,0.0532385,36.2064020378,0.358155
79869,0.0,131.7027666568756,0.937402501702,28,73.7,-0.144819,1716,22.5107,0.0583694,36.7839827878,0.365105
81880,0.0,135.12463092803955,0.911029674113,26,74.81,-0.140963,1742,22.4787,0.0560769,37.4242740025,0.414039
83957,0.0,138.53087091445923,0.935928232968,29,74.25,-0.141077,1771,22.4574,0.0587765,37.3009872056,0.404615
85959,0.0,141.93005657196045,0.921647153795,28,73.62,-0.141517,1799,22.4413,0.0588171,36.8891119996,0.397625
88004,0.0,145.3405134677887,0.903837352991,29,72.59,-0.145295,1828,22.4193,0.0618995,36.2700235929,0.610013
90106,0.0,148.73032927513123,0.916320435703,29,71.53,-0.141514,1857,22.3978,0.0591577,35.6303199098,0.558266
92115,0.0,152.1358242034912,0.92969558388,27,72.05,-0.141665,1884,22.3923,0.06164,35.9138287784,0.526299
94176,0.0,155.55416131019592,0.922376155853,28,72.98,-0.142778,1912,22.2925,0.0574711,36.4434387755,0.587475
96248,0.0,158.96110272407532,0.93022941798,27,74.25,-0.144747,1939,22.2438,0.0664775,37.0340966569,0.476242
