loss_kl,TimestepsSoFar,ev_tdlam_before,loss_pol_surr,EpisodesSoFar,loss_ent,EpLenMean,EpThisIter,loss_pol_entpen,loss_vf_loss,TimeElapsed,EpRewMean
0.0147352,94204,0.98117223382,-0.0414105,818,7.33878,181.91,12,0.0,16.113,94.34173798561096,354.549374764
0.0140779,96255,0.975822219625,-0.0459683,828,7.3656,184.2,10,0.0,17.7412,96.38774013519287,357.842946035
0.0160749,98187,0.984753038734,-0.0518538,839,7.29283,181.55,11,0.0,12.0737,98.43641328811646,357.947912612
0.014186,100173,0.988699760288,-0.0451418,850,7.25597,182.56,11,0.0,11.5131,100.4745991230011,361.417455128
0.0156613,102383,0.987770158798,-0.0426085,862,7.246,180.66,12,0.0,10.0061,102.52125883102417,361.200560575
0.014132,104366,0.990633991547,-0.048154,874,7.21207,178.6,12,0.0,9.89408,104.57527041435242,364.003922294
0.0144256,106465,0.981595721096,-0.0484906,887,7.20457,177.37,13,0.0,15.8404,106.60779738426208,365.266385264
0.0132319,108449,0.986477340572,-0.0443496,899,7.18921,175.48,12,0.0,13.031,108.65504717826843,364.885260271
0.0153527,110471,0.991460147314,-0.0517135,910,7.1706,177.27,11,0.0,7.93383,110.7021152973175,369.218450386
0.0123942,112564,0.986888470128,-0.0533282,923,7.13676,172.79,13,0.0,12.9636,112.74490523338318,367.526701322
0.0163354,114640,0.980264872313,-0.0489375,936,7.07406,169.55,13,0.0,20.5139,114.80960083007812,366.634162383
0.0160199,116655,0.96432049945,-0.0499766,947,7.02541,169.51,11,0.0,22.2639,116.84202551841736,372.041240041
0.0178748,118630,0.961676303297,-0.0542501,958,6.96373,170.2,11,0.0,35.4783,118.89934802055359,377.723111121
0.0140991,120735,0.958583716303,-0.0492346,969,6.93897,171.8,11,0.0,45.993,120.96014499664307,386.18994536
0.0138023,122878,0.960666846484,-0.0498389,981,6.94743,173.77,12,0.0,29.8371,123.0064148902893,393.518597959
0.014059,124848,0.963426820934,-0.0542073,992,6.88953,175.47,11,0.0,39.0517,125.05672812461853,398.659362824
0.0137735,126975,0.935012742877,-0.0476023,1005,6.88819,173.92,13,0.0,62.1119,127.0764970779419,402.54906097
0.0166955,128876,0.971397882327,-0.0503383,1015,6.86963,175.6,10,0.0,28.1232,129.1310486793518,409.582873947
0.0150429,130975,0.939551431686,-0.0476083,1027,6.82903,178.31,12,0.0,56.1783,131.1777355670929,419.721827454
0.0167605,133049,0.967366404831,-0.0542,1038,6.82114,180.06,11,0.0,33.6017,133.22605514526367,429.707762396
