loss_vf_loss,TimeElapsed,EpisodesSoFar,ev_tdlam_before,loss_ent,TimestepsSoFar,EpThisIter,loss_kl,EpLenMean,loss_pol_entpen,EpRewMean,loss_pol_surr
98.899,76.78160691261292,859,0.00749534368515,1.02223,96247,3,0.00683559,816.54,0.0,816.54,-0.00585674
67.1053,78.42613792419434,861,0.037894308567,1.01488,98247,2,0.00447276,828.41,0.0,828.41,-0.00440857
67.0681,80.03131866455078,863,0.0232235193253,1.01156,100247,2,0.00286769,845.35,0.0,845.35,-0.00205184
69.9448,81.67165732383728,865,-0.0274338722229,1.0303,102247,2,0.0108032,859.84,0.0,859.84,-0.00374982
69.6254,83.28106594085693,867,-0.0204129219055,1.02909,104247,2,0.00886186,865.58,0.0,865.58,-0.0059638
69.5497,84.92190742492676,869,0.000672280788422,1.03287,106247,2,0.00422537,871.56,0.0,871.56,-0.00262406
60.9202,86.5465955734253,871,0.0356661081314,1.01888,108247,2,0.00575028,873.6,0.0,873.6,-0.0059131
67.6183,88.20428919792175,873,-0.041143655777,1.00071,110247,2,0.00373104,873.6,0.0,873.6,-0.00576
66.7775,89.81990647315979,875,0.0166438221931,0.98073,112247,2,0.00756274,873.6,0.0,873.6,-0.00645637
68.9665,91.45359587669373,877,-0.00932633876801,0.994139,114247,2,0.0131659,873.6,0.0,873.6,-0.00718293
66.1517,93.09367775917053,879,0.0500090718269,0.996401,116247,2,0.00230811,876.49,0.0,876.49,-0.0043443
49.6949,94.70283436775208,881,0.0712575316429,0.977013,117889,2,0.00894477,872.91,0.0,872.91,-0.0112325
69.4582,96.34514999389648,883,-0.0193002223969,0.959759,119889,2,0.00894492,872.91,0.0,872.91,-0.00624495
69.7196,97.95339465141296,885,-0.00354146957397,0.954819,121889,2,0.00499518,872.91,0.0,872.91,-0.00529627
92.8305,99.59405446052551,888,-0.00895392894745,0.96356,124889,3,0.00851436,886.61,0.0,886.61,-0.00547204
69.1107,101.20411372184753,890,-0.00137376785278,0.968487,126889,2,0.00956793,891.62,0.0,891.62,-0.00385699
69.0555,102.84365582466125,892,-0.0009765625,0.985989,128889,2,0.0155317,898.45,0.0,898.45,-0.00518812
67.7015,104.4370481967926,894,0.00482577085495,0.983944,130889,2,0.00813815,899.27,0.0,899.27,-0.00609177
46.3893,106.0784604549408,896,0.0794903039932,0.985745,132889,2,0.00329431,899.27,0.0,899.27,-0.00318235
70.5049,107.70278477668762,898,-0.0266091823578,0.985826,134889,2,0.00429034,899.27,0.0,899.27,-0.00376786
68.5178,109.34350347518921,900,0.00496482849121,0.9748,136889,2,0.00351234,899.27,0.0,899.27,-0.00223989
67.828,110.95351076126099,902,-0.00498867034912,0.965638,138889,2,0.00544266,900.29,0.0,900.29,-0.00708332
67.9015,112.5777199268341,904,-0.0123122930527,0.956364,140889,2,0.00454496,906.78,0.0,906.78,-0.00498489
53.7653,114.21964144706726,906,0.00940829515457,0.955071,142889,2,0.00779897,906.78,0.0,906.78,-0.0100032
68.354,115.82818722724915,908,-0.0356225967407,0.960789,144889,2,0.006162,906.78,0.0,906.78,-0.00455378
65.5002,117.46887183189392,910,0.00137025117874,0.972149,146889,2,0.0128133,906.78,0.0,906.78,-0.00669562
16.8853,119.07876563072205,912,0.657786935568,0.986488,148889,2,0.0152458,915.39,0.0,915.39,-0.00584528
65.21,120.71921062469482,914,0.0379370450974,0.979108,150889,2,0.00619943,915.39,0.0,915.39,-0.00688927
68.2749,122.34490275382996,916,0.0162184238434,0.957596,152889,2,0.00860449,923.76,0.0,923.76,-0.00908026
44.6841,123.98573970794678,918,0.215044379234,0.937478,154889,2,0.0191923,923.76,0.0,923.76,-0.00371237
62.0027,125.57777404785156,920,0.253264963627,0.929819,156889,2,0.00448901,923.76,0.0,923.76,-0.00445779
71.8864,127.21842980384827,922,0.00319397449493,0.921094,158889,2,0.00728905,923.76,0.0,923.76,-0.00544339
71.1148,128.84330487251282,924,0.00104039907455,0.925257,160889,2,0.00966227,932.53,0.0,932.53,-0.00521951
70.8685,130.46895551681519,926,-0.00353479385376,0.938261,162889,2,0.00237692,941.4,0.0,941.4,-0.00185959
70.0607,132.0939621925354,928,0.00340765714645,0.939732,164889,2,0.00535633,950.59,0.0,950.59,-0.00379268
70.5551,133.702871799469,931,0.0109630823135,0.948549,167889,3,0.0045633,959.08,0.0,959.08,-0.0037418
69.208,135.34446907043457,933,0.0132046341896,0.952896,169889,2,0.00420797,962.26,0.0,962.26,-0.00423287
69.0696,136.95287108421326,935,-0.00358390808105,0.948193,171889,2,0.00501438,976.25,0.0,976.25,-0.0049363
68.761,138.57827258110046,937,-0.0112977027893,0.939975,173889,2,0.0093281,979.46,0.0,979.46,-0.00748746
64.9238,140.18729901313782,939,0.0347167253494,0.947691,175889,2,0.00551629,993.56,0.0,993.56,-0.00302349
68.2481,141.82819294929504,941,-0.022796869278,0.947904,177889,2,0.0080173,993.56,0.0,993.56,-0.00597913
59.0626,143.43854236602783,943,0.0367050766945,0.967638,179889,2,0.00361802,993.56,0.0,993.56,-0.00341906
69.464,145.07880473136902,945,-0.0463160276413,0.968466,181889,2,0.00604429,993.56,0.0,993.56,-0.00237211
68.2077,146.70308375358582,947,-0.00386941432953,0.951103,183889,2,0.00832971,996.42,0.0,996.42,-0.00711059
68.7113,148.3435995578766,949,-0.0113180875778,0.975759,185889,2,0.00751753,996.42,0.0,996.42,-0.00587523
68.6117,149.9848244190216,951,-4.55379486084e-05,0.976261,187889,2,0.0111928,996.42,0.0,996.42,-0.00369329
68.5155,151.61022233963013,953,-0.00177562236786,0.972384,189889,2,0.0100102,996.42,0.0,996.42,-0.00792605
68.6193,153.22786593437195,955,-0.00155484676361,0.972763,191889,2,0.00488973,996.42,0.0,996.42,-0.00419914
92.8873,154.84331488609314,958,0.00186115503311,0.96076,194143,3,0.00670906,988.96,0.0,988.96,-0.00716981
67.093,156.4842345714569,960,-0.00258731842041,0.948494,196143,2,0.00565193,988.96,0.0,988.96,-0.00610505
68.0428,158.0934121608734,962,-0.00930261611938,0.948274,198143,2,0.00314575,988.96,0.0,988.96,-0.00290026
68.1413,159.73407816886902,964,-0.00135910511017,0.957621,200143,2,0.0131133,988.96,0.0,988.96,-0.00495425
66.9636,161.34353137016296,966,0.00957405567169,0.97755,202143,2,0.00699407,988.96,0.0,988.96,-0.00582666
67.4293,162.98491978645325,968,0.0145398974419,0.967598,204143,2,0.0131037,988.96,0.0,988.96,-0.0081501
67.8041,164.59389066696167,970,0.0113585591316,0.960958,206143,2,0.00786534,988.96,0.0,988.96,-0.00594824
67.3999,166.23488092422485,972,-0.045182466507,0.962902,208143,2,0.00728235,988.96,0.0,988.96,-0.00518009
68.1101,167.84383153915405,974,-0.00354588031769,0.963768,210143,2,0.00807784,988.96,0.0,988.96,-0.00587857
99.6115,169.46987414360046,977,-0.00028383731842,0.965084,212765,3,0.00632681,985.18,0.0,985.18,-0.00580197
65.9707,171.09371495246887,979,0.00763666629791,0.965247,214765,2,0.00801896,985.18,0.0,985.18,-0.00546287
61.5573,172.7193157672882,981,0.0664859414101,0.954604,216765,2,0.00460149,988.76,0.0,988.76,-0.00525748
63.503,174.3591969013214,983,0.046840429306,0.970037,218765,2,0.00585175,988.76,0.0,988.76,-0.00390289
68.9221,175.9687533378601,986,0.0506405830383,0.944222,221075,3,0.00505926,981.86,0.0,981.86,-0.0085538
69.0213,177.59335899353027,988,-0.0372314453125,0.946784,223075,2,0.0110205,981.86,0.0,981.86,-0.00523978
65.9298,179.22267198562622,990,0.0177380442619,0.946331,225075,2,0.0098937,981.86,0.0,981.86,-0.00479189
57.9237,180.87464094161987,992,0.0162887573242,0.944756,226564,2,0.0133451,976.75,0.0,976.75,-0.00849842
59.6885,182.4847903251648,996,0.374709784985,0.922937,228579,4,0.00365221,956.9,0.0,956.9,-0.00763244
27.5774,184.12452721595764,1000,0.868713691831,0.934448,231374,4,0.00423837,944.85,0.0,944.85,-0.0135548
51.1488,185.7498676776886,1002,0.366464912891,0.919895,232604,2,0.00413721,937.15,0.0,937.15,-0.00928735
76.8394,187.39061665534973,1006,0.687861412764,0.897662,235508,4,0.00778725,926.19,0.0,926.19,-0.0134493
48.973,188.999657869339,1008,0.571436345577,0.887926,237277,2,0.0107561,923.88,0.0,923.88,-0.0108585
68.3444,190.64025926589966,1010,-0.010289311409,0.874178,239277,2,0.0115901,923.88,0.0,923.88,-0.00627276
65.1797,192.26511883735657,1012,0.0364551544189,0.884449,241277,2,0.00772234,923.88,0.0,923.88,-0.0078305
67.2764,193.89053606987,1014,-0.0119323730469,0.907942,243277,2,0.00438255,923.88,0.0,923.88,-0.00750665
69.5256,195.51564812660217,1016,-0.00632011890411,0.912941,245277,2,0.00473263,923.88,0.0,923.88,-0.0035235
57.1516,197.12463545799255,1018,0.0836601853371,0.892959,247057,2,0.00455689,921.68,0.0,921.68,-0.00821352
69.3924,198.7659044265747,1020,-0.0168056488037,0.903305,249057,2,0.00363423,921.68,0.0,921.68,-0.00281796
69.3244,200.37484121322632,1022,-0.00500309467316,0.90456,251057,2,0.00411177,921.68,0.0,921.68,-0.00296259
69.0347,202.01690697669983,1024,-0.00383281707764,0.901081,253057,2,0.0156998,921.68,0.0,921.68,-0.00760345
68.7261,203.6263403892517,1026,-0.0101857185364,0.909663,255057,2,0.00267202,921.68,0.0,921.68,-0.00469822
68.6655,205.2651402950287,1028,-0.00944674015045,0.893459,257057,2,0.00946168,921.68,0.0,921.68,-0.0065266
91.2603,206.9222731590271,1031,-0.000309944152832,0.874398,260057,3,0.00876907,921.68,0.0,921.68,-0.00312628
68.2234,208.56357431411743,1033,-0.00107884407043,0.889375,262057,2,0.00761063,921.68,0.0,921.68,-0.00680458
68.0347,210.17237424850464,1035,-0.000154852867126,0.878283,264057,2,0.00617361,921.68,0.0,921.68,-0.00559643
68.343,211.7976269721985,1037,-0.000280499458313,0.906511,266057,2,0.00899084,921.68,0.0,921.68,-0.006397
68.2626,213.43372178077698,1039,-0.00201559066772,0.916752,268057,2,0.00900777,921.68,0.0,921.68,-0.00471613
68.3365,215.0467267036438,1041,-0.000546336174011,0.923567,270057,2,0.00765029,921.68,0.0,921.68,-0.00505086
66.866,216.67216205596924,1043,-0.00265038013458,0.925707,272057,2,0.0127283,921.68,0.0,921.68,-0.00925032
68.3208,218.28140258789062,1045,-0.00143074989319,0.952427,274057,2,0.00717637,921.68,0.0,921.68,-0.00729748
68.3636,219.92173504829407,1047,-0.00344562530518,0.927895,276057,2,0.00503416,921.68,0.0,921.68,-0.00611176
68.396,221.5154469013214,1049,-6.103515625e-05,0.934117,278057,2,0.00888965,921.68,0.0,921.68,-0.00494768
60.3321,223.1723849773407,1051,0.00347942113876,0.908373,280057,2,0.00853423,921.68,0.0,921.68,-0.00924499
66.3773,224.78146862983704,1053,-0.0653488636017,0.895454,282057,2,0.00562367,921.68,0.0,921.68,-0.00619586
68.4774,226.40684366226196,1055,-0.011537194252,0.904572,284057,2,0.0084904,921.68,0.0,921.68,-0.00348298
61.1756,228.03116297721863,1057,-0.0014899969101,0.898717,286057,2,0.0087924,929.14,0.0,929.14,-0.00907715
62.6548,229.6558129787445,1060,0.350024998188,0.875448,288369,3,0.00510474,922.26,0.0,922.26,-0.00799154
29.2832,231.28076910972595,1062,0.627891302109,0.865415,290234,2,0.00724036,920.91,0.0,920.91,-0.00802223
48.8917,232.90665698051453,1064,0.191757440567,0.882367,292234,2,0.00693244,920.91,0.0,920.91,-0.00869254
79.856,234.54727625846863,1067,0.396482467651,0.878819,294436,3,0.00577507,912.93,0.0,912.93,-0.0129324
67.0347,236.1408977508545,1069,0.0214266180992,0.863369,296436,2,0.0044243,912.93,0.0,912.93,-0.00484143
70.9526,237.79648566246033,1071,0.0486976504326,0.859411,298436,2,0.00781858,912.93,0.0,912.93,-0.00519199
69.4855,239.40685725212097,1073,-0.00506961345673,0.825737,300436,2,0.00463744,912.93,0.0,912.93,-0.00522304
69.0835,241.04771089553833,1075,-0.0110018253326,0.829462,302436,2,0.00456824,912.93,0.0,912.93,-0.00607692
62.1074,242.65581154823303,1077,0.104505956173,0.799632,304436,2,0.00434373,916.71,0.0,916.71,-0.00771442
39.7573,244.28242540359497,1079,0.514103710651,0.799298,306424,2,0.00749874,916.59,0.0,916.59,-0.010004
70.6952,245.9062156677246,1081,-0.00209355354309,0.797108,308424,2,0.0104014,916.59,0.0,916.59,-0.00625842
70.0124,247.5308973789215,1083,-0.0108871459961,0.777445,310424,2,0.00677708,916.59,0.0,916.59,-0.00371713
36.538,249.15662264823914,1085,0.645584613085,0.781376,312353,2,0.010551,919.23,0.0,919.23,-0.00605887
93.2989,250.79042959213257,1088,-0.0062450170517,0.778885,315353,3,0.00690816,922.78,0.0,922.78,-0.00791074
35.7709,252.42485117912292,1090,0.653235524893,0.77677,317015,2,0.00845737,919.4,0.0,919.4,-0.00916761
51.6674,254.036700963974,1092,0.593466937542,0.795799,318730,2,0.0141807,921.66,0.0,921.66,-0.0116971
70.1488,255.6718053817749,1095,0.0537037849426,0.78186,321489,3,0.00421783,932.63,0.0,932.63,-0.00473305
38.4539,257.28235960006714,1097,0.593407928944,0.809769,323306,2,0.0128359,937.27,0.0,937.27,-0.00666592
70.4742,258.9218099117279,1099,-0.00359654426575,0.812491,325306,2,0.00647651,945.26,0.0,945.26,-0.00698318
67.8361,260.5321145057678,1101,0.0627132058144,0.781361,327306,2,0.00546498,949.32,0.0,949.32,-0.00841171
22.1128,262.1714732646942,1103,0.751547977328,0.792688,329018,2,0.00840151,954.14,0.0,954.14,-0.0110958
63.0326,263.7815911769867,1105,0.00517958402634,0.799076,331018,2,0.00958405,959.92,0.0,959.92,-0.00831778
65.3017,265.4065909385681,1107,0.077952504158,0.78192,333018,2,0.00348627,967.41,0.0,967.41,-0.00444501
71.0299,267.0315957069397,1109,-0.00416266918182,0.778449,335018,2,0.00698285,967.41,0.0,967.41,-0.00940869
66.5322,268.6720108985901,1111,-0.000433444976807,0.790516,337018,2,0.00582175,967.41,0.0,967.41,-0.00897097
67.4995,270.297402381897,1113,0.0155143737793,0.815147,339018,2,0.00754241,967.41,0.0,967.41,-0.00742743
68.9296,271.9064905643463,1115,-0.00365209579468,0.815715,341018,2,0.0057331,967.41,0.0,967.41,-0.00424119
76.8731,273.53911328315735,1118,0.0179376006126,0.795213,344018,3,0.00913733,969.61,0.0,969.61,-0.00537155
69.1061,275.1571509838104,1120,0.0231016278267,0.799467,346018,2,0.00678163,969.61,0.0,969.61,-0.00698922
63.7015,276.79669737815857,1122,0.0488114953041,0.779535,348018,2,0.00471134,969.61,0.0,969.61,-0.0063568
66.6836,278.4076702594757,1124,0.063553571701,0.796337,350018,2,0.00339621,969.61,0.0,969.61,-0.00292699
69.8259,280.06263971328735,1126,-0.0431537628174,0.770111,352018,2,0.00841359,969.61,0.0,969.61,-0.00655815
67.4396,281.6728072166443,1128,-0.00028133392334,0.767057,354018,2,0.00373454,969.61,0.0,969.61,-0.0037991
67.971,283.2969436645508,1130,0.0230616927147,0.789655,356018,2,0.00358867,969.61,0.0,969.61,-0.00471657
65.7311,284.92167615890503,1132,-0.00563204288483,0.777296,358018,2,0.00953422,969.61,0.0,969.61,-0.00608352
66.2528,286.5470790863037,1134,0.0583464503288,0.774162,360018,2,0.00484585,969.61,0.0,969.61,-0.00769549
66.9829,288.1718065738678,1136,0.027702152729,0.755672,362018,2,0.00500084,969.61,0.0,969.61,-0.00324655
66.8938,289.79770517349243,1138,-0.048248052597,0.777842,364018,2,0.0152277,969.61,0.0,969.61,-0.00679846
69.9942,291.4216980934143,1140,-0.0178312063217,0.759699,366018,2,0.00857779,969.61,0.0,969.61,-0.00529366
69.8172,293.03086733818054,1142,-0.00560998916626,0.770181,368018,2,0.00955723,969.61,0.0,969.61,-0.00391919
69.423,294.6727912425995,1144,-0.0068176984787,0.771685,370018,2,0.0137673,969.61,0.0,969.61,-0.00786104
67.6014,296.2807946205139,1146,-0.00159704685211,0.775351,372018,2,0.00559741,969.61,0.0,969.61,-0.00636632
69.232,297.92214369773865,1148,-0.00833344459534,0.778467,374018,2,0.00763909,969.61,0.0,969.61,-0.00939619
69.0394,299.5315022468567,1150,-0.00345957279205,0.787132,376018,2,0.00654932,969.61,0.0,969.61,-0.00401397
68.9838,301.16018319129944,1152,-0.000939726829529,0.79815,378018,2,0.0118215,969.61,0.0,969.61,-0.0102388
68.9061,302.78117990493774,1154,-0.000568985939026,0.779128,380018,2,0.0102119,969.61,0.0,969.61,-0.00853398
68.8503,304.40595412254333,1156,-0.000479936599731,0.771509,382018,2,0.0064656,969.61,0.0,969.61,-0.0029939
101.539,306.03141498565674,1159,-0.000685453414917,0.766075,385018,3,0.00383645,976.49,0.0,976.49,-0.00456269
66.8025,307.6571936607361,1161,-0.00127601623535,0.78109,387018,2,0.00768397,976.49,0.0,976.49,-0.0077126
67.8237,309.2812020778656,1163,-0.00591576099396,0.78643,389018,2,0.00925688,977.84,0.0,977.84,-0.00446206
65.911,310.8917360305786,1165,-0.000100493431091,0.797588,391018,2,0.00444756,977.84,0.0,977.84,-0.00638639
65.3189,312.5311346054077,1167,-0.0137281417847,0.772912,393018,2,0.00952035,985.82,0.0,985.82,-0.0077048
67.8712,314.1414737701416,1169,-0.0196979045868,0.790411,395018,2,0.00661559,985.82,0.0,985.82,-0.00465859
68.1115,315.7817590236664,1171,-0.000397562980652,0.791506,397018,2,0.00583269,985.82,0.0,985.82,-0.00865125
