EpisodesSoFar,TimestepsSoFar,ev_tdlam_before,EpThisIter,loss_vf_loss,TimeElapsed,loss_kl,loss_pol_surr,EpRewMean,loss_ent,EpLenMean,loss_pol_entpen
874,94054,0.983279993758,12,11.663,94.38030648231506,0.0135047,-0.0455675,266.213156002,7.38043,157.09,0.0
889,96226,0.986776272766,15,10.4485,96.44287204742432,0.0135804,-0.0438533,268.240307843,7.38697,157.19,0.0
900,98181,0.989634765312,11,6.95419,98.49060010910034,0.0122297,-0.0439585,273.62521344,7.38634,159.37,0.0
912,100136,0.974444085732,12,9.78849,100.56976675987244,0.0131482,-0.0327716,272.449336048,7.3882,160.12,0.0
927,102398,0.98697599303,15,10.6188,102.62219524383545,0.0158335,-0.048645,275.723793169,7.35422,160.81,0.0
939,104374,0.987180395983,12,7.06972,104.684654712677,0.0156076,-0.0468741,278.676831045,7.29183,162.02,0.0
953,106332,0.989922937006,14,7.47998,106.73137998580933,0.0120903,-0.0440148,275.183084979,7.30519,156.09,0.0
966,108483,0.988489101641,13,6.4411,108.79368734359741,0.0119587,-0.0498895,279.764782078,7.27118,157.88,0.0
979,110495,0.99089291133,13,7.39881,110.85929322242737,0.0119645,-0.0497885,278.941517082,7.24599,156.11,0.0
993,112536,0.985463022254,14,10.6751,112.91126990318298,0.013698,-0.0469166,280.798012921,7.24681,156.0,0.0
1007,114531,0.967412896454,14,11.6237,114.9809181690216,0.0118645,-0.0377616,278.527093355,7.2159,152.34,0.0
1020,116722,0.978470817208,13,10.9288,117.03111696243286,0.0125155,-0.0332585,278.289811584,7.213,152.6,0.0
1033,118747,0.985893937759,13,11.0456,119.08206272125244,0.0159093,-0.0515396,281.159481958,7.21405,153.01,0.0
1046,120639,0.988118040375,13,9.6765,121.13764762878418,0.0127791,-0.0479245,282.097891328,7.20003,153.06,0.0
1060,122845,0.978629538789,14,16.8446,123.2002215385437,0.0151873,-0.0486454,280.980671889,7.16791,152.59,0.0
1073,124912,0.979102713987,13,15.2627,125.26293635368347,0.0156064,-0.0495713,284.403935499,7.14587,153.4,0.0
1087,126968,0.98649771139,14,10.3812,127.312983751297,0.0153941,-0.0530021,285.736632406,7.1431,153.06,0.0
1100,128945,0.984686086886,13,12.3626,129.36362648010254,0.0154951,-0.0496904,292.171560459,7.13374,154.86,0.0
1111,130952,0.978738326579,11,13.7843,131.40350365638733,0.013601,-0.0496603,299.424839583,7.10296,157.56,0.0
1123,132959,0.97202157788,12,17.3413,133.46597576141357,0.0134265,-0.0464991,304.489844974,7.10404,157.96,0.0
1135,134969,0.973764861003,12,16.0502,135.5285656452179,0.0122862,-0.0394589,309.244203169,7.04997,160.09,0.0
1148,137115,0.97761426121,13,17.1384,137.5776789188385,0.0134771,-0.0514492,314.05236818,7.00121,160.74,0.0
1161,139174,0.966279506683,13,21.0139,139.63037538528442,0.012798,-0.0500595,320.288048443,7.00949,161.67,0.0
