loss_kl,loss_vf_loss,EpThisIter,TimestepsSoFar,EpisodesSoFar,loss_ent,TimeElapsed,loss_pol_surr,EpRewMean,loss_pol_entpen,ev_tdlam_before,EpLenMean
0.0116447,8.55359,2,2000,2,2.83839,1.9857091903686523,-0.0228214,6.78666485671,0.0,-0.00801503658295,1000.0
0.0134398,9.35354,2,4000,4,2.81046,3.7505359649658203,-0.026589,8.18985579869,0.0,0.199103176594,1000.0
0.0115914,5.68774,2,6000,6,2.78968,5.50002646446228,-0.0219599,8.47685621953,0.0,0.214422762394,1000.0
0.0121939,3.08021,2,8000,8,2.78081,7.28142523765564,-0.0254431,10.6345724477,0.0,0.193630814552,1000.0
0.0108528,1.40829,2,10000,10,2.73908,9.046984434127808,-0.0232629,12.7521891193,0.0,0.502422183752,1000.0
0.0122264,0.809104,2,12000,12,2.69458,10.828152179718018,-0.0169678,14.1353277706,0.0,0.648448437452,1000.0
0.00814335,0.399229,2,14000,14,2.6843,12.593811273574829,-0.0163461,15.2668040206,0.0,0.791963785887,1000.0
0.0133326,0.554666,2,16000,16,2.65936,14.391550064086914,-0.0162361,16.9493133638,0.0,0.836808234453,1000.0
0.010912,0.353778,2,18000,18,2.67141,16.171897649765015,-0.0132947,17.5750468761,0.0,0.887348502874,1000.0
0.0085889,0.300445,2,20000,20,2.67098,17.970081329345703,-0.0153377,18.5510508397,0.0,0.916515931487,1000.0
0.00540309,0.204743,2,22000,22,2.61801,19.750633478164673,-0.0149428,19.5010299715,0.0,0.944411288947,1000.0
0.00999862,0.544014,2,24000,24,2.5891,21.54756236076355,-0.0157117,20.5467822617,0.0,0.858494386077,1000.0
0.00741227,0.0762814,2,26000,26,2.55325,23.328459978103638,-0.0131462,21.1926907177,0.0,0.966092832386,1000.0
0.0129491,0.283706,2,28000,28,2.5244,25.11098861694336,-0.0190203,21.6393223258,0.0,0.914399832487,1000.0
0.00920854,0.103369,2,30000,30,2.5045,26.89246106147766,-0.0155321,22.5656708804,0.0,0.968340557069,1000.0
0.00798898,0.167166,2,32000,32,2.48721,28.687710523605347,-0.0187254,23.1113561759,0.0,0.938889399171,1000.0
0.0112602,0.0635212,2,34000,34,2.42913,30.469069242477417,-0.017658,23.5490903779,0.0,0.974528914317,1000.0
0.0103877,0.0923385,2,36000,36,2.40114,32.28227996826172,-0.0177463,24.1153284331,0.0,0.978462448344,1000.0
0.010441,0.0592442,2,38000,38,2.36201,34.06580305099487,-0.0197569,24.4283838793,0.0,0.9862923529,1000.0
0.00774577,0.0491418,2,40000,40,2.31111,35.87469673156738,-0.0171584,24.94845619,0.0,0.988965349272,1000.0
0.00991956,0.0544112,3,43000,43,2.28911,37.656118869781494,-0.0215211,25.6950695455,0.0,0.98820439633,1000.0
0.00842998,0.0392876,2,45000,45,2.2486,39.46920466423035,-0.0157133,26.1341746111,0.0,0.993919880595,1000.0
0.0102602,0.0279311,2,47000,47,2.2344,41.2660186290741,-0.0176174,26.528370567,0.0,0.995044783223,1000.0
0.0102388,0.0315515,2,49000,49,2.21245,43.06394982337952,-0.00988752,26.9634296719,0.0,0.9922940135,1000.0
0.00946341,0.0557197,2,51000,51,2.17287,44.84525179862976,-0.0216103,27.321610792,0.0,0.992956536356,1000.0
0.00577578,0.0365497,2,53000,53,2.15821,46.656959533691406,-0.0179104,27.594640544,0.0,0.993098629173,1000.0
0.00564036,0.0395187,2,55000,55,2.14414,48.470176219940186,-0.0184998,27.8886239934,0.0,0.986779444851,1000.0
0.0094519,0.0421112,2,57000,57,2.12241,50.282028675079346,-0.0133513,28.2938450955,0.0,0.991618230008,1000.0
0.00559741,0.0295669,2,59000,59,2.09477,52.07309341430664,-0.0111892,28.5441852977,0.0,0.985423101112,1000.0
0.0158022,0.0176227,2,61000,61,2.04655,53.89084243774414,-0.00578279,28.8746899825,0.0,0.994816773571,1000.0
0.0165994,0.0161781,2,63000,63,2.00427,55.6823627948761,-0.0178074,29.1558578616,0.0,0.997094767168,1000.0
0.0112192,0.0268792,2,65000,65,1.9948,57.499653816223145,-0.0176831,29.3090846739,0.0,0.994959850796,1000.0
0.00618205,0.0194519,2,67000,67,1.97376,59.29761576652527,-0.0161059,29.5404003781,0.0,0.997166647809,1000.0
0.00842814,0.0164828,2,69000,69,1.95243,61.10907292366028,-0.0177629,29.7953715392,0.0,0.994617305696,1000.0
0.00800601,0.021284,2,71000,71,1.91716,62.89130663871765,-0.0138397,30.0884276006,0.0,0.994646593463,1000.0
0.012016,0.0159646,2,73000,73,1.88184,64.718576669693,-0.0200885,30.3254972121,0.0,0.99702966935,1000.0
0.00596693,0.0189256,2,75000,75,1.87273,66.51574516296387,-0.0142604,30.5765266892,0.0,0.995336388703,1000.0
0.0086139,0.0182318,2,77000,77,1.85113,68.34402561187744,-0.0132035,30.7592123201,0.0,0.996988109313,1000.0
0.014052,0.0193702,2,79000,79,1.80707,70.14205884933472,-0.00973119,30.9871564994,0.0,0.997433688724,1000.0
0.00475896,0.0176989,2,81000,81,1.78441,71.97068524360657,-0.0165397,31.1856954739,0.0,0.994171022438,1000.0
0.0143782,0.0122576,2,83000,83,1.7754,73.76617097854614,-0.0125678,31.3796764977,0.0,0.99643415655,1000.0
0.004256,0.00987541,3,86000,86,1.73629,75.59358739852905,-0.0143133,31.584431822,0.0,0.997545426711,1000.0
0.0129829,0.0109252,2,88000,88,1.72055,77.3914794921875,-0.0167589,31.7319787881,0.0,0.998196170549,1000.0
0.0110026,0.00567695,2,90000,90,1.66954,79.21548867225647,-0.0107732,31.8230746337,0.0,0.998505876283,1000.0
0.00910485,0.00689166,2,92000,92,1.62006,81.00073170661926,-0.0165055,31.9617586528,0.0,0.998671647045,1000.0
0.00636041,0.00646739,2,94000,94,1.5553,82.82878589630127,-0.0193185,32.1575429686,0.0,0.995702610351,1000.0
0.0134933,0.00731265,2,96000,96,1.55226,84.62629747390747,-0.0127819,32.3115602707,0.0,0.998343443498,1000.0
0.0194681,0.0124222,2,98000,98,1.55403,86.45279860496521,-0.0198316,32.4558471868,0.0,0.996492979815,1000.0
0.0194526,0.00822746,2,100000,100,1.54125,88.26537251472473,-0.00660533,32.605624997,0.0,0.998410458211,1000.0
0.00508982,0.00877024,2,102000,102,1.53497,90.09367442131042,-0.0165641,33.2582967427,0.0,0.996788415127,1000.0
0.0107843,0.012035,2,104000,104,1.52943,91.89064431190491,-0.00818375,33.8672619715,0.0,0.994429246522,1000.0
0.00761569,0.0141413,2,106000,106,1.52436,93.70373034477234,-0.0152372,34.5309502515,0.0,0.996915831231,1000.0
0.00587097,0.00639372,2,108000,108,1.4733,95.50055146217346,-0.0162149,35.0327370419,0.0,0.997855959227,1000.0
0.0112662,0.0170127,2,110000,110,1.42418,97.3129494190216,-0.0188211,35.4287476423,0.0,0.995517067611,1000.0
0.0087693,0.00695622,2,112000,112,1.418,99.1095757484436,-0.0225839,35.8260688621,0.0,0.998119796393,1000.0
0.00760694,0.0101338,2,114000,114,1.38538,100.93727493286133,-0.00613558,36.2284185344,0.0,0.998028044589,1000.0
0.0464388,0.00350746,2,116000,116,1.39521,102.75051426887512,-0.0178489,36.4491555668,0.0,0.998939425335,1000.0
0.0124276,0.00584521,2,118000,118,1.35476,104.56410050392151,-0.013042,36.8151207554,0.0,0.998536784318,1000.0
0.00515464,0.0164529,2,120000,120,1.36639,106.359699010849,-0.0146795,37.1181294737,0.0,0.994586247019,1000.0
0.0120242,0.00388804,2,122000,122,1.36231,108.18584370613098,-0.0144607,37.4039972372,0.0,0.999226518441,1000.0
0.00913893,0.0264814,2,124000,124,1.37119,109.97966051101685,-0.0116062,37.575091881,0.0,0.993512512185,1000.0
0.0161839,0.00557027,2,126000,126,1.36803,111.8128228187561,-0.0202695,37.8667774868,0.0,0.998257465544,1000.0
0.00666241,0.0197129,3,129000,129,1.36483,113.595618724823,-0.0172697,38.2168540862,0.0,0.994654769544,1000.0
0.00357436,0.0130937,2,131000,131,1.35231,115.42309761047363,-0.0103046,38.3981096951,0.0,0.98774509225,1000.0
0.0117521,0.0362665,2,133000,133,1.3503,117.21514201164246,-0.0178483,38.6413480276,0.0,0.988529757597,1000.0
0.00709982,0.0128727,2,135000,135,1.35743,119.03172206878662,-0.0162439,38.8176581558,0.0,0.996462743497,1000.0
0.00775238,0.0202543,2,137000,137,1.32006,120.81315541267395,-0.0191944,38.9498053634,0.0,0.992594351526,1000.0
0.00817083,0.00712479,2,139000,139,1.31003,122.64142513275146,-0.0165259,39.1463845125,0.0,0.998335231445,1000.0
0.0122012,0.00660312,2,141000,141,1.2966,124.42344331741333,-0.0144538,39.2776092262,0.0,0.997655746993,1000.0
0.016584,0.0107847,2,143000,143,1.30991,126.2497718334198,-0.0125387,39.4292856125,0.0,0.996965636266,1000.0
0.0138574,0.00494642,2,145000,145,1.31054,128.04773902893066,-0.0225099,39.5504091855,0.0,0.99691439583,1000.0
0.00886269,0.00752149,2,147000,147,1.33216,129.87560486793518,-0.0127443,39.6478986076,0.0,0.99579840526,1000.0
0.00964602,0.0108531,2,149000,149,1.33022,131.65509247779846,-0.0185017,39.7679730176,0.0,0.997915049316,1000.0
0.0127959,0.00698675,2,151000,151,1.31947,133.48433995246887,-0.011703,39.8822113748,0.0,0.9973497428,1000.0
0.00718706,0.0209626,2,153000,153,1.31097,135.29729413986206,-0.0132176,39.9869349082,0.0,0.995801918674,1000.0
0.00953515,0.00903026,2,155000,155,1.30588,137.12543606758118,-0.0168895,40.1368874744,0.0,0.997583923861,1000.0
0.0207486,0.0152085,2,157000,157,1.30948,138.90754961967468,-0.0154249,40.2276811482,0.0,0.989866741002,1000.0
0.00809863,0.00549534,2,159000,159,1.29359,140.7412612438202,-0.0153886,40.3853416694,0.0,0.998519603861,1000.0
0.0088935,0.174195,2,161000,161,1.29079,142.5314326286316,-0.0155641,40.4479818283,0.0,0.923167094588,1000.0
0.0343634,0.00870592,2,163000,163,1.28722,144.3591902256012,-0.0192918,40.563631469,0.0,0.993130798452,1000.0
0.00699564,0.008027,2,165000,165,1.271,146.15721201896667,-0.0128257,40.740673153,0.0,0.997240459081,1000.0
0.00887355,0.0160185,2,167000,167,1.22305,147.98501825332642,-0.018072,40.8630274808,0.0,0.993385427166,1000.0
0.0078993,0.0155418,2,169000,169,1.21694,149.7816560268402,-0.0139875,40.9377034055,0.0,0.997781170998,1000.0
0.0135972,0.0221796,3,172000,172,1.21513,151.61051273345947,-0.00897746,41.0666053907,0.0,0.996045248583,1000.0
0.00968401,0.0133514,2,174000,174,1.21931,153.39069437980652,-0.0177333,41.1765212123,0.0,0.997282505501,1000.0
0.0176603,0.00766091,2,176000,176,1.19325,155.2188367843628,-0.0163179,41.276347388,0.0,0.998001899803,1000.0
0.00897926,0.00956898,2,178000,178,1.18065,157.01561331748962,-0.0168255,41.3711087038,0.0,0.998449336155,1000.0
0.0167684,0.00355622,2,180000,180,1.15959,158.84455251693726,-0.00965729,41.4485717539,0.0,0.999375840183,1000.0
0.0092624,0.00771599,2,182000,182,1.18007,160.64135551452637,-0.0162328,41.5470208428,0.0,0.99888909678,1000.0
0.0074749,0.0142061,2,184000,184,1.17997,162.46848106384277,-0.0176442,41.6364223272,0.0,0.997624096693,1000.0
0.00795533,0.0047045,2,186000,186,1.15783,164.26530742645264,-0.018778,41.7676919296,0.0,0.999145362584,1000.0
0.0101981,0.00835177,2,188000,188,1.13133,166.09355902671814,-0.0163976,41.8637419052,0.0,0.998980558594,1000.0
0.0107707,0.00555947,2,190000,190,1.0937,167.89159488677979,-0.0164558,42.0048239279,0.0,0.998754921602,1000.0
0.0133769,0.0116952,2,192000,192,1.04917,169.7194426059723,-0.0119387,42.100523251,0.0,0.99850052502,1000.0
0.00754293,0.00360391,2,194000,194,1.0317,171.51651883125305,-0.017763,42.1687297381,0.0,0.99905889685,1000.0
0.0127733,0.00757027,2,196000,196,1.02605,173.34394550323486,-0.0157554,42.2561900147,0.0,0.998507997603,1000.0
0.0103539,0.00727784,2,198000,198,0.982474,175.1483371257782,-0.0169658,42.3293548367,0.0,0.999091718812,1000.0
0.0117326,0.0023431,2,200000,200,0.973468,176.9700198173523,-0.0165652,42.3935190984,0.0,0.998729182757,1000.0
