loss_ent,TimeElapsed,EpLenMean,loss_kl,EpThisIter,loss_vf_loss,EpisodesSoFar,ev_tdlam_before,TimestepsSoFar,loss_pol_entpen,EpRewMean,loss_pol_surr
21.6449,248.4287452697754,83.4,0.0674243,24,0.326587,2172,0.938519917428,126945,0.0,41.1282254009,-0.144309
21.6344,252.23208332061768,84.47,0.0749841,22,0.255522,2194,0.941356625408,128980,0.0,41.8034163924,-0.142846
21.5749,255.9925079345703,85.06,0.0722403,23,0.286282,2217,0.949142500758,130963,0.0,42.3151130795,-0.148908
21.5621,259.93681025505066,88.64,0.0743466,21,0.299507,2238,0.943480115384,133011,0.0,43.8111723813,-0.14364
21.5925,264.18047547340393,90.34,0.0831106,24,0.350016,2262,0.938345648348,135144,0.0,44.5827671662,-0.142753
21.5269,268.6559681892395,90.6,0.07433,23,0.362495,2285,0.950789578259,137151,0.0,44.8188777997,-0.143712
21.4784,272.9527213573456,89.35,0.0767265,24,0.378022,2309,0.947981286794,139261,0.0,44.326586331,-0.149911
21.4324,276.82136392593384,90.15,0.075892,21,0.34725,2330,0.957415964454,141286,0.0,44.3995014194,-0.144694
21.4542,280.66351342201233,92.39,0.0777326,20,0.329283,2350,0.943747524172,143310,0.0,45.3925957673,-0.145043
21.4286,284.5388517379761,95.66,0.0708608,20,0.287214,2370,0.954067252576,145366,0.0,46.731436467,-0.144377
21.3882,288.6115140914917,96.39,0.076856,21,0.322234,2391,0.947383698076,147387,0.0,46.8793695205,-0.142521
21.3648,292.9773519039154,97.18,0.0726173,24,0.34863,2415,0.950284544379,149504,0.0,47.0761185122,-0.144267
21.3163,297.5536849498749,94.55,0.0759322,21,0.458307,2436,0.936948247254,151458,0.0,45.991829586,-0.138107
21.2836,301.49480414390564,94.29,0.0832223,21,0.380571,2457,0.934442251921,153561,0.0,45.7338491742,-0.145106
21.209,305.315420627594,94.81,0.0807061,22,0.313002,2479,0.942949779332,155645,0.0,45.8881605979,-0.142478
21.1425,309.0767011642456,93.92,0.0778078,21,0.363019,2500,0.932100005448,157598,0.0,45.5365245841,-0.141446
21.1112,313.0159614086151,93.81,0.0845261,23,0.409269,2523,0.941515173763,159704,0.0,45.5296815404,-0.142383
21.0761,317.25548005104065,92.51,0.07949,24,0.369276,2547,0.954630874097,161756,0.0,45.2201535879,-0.14358
21.0451,321.6833429336548,92.0,0.0884423,21,0.279796,2568,0.954222761095,163788,0.0,44.7376518777,-0.151759
21.0621,326.04527258872986,92.64,0.0898781,22,0.266379,2590,0.947595015168,165837,0.0,45.0660311293,-0.145139
21.0437,329.93878984451294,89.82,0.086891,23,0.282136,2613,0.953600600362,167859,0.0,43.6859162752,-0.142228
21.0528,333.71061086654663,91.32,0.0779207,23,0.429957,2636,0.944830361754,169968,0.0,44.2905364926,-0.140674
21.0282,337.5234715938568,93.64,0.0731986,21,0.361651,2657,0.949596688151,172001,0.0,45.5710006785,-0.144461
21.0622,341.49113154411316,92.46,0.0869247,23,0.284911,2680,0.941472250968,174074,0.0,45.2913759496,-0.146983
21.0737,345.7293291091919,93.59,0.0790906,21,0.299319,2701,0.945744775236,176085,0.0,45.7093631769,-0.139236
