TimeElapsed,loss_kl,loss_ent,TimestepsSoFar,loss_pol_surr,loss_pol_entpen,EpisodesSoFar,ev_tdlam_before,EpThisIter,loss_vf_loss,EpRewMean,EpLenMean
2.1552162170410156,0.0139224,1.38412,2048,-0.0280705,0.0,376,0.0071467757225,376,584.812,50.5158674629,5.58
3.9989616870880127,0.0345621,1.32331,4095,-0.0502554,0.0,716,0.518994361162,340,364.647,54.3638500859,6.0
5.843454360961914,0.0261031,1.25775,6142,-0.0416629,0.0,1005,0.334564507008,289,449.951,60.8503882285,6.69
7.655008792877197,0.0163929,1.19655,8192,-0.029819,0.0,1268,0.261790990829,263,455.312,72.6094964903,7.95
9.48316502571106,0.0162362,1.13609,10235,-0.0308402,0.0,1492,0.255967795849,224,673.31,84.2007932237,9.2
11.29562258720398,0.0137828,1.08549,12281,-0.0233792,0.0,1698,0.353679358959,206,566.341,88.2628063833,9.63
13.09249210357666,0.0137753,1.02613,14336,-0.0226712,0.0,1891,0.447418034077,193,601.578,95.9539063105,10.45
14.904987335205078,0.0103092,0.982246,16377,-0.0214177,0.0,2053,0.455894649029,162,816.681,116.682584829,12.68
16.710415363311768,0.0088355,0.956411,18424,-0.0175472,0.0,2210,0.540666669607,157,703.407,122.094153948,13.27
18.514713287353516,0.0136538,0.917139,20476,-0.0212745,0.0,2366,0.565768241882,156,699.978,120.280791325,13.08
20.29604697227478,0.00694718,0.878054,22518,-0.0157299,0.0,2493,0.513725757599,127,1179.61,147.634494392,16.03
22.093440532684326,0.0108962,0.850144,24563,-0.0167158,0.0,2612,0.509583443403,119,1347.69,156.842478211,17.04
23.874455451965332,0.011716,0.804993,26604,-0.0180182,0.0,2724,0.499225378036,112,1554.53,165.011545651,17.92
25.671051502227783,0.00641693,0.755966,28658,-0.0145695,0.0,2820,0.521473169327,96,1872.15,194.39213683,21.09
27.452112436294556,0.0095874,0.698265,30708,-0.0163273,0.0,2913,0.53448292613,93,1867.1,205.737226539,22.33
29.248984813690186,0.00805265,0.672224,32758,-0.0166096,0.0,2993,0.58954679966,80,1911.74,234.045853998,25.4
31.030226707458496,0.0103226,0.619818,34791,-0.0155167,0.0,3069,0.546632230282,76,2406.26,246.819599182,26.77
32.81604266166687,0.00983553,0.604211,36830,-0.0122128,0.0,3138,0.563310354948,69,2693.68,259.46181261,28.13
34.59275031089783,0.00843733,0.576953,38907,-0.014374,0.0,3199,0.543190777302,61,3503.24,301.615954489,32.68
36.373995780944824,0.00621102,0.544546,40945,-0.0114398,0.0,3263,0.620936989784,64,2531.31,292.319624917,31.69
38.156261682510376,0.0049191,0.509418,42975,-0.00934205,0.0,3322,0.608026474714,59,2972.54,310.505314435,33.65
39.92084097862244,0.00884893,0.459495,45054,-0.0163543,0.0,3381,0.647556602955,59,2824.79,324.295812368,35.12
41.7020845413208,0.00542751,0.428686,47090,-0.00974369,0.0,3434,0.618108212948,53,3266.84,348.529508297,37.73
43.4520800113678,0.00470521,0.399443,49149,-0.00735371,0.0,3486,0.671546667814,52,2916.5,363.81339066,39.38
45.23332381248474,0.00980778,0.382022,51190,-0.00680414,0.0,3535,0.647208541632,49,3077.64,372.636009291,40.32
47.0145697593689,0.0102895,0.366027,53229,-0.00990911,0.0,3588,0.655265212059,53,2972.03,370.379288996,40.08
48.79581308364868,0.0058826,0.348154,55178,-0.00958754,0.0,3634,0.686357140541,46,3354.58,378.884213057,41.0
50.55233025550842,0.00903857,0.327074,57294,-0.01406,0.0,3680,0.684658557177,46,3158.62,400.966100356,43.36
52.3430290222168,0.00699411,0.294397,59379,-0.00836241,0.0,3728,0.688187658787,48,3157.17,416.059813722,44.97
54.108428716659546,0.00772319,0.268774,61308,-0.00813405,0.0,3770,0.647949844599,42,4021.76,407.675650729,44.07
55.889670610427856,0.00528256,0.246317,63467,-0.00989448,0.0,3807,0.665851861238,37,4022.87,456.701318774,49.34
57.67091631889343,0.00724978,0.213301,65508,-0.0148967,0.0,3847,0.705589920282,40,3532.35,485.803234542,52.46
59.4365348815918,0.00785013,0.190122,67550,-0.00408513,0.0,3885,0.693304181099,38,3767.72,493.203660158,53.25
61.21778082847595,0.00565306,0.167512,69612,-0.0107091,0.0,3922,0.720139175653,37,3771.93,514.882415502,55.58
62.99902415275574,0.00637235,0.143946,71650,-0.00839156,0.0,3961,0.74906745553,39,3143.96,479.868247161,51.81
64.75431418418884,0.0149368,0.134696,73691,-0.00435219,0.0,4000,0.726590782404,39,3379.32,485.638539523,52.41
66.54576659202576,0.00931615,0.0989912,75765,-0.0108577,0.0,4033,0.753138512373,33,3663.8,517.911157675,55.89
68.31909990310669,0.00824676,0.0780981,77807,-0.0105216,0.0,4069,0.72578728199,36,3722.88,532.204255414,57.42
70.09356546401978,0.00625991,0.0676066,79827,-0.00948112,0.0,4101,0.779546290636,32,3446.22,555.864204097,59.96
71.8557391166687,0.00602485,0.0419723,81827,-0.012485,0.0,4133,0.724589645863,32,4335.49,561.993517624,60.62
73.6410219669342,0.0205873,0.0251021,83881,0.00464335,0.0,4163,0.755937233567,30,3881.61,595.74426385,64.25
75.40539383888245,0.00757677,0.0115887,85854,-0.0151935,0.0,4190,0.702233016491,27,5269.4,632.578554555,68.21
77.17813491821289,0.0104524,-0.0077461,88030,-0.00844339,0.0,4219,0.689473927021,29,4902.05,651.510704107,70.24
78.93761229515076,0.0209187,-0.00651419,90107,0.00644641,0.0,4245,0.73457723856,26,4316.19,674.916795012,72.74
