loss_ent,ev_tdlam_before,EpThisIter,TimestepsSoFar,loss_kl,loss_pol_entpen,EpisodesSoFar,loss_vf_loss,TimeElapsed,loss_pol_surr,EpLenMean,EpRewMean
0.808075,-0.0138469934464,2,95703,0.00607636,0.0,852,68.7871,75.77413558959961,-0.00319637,804.0,804.0
0.795011,-0.0137592554092,2,97703,0.00903888,0.0,854,68.3813,77.36743664741516,-0.00399986,820.25,820.25
0.788345,0.00112903118134,2,99703,0.00580839,0.0,856,67.8126,78.95369625091553,-0.00611428,837.2,837.2
0.808182,-0.0115059614182,2,101703,0.00650424,0.0,858,68.2917,80.55497550964355,-0.00399808,851.5,851.5
0.827655,0.324883937836,2,103703,0.0101756,0.0,860,39.2155,82.15683770179749,-0.00989391,869.0,869.0
0.835535,-0.00245988368988,2,105703,0.00679653,0.0,862,69.0813,83.74967741966248,-0.00390267,882.8,882.8
0.843195,-0.00242984294891,2,107703,0.0086982,0.0,864,68.1751,85.35332655906677,-0.00614369,897.1,897.1
0.819208,0.00663036108017,2,109703,0.00483745,0.0,866,56.7526,86.94619035720825,-0.00792973,914.83,914.83
0.821683,-0.0499927997589,2,111703,0.0142744,0.0,868,70.8577,88.57152104377747,-0.0114115,914.83,914.83
0.796966,0.00921523571014,2,113703,0.0058751,0.0,870,67.0034,90.1577501296997,-0.00890218,925.55,925.55
0.787275,0.014908015728,3,116703,0.00672218,0.0,873,95.3023,91.76736664772034,-0.00468004,937.19,937.19
0.797018,0.191949009895,2,117833,0.00587804,0.0,875,40.183,93.36984872817993,-0.00793037,928.49,928.49
0.779619,0.408666908741,3,120104,0.00604512,0.0,878,85.4397,94.98149132728577,-0.010543,927.94,927.94
0.759009,-0.052947640419,2,122104,0.0114097,0.0,880,72.348,96.56999492645264,-0.0068874,927.94,927.94
0.757582,-0.00162196159363,2,124104,0.00867022,0.0,882,68.7033,98.16374492645264,-0.00566698,936.65,936.65
0.771918,-0.0282242298126,2,126104,0.00943969,0.0,884,68.3066,99.75748705863953,-0.00823418,944.62,944.62
0.797605,0.0217390656471,2,128104,0.0102523,0.0,886,67.3518,101.35123109817505,-0.00651126,944.62,944.62
0.809363,-0.00786876678467,2,130104,0.00360835,0.0,888,68.7531,102.96060252189636,-0.00454941,944.62,944.62
0.819744,-0.000813007354736,3,133104,0.00743231,0.0,891,101.088,104.55434727668762,-0.00600603,944.62,944.62
0.827676,-0.00418627262115,2,135104,0.00760062,0.0,893,67.7965,106.16371822357178,-0.00460003,944.62,944.62
0.815053,-0.00541341304779,2,137104,0.00841381,0.0,895,67.8634,107.75502181053162,-0.00424517,944.62,944.62
0.828616,0.023462831974,2,139104,0.00794848,0.0,897,26.3388,109.3909502029419,-0.00859806,953.56,953.56
0.825607,-0.0117974281311,2,141104,0.0067762,0.0,899,68.2716,110.97670555114746,-0.00642663,953.56,953.56
0.840824,-0.00675511360168,2,143104,0.0100146,0.0,901,69.2837,112.61743140220642,-0.00780985,953.56,953.56
0.843862,-0.0160979032516,2,145104,0.00713791,0.0,903,69.5178,114.2192850112915,-0.00452074,953.56,953.56
0.843081,-0.00073778629303,2,147104,0.00277929,0.0,905,68.9196,115.82886147499084,-0.0023629,953.56,953.56
0.829689,0.386406064034,3,149275,0.0033747,0.0,908,53.2376,117.42273235321045,-0.00716907,957.9,957.9
0.817165,0.0933756232262,3,151501,0.00572386,0.0,911,96.1003,119.02320432662964,-0.00894989,950.16,950.16
0.812259,0.0140751004219,2,153501,0.00578631,0.0,913,69.4978,120.63257503509521,-0.0072048,950.16,950.16
0.821752,0.0181539654732,2,155501,0.00449523,0.0,915,67.0261,122.226322889328,-0.00469518,950.16,950.16
0.808982,0.130271852016,2,157501,0.00831987,0.0,917,68.3356,123.83569002151489,-0.00626574,950.16,950.16
0.81002,0.301750659943,2,159324,0.00694606,0.0,919,37.2428,125.44506072998047,-0.008133,948.39,948.39
0.817694,0.0508239269257,2,161324,0.0112131,0.0,921,59.9535,127.03880643844604,-0.00808675,948.39,948.39
0.823252,-0.0275247097015,2,163324,0.0146242,0.0,923,69.6442,128.63254928588867,-0.00167641,948.39,948.39
0.822161,-0.00710296630859,2,165324,0.0106943,0.0,925,69.5652,130.2575442790985,-0.00329224,951.41,951.41
0.808089,-0.000957608222961,2,167324,0.00641261,0.0,927,69.015,131.86691570281982,-0.0021929,954.83,954.83
0.800881,0.0883107185364,2,169324,0.00416855,0.0,929,68.85,133.47628545761108,-0.00419196,954.83,954.83
0.807136,-0.00816035270691,2,171324,0.00528554,0.0,931,68.4139,135.07003045082092,-0.00322391,954.83,954.83
0.795951,0.00343012809753,2,173324,0.00797986,0.0,933,61.4158,136.67940258979797,-0.00794152,954.83,954.83
0.780611,-0.0188369750977,2,175324,0.00613905,0.0,935,61.6676,138.28876996040344,-0.00584961,954.83,954.83
0.784769,0.0138354897499,2,177324,0.011715,0.0,937,65.4006,139.8825159072876,-0.00811374,962.04,962.04
0.782331,-0.0303047895432,2,179324,0.00778424,0.0,939,68.8185,141.48380041122437,-0.00465507,966.21,966.21
0.77138,0.0314360260963,2,181324,0.00531876,0.0,941,60.8158,143.06518959999084,-0.00787157,966.21,966.21
0.77284,0.0183682441711,3,183523,0.015329,0.0,944,88.354,144.66747117042542,-0.0104429,958.2,958.2
0.763191,0.0770643949509,3,186254,0.00615618,0.0,947,96.2921,146.2539463043213,-0.00726673,955.51,955.51
0.770363,-0.022385597229,2,188254,0.0102528,0.0,949,68.5168,147.882728099823,-0.00597792,955.51,955.51
0.755794,-0.00713121891022,2,190254,0.0130636,0.0,951,68.4083,149.49209713935852,-0.00593306,955.51,955.51
0.759437,0.000588893890381,2,192254,0.00444583,0.0,953,57.3166,151.1014688014984,-0.00725621,955.51,955.51
0.770351,-0.0106890201569,2,194254,0.00543078,0.0,955,64.5052,152.6952121257782,-0.00582904,955.51,955.51
0.766114,-0.0141557455063,2,196254,0.0104853,0.0,957,69.1017,154.30458331108093,-0.00952582,955.51,955.51
0.749106,-0.00431382656097,2,198254,0.00258137,0.0,959,69.4869,155.8983292579651,-0.00497598,955.51,955.51
0.744049,-0.0042120218277,2,200254,0.0105847,0.0,961,67.4695,157.51909017562866,-0.00612521,955.51,955.51
0.738411,-0.0017249584198,2,202254,0.0111313,0.0,963,68.5606,159.104989528656,-0.0102924,955.51,955.51
0.717804,0.000109612941742,2,204254,0.00344384,0.0,965,68.9884,160.7158920764923,-0.00400388,955.51,955.51
0.718714,0.0120797157288,2,206254,0.00753765,0.0,967,67.5737,162.32045125961304,-0.00364967,955.51,955.51
0.721712,0.0190524458885,2,208254,0.00674593,0.0,969,66.8911,163.92131567001343,-0.00553851,955.51,955.51
0.709464,-0.00404989719391,2,210254,0.00749228,0.0,971,68.1003,165.51963710784912,-0.0065684,955.51,955.51
0.70134,0.0249428749084,2,212254,0.0121973,0.0,973,68.8931,167.1064739227295,-0.00501243,955.51,955.51
0.716827,-0.00622498989105,2,214254,0.00832577,0.0,975,69.135,168.7187421321869,-0.00484447,964.21,964.21
0.727355,0.0148506760597,2,216254,0.00832963,0.0,977,68.0047,170.33712077140808,-0.00300682,971.5,971.5
0.715047,0.590744614601,3,218969,0.0103497,0.0,980,45.6821,171.92969584465027,-0.0125149,968.65,968.65
0.721366,0.0423474311829,2,220969,0.00845042,0.0,982,52.167,173.52344012260437,-0.0105073,968.65,968.65
0.734215,0.0201168656349,2,222969,0.0217158,0.0,984,68.3445,175.13281106948853,-0.00854582,968.65,968.65
0.745083,0.144226670265,2,224969,0.00715347,0.0,986,39.8825,176.74217867851257,-0.0056949,968.65,968.65
0.760073,-0.0659053325653,2,226969,0.00707934,0.0,988,69.6269,178.35155034065247,-0.00494586,968.65,968.65
0.762996,-0.0286368131638,2,228969,0.00615387,0.0,990,69.8703,179.9452941417694,-0.0052282,968.65,968.65
0.765608,0.0362539887428,2,230969,0.00871722,0.0,992,68.8552,181.55467438697815,-0.00434446,968.65,968.65
0.778646,0.00396639108658,2,232969,0.00550535,0.0,994,69.1406,183.148419380188,-0.00474652,968.65,968.65
0.800482,0.0659907460213,2,234969,0.00579171,0.0,996,69.9641,184.7388048171997,-0.0056576,968.65,968.65
0.791205,0.0142623186111,2,236969,0.00610121,0.0,998,67.7169,186.321683883667,-0.00585245,968.65,968.65
0.783262,0.0251594185829,2,238969,0.00740356,0.0,1000,66.7726,187.9143602848053,-0.00667058,968.65,968.65
0.795132,0.0676816105843,2,240969,0.00672596,0.0,1002,63.0303,189.50866103172302,-0.00935349,968.65,968.65
0.805518,0.110618531704,2,242969,0.00828865,0.0,1004,58.7967,191.09587168693542,-0.0104628,968.65,968.65
0.803808,-0.0282173156738,2,244969,0.00909056,0.0,1006,71.0865,192.69520783424377,-0.0069334,968.65,968.65
0.796958,0.00233095884323,2,246969,0.0139183,0.0,1008,70.5538,194.32020473480225,-0.00618159,976.94,976.94
0.787513,-0.00314295291901,2,248969,0.00662904,0.0,1010,70.2766,195.94780039787292,-0.00705011,976.94,976.94
0.759854,-0.000188112258911,2,250969,0.00824872,0.0,1012,69.9866,197.55184388160706,-0.00796197,984.68,984.68
0.757275,-0.000228881835938,2,252969,0.00565763,0.0,1014,69.6814,199.16392970085144,-0.00890248,984.68,984.68
0.763377,0.00038731098175,3,255969,0.00806628,0.0,1017,98.8655,200.75767493247986,-0.00502113,984.68,984.68
0.761528,0.00279593467712,2,257969,0.00607095,0.0,1019,67.5692,202.35141897201538,-0.00614843,986.45,986.45
0.77074,0.00367850065231,2,259969,0.00423456,0.0,1021,68.1124,203.96114563941956,-0.0048531,986.45,986.45
0.763097,0.0186297297478,2,261969,0.00869605,0.0,1023,67.1581,205.56365132331848,-0.00355348,986.45,986.45
0.740822,0.0168127417564,2,263969,0.00720321,0.0,1025,68.3326,207.16400241851807,-0.00740911,986.45,986.45
0.736141,-0.0295355319977,2,265969,0.00812381,0.0,1027,68.3521,208.75774765014648,-0.00747018,986.45,986.45
