loss_vf_loss,loss_ent,loss_pol_entpen,EpLenMean,ev_tdlam_before,EpisodesSoFar,loss_kl,EpThisIter,loss_pol_surr,TimeElapsed,TimestepsSoFar,EpRewMean
11.406,5.44786,0.0,1000.0,0.552378177643,92,0.0186427,2,-0.0535305,78.48455572128296,92000,-326.38362557
13.134,5.34359,0.0,1000.0,0.495171129704,94,0.0174794,2,-0.0635971,80.22237157821655,94000,-319.3219819
9.06197,5.26361,0.0,1000.0,0.631123960018,96,0.0172414,2,-0.0626496,81.96797490119934,96000,-311.493186278
10.5576,5.19473,0.0,1000.0,0.448999643326,98,0.0175969,2,-0.063531,83.70230770111084,98000,-303.912208533
12.333,5.16533,0.0,1000.0,0.527717769146,100,0.018046,2,-0.0631425,85.45358514785767,100000,-295.697193246
11.2781,5.06007,0.0,1000.0,0.662499815226,102,0.0174492,2,-0.0619171,87.18670177459717,102000,-279.403107104
11.5226,4.97694,0.0,1000.0,0.647314369678,104,0.0173598,2,-0.0630053,88.9366614818573,104000,-264.337187903
11.2146,4.88024,0.0,1000.0,0.604459792376,106,0.0181203,2,-0.0630792,90.67070698738098,106000,-248.875968308
11.091,4.82257,0.0,1000.0,0.333368599415,108,0.0151011,2,-0.0615442,92.42068004608154,108000,-232.529833115
13.824,4.74548,0.0,1000.0,0.560091525316,110,0.0183077,2,-0.0636014,94.13984107971191,110000,-215.86632388
12.7679,4.70779,0.0,1000.0,0.238632440567,112,0.0156108,2,-0.0590572,95.88967061042786,112000,-201.154487014
14.892,4.60916,0.0,1000.0,0.426689743996,114,0.0157087,2,-0.0614018,97.62372469902039,114000,-184.635483023
15.9947,4.56789,0.0,1000.0,0.424751937389,116,0.0152335,2,-0.0589629,99.35983777046204,116000,-168.390672115
14.5883,4.48758,0.0,1000.0,0.55295920372,118,0.0200915,2,-0.066643,101.09246921539307,118000,-150.657486596
16.3276,4.45335,0.0,1000.0,0.621818751097,120,0.0185976,2,-0.0631197,102.85978269577026,120000,-134.126177416
17.3812,4.40838,0.0,1000.0,0.721584528685,122,0.0176079,2,-0.0642519,104.60986256599426,122000,-115.606002091
16.6953,4.34477,0.0,1000.0,0.65795263648,124,0.0172904,2,-0.0628812,106.34313297271729,124000,-100.732845863
18.6635,4.30682,0.0,1000.0,0.410506904125,126,0.0168968,2,-0.0559263,108.0625638961792,126000,-84.2966447985
25.0623,4.23352,0.0,1000.0,0.397306025028,129,0.0214792,3,-0.063427,109.79542350769043,129000,-59.2065493147
22.1238,4.16438,0.0,1000.0,0.431765973568,131,0.020055,2,-0.0599597,111.52976536750793,131000,-41.451508702
23.0786,4.10712,0.0,1000.0,0.516762822866,133,0.0200288,2,-0.0628711,113.25670909881592,133000,-24.5545184062
24.0911,4.05772,0.0,1000.0,0.611348420382,135,0.0218889,2,-0.053853,114.99901366233826,135000,-7.86774280369
25.5532,3.99516,0.0,1000.0,0.592597991228,137,0.0217979,2,-0.0580559,116.73304724693298,137000,7.93108418511
20.8467,3.8922,0.0,1000.0,0.417914628983,139,0.0183734,2,-0.0560537,118.46745038032532,139000,23.6529341992
25.5315,3.84287,0.0,1000.0,0.620575428009,141,0.0212308,2,-0.0549009,120.20163798332214,141000,41.7883176693
22.2628,3.77509,0.0,1000.0,0.222408115864,143,0.0161094,2,-0.0521418,121.93641638755798,143000,57.4771536349
22.6934,3.72463,0.0,1000.0,0.28842651844,145,0.0188309,2,-0.0522181,123.6860818862915,145000,75.6236173802
25.1805,3.66516,0.0,1000.0,0.133471369743,147,0.0236534,2,-0.0510236,125.42111682891846,147000,93.9922663035
27.9516,3.61206,0.0,1000.0,0.226194858551,149,0.0198704,2,-0.0561263,127.15654063224792,149000,109.917057609
26.6915,3.59585,0.0,1000.0,0.285478949547,151,0.0225892,2,-0.0515555,128.920560836792,151000,125.876404486
25.8907,3.49898,0.0,1000.0,0.149175882339,153,0.0222538,2,-0.0463526,130.6861720085144,153000,144.163845766
27.8305,3.43175,0.0,1000.0,0.153122782707,155,0.0210871,2,-0.054631,132.42077732086182,155000,160.081204914
26.4468,3.41226,0.0,1000.0,0.201770365238,157,0.0227772,2,-0.0475473,134.15628027915955,157000,176.750531719
30.6638,3.35865,0.0,1000.0,0.132543504238,159,0.0183196,2,-0.0504121,135.90523838996887,159000,194.135540702
32.4236,3.29733,0.0,1000.0,0.217579543591,161,0.0228695,2,-0.0517959,137.6244134902954,161000,213.626911124
32.6756,3.24097,0.0,1000.0,0.156466007233,163,0.0213659,2,-0.052639,139.35964560508728,163000,228.807411917
34.2592,3.21977,0.0,1000.0,0.278026342392,165,0.0247133,2,-0.0480342,141.10868191719055,165000,245.331748107
