TimeElapsed,loss_kl,EpLenMean,loss_ent,loss_pol_entpen,ev_tdlam_before,EpisodesSoFar,EpThisIter,loss_vf_loss,EpRewMean,TimestepsSoFar,loss_pol_surr
2.1282410621643066,0.0186352,5.21,1.38062,0.0,0.000811338424683,366,366,610.187,47.0988499518,2046,-0.0303871
3.968050479888916,0.0328042,5.89,1.31594,0.0,0.500459522009,715,349,375.478,53.4530431552,4087,-0.0495588
5.7918007373809814,0.0191134,6.77,1.25157,0.0,0.320315122604,1010,295,410.804,61.5858644421,6138,-0.036736
7.619754314422607,0.0169594,7.85,1.1917,0.0,0.255584418774,1274,264,442.879,71.6588765734,8191,-0.031132
9.432252168655396,0.0173982,9.21,1.1334,0.0,0.313779532909,1506,232,537.27,84.3357497261,10234,-0.0272133
11.24393630027771,0.0172934,10.57,1.08041,0.0,0.358568906784,1704,198,713.92,96.9542563548,12281,-0.0255469
13.049379348754883,0.00966525,10.63,1.03164,0.0,0.433761119843,1889,185,627.215,97.5344233948,14333,-0.0231678
14.846359014511108,0.0114754,11.7,0.977094,0.0,0.485519170761,2062,173,711.431,107.475756968,16383,-0.0207469
16.64237356185913,0.0120583,12.3,0.936132,0.0,0.487457334995,2220,158,880.249,113.050057306,18432,-0.020705
18.439316272735596,0.00696667,14.98,0.884115,0.0,0.481215536594,2359,139,1104.13,137.90701409,20467,-0.0186557
20.22024941444397,0.0106499,17.04,0.868147,0.0,0.509590089321,2481,122,1268.74,156.996921681,22528,-0.0184442
22.014994621276855,0.00768921,16.98,0.818809,0.0,0.534077942371,2598,117,1202.56,156.379714993,24568,-0.0184059
23.790858268737793,0.00707003,19.7,0.792328,0.0,0.537479668856,2702,104,1584.35,181.499929552,26612,-0.0149922
25.55657148361206,0.00542575,23.78,0.777912,0.0,0.509514570236,2784,82,2332.32,219.279356911,28637,-0.0119175
27.336811780929565,0.0148039,23.86,0.75305,0.0,0.546477288008,2872,88,1795.48,220.039625212,30710,-0.00855484
29.117902517318726,0.00999687,21.68,0.709179,0.0,0.590553820133,2966,94,1565.23,199.793930596,32765,-0.0154012
30.87561559677124,0.00937169,24.64,0.669758,0.0,0.597131967545,3048,82,1955.29,227.156179801,34797,-0.0145041
32.65945076942444,0.00697071,27.37,0.67218,0.0,0.618832468987,3122,74,1999.68,252.401042988,36837,-0.0136275
34.42435646057129,0.00951541,27.33,0.636129,0.0,0.573473840952,3196,74,2502.25,251.983388327,38874,-0.015155
36.22055101394653,0.00727074,28.11,0.614794,0.0,0.648104548454,3267,71,2105.36,259.167681503,40955,-0.014842
37.983904123306274,0.00588746,30.48,0.595467,0.0,0.604220151901,3334,67,2719.94,281.105070863,42983,-0.0106112
39.75877547264099,0.00529959,31.59,0.569271,0.0,0.653490811586,3396,62,2476.87,291.550651517,45045,-0.0101842
41.527257680892944,0.0112612,34.77,0.530262,0.0,0.624911159277,3452,56,3022.37,321.137815904,47074,-0.0139016
43.29179310798645,0.0115206,35.69,0.508247,0.0,0.671383708715,3510,58,2702.7,329.667514121,49150,-0.0105554
45.065093994140625,0.00538149,32.85,0.481262,0.0,0.627658009529,3574,64,2670.06,303.34781283,51137,-0.0120361
46.83785390853882,0.0130067,34.74,0.453924,0.0,0.672544211149,3630,56,2674.76,320.96007009,53242,-0.00939199
48.61955952644348,0.00936039,39.99,0.427669,0.0,0.685579836369,3677,47,2826.34,369.74290636,55279,-0.0134213
50.38445568084717,0.0119333,40.73,0.376544,0.0,0.685399621725,3730,53,2846.0,376.74911455,57315,-0.0183315
52.149702310562134,0.0096618,41.91,0.357621,0.0,0.690522909164,3775,45,3340.95,387.834564807,59380,-0.00936732
53.92402410507202,0.00714053,45.43,0.321866,0.0,0.68048837781,3819,44,3918.23,420.362635217,61389,-0.0140844
55.688735008239746,0.00871156,46.65,0.290611,0.0,0.683110415936,3863,44,3736.18,431.577709662,63482,-0.0142072
57.46328115463257,0.00770861,47.18,0.290525,0.0,0.719800263643,3906,43,2908.93,436.628808113,65480,-0.0105626
59.22882533073425,0.00617902,46.02,0.267049,0.0,0.739598482847,3950,44,3056.61,425.939450617,67555,-0.011636
60.98744082450867,0.00758639,49.87,0.246307,0.0,0.669010937214,3987,37,4391.24,461.722298025,69627,-0.0119983
62.73440909385681,0.00714995,56.32,0.238837,0.0,0.703373938799,4017,30,4848.25,521.713738682,71622,-0.0109076
64.5081729888916,0.00936325,59.51,0.209366,0.0,0.698836237192,4053,36,3686.46,551.356577682,73673,-0.00928159
66.28977513313293,0.00704617,62.79,0.203436,0.0,0.712300658226,4085,32,4320.89,581.875682742,75776,-0.0127656
68.04853630065918,0.0113869,59.61,0.184569,0.0,0.699054658413,4120,35,4233.86,552.321718003,77788,-0.00379577
69.79881119728088,0.014711,61.79,0.17459,0.0,0.703821003437,4153,33,4231.04,572.762373256,79852,-0.00241455
71.56471800804138,0.0158339,62.02,0.154012,0.0,0.693912923336,4184,31,4375.99,574.858053203,81919,-0.0108383
73.3308846950531,0.0103042,66.21,0.138604,0.0,0.705156475306,4211,27,4863.79,613.948647676,83959,-0.00714265
75.10227155685425,0.0110007,69.85,0.107634,0.0,0.731078267097,4240,29,4308.57,647.829997805,85977,-0.0128086
76.86081194877625,0.00754085,71.01,0.0759891,0.0,0.686166256666,4269,29,4868.05,658.744941075,88040,-0.0148973
78.62675762176514,0.0116606,74.52,0.056519,0.0,0.676466882229,4294,25,4940.0,691.491068023,89979,-0.00411576
80.37675023078918,0.00995331,76.09,0.0240498,0.0,0.756389096379,4318,24,4594.93,706.172265037,92153,-0.00787061
